,"(%) Minimum Relative Humidity (gridMET) at -79.2103E,35.1464N, 1979-01-01 to 2026-04-10"
"1979-01-01",58.5199
"1979-01-02",63.7369
"1979-01-03",21.2609
"1979-01-04",22.7818
"1979-01-05",27.0491
"1979-01-06",38.362
"1979-01-07",58.4467
"1979-01-08",43.9018
"1979-01-09",18.7607
"1979-01-10",24.64
"1979-01-11",28.1222
"1979-01-12",34.1009
"1979-01-13",61.8547
"1979-01-14",41.3307
"1979-01-15",19.0755
"1979-01-16",25.0536
"1979-01-17",30.1851
"1979-01-18",26.2599
"1979-01-19",16.5658
"1979-01-20",32.697
"1979-01-21",45.2284
"1979-01-22",32.7722
"1979-01-23",38.3655
"1979-01-24",42.0195
"1979-01-25",29.4711
"1979-01-26",28.2729
"1979-01-27",31.4489
"1979-01-28",33.6318
"1979-01-29",33.8941
"1979-01-30",31.147
"1979-01-31",29.0213
"1979-02-01",23.8288
"1979-02-02",25.7454
"1979-02-03",27.0417
"1979-02-04",33.0152
"1979-02-05",17.4734
"1979-02-06",20.0775
"1979-02-07",35.0804
"1979-02-08",37.0247
"1979-02-09",34.4073
"1979-02-10",29.3
"1979-02-11",33.1506
"1979-02-12",35.9377
"1979-02-13",34.6553
"1979-02-14",32.9979
"1979-02-15",48.8133
"1979-02-16",41.4225
"1979-02-17",14.103
"1979-02-18",16.6376
"1979-02-19",55.7861
"1979-02-20",50.1049
"1979-02-21",49.7263
"1979-02-22",46.4383
"1979-02-23",48.6522
"1979-02-24",53.6931
"1979-02-25",52.2063
"1979-02-26",51.0923
"1979-02-27",44.7523
"1979-02-28",40.92
"1979-03-01",43.1379
"1979-03-02",41.5896
"1979-03-03",39.7645
"1979-03-04",49.3361
"1979-03-05",55.1311
"1979-03-06",37.9629
"1979-03-07",34.6594
"1979-03-08",35.4804
"1979-03-09",38.7976
"1979-03-10",37.1037
"1979-03-11",33.9828
"1979-03-12",30.4137
"1979-03-13",32.697
"1979-03-14",40.9981
"1979-03-15",27.5825
"1979-03-16",23.1083
"1979-03-17",26.7628
"1979-03-18",25.4785
"1979-03-19",30.1744
"1979-03-20",32.4133
"1979-03-21",28.5578
"1979-03-22",30.8021
"1979-03-23",40.1731
"1979-03-24",42.7602
"1979-03-25",32.9681
"1979-03-26",35.4884
"1979-03-27",36.8021
"1979-03-28",40.286
"1979-03-29",41.4056
"1979-03-30",38.7196
"1979-03-31",40.1859
"1979-04-01",34.9592
"1979-04-02",38.8154
"1979-04-03",43.1002
"1979-04-04",56.2108
"1979-04-05",31.5804
"1979-04-06",26.7387
"1979-04-07",21.8725
"1979-04-08",29.6394
"1979-04-09",33.5765
"1979-04-10",30.8787
"1979-04-11",36.3627
"1979-04-12",44.9412
"1979-04-13",43.3381
"1979-04-14",28.7738
"1979-04-15",26.7661
"1979-04-16",26.2178
"1979-04-17",30.1056
"1979-04-18",26.513
"1979-04-19",25.1039
"1979-04-20",26.5537
"1979-04-21",27.7556
"1979-04-22",33.555
"1979-04-23",34.1371
"1979-04-24",45.6295
"1979-04-25",42.4808
"1979-04-26",50.1723
"1979-04-27",40.4038
"1979-04-28",36.0462
"1979-04-29",30.0138
"1979-04-30",32.2654
"1979-05-01",29.5966
"1979-05-02",35.4378
"1979-05-03",39.3619
"1979-05-04",51.9723
"1979-05-05",52.0661
"1979-05-06",49.3326
"1979-05-07",44.3178
"1979-05-08",45.4817
"1979-05-09",49.5565
"1979-05-10",61.0994
"1979-05-11",47.0898
"1979-05-12",47.0508
"1979-05-13",45.9842
"1979-05-14",48.0569
"1979-05-15",39.9289
"1979-05-16",38.6366
"1979-05-17",32.9877
"1979-05-18",40.1888
"1979-05-19",44.0149
"1979-05-20",46.2223
"1979-05-21",46.2474
"1979-05-22",50.8675
"1979-05-23",50.4901
"1979-05-24",49.7695
"1979-05-25",35.8187
"1979-05-26",34.7224
"1979-05-27",40.4916
"1979-05-28",47.6144
"1979-05-29",46.9819
"1979-05-30",41.896
"1979-05-31",46.3668
"1979-06-01",57.2909
"1979-06-02",54.3313
"1979-06-03",54.4443
"1979-06-04",54.4259
"1979-06-05",48.1286
"1979-06-06",51.6379
"1979-06-07",52.9569
"1979-06-08",42.9525
"1979-06-09",45.7839
"1979-06-10",48.6516
"1979-06-11",47.4353
"1979-06-12",38.1382
"1979-06-13",38.2814
"1979-06-14",39.8709
"1979-06-15",37.5421
"1979-06-16",43.0791
"1979-06-17",55.6754
"1979-06-18",46.0104
"1979-06-19",46.6918
"1979-06-20",46.6805
"1979-06-21",52.7611
"1979-06-22",47.4636
"1979-06-23",42.0836
"1979-06-24",45.5848
"1979-06-25",52.0373
"1979-06-26",51.7783
"1979-06-27",39.0955
"1979-06-28",40.1105
"1979-06-29",44.1701
"1979-06-30",47.6886
"1979-07-01",38.8211
"1979-07-02",33.5428
"1979-07-03",33.7828
"1979-07-04",38.1682
"1979-07-05",39.2659
"1979-07-06",42.486
"1979-07-07",51.3789
"1979-07-08",42.4329
"1979-07-09",44.5089
"1979-07-10",53.9841
"1979-07-11",56.2506
"1979-07-12",52.1819
"1979-07-13",44.9121
"1979-07-14",40.8343
"1979-07-15",45.077
"1979-07-16",46.7658
"1979-07-17",54.7346
"1979-07-18",52.7118
"1979-07-19",54.2295
"1979-07-20",57.3119
"1979-07-21",54.7356
"1979-07-22",52.3605
"1979-07-23",52.9021
"1979-07-24",53.0781
"1979-07-25",55.364
"1979-07-26",57.7592
"1979-07-27",53.4345
"1979-07-28",48.1412
"1979-07-29",46.2861
"1979-07-30",47.906
"1979-07-31",44.778
"1979-08-01",46.0642
"1979-08-02",51.1045
"1979-08-03",49.8466
"1979-08-04",39.8229
"1979-08-05",40.7257
"1979-08-06",40.4629
"1979-08-07",44.9737
"1979-08-08",43.3558
"1979-08-09",43.2626
"1979-08-10",41.1879
"1979-08-11",42.5438
"1979-08-12",50.6338
"1979-08-13",37.4718
"1979-08-14",43.6413
"1979-08-15",42.8082
"1979-08-16",40.4761
"1979-08-17",41.2323
"1979-08-18",42.0118
"1979-08-19",43.2984
"1979-08-20",38.833
"1979-08-21",39.3515
"1979-08-22",46.7297
"1979-08-23",52.8412
"1979-08-24",52.5725
"1979-08-25",50.914
"1979-08-26",48.9228
"1979-08-27",54.2572
"1979-08-28",53.6102
"1979-08-29",54.7151
"1979-08-30",43.3128
"1979-08-31",42.9782
"1979-09-01",53.9011
"1979-09-02",55.5281
"1979-09-03",57.7941
"1979-09-04",61.9562
"1979-09-05",72.4614
"1979-09-06",54.8827
"1979-09-07",47.5965
"1979-09-08",48.8604
"1979-09-09",48.8165
"1979-09-10",56.0635
"1979-09-11",52.5118
"1979-09-12",57.5969
"1979-09-13",57.2537
"1979-09-14",57.3951
"1979-09-15",48.8427
"1979-09-16",47.8415
"1979-09-17",51.2449
"1979-09-18",51.1253
"1979-09-19",43.0107
"1979-09-20",41.9918
"1979-09-21",71.7709
"1979-09-22",60.71
"1979-09-23",61.2284
"1979-09-24",71.3479
"1979-09-25",69.8685
"1979-09-26",78.709
"1979-09-27",71.2836
"1979-09-28",66.7905
"1979-09-29",66.8833
"1979-09-30",62.0531
"1979-10-01",50.1294
"1979-10-02",41.6031
"1979-10-03",36.7151
"1979-10-04",39.9061
"1979-10-05",46.9694
"1979-10-06",36.8455
"1979-10-07",30.8491
"1979-10-08",32.557
"1979-10-09",39.3671
"1979-10-10",42.1887
"1979-10-11",48.4691
"1979-10-12",42.817
"1979-10-13",44.8612
"1979-10-14",35.8759
"1979-10-15",39.2786
"1979-10-16",40.2389
"1979-10-17",43.7374
"1979-10-18",46.4884
"1979-10-19",48.0506
"1979-10-20",54.276
"1979-10-21",44.6261
"1979-10-22",38.9405
"1979-10-23",41.3795
"1979-10-24",36.4542
"1979-10-25",36.4624
"1979-10-26",31.6537
"1979-10-27",32.7485
"1979-10-28",35.2143
"1979-10-29",46.3092
"1979-10-30",50.1366
"1979-10-31",42.9718
"1979-11-01",49.7446
"1979-11-02",57.8821
"1979-11-03",53.3652
"1979-11-04",31.1881
"1979-11-05",39.0128
"1979-11-06",41.8559
"1979-11-07",30.3792
"1979-11-08",37.4891
"1979-11-09",46.5178
"1979-11-10",54.7602
"1979-11-11",59.7855
"1979-11-12",58.7719
"1979-11-13",59.2608
"1979-11-14",32.5031
"1979-11-15",34.1973
"1979-11-16",35.2611
"1979-11-17",38.3057
"1979-11-18",35.4621
"1979-11-19",34.3028
"1979-11-20",32.4954
"1979-11-21",33.7271
"1979-11-22",39.3556
"1979-11-23",50.9667
"1979-11-24",49.2542
"1979-11-25",48.6716
"1979-11-26",36.6572
"1979-11-27",34.2623
"1979-11-28",43.4301
"1979-11-29",33.778
"1979-11-30",28.7275
"1979-12-01",30.3273
"1979-12-02",22.2075
"1979-12-03",24.9394
"1979-12-04",28.3361
"1979-12-05",32.436
"1979-12-06",37.3443
"1979-12-07",41.191
"1979-12-08",29.0091
"1979-12-09",27.6503
"1979-12-10",32.2721
"1979-12-11",39.2834
"1979-12-12",46.6541
"1979-12-13",53.0777
"1979-12-14",36.4582
"1979-12-15",36.7071
"1979-12-16",54.1734
"1979-12-17",30.1159
"1979-12-18",24.2718
"1979-12-19",27.6928
"1979-12-20",35.8646
"1979-12-21",47.9905
"1979-12-22",48.2024
"1979-12-23",47.9022
"1979-12-24",54.8027
"1979-12-25",45.4601
"1979-12-26",39.4812
"1979-12-27",32.8039
"1979-12-28",28.9498
"1979-12-29",31.0304
"1979-12-30",31.7962
"1979-12-31",52.4329
"1980-01-01",53.3039
"1980-01-02",37.4953
"1980-01-03",39.8829
"1980-01-04",39.7559
"1980-01-05",50.0966
"1980-01-06",41.1979
"1980-01-07",44.1533
"1980-01-08",55.9543
"1980-01-09",63.3744
"1980-01-10",49.2908
"1980-01-11",61.3983
"1980-01-12",32.7904
"1980-01-13",35.4721
"1980-01-14",67.5713
"1980-01-15",58.2146
"1980-01-16",46.2351
"1980-01-17",45.3782
"1980-01-18",75.3809
"1980-01-19",33.0768
"1980-01-20",32.3108
"1980-01-21",30.1518
"1980-01-22",30.3969
"1980-01-23",50.4437
"1980-01-24",35.5778
"1980-01-25",46.9684
"1980-01-26",44.8929
"1980-01-27",56.0051
"1980-01-28",45.7767
"1980-01-29",45.1419
"1980-01-30",30.2455
"1980-01-31",45.0081
"1980-02-01",33.2784
"1980-02-02",29.5994
"1980-02-03",21.0252
"1980-02-04",22.2051
"1980-02-05",26.287
"1980-02-06",27.8368
"1980-02-07",42.2959
"1980-02-08",33.6905
"1980-02-09",35.6391
"1980-02-10",45.4371
"1980-02-11",37.6899
"1980-02-12",31.761
"1980-02-13",31.57
"1980-02-14",29.4056
"1980-02-15",30.2303
"1980-02-16",34.5735
"1980-02-17",26.9921
"1980-02-18",24.0612
"1980-02-19",25.9076
"1980-02-20",40.7067
"1980-02-21",42.8332
"1980-02-22",46.0083
"1980-02-23",35.8836
"1980-02-24",29.7282
"1980-02-25",31.5678
"1980-02-26",30.0847
"1980-02-27",25.8424
"1980-02-28",34.0159
"1980-02-29",33.5745
"1980-03-01",34.2492
"1980-03-02",54.2445
"1980-03-03",43.5465
"1980-03-04",39.8593
"1980-03-05",43.168
"1980-03-06",39.6171
"1980-03-07",44.6597
"1980-03-08",42.278
"1980-03-09",32.9078
"1980-03-10",37.6011
"1980-03-11",23.8411
"1980-03-12",26.4446
"1980-03-13",58.7236
"1980-03-14",33.7879
"1980-03-15",27.0599
"1980-03-16",29.0893
"1980-03-17",37.578
"1980-03-18",33.9558
"1980-03-19",32.576
"1980-03-20",41.1115
"1980-03-21",35.4193
"1980-03-22",26.4171
"1980-03-23",32.4135
"1980-03-24",39.0792
"1980-03-25",40.0536
"1980-03-26",40.3839
"1980-03-27",40.9635
"1980-03-28",39.3971
"1980-03-29",36.062
"1980-03-30",35.405
"1980-03-31",39.6429
"1980-04-01",32.1072
"1980-04-02",41.9677
"1980-04-03",43.3758
"1980-04-04",38.4687
"1980-04-05",27.1304
"1980-04-06",27.0753
"1980-04-07",33.9381
"1980-04-08",47.5624
"1980-04-09",33.3616
"1980-04-10",23.7675
"1980-04-11",23.049
"1980-04-12",23.1277
