,"(deg C) Maximum Temperature (gridMET) at -79.2103E,35.1464N, 1979-01-01 to 2026-04-10"
"1979-01-01",19.8208
"1979-01-02",19.5008
"1979-01-03",0.7007
"1979-01-04",4.6903
"1979-01-05",8.0411
"1979-01-06",10.6407
"1979-01-07",19.8702
"1979-01-08",17.6808
"1979-01-09",4.421
"1979-01-10",7.6902
"1979-01-11",8.7305
"1979-01-12",3.6203
"1979-01-13",9.4904
"1979-01-14",14.9503
"1979-01-15",5.9703
"1979-01-16",11.8602
"1979-01-17",14.9305
"1979-01-18",13.4602
"1979-01-19",4.3604
"1979-01-20",15.8102
"1979-01-21",18.5704
"1979-01-22",9.1407
"1979-01-23",10.5604
"1979-01-24",18.8805
"1979-01-25",7.0205
"1979-01-26",9.7808
"1979-01-27",8.6502
"1979-01-28",7.0106
"1979-01-29",9.3409
"1979-01-30",9.5608
"1979-01-31",7.8607
"1979-02-01",4.7607
"1979-02-02",8.0411
"1979-02-03",7.6704
"1979-02-04",12.6311
"1979-02-05",6.1705
"1979-02-06",5.5811
"1979-02-07",2.6702
"1979-02-08",7.4209
"1979-02-09",3.7402
"1979-02-10",5.1302
"1979-02-11",5.4304
"1979-02-12",12.4705
"1979-02-13",7.1602
"1979-02-14",8.3203
"1979-02-15",23.2605
"1979-02-16",21.1601
"1979-02-17",6.6005
"1979-02-18",-0.2791
"1979-02-19",3.351
"1979-02-20",5.9506
"1979-02-21",11.8812
"1979-02-22",19.5106
"1979-02-23",13.3305
"1979-02-24",13.7901
"1979-02-25",17.64
"1979-02-26",14.6611
"1979-02-27",12.4804
"1979-02-28",15.0454
"1979-03-01",19.3957
"1979-03-02",21.9953
"1979-03-03",20.7054
"1979-03-04",22.3351
"1979-03-05",21.7049
"1979-03-06",19.7157
"1979-03-07",18.9349
"1979-03-08",15.8559
"1979-03-09",19.156
"1979-03-10",17.986
"1979-03-11",11.445
"1979-03-12",14.7353
"1979-03-13",20.3656
"1979-03-14",19.4353
"1979-03-15",10.4356
"1979-03-16",11.125
"1979-03-17",17.666
"1979-03-18",22.2152
"1979-03-19",22.8849
"1979-03-20",22.0052
"1979-03-21",21.3355
"1979-03-22",20.0753
"1979-03-23",22.1251
"1979-03-24",20.4855
"1979-03-25",14.456
"1979-03-26",12.4952
"1979-03-27",16.895
"1979-03-28",19.9159
"1979-03-29",25.7649
"1979-03-30",25.8057
"1979-03-31",28.0878
"1979-04-01",28.3584
"1979-04-02",26.568
"1979-04-03",22.6489
"1979-04-04",24.459
"1979-04-05",21.7581
"1979-04-06",21.5184
"1979-04-07",17.1878
"1979-04-08",25.5685
"1979-04-09",24.2477
"1979-04-10",16.9988
"1979-04-11",21.5579
"1979-04-12",28.3584
"1979-04-13",27.218
"1979-04-14",23.5583
"1979-04-15",23.6485
"1979-04-16",18.9583
"1979-04-17",17.4485
"1979-04-18",19.9282
"1979-04-19",21.1378
"1979-04-20",23.0789
"1979-04-21",26.7089
"1979-04-22",28.0384
"1979-04-23",26.8386
"1979-04-24",26.6484
"1979-04-25",24.7679
"1979-04-26",25.8786
"1979-04-27",27.4082
"1979-04-28",25.1682
"1979-04-29",20.4286
"1979-04-30",22.964
"1979-05-01",25.3844
"1979-05-02",25.8045
"1979-05-03",27.3538
"1979-05-04",28.4943
"1979-05-05",23.8943
"1979-05-06",25.8539
"1979-05-07",28.9737
"1979-05-08",28.7537
"1979-05-09",24.7839
"1979-05-10",23.9747
"1979-05-11",30.764
"1979-05-12",30.3043
"1979-05-13",29.6643
"1979-05-14",24.1946
"1979-05-15",26.4741
"1979-05-16",25.6241
"1979-05-17",22.4945
"1979-05-18",22.6341
"1979-05-19",22.644
"1979-05-20",26.6842
"1979-05-21",25.0236
"1979-05-22",28.1137
"1979-05-23",29.7446
"1979-05-24",26.8943
"1979-05-25",23.3939
"1979-05-26",20.294
"1979-05-27",22.9739
"1979-05-28",26.2938
"1979-05-29",28.5041
"1979-05-30",29.9843
"1979-05-31",29.3937
"1979-06-01",29.0231
"1979-06-02",30.0832
"1979-06-03",29.8534
"1979-06-04",26.7237
"1979-06-05",28.6438
"1979-06-06",29.6236
"1979-06-07",30.0128
"1979-06-08",29.6236
"1979-06-09",30.1536
"1979-06-10",30.093
"1979-06-11",27.2031
"1979-06-12",26.7929
"1979-06-13",28.283
"1979-06-14",26.9931
"1979-06-15",26.3036
"1979-06-16",21.7531
"1979-06-17",25.0434
"1979-06-18",32.3838
"1979-06-19",30.2833
"1979-06-20",24.3836
"1979-06-21",24.4133
"1979-06-22",31.1729
"1979-06-23",32.6531
"1979-06-24",30.843
"1979-06-25",22.9232
"1979-06-26",25.6031
