,"(deg C) Mean Temperature (gridMET) at -79.2103E,35.1464N, 1979-01-01 to 2026-04-10"
"1979-01-01",16.1044
"1979-01-02",9.3991
"1979-01-03",-4.1462
"1979-01-04",-2.5859
"1979-01-05",1.7044
"1979-01-06",5.5789
"1979-01-07",12.7939
"1979-01-08",7.9891
"1979-01-09",-0.8709
"1979-01-10",0.2291
"1979-01-11",1.384
"1979-01-12",0.3186
"1979-01-13",4.8788
"1979-01-14",6.3089
"1979-01-15",0.2236
"1979-01-16",4.0939
"1979-01-17",7.0187
"1979-01-18",5.9237
"1979-01-19",-0.9164
"1979-01-20",6.7686
"1979-01-21",10.874
"1979-01-22",4.014
"1979-01-23",3.8991
"1979-01-24",8.9889
"1979-01-25",1.2341
"1979-01-26",2.7593
"1979-01-27",2.7189
"1979-01-28",2.5788
"1979-01-29",2.7189
"1979-01-30",1.9994
"1979-01-31",2.309
"1979-02-01",-0.9262
"1979-02-02",-0.0658
"1979-02-03",1.6185
"1979-02-04",6.0741
"1979-02-05",1.6289
"1979-02-06",-0.5257
"1979-02-07",-0.9514
"1979-02-08",-0.2163
"1979-02-09",-2.1816
"1979-02-10",-2.0061
"1979-02-11",-0.2012
"1979-02-12",3.5786
"1979-02-13",2.7737
"1979-02-14",2.6589
"1979-02-15",13.8938
"1979-02-16",12.7483
"1979-02-17",-0.6963
"1979-02-18",-5.411
"1979-02-19",-2.5662
"1979-02-20",-1.4764
"1979-02-21",5.9643
"1979-02-22",12.014
"1979-02-23",9.4088
"1979-02-24",10.9384
"1979-02-25",12.7784
"1979-02-26",9.3738
"1979-02-27",5.949
"1979-02-28",6.9141
"1979-03-01",11.0542
"1979-03-02",13.4694
"1979-03-03",12.8541
"1979-03-04",15.504
"1979-03-05",17.464
"1979-03-06",13.6045
"1979-03-07",11.1739
"1979-03-08",10.9142
"1979-03-09",11.3397
"1979-03-10",11.0247
"1979-03-11",5.7092
"1979-03-12",6.2542
"1979-03-13",10.3595
"1979-03-14",12.179
"1979-03-15",4.6796
"1979-03-16",3.8841
"1979-03-17",8.5745
"1979-03-18",12.0689
"1979-03-19",14.7243
"1979-03-20",15.9241
"1979-03-21",14.1146
"1979-03-22",11.2392
"1979-03-23",13.5943
"1979-03-24",13.5743
"1979-03-25",9.2094
"1979-03-26",5.7295
"1979-03-27",9.4191
"1979-03-28",12.9897
"1979-03-29",17.5843
"1979-03-30",18.4597
"1979-03-31",20.1681
"1979-04-01",20.7136
"1979-04-02",19.8233
"1979-04-03",18.1283
"1979-04-04",17.3287
"1979-04-05",15.0232
"1979-04-06",13.0634
"1979-04-07",8.3883
"1979-04-08",15.5284
"1979-04-09",16.0477
"1979-04-10",10.0287
"1979-04-11",12.8683
"1979-04-12",20.3186
"1979-04-13",21.1531
"1979-04-14",17.4033
"1979-04-15",15.6485
"1979-04-16",11.0534
"1979-04-17",10.1334
"1979-04-18",12.2932
"1979-04-19",12.7779
"1979-04-20",15.4238
"1979-04-21",15.9687
"1979-04-22",19.6185
"1979-04-23",20.6486
"1979-04-24",21.0486
"1979-04-25",19.1781
"1979-04-26",20.5084
"1979-04-27",21.8381
"1979-04-28",18.3484
"1979-04-29",14.8833
"1979-04-30",16.066
"1979-05-01",17.7811
"1979-05-02",17.7661
"1979-05-03",19.1512
"1979-05-04",23.3211
"1979-05-05",18.3863
"1979-05-06",18.8309
"1979-05-07",20.8811
"1979-05-08",22.9708
"1979-05-09",20.9763
"1979-05-10",20.4812
"1979-05-11",24.8061
"1979-05-12",25.4513
"1979-05-13",25.0264
"1979-05-14",18.9667
"1979-05-15",18.7563
"1979-05-16",20.0461
"1979-05-17",16.0315
"1979-05-18",14.1613
"1979-05-19",16.681
"1979-05-20",19.371
"1979-05-21",19.0608
"1979-05-22",21.1107
"1979-05-23",24.5216
"1979-05-24",23.0515
"1979-05-25",17.1312
"1979-05-26",13.3863
"1979-05-27",15.5509
"1979-05-28",19.7062
"1979-05-29",22.096
"1979-05-30",23.9861
"1979-05-31",24.1519
"1979-06-01",24.1863
"1979-06-02",25.3966
"1979-06-03",24.7313
"1979-06-04",21.2167
"1979-06-05",21.4819
"1979-06-06",22.6915
"1979-06-07",23.286
"1979-06-08",23.3566
"1979-06-09",23.6568
"1979-06-10",24.3814
"1979-06-11",20.0164
"1979-06-12",18.4114
"1979-06-13",21.0461
"1979-06-14",20.6766
"1979-06-15",18.5964
"1979-06-16",17.0263
"1979-06-17",18.9165
"1979-06-18",23.4065
"1979-06-19",25.2315
"1979-06-20",19.6516
"1979-06-21",19.1913
"1979-06-22",23.2314
"1979-06-23",25.8363
"1979-06-24",25.0762
"1979-06-25",18.2563
"1979-06-26",18.6466
"1979-06-27",20.2469
"1979-06-28",21.1567
"1979-06-29",22.8211
"1979-06-30",24.2432
"1979-07-01",24.9832
"1979-07-02",24.4237
"1979-07-03",24.2784
"1979-07-04",26.0835
"1979-07-05",22.0085
"1979-07-06",20.0632
"1979-07-07",19.5637
"1979-07-08",21.2831
"1979-07-09",22.2934
"1979-07-10",21.0137
"1979-07-11",23.4732
"1979-07-12",25.5387
"1979-07-13",28.4434
"1979-07-14",26.9835
"1979-07-15",27.7032
"1979-07-16",27.2684
"1979-07-17",27.6136
"1979-07-18",27.3735
"1979-07-19",26.123
"1979-07-20",25.0281
"1979-07-21",25.8632
"1979-07-22",26.3432
"1979-07-23",26.2481
"1979-07-24",26.1231
"1979-07-25",25.3333
"1979-07-26",25.7881
"1979-07-27",25.2536
"1979-07-28",27.3379
"1979-07-29",27.6335
"1979-07-30",25.9085
"1979-07-31",27.2104
"1979-08-01",28.4202
"1979-08-02",27.4655
"1979-08-03",28.07
"1979-08-04",26.9352
"1979-08-05",26.5353
"1979-08-06",27.1504
"1979-08-07",27.0306
"1979-08-08",29.0252
"1979-08-09",28.8552
"1979-08-10",29.0704
"1979-08-11",27.0902
"1979-08-12",21.7006
"1979-08-13",19.1499
"1979-08-14",22.1298
"1979-08-15",21.955
"1979-08-16",19.4605
"1979-08-17",18.7853
"1979-08-18",22.6454
"1979-08-19",24.7454
"1979-08-20",28.075
"1979-08-21",27.6503
"1979-08-22",25.0506
"1979-08-23",24.9703
"1979-08-24",25.2151
"1979-08-25",26.7404
"1979-08-26",25.8557
"1979-08-27",25.615
"1979-08-28",25.0154
"1979-08-29",25.2654
"1979-08-30",27.1906
"1979-08-31",26.8376
"1979-09-01",25.4876
"1979-09-02",25.7678
"1979-09-03",25.8325
"1979-09-04",22.9123
"1979-09-05",21.6428
"1979-09-06",25.943
"1979-09-07",26.8276
"1979-09-08",23.4378
"1979-09-09",20.5932
"1979-09-10",21.6329
"1979-09-11",22.2625
"1979-09-12",23.1127
"1979-09-13",23.5524
"1979-09-14",26.1129
"1979-09-15",20.2978
"1979-09-16",19.2879
"1979-09-17",19.1578
"1979-09-18",20.2626
"1979-09-19",21.3074
"1979-09-20",20.8732
"1979-09-21",22.6726
