,"(deg C) Mean Temperature (gridMET) at -123.1250E,44.3430N, 1979-01-01 to 2026-04-12"
"1979-01-01",-6.7158
"1979-01-02",-1.0204
"1979-01-03",-0.5661
"1979-01-04",-1.9306
"1979-01-05",-1.911
"1979-01-06",-2.4612
"1979-01-07",-2.0259
"1979-01-08",0.5342
"1979-01-09",2.3347
"1979-01-10",5.4793
"1979-01-11",3.8197
"1979-01-12",2.4046
"1979-01-13",0.6747
"1979-01-14",1.3895
"1979-01-15",1.6545
"1979-01-16",0.6444
"1979-01-17",0.0494
"1979-01-18",-0.3455
"1979-01-19",0.8892
"1979-01-20",6.0443
"1979-01-21",2.2395
"1979-01-22",-0.4754
"1979-01-23",0.0393
"1979-01-24",0.1394
"1979-01-25",-0.7357
"1979-01-26",-1.3655
"1979-01-27",-0.9911
"1979-01-28",-2.1706
"1979-01-29",-3.9208
"1979-01-30",-2.8308
"1979-01-31",-0.9675
"1979-02-01",-0.7524
"1979-02-02",-0.8676
"1979-02-03",2.5473
"1979-02-04",7.1523
"1979-02-05",7.8327
"1979-02-06",7.7176
"1979-02-07",7.9774
"1979-02-08",10.1472
"1979-02-09",7.0024
"1979-02-10",7.1926
"1979-02-11",7.7673
"1979-02-12",8.8328
"1979-02-13",6.2625
"1979-02-14",4.3381
"1979-02-15",4.8777
"1979-02-16",4.713
"1979-02-17",6.3475
"1979-02-18",6.1631
"1979-02-19",5.1325
"1979-02-20",4.8524
"1979-02-21",4.7322
"1979-02-22",5.0426
"1979-02-23",4.6225
"1979-02-24",5.9124
"1979-02-25",8.5624
"1979-02-26",5.6425
"1979-02-27",5.5274
"1979-02-28",4.3213
"1979-03-01",4.7912
"1979-03-02",5.5761
"1979-03-03",8.936
"1979-03-04",10.6367
"1979-03-05",12.346
"1979-03-06",15.1362
"1979-03-07",11.4857
"1979-03-08",8.0016
"1979-03-09",10.961
"1979-03-10",12.1815
"1979-03-11",10.2362
"1979-03-12",10.631
"1979-03-13",12.7459
"1979-03-14",11.7011
"1979-03-15",9.2213
"1979-03-16",7.2312
"1979-03-17",7.8059
"1979-03-18",7.8462
"1979-03-19",9.871
"1979-03-20",10.9313
"1979-03-21",9.8414
"1979-03-22",9.9865
"1979-03-23",12.251
"1979-03-24",10.3559
"1979-03-25",7.8212
"1979-03-26",7.4963
"1979-03-27",9.9159
"1979-03-28",8.2064
"1979-03-29",5.5064
"1979-03-30",5.3662
"1979-03-31",5.4179
"1979-04-01",6.5026
"1979-04-02",8.2879
"1979-04-03",8.3179
"1979-04-04",12.2327
"1979-04-05",13.0525
"1979-04-06",10.7474
"1979-04-07",10.5175
"1979-04-08",8.878
"1979-04-09",7.2174
"1979-04-10",7.8426
"1979-04-11",8.3774
"1979-04-12",9.7425
"1979-04-13",9.1575
"1979-04-14",7.953
"1979-04-15",10.1981
"1979-04-16",9.5776
"1979-04-17",7.3426
"1979-04-18",7.3825
"1979-04-19",8.2477
"1979-04-20",11.6128
"1979-04-21",12.6178
"1979-04-22",11.5577
"1979-04-23",11.5578
"1979-04-24",12.1533
"1979-04-25",13.9625
"1979-04-26",16.1676
"1979-04-27",15.7432
"1979-04-28",15.6724
"1979-04-29",15.2072
"1979-04-30",14.9953
"1979-05-01",11.3807
"1979-05-02",13.0049
"1979-05-03",14.865
"1979-05-04",12.1656
"1979-05-05",10.8356
"1979-05-06",9.9302
"1979-05-07",9.6506
"1979-05-08",9.7852
"1979-05-09",11.5202
"1979-05-10",11.4052
"1979-05-11",13.42
"1979-05-12",14.3504
"1979-05-13",15.7357
"1979-05-14",16.0252
"1979-05-15",14.1551
"1979-05-16",13.5804
"1979-05-17",14.3348
"1979-05-18",14.655
"1979-05-19",14.955
"1979-05-20",17.3353
"1979-05-21",19.34
"1979-05-22",15.7254
"1979-05-23",16.6101
"1979-05-24",16.0453
"1979-05-25",19.6553
"1979-05-26",14.6851
"1979-05-27",10.6505
"1979-05-28",9.2104
"1979-05-29",11.8703
"1979-05-30",13.9951
"1979-05-31",18.3312
"1979-06-01",20.9314
"1979-06-02",22.6611
"1979-06-03",21.2409
"1979-06-04",16.766
"1979-06-05",15.9311
"1979-06-06",12.9116
"1979-06-07",14.1961
"1979-06-08",16.4957
"1979-06-09",17.7213
"1979-06-10",18.8613
"1979-06-11",17.1714
"1979-06-12",14.6961
"1979-06-13",13.2662
"1979-06-14",13.2114
"1979-06-15",13.231
"1979-06-16",11.4761
"1979-06-17",12.7717
"1979-06-18",15.8762
"1979-06-19",13.4461
"1979-06-20",16.2364
"1979-06-21",14.4311
"1979-06-22",15.3209
"1979-06-23",16.7111
"1979-06-24",19.6759
"1979-06-25",20.0109
"1979-06-26",18.3861
"1979-06-27",19.6313
"1979-06-28",17.6211
"1979-06-29",15.2912
"1979-06-30",14.4343
"1979-07-01",15.264
"1979-07-02",14.3738
"1979-07-03",15.704
"1979-07-04",16.8842
"1979-07-05",18.024
"1979-07-06",17.8592
"1979-07-07",17.0545
"1979-07-08",19.8345
"1979-07-09",20.149
"1979-07-10",17.8293
"1979-07-11",17.2494
"1979-07-12",17.3089
"1979-07-13",19.4594
"1979-07-14",20.2697
"1979-07-15",23.1141
"1979-07-16",26.744
"1979-07-17",24.5791
"1979-07-18",24.4989
"1979-07-19",23.2093
"1979-07-20",22.1189
"1979-07-21",19.0742
"1979-07-22",18.6845
"1979-07-23",19.6992
"1979-07-24",21.6138
"1979-07-25",20.4445
"1979-07-26",21.5592
"1979-07-27",18.9394
"1979-07-28",17.7391
"1979-07-29",19.5291
"1979-07-30",21.9642
"1979-07-31",20.5713
"1979-08-01",20.0112
"1979-08-02",17.536
"1979-08-03",16.5463
"1979-08-04",16.9965
"1979-08-05",17.5612
"1979-08-06",18.1165
"1979-08-07",18.0465
"1979-08-08",18.1464
"1979-08-09",18.9113
"1979-08-10",18.9008
"1979-08-11",19.1913
"1979-08-12",18.9764
"1979-08-13",17.0309
"1979-08-14",19.0959
"1979-08-15",19.4814
"1979-08-16",18.3017
"1979-08-17",19.2215
"1979-08-18",16.7514
"1979-08-19",17.2212
"1979-08-20",17.926
"1979-08-21",17.2716
"1979-08-22",18.3761
"1979-08-23",18.2712
"1979-08-24",19.0264
"1979-08-25",19.2665
"1979-08-26",19.3811
"1979-08-27",20.0214
"1979-08-28",18.4309
"1979-08-29",18.9765
"1979-08-30",17.2463
"1979-08-31",17.6984
"1979-09-01",16.7234
"1979-09-02",13.014
"1979-09-03",13.4736
"1979-09-04",15.9189
"1979-09-05",15.9683
"1979-09-06",18.1037
"1979-09-07",19.7886
"1979-09-08",16.4235
"1979-09-09",15.7385
"1979-09-10",16.3838
"1979-09-11",17.509
"1979-09-12",20.8589
"1979-09-13",21.9938
"1979-09-14",24.3887
"1979-09-15",19.7983
"1979-09-16",17.669
"1979-09-17",19.5435
"1979-09-18",19.0237
"1979-09-19",16.6188
"1979-09-20",17.7633
"1979-09-21",15.2688
"1979-09-22",16.2733
"1979-09-23",16.3182
"1979-09-24",19.5133
"1979-09-25",16.4992
"1979-09-26",15.6191
"1979-09-27",17.234
"1979-09-28",15.7036
"1979-09-29",16.0684
"1979-09-30",17.3604
"1979-10-01",17.5406
"1979-10-02",17.9651
"1979-10-03",20.6755
"1979-10-04",18.1951
"1979-10-05",19.0605
"1979-10-06",14.5604
"1979-10-07",15.145
"1979-10-08",16.1105
"1979-10-09",19.3002
"1979-10-10",17.1348
"1979-10-11",17.1752
"1979-10-12",14.1206
"1979-10-13",16.3651
"1979-10-14",14.2454
"1979-10-15",14.6708
"1979-10-16",13.5906
"1979-10-17",12.2254
"1979-10-18",9.2652
"1979-10-19",8.3105
"1979-10-20",9.5156
"1979-10-21",9.5855
"1979-10-22",9.7353
"1979-10-23",10.5853
"1979-10-24",11.5154
"1979-10-25",11.69
"1979-10-26",10.7105
"1979-10-27",11.1952
"1979-10-28",8.7102
"1979-10-29",9.0901
"1979-10-30",7.2305
"1979-10-31",7.5974
"1979-11-01",7.9027
"1979-11-02",9.1427
"1979-11-03",8.8233
"1979-11-04",7.5529
