,"(deg C) Minimum Temperature (gridMET) at -123.1250E,44.3430N, 1979-01-01 to 2026-04-12"
"1979-01-01",-11.7639
"1979-01-02",-5.7538
"1979-01-03",-3.7246
"1979-01-04",-3.3944
"1979-01-05",-5.5742
"1979-01-06",-7.5245
"1979-01-07",-6.3339
"1979-01-08",-2.1541
"1979-01-09",-1.7135
"1979-01-10",2.726
"1979-01-11",2.1362
"1979-01-12",-0.2134
"1979-01-13",-3.5534
"1979-01-14",-2.6638
"1979-01-15",-2.324
"1979-01-16",-2.5243
"1979-01-17",-5.4638
"1979-01-18",-4.7635
"1979-01-19",-2.4745
"1979-01-20",2.8959
"1979-01-21",-1.9138
"1979-01-22",-5.0839
"1979-01-23",-4.2744
"1979-01-24",-3.0437
"1979-01-25",-4.2343
"1979-01-26",-5.7842
"1979-01-27",-2.9745
"1979-01-28",-5.9735
"1979-01-29",-9.1144
"1979-01-30",-7.5646
"1979-01-31",-6.4869
"1979-02-01",-5.5378
"1979-02-02",-6.8073
"1979-02-03",-0.2074
"1979-02-04",3.8122
"1979-02-05",5.7031
"1979-02-06",5.3924
"1979-02-07",6.1024
"1979-02-08",6.3524
"1979-02-09",4.7528
"1979-02-10",4.8329
"1979-02-11",4.8123
"1979-02-12",6.9532
"1979-02-13",3.0124
"1979-02-14",1.3133
"1979-02-15",1.2733
"1979-02-16",1.8631
"1979-02-17",2.6326
"1979-02-18",3.4833
"1979-02-19",2.7527
"1979-02-20",0.4528
"1979-02-21",1.9323
"1979-02-22",1.4225
"1979-02-23",2.5124
"1979-02-24",2.3826
"1979-02-25",5.2128
"1979-02-26",2.6423
"1979-02-27",0.8825
"1979-02-28",1.7345
"1979-03-01",0.2441
"1979-03-02",-0.0557
"1979-03-03",4.9543
"1979-03-04",7.3646
"1979-03-05",8.7336
"1979-03-06",9.0443
"1979-03-07",6.1036
"1979-03-08",0.0645
"1979-03-09",2.1544
"1979-03-10",3.8244
"1979-03-11",3.2042
"1979-03-12",3.0537
