,"(deg C) Mean Temperature (gridMET) at -79.2103E,35.1464N, 2015-01-01 to 2025-01-01"
"2015-01-01",4.2964
"2015-01-02",8.7213
"2015-01-03",13.241
"2015-01-04",13.4112
"2015-01-05",5.1814
"2015-01-06",5.7811
"2015-01-07",-2.929
"2015-01-08",-6.8484
"2015-01-09",1.8412
"2015-01-10",-1.4339
"2015-01-11",0.8762
"2015-01-12",7.4559
"2015-01-13",2.4616
"2015-01-14",0.1063
"2015-01-15",1.8163
"2015-01-16",5.2606
"2015-01-17",5.5861
"2015-01-18",7.5859
"2015-01-19",8.3911
"2015-01-20",10.7861
"2015-01-21",7.6107
"2015-01-22",7.236
"2015-01-23",4.3761
"2015-01-24",3.9415
"2015-01-25",5.9008
"2015-01-26",5.8312
"2015-01-27",1.9267
"2015-01-28",1.2812
"2015-01-29",2.2466
"2015-01-30",2.4706
"2015-01-31",3.1496
"2015-02-01",9.0245
"2015-02-02",5.729
"2015-02-03",1.5639
"2015-02-04",5.0945
"2015-02-05",2.2396
"2015-02-06",-0.4901
"2015-02-07",6.8946
"2015-02-08",14.1098
"2015-02-09",11.7043
"2015-02-10",3.4695
"2015-02-11",5.324
"2015-02-12",5.3241
"2015-02-13",-1.6105
"2015-02-14",2.5144
"2015-02-15",-3.7302
"2015-02-16",-2.6207
"2015-02-17",-1.7955
"2015-02-18",-1.9205
"2015-02-19",-8.1608
"2015-02-20",-6.8256
"2015-02-21",3.29
"2015-02-22",10.6791
"2015-02-23",1.9244
"2015-02-24",-3.0358
"2015-02-25",1.7344
"2015-02-26",-0.0153
"2015-02-27",3.6148
"2015-02-28",2.1162
"2015-03-01",2.0859
"2015-03-02",11.2564
"2015-03-03",4.3413
"2015-03-04",16.5359
"2015-03-05",10.3058
"2015-03-06",-0.1438
"2015-03-07",5.7808
"2015-03-08",12.7462
"2015-03-09",14.0064
"2015-03-10",18.4811
"2015-03-11",19.9263
"2015-03-12",13.4159
"2015-03-13",10.9713
"2015-03-14",14.191
"2015-03-15",14.1265
"2015-03-16",16.5115
"2015-03-17",18.391
"2015-03-18",11.8865
"2015-03-19",8.0713
"2015-03-20",9.9116
"2015-03-21",13.1363
"2015-03-22",14.5658
"2015-03-23",9.5409
"2015-03-24",13.2214
"2015-03-25",15.6865
"2015-03-26",19.7359
"2015-03-27",9.0867
"2015-03-28",2.8959
"2015-03-29",5.3411
"2015-03-30",10.8616
"2015-03-31",15.3877
"2015-04-01",12.233
"2015-04-02",15.7626
"2015-04-03",22.6225
"2015-04-04",10.9973
"2015-04-05",13.6924
"2015-04-06",18.8677
"2015-04-07",19.6076
"2015-04-08",23.123
"2015-04-09",23.7176
"2015-04-10",23.7328
"2015-04-11",17.3878
"2015-04-12",17.1774
"2015-04-13",19.7923
"2015-04-14",20.3724
"2015-04-15",12.8277
"2015-04-16",13.8926
"2015-04-17",20.0675
"2015-04-18",21.8026
"2015-04-19",19.9576
"2015-04-20",20.0876
"2015-04-21",15.2876
"2015-04-22",19.1374
"2015-04-23",13.9624
"2015-04-24",15.6475
"2015-04-25",12.9424
"2015-04-26",9.2823
"2015-04-27",13.193
"2015-04-28",14.053
"2015-04-29",14.768
"2015-04-30",16.8981
"2015-05-01",12.1284
