,"(mm) Precipitation (gridMET) at -76.9743E,34.7660N, 2015-01-01 to 2025-05-01"
2015/1/1,0
2015/1/2,0
2015/1/3,9.6446
2015/1/4,6.4954
2015/1/5,0
2015/1/6,0
2015/1/7,0
2015/1/8,0
2015/1/9,0
2015/1/10,0
2015/1/11,0
2015/1/12,18.246
2015/1/13,3.789
2015/1/14,0
2015/1/15,0.6102
2015/1/16,0
2015/1/17,0
2015/1/18,15.6282
2015/1/19,0
2015/1/20,0
2015/1/21,0
2015/1/22,0
2015/1/23,52.7403
2015/1/24,9.9202
2015/1/25,0
2015/1/26,0.3641
2015/1/27,0
2015/1/28,0
2015/1/29,0
2015/1/30,0
2015/1/31,0
2015/2/1,11.0716
2015/2/2,9.2313
2015/2/3,0
2015/2/4,18.1279
2015/2/5,0
2015/2/6,0
2015/2/7,0
2015/2/8,0
2015/2/9,0
2015/2/10,5.6785
2015/2/11,0
2015/2/12,0
2015/2/13,0
2015/2/14,0
2015/2/15,0
2015/2/16,29.3669
2015/2/17,0
2015/2/18,0.6397
2015/2/19,0
2015/2/20,0
2015/2/21,6.9677
2015/2/22,12.3805
2015/2/23,4.6944
2015/2/24,13.965
2015/2/25,31.0301
2015/2/26,0
2015/2/27,0
2015/2/28,0
2015/3/1,5.9344
2015/3/2,0
2015/3/3,4.0055
2015/3/4,0
2015/3/5,6.7709
2015/3/6,0
2015/3/7,0
2015/3/8,0
2015/3/9,0
2015/3/10,0
2015/3/11,0.6987
2015/3/12,0
2015/3/13,0
2015/3/14,24.702
2015/3/15,0
2015/3/16,0
2015/3/17,0
2015/3/18,0
2015/3/19,16.9076
2015/3/20,5.9049
2015/3/21,0
2015/3/22,5.4226
2015/3/23,0.6003
2015/3/24,0
2015/3/25,0
2015/3/26,3.0902
2015/3/27,8.2176
2015/3/28,0
2015/3/29,0
2015/3/30,0.3838
2015/3/31,0
2015/4/1,0
2015/4/2,0
2015/4/3,0
2015/4/4,0.9054
2015/4/5,0
2015/4/6,0
2015/4/7,0
2015/4/8,0.5216
2015/4/9,8.8868
2015/4/10,0
2015/4/11,0.3543
2015/4/12,0
2015/4/13,0
2015/4/14,0.6003
2015/4/15,2.1159
2015/4/16,0
2015/4/17,0
2015/4/18,3.9563
2015/4/19,30.6856
2015/4/20,0
2015/4/21,0
2015/4/22,0
2015/4/23,0
2015/4/24,0
2015/4/25,1.5549
2015/4/26,0.8562
2015/4/27,0
2015/4/28,0
