1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: E800000037F1C021
Is Mission Active?  false
Mission Start:  Mon Apr 13 12:09:00 MST 2015
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  3623
Total Samples:  3623
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
4/13/15 12:09:00 PM,C,33
4/13/15 1:09:00 PM,C,25.5
4/13/15 2:09:00 PM,C,25.5
4/13/15 3:09:00 PM,C,26
4/13/15 4:09:00 PM,C,27
4/13/15 5:09:00 PM,C,28
4/13/15 6:09:00 PM,C,27.5
4/13/15 7:09:00 PM,C,27
4/13/15 8:09:00 PM,C,25.5
4/13/15 9:09:00 PM,C,24.5
4/13/15 10:09:00 PM,C,23.5
4/13/15 11:09:00 PM,C,22.5
4/14/15 12:09:00 AM,C,21.5
4/14/15 1:09:00 AM,C,21
4/14/15 2:09:00 AM,C,20
4/14/15 3:09:00 AM,C,19.5
4/14/15 4:09:00 AM,C,19
4/14/15 5:09:00 AM,C,19
4/14/15 6:09:00 AM,C,18.5
4/14/15 7:09:00 AM,C,18.5
4/14/15 8:09:00 AM,C,18.5
4/14/15 9:09:00 AM,C,20.5
4/14/15 10:09:00 AM,C,23
4/14/15 11:09:00 AM,C,24.5
4/14/15 12:09:00 PM,C,26.5
4/14/15 1:09:00 PM,C,27.5
4/14/15 2:09:00 PM,C,28.5
4/14/15 3:09:00 PM,C,31
4/14/15 4:09:00 PM,C,31.5
4/14/15 5:09:00 PM,C,30.5
4/14/15 6:09:00 PM,C,29
4/14/15 7:09:00 PM,C,27.5
4/14/15 8:09:00 PM,C,26
4/14/15 9:09:00 PM,C,26
4/14/15 10:09:00 PM,C,26
4/14/15 11:09:00 PM,C,25.5
4/15/15 12:09:00 AM,C,23.5
4/15/15 1:09:00 AM,C,22
4/15/15 2:09:00 AM,C,20.5
4/15/15 3:09:00 AM,C,19
4/15/15 4:09:00 AM,C,18
4/15/15 5:09:00 AM,C,17
4/15/15 6:09:00 AM,C,16.5
4/15/15 7:09:00 AM,C,16
4/15/15 8:09:00 AM,C,15.5
4/15/15 9:09:00 AM,C,15
4/15/15 10:09:00 AM,C,14.5
4/15/15 11:09:00 AM,C,14
4/15/15 12:09:00 PM,C,13.5
4/15/15 1:09:00 PM,C,15.5
4/15/15 2:09:00 PM,C,18
4/15/15 3:09:00 PM,C,19
4/15/15 4:09:00 PM,C,19.5
4/15/15 5:09:00 PM,C,19
4/15/15 6:09:00 PM,C,16.5
4/15/15 7:09:00 PM,C,15
4/15/15 8:09:00 PM,C,13.5
4/15/15 9:09:00 PM,C,12.5
4/15/15 10:09:00 PM,C,11.5
4/15/15 11:09:00 PM,C,11
4/16/15 12:09:00 AM,C,10.5
4/16/15 1:09:00 AM,C,10.5
4/16/15 2:09:00 AM,C,10
4/16/15 3:09:00 AM,C,10
4/16/15 4:09:00 AM,C,10
4/16/15 5:09:00 AM,C,9.5
4/16/15 6:09:00 AM,C,9.5
4/16/15 7:09:00 AM,C,9
4/16/15 8:09:00 AM,C,9
4/16/15 9:09:00 AM,C,9
4/16/15 10:09:00 AM,C,9
4/16/15 11:09:00 AM,C,9.5
4/16/15 12:09:00 PM,C,10.5
4/16/15 1:09:00 PM,C,11
4/16/15 2:09:00 PM,C,12.5
4/16/15 3:09:00 PM,C,13.5
4/16/15 4:09:00 PM,C,15
4/16/15 5:09:00 PM,C,15.5
4/16/15 6:09:00 PM,C,15.5
4/16/15 7:09:00 PM,C,15.5
4/16/15 8:09:00 PM,C,15
4/16/15 9:09:00 PM,C,15
4/16/15 10:09:00 PM,C,14.5
4/16/15 11:09:00 PM,C,14
4/17/15 12:09:00 AM,C,14
4/17/15 1:09:00 AM,C,14
4/17/15 2:09:00 AM,C,14
4/17/15 3:09:00 AM,C,14
4/17/15 4:09:00 AM,C,14
4/17/15 5:09:00 AM,C,13.5
4/17/15 6:09:00 AM,C,13.5
4/17/15 7:09:00 AM,C,14
4/17/15 8:09:00 AM,C,14
4/17/15 9:09:00 AM,C,14
4/17/15 10:09:00 AM,C,16.5
4/17/15 11:09:00 AM,C,18.5
4/17/15 12:09:00 PM,C,18
4/17/15 1:09:00 PM,C,19
4/17/15 2:09:00 PM,C,20.5
4/17/15 3:09:00 PM,C,21
4/17/15 4:09:00 PM,C,20.5
4/17/15 5:09:00 PM,C,19.5
4/17/15 6:09:00 PM,C,19
4/17/15 7:09:00 PM,C,18
4/17/15 8:09:00 PM,C,17
4/17/15 9:09:00 PM,C,16.5
4/17/15 10:09:00 PM,C,16.5
4/17/15 11:09:00 PM,C,16
4/18/15 12:09:00 AM,C,16
4/18/15 1:09:00 AM,C,16
4/18/15 2:09:00 AM,C,16
4/18/15 3:09:00 AM,C,16
4/18/15 4:09:00 AM,C,15.5
4/18/15 5:09:00 AM,C,15.5
4/18/15 6:09:00 AM,C,15.5
4/18/15 7:09:00 AM,C,15.5
4/18/15 8:09:00 AM,C,16
4/18/15 9:09:00 AM,C,17
4/18/15 10:09:00 AM,C,18.5
4/18/15 11:09:00 AM,C,20.5
4/18/15 12:09:00 PM,C,21.5
4/18/15 1:09:00 PM,C,21.5
4/18/15 2:09:00 PM,C,22
4/18/15 3:09:00 PM,C,22
4/18/15 4:09:00 PM,C,21.5
4/18/15 5:09:00 PM,C,21
4/18/15 6:09:00 PM,C,19.5
4/18/15 7:09:00 PM,C,19
4/18/15 8:09:00 PM,C,18
4/18/15 9:09:00 PM,C,17.5
4/18/15 10:09:00 PM,C,17
4/18/15 11:09:00 PM,C,17
4/19/15 12:09:00 AM,C,17
4/19/15 1:09:00 AM,C,17
4/19/15 2:09:00 AM,C,17
4/19/15 3:09:00 AM,C,16.5
4/19/15 4:09:00 AM,C,16.5
4/19/15 5:09:00 AM,C,16.5
4/19/15 6:09:00 AM,C,16.5
4/19/15 7:09:00 AM,C,16.5
4/19/15 8:09:00 AM,C,17
4/19/15 9:09:00 AM,C,17.5
4/19/15 10:09:00 AM,C,19
4/19/15 11:09:00 AM,C,20
4/19/15 12:09:00 PM,C,20
4/19/15 1:09:00 PM,C,19
4/19/15 2:09:00 PM,C,19
4/19/15 3:09:00 PM,C,19.5
4/19/15 4:09:00 PM,C,19.5
4/19/15 5:09:00 PM,C,19.5
4/19/15 6:09:00 PM,C,19
4/19/15 7:09:00 PM,C,18.5
4/19/15 8:09:00 PM,C,18.5
4/19/15 9:09:00 PM,C,18
4/19/15 10:09:00 PM,C,18
4/19/15 11:09:00 PM,C,17.5
4/20/15 12:09:00 AM,C,17.5
4/20/15 1:09:00 AM,C,17.5
4/20/15 2:09:00 AM,C,17
4/20/15 3:09:00 AM,C,16.5
4/20/15 4:09:00 AM,C,16
4/20/15 5:09:00 AM,C,16.5
4/20/15 6:09:00 AM,C,16.5
4/20/15 7:09:00 AM,C,16.5
4/20/15 8:09:00 AM,C,17
4/20/15 9:09:00 AM,C,18
4/20/15 10:09:00 AM,C,19.5
4/20/15 11:09:00 AM,C,21.5
4/20/15 12:09:00 PM,C,25
4/20/15 1:09:00 PM,C,23
4/20/15 2:09:00 PM,C,23.5
4/20/15 3:09:00 PM,C,22.5
4/20/15 4:09:00 PM,C,21.5
4/20/15 5:09:00 PM,C,20.5
4/20/15 6:09:00 PM,C,19.5
