"Plot Title: 10760190"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 10760190, SEN S/N: 10775625)","Water Content, m³/m³ (LGR S/N: 10760190, SEN S/N: 10775628)"
1,07/29/15 09:16:57 PM,-0.1021,-0.1130
2,07/29/15 09:46:57 PM,-0.1399,-0.1217
3,07/29/15 10:16:57 PM,-0.1399,-0.1217
4,07/29/15 10:46:57 PM,-0.1319,-0.1232
5,07/29/15 11:16:57 PM,-0.1384,-0.1050
6,07/29/15 11:46:57 PM,-0.1312,-0.1225
7,07/30/15 12:16:57 AM,-888.8800,-0.1123
8,07/30/15 12:46:57 AM,-888.8800,-0.1116
9,07/30/15 01:16:57 AM,-888.8800,-0.0811
10,07/30/15 01:46:57 AM,-888.8800,-0.0811
11,07/30/15 02:16:57 AM,-888.8800,-0.0811
12,07/30/15 02:46:57 AM,-888.8800,-0.0811
13,07/30/15 03:16:57 AM,-888.8800,-0.0811
14,07/30/15 03:46:57 AM,-888.8800,-0.0811
15,07/30/15 04:16:57 AM,-888.8800,-0.0811
16,07/30/15 04:46:57 AM,-888.8800,-0.0811
17,07/30/15 05:16:57 AM,-888.8800,-0.0811
18,07/30/15 05:46:57 AM,-888.8800,-0.0811
19,07/30/15 06:16:57 AM,-888.8800,-0.0811
20,07/30/15 06:46:57 AM,-888.8800,-0.0811
21,07/30/15 07:16:57 AM,-888.8800,-0.0811
22,07/30/15 07:46:57 AM,-888.8800,-0.0811
23,07/30/15 08:16:57 AM,-888.8800,-0.0811
24,07/30/15 08:46:57 AM,-888.8800,-0.0811
25,07/30/15 09:16:57 AM,-888.8800,-0.0811
26,07/30/15 09:46:57 AM,-888.8800,-0.0818
27,07/30/15 10:16:57 AM,-888.8800,-0.0818
28,07/30/15 10:46:57 AM,-888.8800,-0.0818
29,07/30/15 11:16:57 AM,-888.8800,-0.0818
30,07/30/15 11:46:57 AM,-888.8800,-0.0818
31,07/30/15 12:16:57 PM,-888.8800,-0.0818
32,07/30/15 12:46:57 PM,-888.8800,-0.0818
33,07/30/15 01:16:57 PM,-888.8800,-0.0818
34,07/30/15 01:46:57 PM,-888.8800,-0.0818
35,07/30/15 02:16:57 PM,-888.8800,-0.0818
36,07/30/15 02:46:57 PM,-888.8800,-0.0811
37,07/30/15 03:16:57 PM,-888.8800,-0.0811
38,07/30/15 03:46:57 PM,-888.8800,-0.0811
39,07/30/15 04:16:57 PM,-888.8800,-0.0803
40,07/30/15 04:46:57 PM,-888.8800,-0.0803
41,07/30/15 05:16:57 PM,-888.8800,-0.0796
42,07/30/15 05:46:57 PM,-888.8800,-0.0789
43,07/30/15 06:16:57 PM,-888.8800,-0.0789
44,07/30/15 06:46:57 PM,-888.8800,-0.0782
45,07/30/15 07:16:57 PM,-888.8800,-0.0782
46,07/30/15 07:46:57 PM,-888.8800,-0.0782
47,07/30/15 08:16:57 PM,-888.8800,-0.0774
48,07/30/15 08:46:57 PM,-888.8800,-0.0767
49,07/30/15 09:16:57 PM,-888.8800,-0.0752
50,07/30/15 09:46:57 PM,-888.8800,-0.0760
51,07/30/15 10:16:57 PM,-888.8800,-0.0760
52,07/30/15 10:46:57 PM,-888.8800,-0.0774
53,07/30/15 11:16:57 PM,-888.8800,-0.0774
54,07/30/15 11:46:57 PM,-888.8800,-0.0774
55,07/31/15 12:16:57 AM,-888.8800,-0.0782
56,07/31/15 12:46:57 AM,-888.8800,-0.0782
57,07/31/15 01:16:57 AM,-888.8800,-0.0782
58,07/31/15 01:46:57 AM,-888.8800,-0.0789
59,07/31/15 02:16:57 AM,-888.8800,-0.0789
60,07/31/15 02:46:57 AM,-888.8800,-0.0760
61,07/31/15 03:16:57 AM,-888.8800,-0.0760
62,07/31/15 03:46:57 AM,-888.8800,-0.0760
63,07/31/15 04:16:57 AM,-888.8800,-0.0767
64,07/31/15 04:46:57 AM,-888.8800,-0.0767
65,07/31/15 05:16:57 AM,-888.8800,-0.0767
66,07/31/15 05:46:57 AM,-888.8800,-0.0767
67,07/31/15 06:16:57 AM,-888.8800,-0.0774
68,07/31/15 06:46:57 AM,-888.8800,-0.0774
69,07/31/15 07:16:57 AM,-888.8800,-0.0774
70,07/31/15 07:46:57 AM,-888.8800,-0.0774
71,07/31/15 08:16:57 AM,-888.8800,-0.0782
72,07/31/15 08:46:57 AM,-888.8800,-0.0782
73,07/31/15 09:16:57 AM,-888.8800,-0.0782
74,07/31/15 09:46:57 AM,-888.8800,-0.0789
75,07/31/15 10:16:57 AM,-888.8800,-0.0789
76,07/31/15 10:46:57 AM,-888.8800,-0.0789
77,07/31/15 11:16:57 AM,-888.8800,-0.0789
78,07/31/15 11:46:57 AM,-888.8800,-0.0789
79,07/31/15 12:16:57 PM,-888.8800,-0.0789
80,07/31/15 12:46:57 PM,-888.8800,-0.0789
81,07/31/15 01:16:57 PM,-888.8800,-0.0789
82,07/31/15 01:46:57 PM,-888.8800,-0.0789
83,07/31/15 02:16:57 PM,-888.8800,-0.0782
84,07/31/15 02:46:57 PM,-888.8800,-0.0789
85,07/31/15 03:16:57 PM,-888.8800,-0.0782
86,07/31/15 03:46:57 PM,-888.8800,-0.0782
87,07/31/15 04:16:57 PM,-888.8800,-0.0782
88,07/31/15 04:46:57 PM,-888.8800,-0.0782
89,07/31/15 05:16:57 PM,-888.8800,-0.0782
90,07/31/15 05:46:57 PM,-888.8800,-0.0782
91,07/31/15 06:16:57 PM,-888.8800,-0.0774
92,07/31/15 06:46:57 PM,-888.8800,-0.0774
93,07/31/15 07:16:57 PM,-888.8800,-0.0774
94,07/31/15 07:46:57 PM,-888.8800,-0.0774
95,07/31/15 08:16:57 PM,-888.8800,-0.0774
96,07/31/15 08:46:57 PM,-888.8800,-0.0774
97,07/31/15 09:16:57 PM,-888.8800,-0.0774
98,07/31/15 09:46:57 PM,-888.8800,-0.0767
99,07/31/15 10:16:57 PM,-888.8800,-0.0767
100,07/31/15 10:46:57 PM,-888.8800,-0.0767
101,07/31/15 11:16:57 PM,-888.8800,-0.0767
102,07/31/15 11:46:57 PM,-888.8800,-0.0767
103,08/01/15 12:16:57 AM,-888.8800,-0.0774
104,08/01/15 12:46:57 AM,-888.8800,-0.0767
105,08/01/15 01:16:57 AM,-888.8800,-0.0774
106,08/01/15 01:46:57 AM,-888.8800,-0.0774
107,08/01/15 02:16:57 AM,-888.8800,-0.0774
108,08/01/15 02:46:57 AM,-888.8800,-0.0774
109,08/01/15 03:16:57 AM,-888.8800,-0.0774
110,08/01/15 03:46:57 AM,-888.8800,-0.0782
111,08/01/15 04:16:57 AM,-888.8800,-0.0774
112,08/01/15 04:46:57 AM,-888.8800,-0.0782
113,08/01/15 05:16:57 AM,-888.8800,-0.0782
114,08/01/15 05:46:57 AM,-888.8800,-0.0782
115,08/01/15 06:16:57 AM,-888.8800,-0.0782
116,08/01/15 06:46:57 AM,-888.8800,-0.0789
117,08/01/15 07:16:57 AM,-888.8800,-0.0789
118,08/01/15 07:46:57 AM,-888.8800,-0.0789
119,08/01/15 08:16:57 AM,-888.8800,-0.0789
120,08/01/15 08:46:57 AM,-888.8800,-0.0789
121,08/01/15 09:16:57 AM,-888.8800,-0.0796
122,08/01/15 09:46:57 AM,-888.8800,-0.0796
123,08/01/15 10:16:57 AM,-888.8800,-0.0796
124,08/01/15 10:46:57 AM,-888.8800,-0.0796
125,08/01/15 11:16:57 AM,-888.8800,-0.0796
126,08/01/15 11:46:57 AM,-888.8800,-0.0803
127,08/01/15 12:16:57 PM,-888.8800,-0.0796
128,08/01/15 12:46:57 PM,-888.8800,-0.0803
129,08/01/15 01:16:57 PM,-888.8800,-0.0796
130,08/01/15 01:46:57 PM,-888.8800,-0.0796
131,08/01/15 02:16:57 PM,-888.8800,-0.0796
132,08/01/15 02:46:57 PM,-888.8800,-0.0796
133,08/01/15 03:16:57 PM,-888.8800,-0.0796
134,08/01/15 03:46:57 PM,-888.8800,-0.0796
135,08/01/15 04:16:57 PM,-888.8800,-0.0796
136,08/01/15 04:46:57 PM,-888.8800,-0.0796
137,08/01/15 05:16:57 PM,-888.8800,-0.0796
138,08/01/15 05:46:57 PM,-888.8800,-0.0796
139,08/01/15 06:16:57 PM,-888.8800,-0.0789
140,08/01/15 06:46:57 PM,-888.8800,-0.0796
141,08/01/15 07:16:57 PM,-888.8800,-0.0789
142,08/01/15 07:46:57 PM,-888.8800,-0.0789
143,08/01/15 08:16:57 PM,-888.8800,-0.0789
144,08/01/15 08:46:57 PM,-888.8800,-0.0789
145,08/01/15 09:16:57 PM,-888.8800,-0.0789
146,08/01/15 09:46:57 PM,-888.8800,-0.0789
147,08/01/15 10:16:57 PM,-888.8800,-0.0789
148,08/01/15 10:46:57 PM,-888.8800,-0.0789
149,08/01/15 11:16:57 PM,-888.8800,-0.0789
150,08/01/15 11:46:57 PM,-888.8800,-0.0789
151,08/02/15 12:16:57 AM,-888.8800,-0.0789
152,08/02/15 12:46:57 AM,-888.8800,-0.0789
153,08/02/15 01:16:57 AM,-888.8800,-0.0789
154,08/02/15 01:46:57 AM,-888.8800,-0.0796
155,08/02/15 02:16:57 AM,-888.8800,-0.0796
156,08/02/15 02:46:57 AM,-888.8800,-0.0796
157,08/02/15 03:16:57 AM,-888.8800,-0.0796
158,08/02/15 03:46:57 AM,-888.8800,-0.0796
159,08/02/15 04:16:57 AM,-888.8800,-0.0796
160,08/02/15 04:46:57 AM,-888.8800,-0.0796
161,08/02/15 05:16:57 AM,-888.8800,-0.0796
162,08/02/15 05:46:57 AM,-888.8800,-0.0796
163,08/02/15 06:16:57 AM,-888.8800,-0.0796
164,08/02/15 06:46:57 AM,-888.8800,-0.0803
165,08/02/15 07:16:57 AM,-888.8800,-0.0803
166,08/02/15 07:46:57 AM,-888.8800,-0.0803
167,08/02/15 08:16:57 AM,-888.8800,-0.0803
168,08/02/15 08:46:57 AM,-888.8800,-0.0803
169,08/02/15 09:16:57 AM,-888.8800,-0.0803
170,08/02/15 09:46:57 AM,-888.8800,-0.0803
171,08/02/15 10:16:57 AM,-888.8800,-0.0811
172,08/02/15 10:46:57 AM,-888.8800,-0.0811
173,08/02/15 11:16:57 AM,-888.8800,-0.0803
174,08/02/15 11:46:57 AM,-888.8800,-0.0803
175,08/02/15 12:16:57 PM,-888.8800,-0.0803
176,08/02/15 12:46:57 PM,-888.8800,-0.0803
177,08/02/15 01:16:57 PM,-888.8800,-0.0803
178,08/02/15 01:46:57 PM,-888.8800,-0.0796
179,08/02/15 02:16:57 PM,-888.8800,-0.0796
180,08/02/15 02:46:57 PM,-888.8800,-0.0796
181,08/02/15 03:16:57 PM,-888.8800,-0.0796
182,08/02/15 03:46:57 PM,-888.8800,-0.0789
183,08/02/15 04:16:57 PM,-888.8800,-0.0789
184,08/02/15 04:46:57 PM,-888.8800,-0.0789
185,08/02/15 05:16:57 PM,-888.8800,-0.0789
186,08/02/15 05:46:57 PM,-888.8800,-0.0789
187,08/02/15 06:16:57 PM,-888.8800,-0.0789
188,08/02/15 06:46:57 PM,-888.8800,-0.0789
189,08/02/15 07:16:57 PM,-888.8800,-0.0789
190,08/02/15 07:46:57 PM,-888.8800,-0.0782
191,08/02/15 08:16:57 PM,-888.8800,-0.0782
192,08/02/15 08:46:57 PM,-888.8800,-0.0782
193,08/02/15 09:16:57 PM,-888.8800,-0.0782
194,08/02/15 09:46:57 PM,-888.8800,-0.0782
195,08/02/15 10:16:57 PM,-888.8800,-0.0782
