1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: A300000037EA2221
Is Mission Active?  true
Mission Start:  Thu May 12 11:31:00 EDT 2016
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  876
Total Samples:  6463
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/12/16 11:31:00 AM,C,33
5/12/16 3:46:00 PM,C,24.5
5/12/16 8:01:00 PM,C,21
5/13/16 12:16:00 AM,C,19.5
5/13/16 4:31:00 AM,C,19
5/13/16 8:46:00 AM,C,20
5/13/16 1:01:00 PM,C,23
5/13/16 5:16:00 PM,C,23
5/13/16 9:31:00 PM,C,19
5/14/16 1:46:00 AM,C,17
5/14/16 6:01:00 AM,C,15.5
5/14/16 10:16:00 AM,C,20.5
5/14/16 2:31:00 PM,C,24.5
5/14/16 6:46:00 PM,C,21.5
5/14/16 11:01:00 PM,C,18.5
5/15/16 3:16:00 AM,C,16.5
5/15/16 7:31:00 AM,C,15
5/15/16 11:46:00 AM,C,26.5
5/15/16 4:01:00 PM,C,21
5/15/16 8:16:00 PM,C,17
5/16/16 12:31:00 AM,C,14.5
5/16/16 4:46:00 AM,C,13.5
5/16/16 9:01:00 AM,C,16
5/16/16 1:16:00 PM,C,29.5
5/16/16 5:31:00 PM,C,21
5/16/16 9:46:00 PM,C,16.5
5/17/16 2:01:00 AM,C,16
5/17/16 6:16:00 AM,C,17
5/17/16 10:31:00 AM,C,20
5/17/16 2:46:00 PM,C,21
5/17/16 7:01:00 PM,C,19
5/17/16 11:16:00 PM,C,18
5/18/16 3:31:00 AM,C,18
5/18/16 7:46:00 AM,C,17.5
5/18/16 12:01:00 PM,C,18.5
5/18/16 4:16:00 PM,C,19
5/18/16 8:31:00 PM,C,18
5/19/16 12:46:00 AM,C,17.5
5/19/16 5:01:00 AM,C,17
5/19/16 9:16:00 AM,C,17.5
5/19/16 1:31:00 PM,C,18
5/19/16 5:46:00 PM,C,18
5/19/16 10:01:00 PM,C,16.5
5/20/16 2:16:00 AM,C,16.5
5/20/16 6:31:00 AM,C,16
5/20/16 10:46:00 AM,C,19
5/20/16 3:01:00 PM,C,19.5
5/20/16 7:16:00 PM,C,18
5/20/16 11:31:00 PM,C,17.5
5/21/16 3:46:00 AM,C,17.5
5/21/16 8:01:00 AM,C,18
5/21/16 12:16:00 PM,C,22
5/21/16 4:31:00 PM,C,22
5/21/16 8:46:00 PM,C,19.5
5/22/16 1:01:00 AM,C,18.5
5/22/16 5:16:00 AM,C,18
5/22/16 9:31:00 AM,C,19.5
5/22/16 1:46:00 PM,C,23
5/22/16 6:01:00 PM,C,20.5
5/22/16 10:16:00 PM,C,17.5
5/23/16 2:31:00 AM,C,15.5
5/23/16 6:46:00 AM,C,14.5
5/23/16 11:01:00 AM,C,19.5
5/23/16 3:16:00 PM,C,20.5
5/23/16 7:31:00 PM,C,18
5/23/16 11:46:00 PM,C,15.5
5/24/16 4:01:00 AM,C,14.5
5/24/16 8:16:00 AM,C,15.5
5/24/16 12:31:00 PM,C,28.5
5/24/16 4:46:00 PM,C,24
5/24/16 9:01:00 PM,C,18.5
5/25/16 1:16:00 AM,C,16.5
5/25/16 5:31:00 AM,C,16
5/25/16 9:46:00 AM,C,19.5
5/25/16 2:01:00 PM,C,27.5
5/25/16 6:16:00 PM,C,22.5
