1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0E00000037F03321
Is Mission Active?  false
Mission Start:  Fri Sep 11 07:33:00 MST 2015
Sample Rate:  Every 180 minute(s)
Number of Mission Samples:  1953
Total Samples:  5575
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/11/15 7:33:00 AM,C,31
9/11/15 10:33:00 AM,C,25
9/11/15 1:33:00 PM,C,24.5
9/11/15 4:33:00 PM,C,24
9/11/15 7:33:00 PM,C,22.5
9/11/15 10:33:00 PM,C,22
9/12/15 1:33:00 AM,C,21.5
9/12/15 4:33:00 AM,C,21.5
9/12/15 7:33:00 AM,C,22.5
9/12/15 10:33:00 AM,C,23.5
9/12/15 1:33:00 PM,C,24.5
9/12/15 4:33:00 PM,C,23.5
9/12/15 7:33:00 PM,C,22.5
9/12/15 10:33:00 PM,C,21.5
9/13/15 1:33:00 AM,C,21
9/13/15 4:33:00 AM,C,20
9/13/15 7:33:00 AM,C,20.5
9/13/15 10:33:00 AM,C,24.5
9/13/15 1:33:00 PM,C,23
9/13/15 4:33:00 PM,C,21.5
9/13/15 7:33:00 PM,C,19.5
9/13/15 10:33:00 PM,C,18.5
9/14/15 1:33:00 AM,C,17.5
9/14/15 4:33:00 AM,C,17
9/14/15 7:33:00 AM,C,18
9/14/15 10:33:00 AM,C,22.5
9/14/15 1:33:00 PM,C,22
9/14/15 4:33:00 PM,C,20.5
9/14/15 7:33:00 PM,C,18.5
9/14/15 10:33:00 PM,C,17.5
9/15/15 1:33:00 AM,C,17
9/15/15 4:33:00 AM,C,16.5
9/15/15 7:33:00 AM,C,17.5
9/15/15 10:33:00 AM,C,22
9/15/15 1:33:00 PM,C,22.5
9/15/15 4:33:00 PM,C,20.5
9/15/15 7:33:00 PM,C,19
9/15/15 10:33:00 PM,C,18
9/16/15 1:33:00 AM,C,17
9/16/15 4:33:00 AM,C,17
9/16/15 7:33:00 AM,C,18
9/16/15 10:33:00 AM,C,22.5
9/16/15 1:33:00 PM,C,22
9/16/15 4:33:00 PM,C,21
9/16/15 7:33:00 PM,C,19.5
9/16/15 10:33:00 PM,C,19
9/17/15 1:33:00 AM,C,18.5
9/17/15 4:33:00 AM,C,18
9/17/15 7:33:00 AM,C,19.5
9/17/15 10:33:00 AM,C,22.5
9/17/15 1:33:00 PM,C,23
9/17/15 4:33:00 PM,C,21.5
9/17/15 7:33:00 PM,C,20
9/17/15 10:33:00 PM,C,19
9/18/15 1:33:00 AM,C,18.5
9/18/15 4:33:00 AM,C,18
9/18/15 7:33:00 AM,C,19
9/18/15 10:33:00 AM,C,22.5
9/18/15 1:33:00 PM,C,23
9/18/15 4:33:00 PM,C,21.5
9/18/15 7:33:00 PM,C,20.5
9/18/15 10:33:00 PM,C,19.5
9/19/15 1:33:00 AM,C,19
9/19/15 4:33:00 AM,C,18.5
9/19/15 7:33:00 AM,C,19.5
9/19/15 10:33:00 AM,C,23
9/19/15 1:33:00 PM,C,24.5
9/19/15 4:33:00 PM,C,22.5
9/19/15 7:33:00 PM,C,20.5
9/19/15 10:33:00 PM,C,19.5
9/20/15 1:33:00 AM,C,19
9/20/15 4:33:00 AM,C,18.5
9/20/15 7:33:00 AM,C,20
9/20/15 10:33:00 AM,C,22.5
9/20/15 1:33:00 PM,C,23.5
9/20/15 4:33:00 PM,C,22.5
9/20/15 7:33:00 PM,C,21
9/20/15 10:33:00 PM,C,20.5
9/21/15 1:33:00 AM,C,20.5
