1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9300000037E25B21
Is Mission Active?  false
Mission Start:  Fri Sep 11 08:22:00 MST 2015
Sample Rate:  Every 180 minute(s)
Number of Mission Samples:  1953
Total Samples:  5576
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
9/11/15 8:22:00 AM,C,29
9/11/15 11:22:00 AM,C,25
9/11/15 2:22:00 PM,C,25
9/11/15 5:22:00 PM,C,24
9/11/15 8:22:00 PM,C,23
9/11/15 11:22:00 PM,C,22.5
9/12/15 2:22:00 AM,C,22.5
9/12/15 5:22:00 AM,C,22.5
9/12/15 8:22:00 AM,C,23.5
9/12/15 11:22:00 AM,C,24.5
9/12/15 2:22:00 PM,C,24.5
9/12/15 5:22:00 PM,C,23
9/12/15 8:22:00 PM,C,22.5
9/12/15 11:22:00 PM,C,22
9/13/15 2:22:00 AM,C,21.5
9/13/15 5:22:00 AM,C,20.5
9/13/15 8:22:00 AM,C,21
9/13/15 11:22:00 AM,C,25.5
9/13/15 2:22:00 PM,C,23.5
9/13/15 5:22:00 PM,C,21
9/13/15 8:22:00 PM,C,19.5
9/13/15 11:22:00 PM,C,18.5
9/14/15 2:22:00 AM,C,17.5
9/14/15 5:22:00 AM,C,17.5
9/14/15 8:22:00 AM,C,19.5
9/14/15 11:22:00 AM,C,24
9/14/15 2:22:00 PM,C,22.5
9/14/15 5:22:00 PM,C,20.5
9/14/15 8:22:00 PM,C,19
9/14/15 11:22:00 PM,C,18
9/15/15 2:22:00 AM,C,17.5
9/15/15 5:22:00 AM,C,16.5
9/15/15 8:22:00 AM,C,19
9/15/15 11:22:00 AM,C,24
9/15/15 2:22:00 PM,C,22.5
9/15/15 5:22:00 PM,C,21
9/15/15 8:22:00 PM,C,19
9/15/15 11:22:00 PM,C,18.5
9/16/15 2:22:00 AM,C,17.5
9/16/15 5:22:00 AM,C,17
9/16/15 8:22:00 AM,C,20
9/16/15 11:22:00 AM,C,23
9/16/15 2:22:00 PM,C,23
9/16/15 5:22:00 PM,C,21
9/16/15 8:22:00 PM,C,20
