1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9300000037E25B21
Is Mission Active?  false
Mission Start:  Thu May 12 13:10:00 EDT 2016
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  195
Total Samples:  5771
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
5/12/16 1:10:00 PM,C,38.5
5/12/16 5:25:00 PM,C,22
5/12/16 9:40:00 PM,C,19.5
5/13/16 1:55:00 AM,C,19
5/13/16 6:10:00 AM,C,18.5
5/13/16 10:25:00 AM,C,20.5
5/13/16 2:40:00 PM,C,23
5/13/16 6:55:00 PM,C,21
5/13/16 11:10:00 PM,C,18
5/14/16 3:25:00 AM,C,16.5
5/14/16 7:40:00 AM,C,16
5/14/16 11:55:00 AM,C,21.5
5/14/16 4:10:00 PM,C,22.5
5/14/16 8:25:00 PM,C,19.5
5/15/16 12:40:00 AM,C,18
5/15/16 4:55:00 AM,C,15.5
5/15/16 9:10:00 AM,C,16
5/15/16 1:25:00 PM,C,22
5/15/16 5:40:00 PM,C,18.5
5/15/16 9:55:00 PM,C,15.5
5/16/16 2:10:00 AM,C,14
5/16/16 6:25:00 AM,C,13
5/16/16 10:40:00 AM,C,18
5/16/16 2:55:00 PM,C,20.5
5/16/16 7:10:00 PM,C,18
5/16/16 11:25:00 PM,C,16
5/17/16 3:40:00 AM,C,16.5
5/17/16 7:55:00 AM,C,17
5/17/16 12:10:00 PM,C,19.5
5/17/16 4:25:00 PM,C,19.5
5/17/16 8:40:00 PM,C,18
5/18/16 12:55:00 AM,C,17.5
5/18/16 5:10:00 AM,C,17.5
5/18/16 9:25:00 AM,C,18
5/18/16 1:40:00 PM,C,18
5/18/16 5:55:00 PM,C,18.5
5/18/16 10:10:00 PM,C,17
5/19/16 2:25:00 AM,C,17
5/19/16 6:40:00 AM,C,17
5/19/16 10:55:00 AM,C,17.5
5/19/16 3:10:00 PM,C,17.5
5/19/16 7:25:00 PM,C,17
5/19/16 11:40:00 PM,C,16
5/20/16 3:55:00 AM,C,16
5/20/16 8:10:00 AM,C,16
5/20/16 12:25:00 PM,C,19.5
5/20/16 4:40:00 PM,C,17.5
5/20/16 8:55:00 PM,C,17
5/21/16 1:10:00 AM,C,17.5
5/21/16 5:25:00 AM,C,17.5
5/21/16 9:40:00 AM,C,18.5
5/21/16 1:55:00 PM,C,21
5/21/16 6:10:00 PM,C,20
5/21/16 10:25:00 PM,C,18
5/22/16 2:40:00 AM,C,17.5
5/22/16 6:55:00 AM,C,17.5
5/22/16 11:10:00 AM,C,19.5
5/22/16 3:25:00 PM,C,21
5/22/16 7:40:00 PM,C,18.5
5/22/16 11:55:00 PM,C,16
5/23/16 4:10:00 AM,C,15
5/23/16 8:25:00 AM,C,16
5/23/16 12:40:00 PM,C,18.5
5/23/16 4:55:00 PM,C,19
5/23/16 9:10:00 PM,C,16.5
5/24/16 1:25:00 AM,C,15
5/24/16 5:40:00 AM,C,15
5/24/16 9:55:00 AM,C,17.5
5/24/16 2:10:00 PM,C,22.5
5/24/16 6:25:00 PM,C,20
5/24/16 10:40:00 PM,C,17
5/25/16 2:55:00 AM,C,17
5/25/16 7:10:00 AM,C,16.5
5/25/16 11:25:00 AM,C,20.5
5/25/16 3:40:00 PM,C,22.5
5/25/16 7:55:00 PM,C,20
5/26/16 12:10:00 AM,C,18
5/26/16 4:25:00 AM,C,18
5/26/16 8:40:00 AM,C,18.5
5/26/16 12:55:00 PM,C,22
5/26/16 5:10:00 PM,C,22
5/26/16 9:25:00 PM,C,19.5
5/27/16 1:40:00 AM,C,18.5
5/27/16 5:55:00 AM,C,18.5
5/27/16 10:10:00 AM,C,20.5
5/27/16 2:25:00 PM,C,23
5/27/16 6:40:00 PM,C,21.5
5/27/16 10:55:00 PM,C,19
5/28/16 3:10:00 AM,C,17
5/28/16 7:25:00 AM,C,17
5/28/16 11:40:00 AM,C,21
5/28/16 3:55:00 PM,C,24
5/28/16 8:10:00 PM,C,21
5/29/16 12:25:00 AM,C,19.5
5/29/16 4:40:00 AM,C,19
5/29/16 8:55:00 AM,C,20
5/29/16 1:10:00 PM,C,22
5/29/16 5:25:00 PM,C,22
5/29/16 9:40:00 PM,C,20.5
5/30/16 1:55:00 AM,C,19.5
5/30/16 6:10:00 AM,C,19.5
5/30/16 10:25:00 AM,C,20.5
5/30/16 2:40:00 PM,C,24.5
5/30/16 6:55:00 PM,C,21.5
5/30/16 11:10:00 PM,C,20
5/31/16 3:25:00 AM,C,20
5/31/16 7:40:00 AM,C,20
5/31/16 11:55:00 AM,C,22.5
5/31/16 4:10:00 PM,C,23.5
5/31/16 8:25:00 PM,C,22
6/1/16 12:40:00 AM,C,20.5
6/1/16 4:55:00 AM,C,19.5
6/1/16 9:10:00 AM,C,21
6/1/16 1:25:00 PM,C,24.5
6/1/16 5:40:00 PM,C,23
6/1/16 9:55:00 PM,C,21
6/2/16 2:10:00 AM,C,20
6/2/16 6:25:00 AM,C,20
6/2/16 10:40:00 AM,C,22
6/2/16 2:55:00 PM,C,25.5
6/2/16 7:10:00 PM,C,22.5
6/2/16 11:25:00 PM,C,21
6/3/16 3:40:00 AM,C,20.5
6/3/16 7:55:00 AM,C,20.5
6/3/16 12:10:00 PM,C,24
6/3/16 4:25:00 PM,C,24
6/3/16 8:40:00 PM,C,22
6/4/16 12:55:00 AM,C,21
6/4/16 5:10:00 AM,C,20.5
6/4/16 9:25:00 AM,C,22
6/4/16 1:40:00 PM,C,27
6/4/16 5:55:00 PM,C,24.5
6/4/16 10:10:00 PM,C,22.5
6/5/16 2:25:00 AM,C,21.5
6/5/16 6:40:00 AM,C,21.5
6/5/16 10:55:00 AM,C,24
6/5/16 3:10:00 PM,C,25.5
6/5/16 7:25:00 PM,C,22
6/5/16 11:40:00 PM,C,21.5
6/6/16 3:55:00 AM,C,21.5
6/6/16 8:10:00 AM,C,21.5
6/6/16 12:25:00 PM,C,23
6/6/16 4:40:00 PM,C,22.5
6/6/16 8:55:00 PM,C,22
6/7/16 1:10:00 AM,C,21.5
6/7/16 5:25:00 AM,C,21
6/7/16 9:40:00 AM,C,22
6/7/16 1:55:00 PM,C,26.5
6/7/16 6:10:00 PM,C,23.5
6/7/16 10:25:00 PM,C,21
6/8/16 2:40:00 AM,C,19.5
6/8/16 6:55:00 AM,C,18.5
6/8/16 11:10:00 AM,C,21.5
6/8/16 3:25:00 PM,C,25
6/8/16 7:40:00 PM,C,21
6/8/16 11:55:00 PM,C,19
6/9/16 4:10:00 AM,C,18
6/9/16 8:25:00 AM,C,18.5
6/9/16 12:40:00 PM,C,21
6/9/16 4:55:00 PM,C,22.5
6/9/16 9:10:00 PM,C,20
6/10/16 1:25:00 AM,C,19
6/10/16 5:40:00 AM,C,18.5
6/10/16 9:55:00 AM,C,20
6/10/16 2:10:00 PM,C,24.5
6/10/16 6:25:00 PM,C,22
6/10/16 10:40:00 PM,C,20
6/11/16 2:55:00 AM,C,20
6/11/16 7:10:00 AM,C,20
6/11/16 11:25:00 AM,C,23
6/11/16 3:40:00 PM,C,25
6/11/16 7:55:00 PM,C,26
6/12/16 12:10:00 AM,C,23
6/12/16 4:25:00 AM,C,22
6/12/16 8:40:00 AM,C,23
6/12/16 12:55:00 PM,C,29.5
6/12/16 5:10:00 PM,C,27.5
6/12/16 9:25:00 PM,C,23.5
6/13/16 1:40:00 AM,C,22.5
6/13/16 5:55:00 AM,C,21
6/13/16 10:10:00 AM,C,23
6/13/16 2:25:00 PM,C,32
6/13/16 6:40:00 PM,C,23.5
6/13/16 10:55:00 PM,C,20
6/14/16 3:10:00 AM,C,20
6/14/16 7:25:00 AM,C,20.5
6/14/16 11:40:00 AM,C,27
6/14/16 3:55:00 PM,C,28.5
6/14/16 8:10:00 PM,C,25
6/15/16 12:25:00 AM,C,22.5
6/15/16 4:40:00 AM,C,21.5
6/15/16 8:55:00 AM,C,24
6/15/16 1:10:00 PM,C,30
6/15/16 5:25:00 PM,C,30
6/15/16 9:40:00 PM,C,25.5
