"Plot Title: 10760187"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 10760187, SEN S/N: 10769194)","Water Content, m³/m³ (LGR S/N: 10760187, SEN S/N: 10769196)"
1,05/10/16 03:29:11 PM,0.3308,0.2625
2,05/10/16 03:59:11 PM,0.3533,0.2574
3,05/10/16 04:29:11 PM,0.3540,0.2574
4,05/10/16 04:59:11 PM,0.3547,0.2574
5,05/10/16 05:29:11 PM,0.3547,0.2581
6,05/10/16 05:59:11 PM,0.3555,0.2581
7,05/10/16 06:29:11 PM,0.3562,0.2581
8,05/10/16 06:59:11 PM,0.3562,0.2581
9,05/10/16 07:29:11 PM,0.3562,0.2581
10,05/10/16 07:59:11 PM,0.3562,0.2581
11,05/10/16 08:29:11 PM,0.3569,0.2581
12,05/10/16 08:59:11 PM,0.3569,0.2581
13,05/10/16 09:29:11 PM,0.3569,0.2581
14,05/10/16 09:59:11 PM,0.3569,0.2581
15,05/10/16 10:29:11 PM,0.3576,0.2581
16,05/10/16 10:59:11 PM,0.3576,0.2581
17,05/10/16 11:29:11 PM,0.3569,0.2581
18,05/10/16 11:59:11 PM,0.3576,0.2581
19,05/11/16 12:29:11 AM,0.3576,0.2581
20,05/11/16 12:59:11 AM,0.3584,0.2581
21,05/11/16 01:29:11 AM,0.3584,0.2581
22,05/11/16 01:59:11 AM,0.3584,0.2581
23,05/11/16 02:29:11 AM,0.3584,0.2581
24,05/11/16 02:59:11 AM,0.3584,0.2581
25,05/11/16 03:29:11 AM,0.3591,0.2581
26,05/11/16 03:59:11 AM,0.3591,0.2581
27,05/11/16 04:29:11 AM,0.3591,0.2581
28,05/11/16 04:59:11 AM,0.3598,0.2581
29,05/11/16 05:29:11 AM,0.3591,0.2581
30,05/11/16 05:59:11 AM,0.3598,0.2581
31,05/11/16 06:29:11 AM,0.3598,0.2581
32,05/11/16 06:59:11 AM,0.3598,0.2581
33,05/11/16 07:29:11 AM,0.3598,0.2581
34,05/11/16 07:59:11 AM,0.3605,0.2581
35,05/11/16 08:29:11 AM,0.3605,0.2581
36,05/11/16 08:59:11 AM,0.3605,0.2581
37,05/11/16 09:29:11 AM,0.3605,0.2581
38,05/11/16 09:59:11 AM,0.3613,0.2581
39,05/11/16 10:29:11 AM,0.3605,0.2581
40,05/11/16 10:59:11 AM,0.3605,0.2581
41,05/11/16 11:29:11 AM,0.3598,0.2574
42,05/11/16 11:59:11 AM,0.3598,0.2581
43,05/11/16 12:29:11 PM,0.3598,0.2581
44,05/11/16 12:59:11 PM,0.3598,0.2581
45,05/11/16 01:29:11 PM,0.3591,0.2581
46,05/11/16 01:59:11 PM,0.3591,0.2581
47,05/11/16 02:29:11 PM,0.3591,0.2581
48,05/11/16 02:59:11 PM,0.3584,0.2581
49,05/11/16 03:29:11 PM,0.3576,0.2581
50,05/11/16 03:59:11 PM,0.3576,0.2581
51,05/11/16 04:29:11 PM,0.3569,0.2581
52,05/11/16 04:59:11 PM,0.3569,0.2581
53,05/11/16 05:29:11 PM,0.3576,0.2581
54,05/11/16 05:59:11 PM,0.3569,0.2581
55,05/11/16 06:29:11 PM,0.3569,0.2581
56,05/11/16 06:59:11 PM,0.3569,0.2581
57,05/11/16 07:29:11 PM,0.3569,0.2581
58,05/11/16 07:59:11 PM,0.3569,0.2581
59,05/11/16 08:29:11 PM,0.3569,0.2581
60,05/11/16 08:59:11 PM,0.3576,0.2581
61,05/11/16 09:29:11 PM,0.3576,0.2581
62,05/11/16 09:59:11 PM,0.3576,0.2581
63,05/11/16 10:29:11 PM,0.3584,0.2581
64,05/11/16 10:59:11 PM,0.3584,0.2581
65,05/11/16 11:29:11 PM,0.3584,0.2574
66,05/11/16 11:59:11 PM,0.3584,0.2581
67,05/12/16 12:29:11 AM,0.3591,0.2574
68,05/12/16 12:59:11 AM,0.3591,0.2574
69,05/12/16 01:29:11 AM,0.3591,0.2574
70,05/12/16 01:59:11 AM,0.3591,0.2574
71,05/12/16 02:29:11 AM,0.3591,0.2574
72,05/12/16 02:59:11 AM,0.3591,0.2574
73,05/12/16 03:29:11 AM,0.3591,0.2574
74,05/12/16 03:59:11 AM,0.3598,0.2574
75,05/12/16 04:29:11 AM,0.3598,0.2574
76,05/12/16 04:59:11 AM,0.3598,0.2574
77,05/12/16 05:29:11 AM,0.3598,0.2574
78,05/12/16 05:59:11 AM,0.3598,0.2574
79,05/12/16 06:29:11 AM,0.3598,0.2574
80,05/12/16 06:59:11 AM,0.3605,0.2574
81,05/12/16 07:29:11 AM,0.3605,0.2574
82,05/12/16 07:59:11 AM,0.3605,0.2574
83,05/12/16 08:29:11 AM,0.3605,0.2574
84,05/12/16 08:59:11 AM,0.3605,0.2567
85,05/12/16 09:29:11 AM,0.3605,0.2574
86,05/12/16 09:59:11 AM,0.3605,0.2574
87,05/12/16 10:29:11 AM,0.3605,0.2574
88,05/12/16 10:59:11 AM,0.3605,0.2574
89,05/12/16 11:29:11 AM,0.3605,0.2574
90,05/12/16 11:59:11 AM,0.3598,0.2574
91,05/12/16 12:29:11 PM,0.3598,0.2574
92,05/12/16 12:59:11 PM,0.3598,0.2574
93,05/12/16 01:29:11 PM,0.3598,0.2574
94,05/12/16 01:59:11 PM,0.3591,0.2574
95,05/12/16 02:29:11 PM,0.3584,0.2581
96,05/12/16 02:59:11 PM,0.3584,0.2581
97,05/12/16 03:29:11 PM,0.3576,0.2581
98,05/12/16 03:59:11 PM,0.3576,0.2581
99,05/12/16 04:29:11 PM,0.3584,0.2574
100,05/12/16 04:59:11 PM,0.3576,0.2574
