1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1B00000037ED3421
Is Mission Active?  false
Mission Start:  Mon Jan 01 00:01:00 MST 1900
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  8767
Total Samples:  8767
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
1/1/00 12:01:00 AM,C,28.5
1/1/00 1:01:00 AM,C,23.5
1/1/00 2:01:00 AM,C,23
1/1/00 3:01:00 AM,C,23.5
1/1/00 4:01:00 AM,C,27
1/1/00 5:01:00 AM,C,31
1/1/00 6:01:00 AM,C,33
1/1/00 7:01:00 AM,C,35.5
1/1/00 8:01:00 AM,C,39
1/1/00 9:01:00 AM,C,33.5
1/1/00 10:01:00 AM,C,32
1/1/00 11:01:00 AM,C,32.5
1/1/00 12:01:00 PM,C,32.5
1/1/00 1:01:00 PM,C,32
1/1/00 2:01:00 PM,C,31
1/1/00 3:01:00 PM,C,30.5
1/1/00 4:01:00 PM,C,29.5
1/1/00 5:01:00 PM,C,28.5
1/1/00 6:01:00 PM,C,27.5
1/1/00 7:01:00 PM,C,27
1/1/00 8:01:00 PM,C,26.5
1/1/00 9:01:00 PM,C,26
1/1/00 10:01:00 PM,C,25.5
1/1/00 11:01:00 PM,C,25
1/2/00 12:01:00 AM,C,24.5
1/2/00 1:01:00 AM,C,24.5
1/2/00 2:01:00 AM,C,24.5
1/2/00 3:01:00 AM,C,26.5
1/2/00 4:01:00 AM,C,28.5
1/2/00 5:01:00 AM,C,29.5
1/2/00 6:01:00 AM,C,31.5
1/2/00 7:01:00 AM,C,33.5
1/2/00 8:01:00 AM,C,34.5
1/2/00 9:01:00 AM,C,35
1/2/00 10:01:00 AM,C,34
1/2/00 11:01:00 AM,C,34
1/2/00 12:01:00 PM,C,34.5
1/2/00 1:01:00 PM,C,34.5
1/2/00 2:01:00 PM,C,34
1/2/00 3:01:00 PM,C,33
1/2/00 4:01:00 PM,C,32.5
1/2/00 5:01:00 PM,C,31.5
1/2/00 6:01:00 PM,C,30.5
1/2/00 7:01:00 PM,C,29.5
1/2/00 8:01:00 PM,C,29
1/2/00 9:01:00 PM,C,28
1/2/00 10:01:00 PM,C,27.5
1/2/00 11:01:00 PM,C,26.5
1/3/00 12:01:00 AM,C,26
1/3/00 1:01:00 AM,C,25.5
1/3/00 2:01:00 AM,C,25
1/3/00 3:01:00 AM,C,26
1/3/00 4:01:00 AM,C,27.5
1/3/00 5:01:00 AM,C,29
1/3/00 6:01:00 AM,C,30
1/3/00 7:01:00 AM,C,31
1/3/00 8:01:00 AM,C,31
1/3/00 9:01:00 AM,C,31
1/3/00 10:01:00 AM,C,29
1/3/00 11:01:00 AM,C,27
1/3/00 12:01:00 PM,C,26
1/3/00 1:01:00 PM,C,25.5
1/3/00 2:01:00 PM,C,24.5
1/3/00 3:01:00 PM,C,24
1/3/00 4:01:00 PM,C,23.5
1/3/00 5:01:00 PM,C,23
1/3/00 6:01:00 PM,C,22.5
1/3/00 7:01:00 PM,C,22
1/3/00 8:01:00 PM,C,22
1/3/00 9:01:00 PM,C,21.5
1/3/00 10:01:00 PM,C,21
1/3/00 11:01:00 PM,C,20.5
1/4/00 12:01:00 AM,C,20.5
1/4/00 1:01:00 AM,C,20
1/4/00 2:01:00 AM,C,20
1/4/00 3:01:00 AM,C,20.5
1/4/00 4:01:00 AM,C,21.5
1/4/00 5:01:00 AM,C,22.5
1/4/00 6:01:00 AM,C,23.5
1/4/00 7:01:00 AM,C,23.5
