1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: A300000037EA2221
Is Mission Active?  true
Mission Start:  Fri Oct 14 10:43:00 EDT 2016
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  826
Total Samples:  7289
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/14/16 10:43:00 AM,C,22
10/14/16 2:58:00 PM,C,19
10/14/16 7:13:00 PM,C,17.5
10/14/16 11:28:00 PM,C,16
10/15/16 3:43:00 AM,C,15
10/15/16 7:58:00 AM,C,15
10/15/16 12:13:00 PM,C,19.5
10/15/16 4:28:00 PM,C,19
10/15/16 8:43:00 PM,C,16.5
10/16/16 12:58:00 AM,C,15
10/16/16 5:13:00 AM,C,14.5
10/16/16 9:28:00 AM,C,15
10/16/16 1:43:00 PM,C,20
10/16/16 5:58:00 PM,C,19
10/16/16 10:13:00 PM,C,17
10/17/16 2:28:00 AM,C,16
10/17/16 6:43:00 AM,C,15
10/17/16 10:58:00 AM,C,18.5
10/17/16 3:13:00 PM,C,21.5
10/17/16 7:28:00 PM,C,18.5
10/17/16 11:43:00 PM,C,17
10/18/16 3:58:00 AM,C,16.5
10/18/16 8:13:00 AM,C,16.5
10/18/16 12:28:00 PM,C,22
10/18/16 4:43:00 PM,C,21
10/18/16 8:58:00 PM,C,18.5
10/19/16 1:13:00 AM,C,18
10/19/16 5:28:00 AM,C,17
10/19/16 9:43:00 AM,C,18
10/19/16 1:58:00 PM,C,22
10/19/16 6:13:00 PM,C,20.5
10/19/16 10:28:00 PM,C,18.5
10/20/16 2:43:00 AM,C,18
10/20/16 6:58:00 AM,C,17.5
10/20/16 11:13:00 AM,C,20.5
10/20/16 3:28:00 PM,C,22.5
10/20/16 7:43:00 PM,C,19.5
10/20/16 11:58:00 PM,C,18.5
10/21/16 4:13:00 AM,C,18
10/21/16 8:28:00 AM,C,18.5
10/21/16 12:43:00 PM,C,22
10/21/16 4:58:00 PM,C,20.5
10/21/16 9:13:00 PM,C,17.5
10/22/16 1:28:00 AM,C,16
10/22/16 5:43:00 AM,C,15
10/22/16 9:58:00 AM,C,15
10/22/16 2:13:00 PM,C,17.5
10/22/16 6:28:00 PM,C,15.5
10/22/16 10:43:00 PM,C,13
10/23/16 2:58:00 AM,C,12
10/23/16 7:13:00 AM,C,11.5
10/23/16 11:28:00 AM,C,15
10/23/16 3:43:00 PM,C,16.5
10/23/16 7:58:00 PM,C,14.5
10/24/16 12:13:00 AM,C,13.5
10/24/16 4:28:00 AM,C,13
10/24/16 8:43:00 AM,C,13
10/24/16 12:58:00 PM,C,17.5
10/24/16 5:13:00 PM,C,17.5
10/24/16 9:28:00 PM,C,15
10/25/16 1:43:00 AM,C,14
10/25/16 5:58:00 AM,C,12.5
10/25/16 10:13:00 AM,C,13.5
10/25/16 2:28:00 PM,C,16
10/25/16 6:43:00 PM,C,14.5
10/25/16 10:58:00 PM,C,12.5
10/26/16 3:13:00 AM,C,11
10/26/16 7:28:00 AM,C,10
10/26/16 11:43:00 AM,C,15
10/26/16 3:58:00 PM,C,15.5
10/26/16 8:13:00 PM,C,13
10/27/16 12:28:00 AM,C,12
10/27/16 4:43:00 AM,C,11.5
10/27/16 8:58:00 AM,C,12
10/27/16 1:13:00 PM,C,17.5
10/27/16 5:28:00 PM,C,17.5
10/27/16 9:43:00 PM,C,16
10/28/16 1:58:00 AM,C,15.5
10/28/16 6:13:00 AM,C,15
10/28/16 10:28:00 AM,C,17
10/28/16 2:43:00 PM,C,18.5
10/28/16 6:58:00 PM,C,16
10/28/16 11:13:00 PM,C,14.5
10/29/16 3:28:00 AM,C,13
10/29/16 7:43:00 AM,C,12.5
10/29/16 11:58:00 AM,C,17
10/29/16 4:13:00 PM,C,18
10/29/16 8:28:00 PM,C,15.5
10/30/16 12:43:00 AM,C,15
10/30/16 4:58:00 AM,C,15
10/30/16 9:13:00 AM,C,15
10/30/16 1:28:00 PM,C,19.5
10/30/16 5:43:00 PM,C,18.5
10/30/16 9:58:00 PM,C,16
10/31/16 2:13:00 AM,C,15.5
10/31/16 6:28:00 AM,C,14.5
10/31/16 10:43:00 AM,C,17
10/31/16 2:58:00 PM,C,18.5
10/31/16 7:13:00 PM,C,17
10/31/16 11:28:00 PM,C,16
11/1/16 3:43:00 AM,C,16
11/1/16 7:58:00 AM,C,15.5
11/1/16 12:13:00 PM,C,18
11/1/16 4:28:00 PM,C,18.5
11/1/16 8:43:00 PM,C,16
11/2/16 12:58:00 AM,C,14.5
11/2/16 5:13:00 AM,C,13.5
11/2/16 9:28:00 AM,C,14
11/2/16 1:43:00 PM,C,18.5
11/2/16 5:58:00 PM,C,17.5
11/2/16 10:13:00 PM,C,16
11/3/16 2:28:00 AM,C,15
11/3/16 6:43:00 AM,C,15
11/3/16 10:58:00 AM,C,18
11/3/16 3:13:00 PM,C,20
11/3/16 7:28:00 PM,C,17.5
11/3/16 11:43:00 PM,C,17
11/4/16 3:58:00 AM,C,17
11/4/16 8:13:00 AM,C,17
11/4/16 12:28:00 PM,C,17.5
11/4/16 4:43:00 PM,C,16.5
11/4/16 8:58:00 PM,C,14
11/5/16 1:13:00 AM,C,12.5
11/5/16 5:28:00 AM,C,11
11/5/16 9:43:00 AM,C,11.5
