1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 0E00000037F03321
Is Mission Active?  true
Mission Start:  Fri Oct 14 10:41:00 EDT 2016
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  826
Total Samples:  7277
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/14/16 10:41:00 AM,C,20
10/14/16 2:56:00 PM,C,19.5
10/14/16 7:11:00 PM,C,17.5
10/14/16 11:26:00 PM,C,17
10/15/16 3:41:00 AM,C,16
10/15/16 7:56:00 AM,C,16
10/15/16 12:11:00 PM,C,18.5
10/15/16 4:26:00 PM,C,19
10/15/16 8:41:00 PM,C,17
10/16/16 12:56:00 AM,C,16
10/16/16 5:11:00 AM,C,15.5
10/16/16 9:26:00 AM,C,15.5
10/16/16 1:41:00 PM,C,20
10/16/16 5:56:00 PM,C,19
10/16/16 10:11:00 PM,C,17
10/17/16 2:26:00 AM,C,16.5
10/17/16 6:41:00 AM,C,16
10/17/16 10:56:00 AM,C,18
10/17/16 3:11:00 PM,C,20
10/17/16 7:26:00 PM,C,18.5
10/17/16 11:41:00 PM,C,17.5
10/18/16 3:56:00 AM,C,17
10/18/16 8:11:00 AM,C,17
10/18/16 12:26:00 PM,C,20.5
10/18/16 4:41:00 PM,C,20.5
10/18/16 8:56:00 PM,C,18.5
10/19/16 1:11:00 AM,C,18
10/19/16 5:26:00 AM,C,17.5
10/19/16 9:41:00 AM,C,18
10/19/16 1:56:00 PM,C,22
10/19/16 6:11:00 PM,C,20
10/19/16 10:26:00 PM,C,19
10/20/16 2:41:00 AM,C,18.5
10/20/16 6:56:00 AM,C,18
10/20/16 11:11:00 AM,C,21
10/20/16 3:26:00 PM,C,21
10/20/16 7:41:00 PM,C,19.5
10/20/16 11:56:00 PM,C,18.5
10/21/16 4:11:00 AM,C,18.5
10/21/16 8:26:00 AM,C,18.5
10/21/16 12:41:00 PM,C,21.5
10/21/16 4:56:00 PM,C,20.5
10/21/16 9:11:00 PM,C,18
10/22/16 1:26:00 AM,C,17
10/22/16 5:41:00 AM,C,16
10/22/16 9:56:00 AM,C,16
10/22/16 2:11:00 PM,C,18
10/22/16 6:26:00 PM,C,16.5
10/22/16 10:41:00 PM,C,14.5
10/23/16 2:56:00 AM,C,13.5
10/23/16 7:11:00 AM,C,13
10/23/16 11:26:00 AM,C,16.5
10/23/16 3:41:00 PM,C,17
10/23/16 7:56:00 PM,C,15.5
10/24/16 12:11:00 AM,C,15
10/24/16 4:26:00 AM,C,14.5
10/24/16 8:41:00 AM,C,14.5
10/24/16 12:56:00 PM,C,19
10/24/16 5:11:00 PM,C,17.5
10/24/16 9:26:00 PM,C,16
10/25/16 1:41:00 AM,C,15
10/25/16 5:56:00 AM,C,14
10/25/16 10:11:00 AM,C,14.5
10/25/16 2:26:00 PM,C,16.5
10/25/16 6:41:00 PM,C,15.5
10/25/16 10:56:00 PM,C,14
10/26/16 3:11:00 AM,C,13
10/26/16 7:26:00 AM,C,12
10/26/16 11:41:00 AM,C,15
10/26/16 3:56:00 PM,C,15.5
10/26/16 8:11:00 PM,C,14
10/27/16 12:26:00 AM,C,13
10/27/16 4:41:00 AM,C,13
10/27/16 8:56:00 AM,C,13.5
10/27/16 1:11:00 PM,C,18
10/27/16 5:26:00 PM,C,17.5
10/27/16 9:41:00 PM,C,16
10/28/16 1:56:00 AM,C,16
10/28/16 6:11:00 AM,C,15.5
10/28/16 10:26:00 AM,C,16.5
10/28/16 2:41:00 PM,C,18
10/28/16 6:56:00 PM,C,16.5
10/28/16 11:11:00 PM,C,15
10/29/16 3:26:00 AM,C,14.5
10/29/16 7:41:00 AM,C,13.5
10/29/16 11:56:00 AM,C,17
10/29/16 4:11:00 PM,C,17.5
10/29/16 8:26:00 PM,C,16
10/30/16 12:41:00 AM,C,15.5
10/30/16 4:56:00 AM,C,15.5
10/30/16 9:11:00 AM,C,15.5
10/30/16 1:26:00 PM,C,18.5
10/30/16 5:41:00 PM,C,18
10/30/16 9:56:00 PM,C,16.5
10/31/16 2:11:00 AM,C,16
10/31/16 6:26:00 AM,C,15.5
10/31/16 10:41:00 AM,C,16.5
10/31/16 2:56:00 PM,C,18.5
10/31/16 7:11:00 PM,C,17
10/31/16 11:26:00 PM,C,16.5
11/1/16 3:41:00 AM,C,16.5
11/1/16 7:56:00 AM,C,16
11/1/16 12:11:00 PM,C,18
11/1/16 4:26:00 PM,C,18.5
11/1/16 8:41:00 PM,C,16.5
11/2/16 12:56:00 AM,C,15.5
11/2/16 5:11:00 AM,C,14.5
11/2/16 9:26:00 AM,C,15
11/2/16 1:41:00 PM,C,18
11/2/16 5:56:00 PM,C,17.5
11/2/16 10:11:00 PM,C,16.5
11/3/16 2:26:00 AM,C,15.5
11/3/16 6:41:00 AM,C,15.5
11/3/16 10:56:00 AM,C,17.5
11/3/16 3:11:00 PM,C,19
11/3/16 7:26:00 PM,C,17.5
11/3/16 11:41:00 PM,C,17
11/4/16 3:56:00 AM,C,17.5
11/4/16 8:11:00 AM,C,17
11/4/16 12:26:00 PM,C,18
11/4/16 4:41:00 PM,C,17
11/4/16 8:56:00 PM,C,15
11/5/16 1:11:00 AM,C,14
11/5/16 5:26:00 AM,C,13
11/5/16 9:41:00 AM,C,13
11/5/16 1:56:00 PM,C,15.5
11/5/16 6:11:00 PM,C,14.5
11/5/16 10:26:00 PM,C,13
11/6/16 1:41:00 AM,C,12
11/6/16 5:56:00 AM,C,11
11/6/16 10:11:00 AM,C,13.5
11/6/16 2:26:00 PM,C,15
11/6/16 6:41:00 PM,C,13.5
11/6/16 10:56:00 PM,C,12.5
11/7/16 3:11:00 AM,C,11.5
11/7/16 7:26:00 AM,C,11
11/7/16 11:41:00 AM,C,14
11/7/16 3:56:00 PM,C,14
11/7/16 8:11:00 PM,C,12
11/8/16 12:26:00 AM,C,11
11/8/16 4:41:00 AM,C,10.5
11/8/16 8:56:00 AM,C,10.5
11/8/16 1:11:00 PM,C,14
11/8/16 5:26:00 PM,C,13.5
11/8/16 9:41:00 PM,C,12.5
11/9/16 1:56:00 AM,C,12.5
11/9/16 6:11:00 AM,C,12.5
11/9/16 10:26:00 AM,C,14
11/9/16 2:41:00 PM,C,15
11/9/16 6:56:00 PM,C,13
11/9/16 11:11:00 PM,C,12.5
11/10/16 3:26:00 AM,C,12
11/10/16 7:41:00 AM,C,11
11/10/16 11:56:00 AM,C,13.5
11/10/16 4:11:00 PM,C,13
11/10/16 8:26:00 PM,C,11.5
11/11/16 12:41:00 AM,C,11
11/11/16 4:56:00 AM,C,11
11/11/16 9:11:00 AM,C,11
11/11/16 1:26:00 PM,C,14
11/11/16 5:41:00 PM,C,13
11/11/16 9:56:00 PM,C,12.5
11/12/16 2:11:00 AM,C,12
11/12/16 6:26:00 AM,C,11.5
11/12/16 10:41:00 AM,C,12.5
11/12/16 2:56:00 PM,C,12.5
11/12/16 7:11:00 PM,C,10.5
11/12/16 11:26:00 PM,C,9.5
11/13/16 3:41:00 AM,C,8.5
11/13/16 7:56:00 AM,C,8.5
11/13/16 12:11:00 PM,C,11.5
11/13/16 4:26:00 PM,C,12
11/13/16 8:41:00 PM,C,11
11/14/16 12:56:00 AM,C,11
11/14/16 5:11:00 AM,C,11
11/14/16 9:26:00 AM,C,12.5
11/14/16 1:41:00 PM,C,13.5
11/14/16 5:56:00 PM,C,13
11/14/16 10:11:00 PM,C,12
11/15/16 2:26:00 AM,C,12.5
11/15/16 6:41:00 AM,C,12
11/15/16 10:56:00 AM,C,13
11/15/16 3:11:00 PM,C,13.5
11/15/16 7:26:00 PM,C,11.5
11/15/16 11:41:00 PM,C,11
11/16/16 3:56:00 AM,C,10.5
11/16/16 8:11:00 AM,C,10
11/16/16 12:26:00 PM,C,13
11/16/16 4:41:00 PM,C,13
11/16/16 8:56:00 PM,C,11.5
11/17/16 1:11:00 AM,C,11
11/17/16 5:26:00 AM,C,10.5
11/17/16 9:41:00 AM,C,11.5
11/17/16 1:56:00 PM,C,13
11/17/16 6:11:00 PM,C,12
11/17/16 10:26:00 PM,C,11
11/18/16 2:41:00 AM,C,10.5
11/18/16 6:56:00 AM,C,10
11/18/16 11:11:00 AM,C,13
11/18/16 3:26:00 PM,C,14
11/18/16 7:41:00 PM,C,12
11/18/16 11:56:00 PM,C,11.5
11/19/16 4:11:00 AM,C,11.5
11/19/16 8:26:00 AM,C,11.5
11/19/16 12:41:00 PM,C,14.5
11/19/16 4:56:00 PM,C,14
11/19/16 9:11:00 PM,C,11.5
11/20/16 1:26:00 AM,C,10
11/20/16 5:41:00 AM,C,9
11/20/16 9:56:00 AM,C,10
11/20/16 2:11:00 PM,C,11
11/20/16 6:26:00 PM,C,10
11/20/16 10:41:00 PM,C,8.5
11/21/16 2:56:00 AM,C,8
11/21/16 7:11:00 AM,C,7.5
11/21/16 11:26:00 AM,C,10
11/21/16 3:41:00 PM,C,10.5
11/21/16 7:56:00 PM,C,8.5
11/22/16 12:11:00 AM,C,8
11/22/16 4:26:00 AM,C,7
11/22/16 8:41:00 AM,C,7
11/22/16 12:56:00 PM,C,10.5
11/22/16 5:11:00 PM,C,9.5
11/22/16 9:26:00 PM,C,8
11/23/16 1:41:00 AM,C,7
11/23/16 5:56:00 AM,C,7
11/23/16 10:11:00 AM,C,8.5
11/23/16 2:26:00 PM,C,11
11/23/16 6:41:00 PM,C,9.5
11/23/16 10:56:00 PM,C,9.5
11/24/16 3:11:00 AM,C,10.5
11/24/16 7:26:00 AM,C,11
11/24/16 11:41:00 AM,C,13
11/24/16 3:56:00 PM,C,13.5
11/24/16 8:11:00 PM,C,12
11/25/16 12:26:00 AM,C,12
11/25/16 4:41:00 AM,C,12
11/25/16 8:56:00 AM,C,12.5
11/25/16 1:11:00 PM,C,15
11/25/16 5:26:00 PM,C,14.5
11/25/16 9:41:00 PM,C,13.5
11/26/16 1:56:00 AM,C,12.5
11/26/16 6:11:00 AM,C,11.5
11/26/16 10:26:00 AM,C,12.5
11/26/16 2:41:00 PM,C,12.5
11/26/16 6:56:00 PM,C,10.5
11/26/16 11:11:00 PM,C,9
11/27/16 3:26:00 AM,C,8.5
11/27/16 7:41:00 AM,C,8
11/27/16 11:56:00 AM,C,11
11/27/16 4:11:00 PM,C,10.5
11/27/16 8:26:00 PM,C,8.5
11/28/16 12:41:00 AM,C,8.5
11/28/16 4:56:00 AM,C,8
11/28/16 9:11:00 AM,C,9
11/28/16 1:26:00 PM,C,12
11/28/16 5:41:00 PM,C,11
11/28/16 9:56:00 PM,C,11.5
11/29/16 2:11:00 AM,C,11.5
11/29/16 6:26:00 AM,C,12.5
11/29/16 10:41:00 AM,C,14
11/29/16 2:56:00 PM,C,15
11/29/16 7:11:00 PM,C,14.5
11/29/16 11:26:00 PM,C,14.5
11/30/16 3:41:00 AM,C,14.5
11/30/16 7:56:00 AM,C,15
11/30/16 12:11:00 PM,C,17
11/30/16 4:26:00 PM,C,16.5
11/30/16 8:41:00 PM,C,16
12/1/16 12:56:00 AM,C,16
12/1/16 5:11:00 AM,C,15
12/1/16 9:26:00 AM,C,14.5
12/1/16 1:41:00 PM,C,15
12/1/16 5:56:00 PM,C,13
12/1/16 10:11:00 PM,C,12
12/2/16 2:26:00 AM,C,11
12/2/16 6:41:00 AM,C,10
12/2/16 10:56:00 AM,C,11.5
12/2/16 3:11:00 PM,C,12
12/2/16 7:26:00 PM,C,10.5
12/2/16 11:41:00 PM,C,10
12/3/16 3:56:00 AM,C,9.5
12/3/16 8:11:00 AM,C,9
12/3/16 12:26:00 PM,C,11.5
12/3/16 4:41:00 PM,C,11.5
12/3/16 8:56:00 PM,C,10.5
12/4/16 1:11:00 AM,C,10.5
12/4/16 5:26:00 AM,C,10.5
12/4/16 9:41:00 AM,C,10.5
12/4/16 1:56:00 PM,C,11
12/4/16 6:11:00 PM,C,10.5
12/4/16 10:26:00 PM,C,10.5
12/5/16 2:41:00 AM,C,10
12/5/16 6:56:00 AM,C,10.5
12/5/16 11:11:00 AM,C,11.5
12/5/16 3:26:00 PM,C,12
