"Plot Title: 11005582"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 11005582, SEN S/N: 10775625)","Water Content, m³/m³ (LGR S/N: 11005582, SEN S/N: 10775628)"
1,05/30/17 01:37:53 PM,0.2836,0.2480
2,05/30/17 02:07:53 PM,0.2886,0.3271
3,05/30/17 02:37:53 PM,0.2879,0.3264
4,05/30/17 03:07:53 PM,0.2886,0.3250
5,05/30/17 03:37:53 PM,0.2879,0.3250
6,05/30/17 04:07:53 PM,0.2879,0.3242
7,05/30/17 04:37:53 PM,0.2879,0.3235
8,05/30/17 05:07:53 PM,0.2879,0.3228
9,05/30/17 05:37:53 PM,0.2879,0.3213
10,05/30/17 06:07:53 PM,0.2879,0.3213
11,05/30/17 06:37:53 PM,0.2879,0.3199
12,05/30/17 07:07:53 PM,0.2879,0.3191
13,05/30/17 07:37:53 PM,0.2879,0.3191
14,05/30/17 08:07:53 PM,0.2879,0.3184
15,05/30/17 08:37:53 PM,0.2879,0.3184
16,05/30/17 09:07:53 PM,0.2879,0.3177
17,05/30/17 09:37:53 PM,0.2879,0.3177
18,05/30/17 10:07:53 PM,0.2879,0.3177
19,05/30/17 10:37:53 PM,0.2872,0.3177
20,05/30/17 11:07:53 PM,0.2872,0.3170
21,05/30/17 11:37:53 PM,0.2872,0.3162
22,05/31/17 12:07:53 AM,0.2872,0.3162
23,05/31/17 12:37:53 AM,0.2872,0.3155
24,05/31/17 01:07:53 AM,0.2872,0.3155
25,05/31/17 01:37:53 AM,0.2872,0.3155
26,05/31/17 02:07:53 AM,0.2872,0.3148
27,05/31/17 02:37:53 AM,0.2872,0.3148
28,05/31/17 03:07:53 AM,0.2872,0.3148
29,05/31/17 03:37:53 AM,0.2872,0.3148
30,05/31/17 04:07:53 AM,0.2872,0.3148
31,05/31/17 04:37:53 AM,0.2872,0.3141
32,05/31/17 05:07:53 AM,0.2872,0.3141
33,05/31/17 05:37:53 AM,0.2872,0.3141
34,05/31/17 06:07:53 AM,0.2879,0.3141
35,05/31/17 06:37:53 AM,0.2879,0.3141
36,05/31/17 07:07:53 AM,0.2872,0.3141
37,05/31/17 07:37:53 AM,0.2872,0.3133
38,05/31/17 08:07:53 AM,0.2872,0.3133
39,05/31/17 08:37:53 AM,0.2879,0.3133
40,05/31/17 09:07:53 AM,0.2879,0.3126
41,05/31/17 09:37:53 AM,0.2872,0.3133
42,05/31/17 10:07:53 AM,0.2879,0.3126
43,05/31/17 10:37:53 AM,0.2872,0.3126
44,05/31/17 11:07:53 AM,0.2872,0.3126
45,05/31/17 11:37:53 AM,0.2872,0.3126
46,05/31/17 12:07:53 PM,0.2879,0.3119
47,05/31/17 12:37:53 PM,0.2872,0.3119
48,05/31/17 01:07:53 PM,0.2872,0.3112
49,05/31/17 01:37:53 PM,0.2879,0.3112
50,05/31/17 02:07:53 PM,0.2879,0.3104
51,05/31/17 02:37:53 PM,0.2879,0.3104
52,05/31/17 03:07:53 PM,0.2872,0.3097
53,05/31/17 03:37:53 PM,0.2879,0.3090
54,05/31/17 04:07:53 PM,0.2872,0.3090
55,05/31/17 04:37:53 PM,0.2872,0.3082
56,05/31/17 05:07:53 PM,0.2872,0.3075
57,05/31/17 05:37:53 PM,0.2872,0.3075
58,05/31/17 06:07:53 PM,0.2872,0.3068
59,05/31/17 06:37:53 PM,0.2872,0.3068
60,05/31/17 07:07:53 PM,0.2872,0.3068
61,05/31/17 07:37:53 PM,0.2872,0.3061
62,05/31/17 08:07:53 PM,0.2872,0.3068
63,05/31/17 08:37:53 PM,0.2872,0.3082
64,05/31/17 09:07:53 PM,0.2872,0.3075
65,05/31/17 09:37:53 PM,0.2872,0.3075
66,05/31/17 10:07:53 PM,0.2872,0.3075
67,05/31/17 10:37:53 PM,0.2872,0.3075
68,05/31/17 11:07:53 PM,0.2872,0.3075
69,05/31/17 11:37:53 PM,0.2879,0.3075
70,06/01/17 12:07:53 AM,0.2872,0.3075
71,06/01/17 12:37:53 AM,0.2872,0.3075
72,06/01/17 01:07:53 AM,0.2872,0.3075
73,06/01/17 01:37:53 AM,0.2872,0.3075
74,06/01/17 02:07:53 AM,0.2872,0.3075
75,06/01/17 02:37:53 AM,0.2872,0.3075
76,06/01/17 03:07:53 AM,0.2872,0.3068
77,06/01/17 03:37:53 AM,0.2872,0.3075
78,06/01/17 04:07:53 AM,0.2872,0.3075
79,06/01/17 04:37:53 AM,0.2872,0.3075
80,06/01/17 05:07:53 AM,0.2872,0.3068
81,06/01/17 05:37:53 AM,0.2872,0.3068
82,06/01/17 06:07:53 AM,0.2872,0.3068
83,06/01/17 06:37:53 AM,0.2872,0.3068
84,06/01/17 07:07:53 AM,0.2872,0.3068
85,06/01/17 07:37:53 AM,0.2872,0.3068
86,06/01/17 08:07:53 AM,0.2872,0.3068
87,06/01/17 08:37:53 AM,0.2879,0.3068
88,06/01/17 09:07:53 AM,0.2879,0.3068
89,06/01/17 09:37:53 AM,0.2879,0.3068
90,06/01/17 10:07:53 AM,0.2879,0.3068
91,06/01/17 10:37:53 AM,0.2879,0.3061
92,06/01/17 11:07:53 AM,0.2872,0.3061
93,06/01/17 11:37:53 AM,0.2872,0.3053
94,06/01/17 12:07:53 PM,0.2879,0.3046
95,06/01/17 12:37:53 PM,0.2879,0.3046
96,06/01/17 01:07:53 PM,0.2879,0.3039
97,06/01/17 01:37:53 PM,0.2879,0.3039
98,06/01/17 02:07:53 PM,0.2879,0.3039
99,06/01/17 02:37:53 PM,0.2879,0.3032
100,06/01/17 03:07:53 PM,0.2879,0.3032
101,06/01/17 03:37:53 PM,0.2879,0.3024
102,06/01/17 04:07:53 PM,0.2879,0.3017
103,06/01/17 04:37:53 PM,0.2879,0.3017
104,06/01/17 05:07:53 PM,0.2879,0.3017
105,06/01/17 05:37:53 PM,0.2872,0.3017
106,06/01/17 06:07:53 PM,0.2879,0.3010
107,06/01/17 06:37:53 PM,0.2879,0.3010
108,06/01/17 07:07:53 PM,0.2879,0.3010
109,06/01/17 07:37:53 PM,0.2879,0.3010
110,06/01/17 08:07:53 PM,0.2879,0.3010
111,06/01/17 08:37:53 PM,0.2879,0.3010
112,06/01/17 09:07:53 PM,0.2879,0.3003
113,06/01/17 09:37:53 PM,0.2879,0.3003
114,06/01/17 10:07:53 PM,0.2879,0.3003
115,06/01/17 10:37:53 PM,0.2879,0.3003
116,06/01/17 11:07:53 PM,0.2879,0.3003
117,06/01/17 11:37:53 PM,0.2872,0.2995
118,06/02/17 12:07:53 AM,0.2879,0.2995
119,06/02/17 12:37:53 AM,0.2879,0.2995
120,06/02/17 01:07:53 AM,0.2879,0.3003
121,06/02/17 01:37:53 AM,0.2879,0.2995
122,06/02/17 02:07:53 AM,0.2879,0.2995
123,06/02/17 02:37:53 AM,0.2879,0.2995
124,06/02/17 03:07:53 AM,0.2879,0.2995
125,06/02/17 03:37:53 AM,0.2879,0.2995
126,06/02/17 04:07:53 AM,0.2879,0.2995
127,06/02/17 04:37:53 AM,0.2879,0.2995
128,06/02/17 05:07:53 AM,0.2879,0.2995
129,06/02/17 05:37:53 AM,0.2886,0.2995
130,06/02/17 06:07:53 AM,0.2879,0.2995
131,06/02/17 06:37:53 AM,0.2879,0.2995
132,06/02/17 07:07:53 AM,0.2879,0.2988
133,06/02/17 07:37:53 AM,0.2879,0.2995
134,06/02/17 08:07:53 AM,0.2886,0.2988
135,06/02/17 08:37:53 AM,0.2886,0.2988
136,06/02/17 09:07:53 AM,0.2886,0.2995
137,06/02/17 09:37:53 AM,0.2879,0.2995
138,06/02/17 10:07:53 AM,0.2886,0.2988
139,06/02/17 10:37:53 AM,0.2886,0.2988
140,06/02/17 11:07:53 AM,0.2886,0.2988
141,06/02/17 11:37:53 AM,0.2886,0.2981
142,06/02/17 12:07:53 PM,0.2886,0.2981
143,06/02/17 12:37:53 PM,0.2886,0.2974
144,06/02/17 01:07:53 PM,0.2886,0.2974
145,06/02/17 01:37:53 PM,0.2886,0.2966
146,06/02/17 02:07:53 PM,0.2886,0.2966
147,06/02/17 02:37:53 PM,0.2886,0.2959
148,06/02/17 03:07:53 PM,0.2886,0.2944
149,06/02/17 03:37:53 PM,0.2886,0.2923
150,06/02/17 04:07:53 PM,0.2879,0.2915
151,06/02/17 04:37:53 PM,0.2879,0.2908
