1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 980000003807AE21
Is Mission Active?  false
Mission Start:  Tue Feb 21 12:36:00 EST 2017
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  554
Total Samples:  10940
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/21/17 12:36:00 PM,C,25.5
2/21/17 4:51:00 PM,C,13.5
2/21/17 9:06:00 PM,C,11
2/22/17 1:21:00 AM,C,10
2/22/17 5:36:00 AM,C,9
2/22/17 9:51:00 AM,C,10
2/22/17 2:06:00 PM,C,14.5
2/22/17 6:21:00 PM,C,13
2/22/17 10:36:00 PM,C,11.5
2/23/17 2:51:00 AM,C,10.5
2/23/17 7:06:00 AM,C,10.5
2/23/17 11:21:00 AM,C,13.5
2/23/17 3:36:00 PM,C,16
2/23/17 7:51:00 PM,C,13
2/24/17 12:06:00 AM,C,12
2/24/17 4:21:00 AM,C,12
2/24/17 8:36:00 AM,C,11.5
2/24/17 12:51:00 PM,C,15.5
2/24/17 5:06:00 PM,C,16.5
2/24/17 9:21:00 PM,C,13
2/25/17 1:36:00 AM,C,12
2/25/17 5:51:00 AM,C,11
2/25/17 10:06:00 AM,C,12
2/25/17 2:21:00 PM,C,17.5
2/25/17 6:36:00 PM,C,15
2/25/17 10:51:00 PM,C,13.5
2/26/17 3:06:00 AM,C,11.5
2/26/17 7:21:00 AM,C,10
2/26/17 11:36:00 AM,C,11
2/26/17 3:51:00 PM,C,12.5
2/26/17 8:06:00 PM,C,10
2/27/17 12:21:00 AM,C,8
2/27/17 4:36:00 AM,C,7
2/27/17 8:51:00 AM,C,7
2/27/17 1:06:00 PM,C,14.5
2/27/17 5:21:00 PM,C,13.5
2/27/17 9:36:00 PM,C,12
2/28/17 1:51:00 AM,C,11
2/28/17 6:06:00 AM,C,11.5
2/28/17 10:21:00 AM,C,13
2/28/17 2:36:00 PM,C,18
2/28/17 6:51:00 PM,C,15.5
2/28/17 11:06:00 PM,C,14
3/1/17 3:21:00 AM,C,14
3/1/17 7:36:00 AM,C,14.5
3/1/17 11:51:00 AM,C,17
3/1/17 4:06:00 PM,C,18
3/1/17 8:21:00 PM,C,16
3/2/17 12:36:00 AM,C,15
3/2/17 4:51:00 AM,C,15
3/2/17 9:06:00 AM,C,14
3/2/17 1:21:00 PM,C,14
3/2/17 5:36:00 PM,C,14
3/2/17 9:51:00 PM,C,11
3/3/17 2:06:00 AM,C,9
3/3/17 6:21:00 AM,C,8
3/3/17 10:36:00 AM,C,10
3/3/17 2:51:00 PM,C,15
3/3/17 7:06:00 PM,C,11
3/3/17 11:21:00 PM,C,9
3/4/17 3:36:00 AM,C,8
3/4/17 7:51:00 AM,C,7
3/4/17 12:06:00 PM,C,9.5
3/4/17 4:21:00 PM,C,11.5
3/4/17 8:36:00 PM,C,8
3/5/17 12:51:00 AM,C,6.5
3/5/17 5:06:00 AM,C,6
3/5/17 9:21:00 AM,C,7
3/5/17 1:36:00 PM,C,10.5
3/5/17 5:51:00 PM,C,10
3/5/17 10:06:00 PM,C,7
3/6/17 2:21:00 AM,C,6
3/6/17 6:36:00 AM,C,5.5
3/6/17 10:51:00 AM,C,8.5
3/6/17 3:06:00 PM,C,13
3/6/17 7:21:00 PM,C,10.5
3/6/17 11:36:00 PM,C,8.5
3/7/17 3:51:00 AM,C,8
3/7/17 8:06:00 AM,C,8
3/7/17 12:21:00 PM,C,12.5
3/7/17 4:36:00 PM,C,14.5
