1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 6C00000037DFD721
Is Mission Active?  false
Mission Start:  Thu Jun 01 11:57:00 EDT 2017
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  1091
Total Samples:  12794
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
6/1/17 11:57:00 AM,C,36
6/1/17 4:12:00 PM,C,28
6/1/17 8:27:00 PM,C,24
6/2/17 12:42:00 AM,C,23
6/2/17 4:57:00 AM,C,22.5
6/2/17 9:12:00 AM,C,23
6/2/17 1:27:00 PM,C,28
6/2/17 5:42:00 PM,C,28.5
6/2/17 9:57:00 PM,C,24.5
6/3/17 2:12:00 AM,C,22.5
6/3/17 6:27:00 AM,C,21.5
6/3/17 10:42:00 AM,C,23.5
6/3/17 2:57:00 PM,C,32.5
6/3/17 7:12:00 PM,C,26.5
6/3/17 11:27:00 PM,C,24
6/4/17 3:42:00 AM,C,23
6/4/17 7:57:00 AM,C,23
6/4/17 12:12:00 PM,C,29.5
6/4/17 4:27:00 PM,C,31.5
6/4/17 8:42:00 PM,C,26
6/5/17 12:57:00 AM,C,24.5
6/5/17 5:12:00 AM,C,24
6/5/17 9:27:00 AM,C,25
6/5/17 1:42:00 PM,C,26
6/5/17 5:57:00 PM,C,27
6/5/17 10:12:00 PM,C,25
6/6/17 2:27:00 AM,C,24
6/6/17 6:42:00 AM,C,23.5
6/6/17 10:57:00 AM,C,25
6/6/17 3:12:00 PM,C,29
6/6/17 7:27:00 PM,C,26
6/6/17 11:42:00 PM,C,24.5
6/7/17 3:57:00 AM,C,23.5
6/7/17 8:12:00 AM,C,22.5
6/7/17 12:27:00 PM,C,23
6/7/17 4:42:00 PM,C,22.5
6/7/17 8:57:00 PM,C,21.5
6/8/17 1:12:00 AM,C,20.5
6/8/17 5:27:00 AM,C,20
6/8/17 9:42:00 AM,C,19.5
6/8/17 1:57:00 PM,C,21
6/8/17 6:12:00 PM,C,21.5
6/8/17 10:27:00 PM,C,20.5
6/9/17 2:42:00 AM,C,19
6/9/17 6:57:00 AM,C,18
6/9/17 11:12:00 AM,C,21.5
6/9/17 3:27:00 PM,C,28.5
6/9/17 7:42:00 PM,C,24
6/9/17 11:57:00 PM,C,21.5
6/10/17 4:12:00 AM,C,20.5
6/10/17 8:27:00 AM,C,21.5
6/10/17 12:42:00 PM,C,27.5
6/10/17 4:57:00 PM,C,29
6/10/17 9:12:00 PM,C,24
6/11/17 1:27:00 AM,C,22.5
6/11/17 5:42:00 AM,C,21
6/11/17 9:57:00 AM,C,23
6/11/17 2:12:00 PM,C,31
6/11/17 6:27:00 PM,C,27
6/11/17 10:42:00 PM,C,23.5
6/12/17 2:57:00 AM,C,22
6/12/17 7:12:00 AM,C,21.5
6/12/17 11:27:00 AM,C,25.5
6/12/17 3:42:00 PM,C,29
6/12/17 7:57:00 PM,C,25.5
6/13/17 12:12:00 AM,C,22.5
6/13/17 4:27:00 AM,C,21.5
6/13/17 8:42:00 AM,C,22.5
6/13/17 12:57:00 PM,C,28
6/13/17 5:12:00 PM,C,28.5
6/13/17 9:27:00 PM,C,24.5
6/14/17 1:42:00 AM,C,23.5
6/14/17 5:57:00 AM,C,22.5
6/14/17 10:12:00 AM,C,24.5
6/14/17 2:27:00 PM,C,32
6/14/17 6:42:00 PM,C,27.5
6/14/17 10:57:00 PM,C,24.5
6/15/17 3:12:00 AM,C,24
6/15/17 7:27:00 AM,C,23.5
6/15/17 11:42:00 AM,C,26.5
6/15/17 3:57:00 PM,C,31
6/15/17 8:12:00 PM,C,26
6/16/17 12:27:00 AM,C,24
6/16/17 4:42:00 AM,C,23.5
6/16/17 8:57:00 AM,C,25
6/16/17 1:12:00 PM,C,30
6/16/17 5:27:00 PM,C,31
6/16/17 9:42:00 PM,C,26
6/17/17 1:57:00 AM,C,25
6/17/17 6:12:00 AM,C,24.5
6/17/17 10:27:00 AM,C,26
6/17/17 2:42:00 PM,C,31.5
6/17/17 6:57:00 PM,C,27.5
6/17/17 11:12:00 PM,C,26
6/18/17 3:27:00 AM,C,25
6/18/17 7:42:00 AM,C,25
6/18/17 11:57:00 AM,C,29.5
6/18/17 4:12:00 PM,C,32
6/18/17 8:27:00 PM,C,27.5
6/19/17 12:42:00 AM,C,26
6/19/17 4:57:00 AM,C,25.5
6/19/17 9:12:00 AM,C,25
6/19/17 1:27:00 PM,C,30
6/19/17 5:42:00 PM,C,28.5
6/19/17 9:57:00 PM,C,26.5
6/20/17 2:12:00 AM,C,25.5
6/20/17 6:27:00 AM,C,25.5
6/20/17 10:42:00 AM,C,25.5
6/20/17 2:57:00 PM,C,26.5
6/20/17 7:12:00 PM,C,26.5
6/20/17 11:27:00 PM,C,25
6/21/17 3:42:00 AM,C,24.5
6/21/17 7:57:00 AM,C,24.5
6/21/17 12:12:00 PM,C,25.5
6/21/17 4:27:00 PM,C,27
6/21/17 8:42:00 PM,C,26
6/22/17 12:57:00 AM,C,24.5
6/22/17 5:12:00 AM,C,24
6/22/17 9:27:00 AM,C,25
6/22/17 1:42:00 PM,C,28.5
6/22/17 5:57:00 PM,C,27.5
6/22/17 10:12:00 PM,C,26
6/23/17 2:27:00 AM,C,25
6/23/17 6:42:00 AM,C,24.5
6/23/17 10:57:00 AM,C,26.5
6/23/17 3:12:00 PM,C,32.5
6/23/17 7:27:00 PM,C,28
6/23/17 11:42:00 PM,C,26
6/24/17 3:57:00 AM,C,25.5
6/24/17 8:12:00 AM,C,25.5
6/24/17 12:27:00 PM,C,29.5
6/24/17 4:42:00 PM,C,33.5
6/24/17 8:57:00 PM,C,27
6/25/17 1:12:00 AM,C,25.5
6/25/17 5:27:00 AM,C,25.5
6/25/17 9:42:00 AM,C,26
6/25/17 1:57:00 PM,C,27.5
6/25/17 6:12:00 PM,C,29
6/25/17 10:27:00 PM,C,26.5
6/26/17 2:42:00 AM,C,25.5
6/26/17 6:57:00 AM,C,24.5
6/26/17 11:12:00 AM,C,25.5
6/26/17 3:27:00 PM,C,31
6/26/17 7:42:00 PM,C,27.5
6/26/17 11:57:00 PM,C,24.5
6/27/17 4:12:00 AM,C,23
6/27/17 8:27:00 AM,C,23
6/27/17 12:42:00 PM,C,27.5
6/27/17 4:57:00 PM,C,29.5
6/27/17 9:12:00 PM,C,25.5
6/28/17 1:27:00 AM,C,24
6/28/17 5:42:00 AM,C,22.5
6/28/17 9:57:00 AM,C,23.5
6/28/17 2:12:00 PM,C,31.5
6/28/17 6:27:00 PM,C,28
6/28/17 10:42:00 PM,C,24
6/29/17 2:57:00 AM,C,22.5
6/29/17 7:12:00 AM,C,22
6/29/17 11:27:00 AM,C,26
6/29/17 3:42:00 PM,C,31
6/29/17 7:57:00 PM,C,27
6/30/17 12:12:00 AM,C,24.5
6/30/17 4:27:00 AM,C,24
6/30/17 8:42:00 AM,C,24.5
6/30/17 12:57:00 PM,C,30.5
6/30/17 5:12:00 PM,C,26
6/30/17 9:27:00 PM,C,25.5
7/1/17 1:42:00 AM,C,25
7/1/17 5:57:00 AM,C,24.5
7/1/17 10:12:00 AM,C,25.5
7/1/17 2:27:00 PM,C,27
7/1/17 6:42:00 PM,C,26.5
7/1/17 10:57:00 PM,C,25.5
7/2/17 3:12:00 AM,C,25
7/2/17 7:27:00 AM,C,24.5
7/2/17 11:42:00 AM,C,27
7/2/17 3:57:00 PM,C,32
7/2/17 8:12:00 PM,C,28.5
7/3/17 12:27:00 AM,C,26.5
7/3/17 4:42:00 AM,C,26
7/3/17 8:57:00 AM,C,26
7/3/17 1:12:00 PM,C,30.5
7/3/17 5:27:00 PM,C,27.5
7/3/17 9:42:00 PM,C,26.5
7/4/17 1:57:00 AM,C,26
7/4/17 6:12:00 AM,C,25.5
7/4/17 10:27:00 AM,C,27
7/4/17 2:42:00 PM,C,28
7/4/17 6:57:00 PM,C,28.5
7/4/17 11:12:00 PM,C,26.5
7/5/17 3:27:00 AM,C,25.5
7/5/17 7:42:00 AM,C,25
7/5/17 11:57:00 AM,C,28.5
7/5/17 4:12:00 PM,C,33.5
7/5/17 8:27:00 PM,C,29
7/6/17 12:42:00 AM,C,26.5
7/6/17 4:57:00 AM,C,25.5
7/6/17 9:12:00 AM,C,26
7/6/17 1:27:00 PM,C,30.5
7/6/17 5:42:00 PM,C,32
7/6/17 9:57:00 PM,C,28
7/7/17 2:12:00 AM,C,27
7/7/17 6:27:00 AM,C,26
7/7/17 10:42:00 AM,C,27.5
7/7/17 2:57:00 PM,C,35.5
7/7/17 7:12:00 PM,C,29.5
7/7/17 11:27:00 PM,C,27.5
7/8/17 3:42:00 AM,C,26.5
7/8/17 7:57:00 AM,C,26.5
7/8/17 12:12:00 PM,C,31
7/8/17 4:27:00 PM,C,33.5
7/8/17 8:42:00 PM,C,28.5
7/9/17 12:57:00 AM,C,26.5
7/9/17 5:12:00 AM,C,26
7/9/17 9:27:00 AM,C,26
7/9/17 1:42:00 PM,C,31
7/9/17 5:57:00 PM,C,29.5
7/9/17 10:12:00 PM,C,27
7/10/17 2:27:00 AM,C,26.5
7/10/17 6:42:00 AM,C,25.5
7/10/17 10:57:00 AM,C,27.5
7/10/17 3:12:00 PM,C,26.5
7/10/17 7:27:00 PM,C,26.5
7/10/17 11:42:00 PM,C,25.5
7/11/17 3:57:00 AM,C,25
7/11/17 8:12:00 AM,C,25
7/11/17 12:27:00 PM,C,28.5
7/11/17 4:42:00 PM,C,32.5
7/11/17 8:57:00 PM,C,28
7/12/17 1:12:00 AM,C,26.5
7/12/17 5:27:00 AM,C,26
7/12/17 9:42:00 AM,C,26.5
7/12/17 1:57:00 PM,C,33
7/12/17 6:12:00 PM,C,31
7/12/17 10:27:00 PM,C,27.5
7/13/17 2:42:00 AM,C,26.5
7/13/17 6:57:00 AM,C,25.5
7/13/17 11:12:00 AM,C,28
7/13/17 3:27:00 PM,C,35.5
7/13/17 7:42:00 PM,C,29.5
7/13/17 11:57:00 PM,C,27.5
7/14/17 4:12:00 AM,C,26.5
7/14/17 8:27:00 AM,C,26.5
7/14/17 12:42:00 PM,C,32
7/14/17 4:57:00 PM,C,34.5
7/14/17 9:12:00 PM,C,28.5
7/15/17 1:27:00 AM,C,27.5
7/15/17 5:42:00 AM,C,26.5
