1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 18000000380ABF21
Is Mission Active?  false
Mission Start:  Mon Feb 27 13:07:00 EST 2017
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  531
Total Samples:  11707
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
2/27/17 1:07:00 PM,C,29
2/27/17 5:22:00 PM,C,18
2/27/17 9:37:00 PM,C,13
2/28/17 1:52:00 AM,C,12
2/28/17 6:07:00 AM,C,13
2/28/17 10:22:00 AM,C,16.5
2/28/17 2:37:00 PM,C,23.5
2/28/17 6:52:00 PM,C,18
2/28/17 11:07:00 PM,C,16
3/1/17 3:22:00 AM,C,16
3/1/17 7:37:00 AM,C,17
3/1/17 11:52:00 AM,C,24
3/1/17 4:07:00 PM,C,25.5
3/1/17 8:22:00 PM,C,18
3/2/17 12:37:00 AM,C,17.5
3/2/17 4:52:00 AM,C,16.5
3/2/17 9:07:00 AM,C,15
3/2/17 1:22:00 PM,C,21
3/2/17 5:37:00 PM,C,16.5
3/2/17 9:52:00 PM,C,11
3/3/17 2:07:00 AM,C,8
3/3/17 6:22:00 AM,C,6.5
3/3/17 10:37:00 AM,C,12
3/3/17 2:52:00 PM,C,19
3/3/17 7:07:00 PM,C,11.5
3/3/17 11:22:00 PM,C,8
3/4/17 3:37:00 AM,C,5
3/4/17 7:52:00 AM,C,3.5
3/4/17 12:07:00 PM,C,18.5
3/4/17 4:22:00 PM,C,17.5
3/4/17 8:37:00 PM,C,8
3/5/17 12:52:00 AM,C,5.5
3/5/17 5:07:00 AM,C,4
3/5/17 9:22:00 AM,C,7.5
3/5/17 1:37:00 PM,C,23.5
3/5/17 5:52:00 PM,C,12.5
3/5/17 10:07:00 PM,C,6.5
3/6/17 2:22:00 AM,C,5
3/6/17 6:37:00 AM,C,4
3/6/17 10:52:00 AM,C,12.5
3/6/17 3:07:00 PM,C,18
3/6/17 7:22:00 PM,C,12.5
3/6/17 11:37:00 PM,C,8.5
3/7/17 3:52:00 AM,C,7.5
3/7/17 8:07:00 AM,C,8
3/7/17 12:22:00 PM,C,25.5
3/7/17 4:37:00 PM,C,20.5
3/7/17 8:52:00 PM,C,15
3/8/17 1:07:00 AM,C,14.5
3/8/17 5:22:00 AM,C,14.5
3/8/17 9:37:00 AM,C,17.5
3/8/17 1:52:00 PM,C,26.5
3/8/17 6:07:00 PM,C,18
3/8/17 10:22:00 PM,C,11
3/9/17 2:37:00 AM,C,8
3/9/17 6:52:00 AM,C,6.5
3/9/17 11:07:00 AM,C,16.5
3/9/17 3:22:00 PM,C,23
3/9/17 7:37:00 PM,C,13
3/9/17 11:52:00 PM,C,10
3/10/17 4:07:00 AM,C,9
3/10/17 8:22:00 AM,C,11
3/10/17 12:37:00 PM,C,21
3/10/17 4:52:00 PM,C,19
3/10/17 9:07:00 PM,C,12
3/11/17 1:22:00 AM,C,8
3/11/17 5:37:00 AM,C,5.5
3/11/17 9:52:00 AM,C,12
3/11/17 2:07:00 PM,C,24.5
3/11/17 6:22:00 PM,C,13.5
3/11/17 10:37:00 PM,C,9.5
3/12/17 3:52:00 AM,C,9
3/12/17 8:07:00 AM,C,8
3/12/17 12:22:00 PM,C,4.5
3/12/17 4:37:00 PM,C,9.5
3/12/17 8:52:00 PM,C,6.5
3/13/17 1:07:00 AM,C,3.5
3/13/17 5:22:00 AM,C,3.5
3/13/17 9:37:00 AM,C,6.5
3/13/17 1:52:00 PM,C,14
3/13/17 6:07:00 PM,C,11.5
3/13/17 10:22:00 PM,C,10.5
3/14/17 2:37:00 AM,C,11.5
3/14/17 6:52:00 AM,C,10
3/14/17 11:07:00 AM,C,10
3/14/17 3:22:00 PM,C,18.5
3/14/17 7:37:00 PM,C,13
3/14/17 11:52:00 PM,C,8.5
3/15/17 4:07:00 AM,C,5
3/15/17 8:22:00 AM,C,2.5
3/15/17 12:37:00 PM,C,11.5
3/15/17 4:52:00 PM,C,14
3/15/17 9:07:00 PM,C,5.5
3/16/17 1:22:00 AM,C,2.5
3/16/17 5:37:00 AM,C,1
3/16/17 9:52:00 AM,C,1.5
3/16/17 2:07:00 PM,C,19
3/16/17 6:22:00 PM,C,12.5
3/16/17 10:37:00 PM,C,5
3/17/17 2:52:00 AM,C,2.5
3/17/17 7:07:00 AM,C,1
3/17/17 11:22:00 AM,C,10.5
3/17/17 3:37:00 PM,C,17
3/17/17 7:52:00 PM,C,10.5
3/18/17 12:07:00 AM,C,8.5
3/18/17 4:22:00 AM,C,9.5
3/18/17 8:37:00 AM,C,9.5
3/18/17 12:52:00 PM,C,11.5
3/18/17 5:07:00 PM,C,12.5
3/18/17 9:22:00 PM,C,11.5
3/19/17 1:37:00 AM,C,10.5
3/19/17 5:52:00 AM,C,9.5
3/19/17 10:07:00 AM,C,8.5
3/19/17 2:22:00 PM,C,14.5
3/19/17 6:37:00 PM,C,13
3/19/17 10:52:00 PM,C,7
3/20/17 3:07:00 AM,C,5
3/20/17 7:22:00 AM,C,3.5
3/20/17 11:37:00 AM,C,10.5
3/20/17 3:52:00 PM,C,20.5
3/20/17 8:07:00 PM,C,12.5
3/21/17 12:22:00 AM,C,8.5
3/21/17 4:37:00 AM,C,9.5
3/21/17 8:52:00 AM,C,10.5
3/21/17 1:07:00 PM,C,23.5
3/21/17 5:22:00 PM,C,25
3/21/17 9:37:00 PM,C,16
3/22/17 1:52:00 AM,C,14
3/22/17 6:07:00 AM,C,13.5
3/22/17 10:22:00 AM,C,13.5
3/22/17 2:37:00 PM,C,21.5
3/22/17 6:52:00 PM,C,16.5
3/22/17 11:07:00 PM,C,10
3/23/17 3:22:00 AM,C,6.5
3/23/17 7:37:00 AM,C,4.5
3/23/17 11:52:00 AM,C,10
3/23/17 4:07:00 PM,C,22
3/23/17 8:22:00 PM,C,11.5
3/24/17 12:37:00 AM,C,6.5
3/24/17 4:52:00 AM,C,5.5
3/24/17 9:07:00 AM,C,5.5
3/24/17 1:22:00 PM,C,23.5
3/24/17 5:37:00 PM,C,20
3/24/17 9:52:00 PM,C,13.5
3/25/17 2:07:00 AM,C,10.5
3/25/17 6:22:00 AM,C,9.5
3/25/17 10:37:00 AM,C,15
3/25/17 2:52:00 PM,C,24.5
3/25/17 7:07:00 PM,C,18.5
3/25/17 11:22:00 PM,C,14
3/26/17 3:37:00 AM,C,12
3/26/17 7:52:00 AM,C,11
3/26/17 12:07:00 PM,C,18.5
3/26/17 4:22:00 PM,C,28
3/26/17 8:37:00 PM,C,17
3/27/17 12:52:00 AM,C,13
3/27/17 5:07:00 AM,C,11.5
3/27/17 9:22:00 AM,C,12.5
3/27/17 1:37:00 PM,C,22
3/27/17 5:52:00 PM,C,22
3/27/17 10:07:00 PM,C,15.5
3/28/17 2:22:00 AM,C,14
3/28/17 6:37:00 AM,C,14.5
3/28/17 10:52:00 AM,C,19
3/28/17 3:07:00 PM,C,28.5
3/28/17 7:22:00 PM,C,20
3/28/17 11:37:00 PM,C,16
3/29/17 3:52:00 AM,C,13.5
3/29/17 8:07:00 AM,C,13
3/29/17 12:22:00 PM,C,20.5
3/29/17 4:37:00 PM,C,27
3/29/17 8:52:00 PM,C,16.5
3/30/17 1:07:00 AM,C,13
3/30/17 5:22:00 AM,C,11
3/30/17 9:37:00 AM,C,12.5
3/30/17 1:52:00 PM,C,24.5
3/30/17 6:07:00 PM,C,23.5
3/30/17 10:22:00 PM,C,16.5
3/31/17 2:37:00 AM,C,15.5
3/31/17 6:52:00 AM,C,16.5
3/31/17 11:07:00 AM,C,18
3/31/17 3:22:00 PM,C,25
3/31/17 7:37:00 PM,C,20
3/31/17 11:52:00 PM,C,17
4/1/17 4:07:00 AM,C,13.5
4/1/17 8:22:00 AM,C,11.5
4/1/17 12:37:00 PM,C,20
4/1/17 4:52:00 PM,C,25.5
4/1/17 9:07:00 PM,C,17.5
4/2/17 1:22:00 AM,C,14
4/2/17 5:37:00 AM,C,12.5
4/2/17 9:52:00 AM,C,15
4/2/17 2:07:00 PM,C,29
4/2/17 6:22:00 PM,C,21.5
4/2/17 10:37:00 PM,C,14.5
4/3/17 2:52:00 AM,C,11.5
4/3/17 7:07:00 AM,C,12
4/3/17 11:22:00 AM,C,20.5
4/3/17 3:37:00 PM,C,23
4/3/17 7:52:00 PM,C,20
4/4/17 12:07:00 AM,C,18
4/4/17 4:22:00 AM,C,18
4/4/17 8:37:00 AM,C,17
4/4/17 12:52:00 PM,C,27
4/4/17 5:07:00 PM,C,26.5
4/4/17 9:22:00 PM,C,20
4/5/17 1:37:00 AM,C,17
4/5/17 5:52:00 AM,C,15.5
4/5/17 10:07:00 AM,C,20.5
4/5/17 2:22:00 PM,C,27
4/5/17 6:37:00 PM,C,21.5
4/5/17 10:52:00 PM,C,19.5
4/6/17 3:07:00 AM,C,18
4/6/17 7:22:00 AM,C,17.5
4/6/17 11:37:00 AM,C,19.5
4/6/17 3:52:00 PM,C,26.5
4/6/17 8:07:00 PM,C,18.5
4/7/17 12:22:00 AM,C,14.5
4/7/17 4:37:00 AM,C,12
4/7/17 8:52:00 AM,C,10.5
4/7/17 1:07:00 PM,C,18
4/7/17 5:22:00 PM,C,19
4/7/17 9:37:00 PM,C,13
4/8/17 1:52:00 AM,C,10.5
4/8/17 6:07:00 AM,C,7.5
4/8/17 10:22:00 AM,C,12
4/8/17 2:37:00 PM,C,26.5
4/8/17 6:52:00 PM,C,18
4/8/17 11:07:00 PM,C,12
4/9/17 3:22:00 AM,C,9.5
4/9/17 7:37:00 AM,C,8
4/9/17 11:52:00 AM,C,16.5
4/9/17 4:07:00 PM,C,27.5
4/9/17 8:22:00 PM,C,16.5
4/10/17 12:37:00 AM,C,12
4/10/17 4:52:00 AM,C,10.5
4/10/17 9:07:00 AM,C,11.5
4/10/17 1:22:00 PM,C,28
4/10/17 5:37:00 PM,C,24.5
4/10/17 9:52:00 PM,C,16.5
4/11/17 2:07:00 AM,C,13.5
4/11/17 6:22:00 AM,C,12
4/11/17 10:37:00 AM,C,17.5
4/11/17 2:52:00 PM,C,29.5
4/11/17 7:07:00 PM,C,21.5
4/11/17 11:22:00 PM,C,16
4/12/17 3:37:00 AM,C,13.5
4/12/17 7:52:00 AM,C,12.5
4/12/17 12:07:00 PM,C,20.5
4/12/17 4:22:00 PM,C,27
4/12/17 8:37:00 PM,C,19.5
4/13/17 12:52:00 AM,C,16.5
4/13/17 5:07:00 AM,C,15
4/13/17 9:22:00 AM,C,15.5
4/13/17 1:37:00 PM,C,26.5
4/13/17 5:52:00 PM,C,26.5
4/13/17 10:07:00 PM,C,18.5
4/14/17 2:22:00 AM,C,15.5
4/14/17 6:37:00 AM,C,13.5
4/14/17 10:52:00 AM,C,19.5
4/14/17 3:07:00 PM,C,24.5
4/14/17 7:22:00 PM,C,22
4/14/17 11:37:00 PM,C,17
4/15/17 3:52:00 AM,C,16
4/15/17 8:07:00 AM,C,15
4/15/17 12:22:00 PM,C,23.5
4/15/17 4:37:00 PM,C,26.5
4/15/17 8:52:00 PM,C,19.5
4/16/17 1:07:00 AM,C,17
4/16/17 5:22:00 AM,C,15.5
4/16/17 9:37:00 AM,C,18
4/16/17 1:52:00 PM,C,31
4/16/17 6:07:00 PM,C,25
4/16/17 10:22:00 PM,C,19
4/17/17 2:37:00 AM,C,17
4/17/17 6:52:00 AM,C,15
4/17/17 11:07:00 AM,C,22.5
4/17/17 3:22:00 PM,C,31
4/17/17 7:37:00 PM,C,22.5
4/17/17 11:52:00 PM,C,18.5
4/18/17 4:07:00 AM,C,17.5
4/18/17 8:22:00 AM,C,18
4/18/17 12:37:00 PM,C,19
4/18/17 4:52:00 PM,C,26
4/18/17 9:07:00 PM,C,20
4/19/17 1:22:00 AM,C,18.5
4/19/17 5:37:00 AM,C,17
4/19/17 9:52:00 AM,C,19.5
4/19/17 2:07:00 PM,C,30
4/19/17 6:22:00 PM,C,26
4/19/17 10:37:00 PM,C,19
4/20/17 2:52:00 AM,C,17.5
4/20/17 7:07:00 AM,C,16
4/20/17 11:22:00 AM,C,24
4/20/17 3:37:00 PM,C,31.5
4/20/17 7:52:00 PM,C,23
4/21/17 12:07:00 AM,C,19
4/21/17 4:22:00 AM,C,17.5
4/21/17 8:37:00 AM,C,17.5
4/21/17 12:52:00 PM,C,32
4/21/17 5:07:00 PM,C,29
