1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 980000003807AE21
Is Mission Active?  false
Mission Start:  Tue Nov 28 13:56:00 EST 2017
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  1226
Total Samples:  13194
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/28/17 1:56:00 PM,C,21.5
11/28/17 6:11:00 PM,C,13
11/28/17 10:26:00 PM,C,11
11/29/17 2:41:00 AM,C,10.5
11/29/17 6:56:00 AM,C,10
11/29/17 11:11:00 AM,C,12.5
11/29/17 3:26:00 PM,C,14
11/29/17 7:41:00 PM,C,12
11/29/17 11:56:00 PM,C,11
11/30/17 4:11:00 AM,C,11
11/30/17 8:26:00 AM,C,10.5
11/30/17 12:41:00 PM,C,13
11/30/17 4:56:00 PM,C,14
11/30/17 9:11:00 PM,C,12
12/1/17 1:26:00 AM,C,11.5
12/1/17 5:41:00 AM,C,11
12/1/17 9:56:00 AM,C,12
12/1/17 2:11:00 PM,C,14
12/1/17 6:26:00 PM,C,12.5
12/1/17 10:41:00 PM,C,11.5
12/2/17 2:56:00 AM,C,11
12/2/17 7:11:00 AM,C,11
12/2/17 11:26:00 AM,C,13
12/2/17 3:41:00 PM,C,13
12/2/17 7:56:00 PM,C,13
12/3/17 12:11:00 AM,C,12.5
12/3/17 4:26:00 AM,C,12.5
12/3/17 8:41:00 AM,C,12.5
12/3/17 12:56:00 PM,C,14.5
12/3/17 5:11:00 PM,C,14
12/3/17 9:26:00 PM,C,11.5
12/4/17 1:41:00 AM,C,11
12/4/17 5:56:00 AM,C,10
12/4/17 10:11:00 AM,C,11.5
12/4/17 2:26:00 PM,C,13.5
12/4/17 6:41:00 PM,C,13
12/4/17 10:56:00 PM,C,13
12/5/17 3:11:00 AM,C,13
12/5/17 7:26:00 AM,C,14
12/5/17 11:41:00 AM,C,15.5
12/5/17 3:56:00 PM,C,16.5
12/5/17 8:11:00 PM,C,14.5
12/6/17 12:26:00 AM,C,14
12/6/17 4:41:00 AM,C,14.5
12/6/17 8:56:00 AM,C,14.5
12/6/17 1:11:00 PM,C,16
12/6/17 5:26:00 PM,C,15
12/6/17 9:41:00 PM,C,13.5
12/7/17 1:56:00 AM,C,13
12/7/17 6:11:00 AM,C,12
12/7/17 10:26:00 AM,C,11.5
12/7/17 2:41:00 PM,C,12
12/7/17 6:56:00 PM,C,11.5
12/7/17 11:11:00 PM,C,11.5
12/8/17 3:26:00 AM,C,10.5
12/8/17 7:41:00 AM,C,10.5
12/8/17 11:56:00 AM,C,11
12/8/17 4:11:00 PM,C,11
12/8/17 8:26:00 PM,C,10.5
12/9/17 12:41:00 AM,C,10
12/9/17 4:56:00 AM,C,9.5
12/9/17 9:11:00 AM,C,9.5
12/9/17 1:26:00 PM,C,10
12/9/17 5:41:00 PM,C,9.5
12/9/17 9:56:00 PM,C,9
12/10/17 2:11:00 AM,C,8.5
12/10/17 6:26:00 AM,C,8
12/10/17 10:41:00 AM,C,8
12/10/17 2:56:00 PM,C,9
12/10/17 7:11:00 PM,C,7.5
12/10/17 11:26:00 PM,C,6.5
12/11/17 3:41:00 AM,C,6.5
12/11/17 7:56:00 AM,C,6
12/11/17 12:11:00 PM,C,8.5
12/11/17 4:26:00 PM,C,9.5
12/11/17 8:41:00 PM,C,7.5
12/12/17 12:56:00 AM,C,6.5
12/12/17 5:11:00 AM,C,6.5
12/12/17 9:26:00 AM,C,8.5
12/12/17 1:41:00 PM,C,11.5
12/12/17 5:56:00 PM,C,10.5
12/12/17 10:11:00 PM,C,9
12/13/17 2:26:00 AM,C,7.5
12/13/17 6:41:00 AM,C,6
12/13/17 10:56:00 AM,C,7
12/13/17 3:11:00 PM,C,8
12/13/17 7:26:00 PM,C,6.5
12/13/17 11:41:00 PM,C,6.5
12/14/17 3:56:00 AM,C,7.5
12/14/17 8:11:00 AM,C,7
12/14/17 12:26:00 PM,C,9
12/14/17 4:41:00 PM,C,9.5
12/14/17 8:56:00 PM,C,7.5
12/15/17 1:11:00 AM,C,7
12/15/17 5:26:00 AM,C,8
12/15/17 9:41:00 AM,C,8
12/15/17 1:56:00 PM,C,10.5
12/15/17 6:11:00 PM,C,10.5
12/15/17 10:26:00 PM,C,9.5
12/16/17 2:41:00 AM,C,7
12/16/17 6:56:00 AM,C,6
12/16/17 11:11:00 AM,C,8
12/16/17 3:26:00 PM,C,9
12/16/17 7:41:00 PM,C,7.5
