1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1B00000037ED3421
Is Mission Active?  false
Mission Start:  Tue Nov 28 12:54:00 EST 2017
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  1226
Total Samples:  13197
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/28/17 12:54:00 PM,C,35
11/28/17 5:09:00 PM,C,14
11/28/17 9:24:00 PM,C,11.5
11/29/17 1:39:00 AM,C,10.5
11/29/17 5:54:00 AM,C,10
11/29/17 10:09:00 AM,C,11
11/29/17 2:24:00 PM,C,16
11/29/17 6:39:00 PM,C,13
11/29/17 10:54:00 PM,C,11.5
11/30/17 3:09:00 AM,C,11
11/30/17 7:24:00 AM,C,10.5
11/30/17 11:39:00 AM,C,13.5
11/30/17 3:54:00 PM,C,14.5
11/30/17 8:09:00 PM,C,12.5
12/1/17 12:24:00 AM,C,11.5
12/1/17 4:39:00 AM,C,11
12/1/17 8:54:00 AM,C,11
12/1/17 1:09:00 PM,C,15
12/1/17 5:24:00 PM,C,14
12/1/17 9:39:00 PM,C,11.5
12/2/17 1:54:00 AM,C,10.5
12/2/17 6:09:00 AM,C,10.5
12/2/17 10:24:00 AM,C,12
12/2/17 2:39:00 PM,C,13.5
12/2/17 6:54:00 PM,C,13
12/2/17 11:09:00 PM,C,13
12/3/17 3:24:00 AM,C,12.5
12/3/17 7:39:00 AM,C,12.5
12/3/17 11:54:00 AM,C,14.5
12/3/17 4:09:00 PM,C,15.5
12/3/17 8:24:00 PM,C,12
12/4/17 12:39:00 AM,C,11
12/4/17 4:54:00 AM,C,10
12/4/17 9:09:00 AM,C,10
12/4/17 1:24:00 PM,C,14.5
12/4/17 5:39:00 PM,C,14
12/4/17 9:54:00 PM,C,13
12/5/17 2:09:00 AM,C,13.5
12/5/17 6:24:00 AM,C,14
12/5/17 10:39:00 AM,C,15
12/5/17 2:54:00 PM,C,17.5
12/5/17 7:09:00 PM,C,15.5
12/5/17 11:24:00 PM,C,14.5
12/6/17 3:39:00 AM,C,14.5
12/6/17 7:54:00 AM,C,14.5
12/6/17 12:09:00 PM,C,16
12/6/17 4:24:00 PM,C,15.5
12/6/17 8:39:00 PM,C,14
12/7/17 12:54:00 AM,C,13.5
12/7/17 5:09:00 AM,C,12.5
12/7/17 9:24:00 AM,C,12
12/7/17 1:39:00 PM,C,12.5
12/7/17 5:54:00 PM,C,12.5
12/7/17 10:09:00 PM,C,12
12/8/17 2:24:00 AM,C,11.5
12/8/17 6:39:00 AM,C,11
12/8/17 10:54:00 AM,C,11.5
12/8/17 3:09:00 PM,C,12
12/8/17 7:24:00 PM,C,11.5
12/8/17 11:39:00 PM,C,11.5
12/9/17 3:54:00 AM,C,10.5
12/9/17 8:09:00 AM,C,11
12/9/17 12:24:00 PM,C,11
12/9/17 4:39:00 PM,C,11
12/9/17 8:54:00 PM,C,10.5
12/10/17 1:09:00 AM,C,10
12/10/17 5:24:00 AM,C,8.5
12/10/17 9:39:00 AM,C,7.5
12/10/17 1:54:00 PM,C,10.5
12/10/17 6:09:00 PM,C,9
12/10/17 10:24:00 PM,C,7.5
12/11/17 2:39:00 AM,C,6.5
12/11/17 6:54:00 AM,C,6
12/11/17 11:09:00 AM,C,7.5
12/11/17 3:24:00 PM,C,11
12/11/17 7:39:00 PM,C,8
12/11/17 11:54:00 PM,C,7
12/12/17 4:09:00 AM,C,6.5
12/12/17 8:24:00 AM,C,7
12/12/17 12:39:00 PM,C,11
12/12/17 4:54:00 PM,C,12
12/12/17 9:09:00 PM,C,8.5
12/13/17 1:24:00 AM,C,7.5
12/13/17 5:39:00 AM,C,5.5
12/13/17 9:54:00 AM,C,5.5
12/13/17 2:09:00 PM,C,9
12/13/17 6:24:00 PM,C,7
12/13/17 10:39:00 PM,C,6
12/14/17 2:54:00 AM,C,6.5
12/14/17 7:09:00 AM,C,6.5
12/14/17 11:24:00 AM,C,8
12/14/17 3:39:00 PM,C,11
12/14/17 7:54:00 PM,C,7.5
12/15/17 12:09:00 AM,C,7
12/15/17 4:24:00 AM,C,7
12/15/17 8:39:00 AM,C,7.5
12/15/17 12:54:00 PM,C,10
12/15/17 5:09:00 PM,C,11
12/15/17 9:24:00 PM,C,9.5
12/16/17 1:39:00 AM,C,7
12/16/17 5:54:00 AM,C,6
12/16/17 10:09:00 AM,C,6
12/16/17 2:24:00 PM,C,9.5
12/16/17 6:39:00 PM,C,7.5
12/16/17 10:54:00 PM,C,6.5
12/17/17 3:09:00 AM,C,5.5
12/17/17 7:24:00 AM,C,5
12/17/17 11:39:00 AM,C,7.5
12/17/17 3:54:00 PM,C,10.5
12/17/17 8:09:00 PM,C,9.5
12/18/17 12:24:00 AM,C,10
12/18/17 4:39:00 AM,C,10
12/18/17 8:54:00 AM,C,10
12/18/17 1:09:00 PM,C,13
12/18/17 5:24:00 PM,C,12.5
12/18/17 9:39:00 PM,C,10.5
12/19/17 1:54:00 AM,C,9.5
12/19/17 6:09:00 AM,C,9
12/19/17 10:24:00 AM,C,10
12/19/17 2:39:00 PM,C,14
12/19/17 6:54:00 PM,C,11.5
12/19/17 11:09:00 PM,C,10.5
12/20/17 3:24:00 AM,C,11
12/20/17 7:39:00 AM,C,11.5
12/20/17 11:54:00 AM,C,13
12/20/17 4:09:00 PM,C,12.5
12/20/17 8:24:00 PM,C,12
12/21/17 12:39:00 AM,C,11.5
12/21/17 4:54:00 AM,C,10.5
12/21/17 9:09:00 AM,C,10
12/21/17 1:24:00 PM,C,12.5
12/21/17 5:39:00 PM,C,11.5
12/21/17 9:54:00 PM,C,9.5
12/22/17 2:09:00 AM,C,10
12/22/17 6:24:00 AM,C,10.5
12/22/17 10:39:00 AM,C,11.5
12/22/17 2:54:00 PM,C,13.5
12/22/17 7:09:00 PM,C,13
12/22/17 11:24:00 PM,C,12.5
12/23/17 3:39:00 AM,C,11.5
12/23/17 7:54:00 AM,C,10.5
12/23/17 12:09:00 PM,C,13.5
12/23/17 4:24:00 PM,C,15.5
12/23/17 8:39:00 PM,C,14
12/24/17 12:54:00 AM,C,14.5
12/24/17 5:09:00 AM,C,14.5
12/24/17 9:24:00 AM,C,14.5
12/24/17 1:39:00 PM,C,13.5
12/24/17 5:54:00 PM,C,13.5
12/24/17 10:09:00 PM,C,13
12/25/17 2:24:00 AM,C,12.5
12/25/17 6:39:00 AM,C,11.5
12/25/17 10:54:00 AM,C,11
12/25/17 3:09:00 PM,C,12.5
12/25/17 7:24:00 PM,C,9.5
12/25/17 11:39:00 PM,C,9
12/26/17 3:54:00 AM,C,8.5
12/26/17 8:09:00 AM,C,7.5
12/26/17 12:24:00 PM,C,9
12/26/17 4:39:00 PM,C,10
12/26/17 8:54:00 PM,C,7.5
12/27/17 1:09:00 AM,C,8
12/27/17 5:24:00 AM,C,8.5
12/27/17 9:39:00 AM,C,8.5
12/27/17 1:54:00 PM,C,9
12/27/17 6:09:00 PM,C,9
12/27/17 10:24:00 PM,C,7.5
12/28/17 2:39:00 AM,C,7
12/28/17 6:54:00 AM,C,6
12/28/17 11:09:00 AM,C,5.5
12/28/17 3:24:00 PM,C,7.5
12/28/17 7:39:00 PM,C,5.5
12/28/17 11:54:00 PM,C,4
12/29/17 4:09:00 AM,C,4.5
12/29/17 8:24:00 AM,C,4.5
12/29/17 12:39:00 PM,C,7
12/29/17 4:54:00 PM,C,7.5
12/29/17 9:09:00 PM,C,5
12/30/17 1:24:00 AM,C,4
12/30/17 5:39:00 AM,C,3.5
12/30/17 9:54:00 AM,C,5
12/30/17 2:09:00 PM,C,8.5
12/30/17 6:24:00 PM,C,7
12/30/17 10:39:00 PM,C,6.5
12/31/17 2:54:00 AM,C,5.5
12/31/17 7:09:00 AM,C,5
12/31/17 11:24:00 AM,C,5.5
12/31/17 3:39:00 PM,C,7
12/31/17 7:54:00 PM,C,5
1/1/18 12:09:00 AM,C,4.5
1/1/18 4:24:00 AM,C,4
1/1/18 8:39:00 AM,C,3
1/1/18 12:54:00 PM,C,5
1/1/18 5:09:00 PM,C,4.5
1/1/18 9:24:00 PM,C,2.5
1/2/18 1:39:00 AM,C,1.5
1/2/18 5:54:00 AM,C,1
1/2/18 10:09:00 AM,C,1.5
1/2/18 2:24:00 PM,C,4
