"Plot Title: 20376544"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376544, SEN S/N: 20376544)","Coupler Detached (LGR S/N: 20376544)","Coupler Attached (LGR S/N: 20376544)","Host Connected (LGR S/N: 20376544)","Stopped (LGR S/N: 20376544)","End Of File (LGR S/N: 20376544)"
1,05/16/18 06:29:17 AM,23.966,,,,,
2,05/16/18 06:29:32 AM,,Logged,,,,
3,05/16/18 08:29:17 AM,24.545,,,,,
4,05/16/18 10:29:17 AM,35.328,,,,,
5,05/16/18 12:29:17 PM,27.764,,,,,
6,05/16/18 02:29:17 PM,27.862,,,,,
7,05/16/18 04:29:17 PM,25.902,,,,,
8,05/16/18 06:29:17 PM,24.835,,,,,
9,05/16/18 08:29:17 PM,23.677,,,,,
10,05/16/18 10:29:17 PM,22.717,,,,,
11,05/17/18 12:29:17 AM,21.855,,,,,
12,05/17/18 02:29:17 AM,21.473,,,,,
13,05/17/18 04:29:17 AM,21.569,,,,,
14,05/17/18 06:29:17 AM,21.569,,,,,
15,05/17/18 08:29:17 AM,21.760,,,,,
16,05/17/18 10:29:17 AM,22.908,,,,,
17,05/17/18 12:29:17 PM,23.773,,,,,
18,05/17/18 02:29:17 PM,24.255,,,,,
19,05/17/18 04:29:17 PM,24.835,,,,,
20,05/17/18 06:29:17 PM,24.448,,,,,
21,05/17/18 08:29:17 PM,23.484,,,,,
22,05/17/18 10:29:17 PM,23.100,,,,,
23,05/18/18 12:29:17 AM,22.908,,,,,
24,05/18/18 02:29:17 AM,22.717,,,,,
25,05/18/18 04:29:17 AM,22.525,,,,,
26,05/18/18 06:29:17 AM,22.142,,,,,
27,05/18/18 08:29:17 AM,22.812,,,,,
28,05/18/18 10:29:17 AM,23.966,,,,,
29,05/18/18 12:29:17 PM,26.195,,,,,
30,05/18/18 02:29:17 PM,26.292,,,,,
31,05/18/18 04:29:17 PM,26.195,,,,,
32,05/18/18 06:29:17 PM,25.125,,,,,
33,05/18/18 08:29:17 PM,24.062,,,,,
34,05/18/18 10:29:17 PM,23.388,,,,,
35,05/19/18 12:29:17 AM,23.004,,,,,
36,05/19/18 02:29:17 AM,22.717,,,,,
37,05/19/18 04:29:17 AM,22.525,,,,,
38,05/19/18 06:29:17 AM,22.142,,,,,
39,05/19/18 08:29:17 AM,22.142,,,,,
40,05/19/18 10:29:17 AM,22.046,,,,,
