"Plot Title: 20376530"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376530, SEN S/N: 20376530)","Coupler Detached (LGR S/N: 20376530)","Coupler Attached (LGR S/N: 20376530)","Host Connected (LGR S/N: 20376530)","Stopped (LGR S/N: 20376530)","End Of File (LGR S/N: 20376530)"
1,05/16/18 06:27:34 AM,24.351,,,,,
2,05/16/18 06:28:19 AM,,Logged,,,,
3,05/16/18 08:27:34 AM,24.641,,,,,
4,05/16/18 10:27:34 AM,24.062,,,,,
5,05/16/18 12:27:34 PM,25.416,,,,,
6,05/16/18 02:27:34 PM,26.097,,,,,
7,05/16/18 04:27:34 PM,24.835,,,,,
8,05/16/18 06:27:34 PM,24.158,,,,,
9,05/16/18 08:27:34 PM,23.292,,,,,
10,05/16/18 10:27:34 PM,22.525,,,,,
11,05/17/18 12:27:34 AM,21.760,,,,,
12,05/17/18 02:27:34 AM,21.473,,,,,
13,05/17/18 04:27:34 AM,21.473,,,,,
14,05/17/18 06:27:34 AM,21.473,,,,,
15,05/17/18 08:27:34 AM,21.569,,,,,
16,05/17/18 10:27:34 AM,22.717,,,,,
17,05/17/18 12:27:34 PM,23.388,,,,,
18,05/17/18 02:27:34 PM,23.966,,,,,
19,05/17/18 04:27:34 PM,24.448,,,,,
20,05/17/18 06:27:34 PM,24.062,,,,,
21,05/17/18 08:27:34 PM,23.196,,,,,
22,05/17/18 10:27:34 PM,22.908,,,,,
23,05/18/18 12:27:34 AM,22.717,,,,,
24,05/18/18 02:27:34 AM,22.525,,,,,
25,05/18/18 04:27:34 AM,22.333,,,,,
26,05/18/18 06:27:34 AM,22.046,,,,,
27,05/18/18 08:27:34 AM,22.717,,,,,
28,05/18/18 10:27:34 AM,23.677,,,,,
29,05/18/18 12:27:34 PM,25.125,,,,,
30,05/18/18 02:27:34 PM,25.513,,,,,
31,05/18/18 04:27:34 PM,25.708,,,,,
32,05/18/18 06:27:34 PM,24.738,,,,,
33,05/18/18 08:27:34 PM,23.773,,,,,
34,05/18/18 10:27:34 PM,23.196,,,,,
35,05/19/18 12:27:34 AM,22.812,,,,,
36,05/19/18 02:27:34 AM,22.621,,,,,
37,05/19/18 04:27:34 AM,22.333,,,,,
38,05/19/18 06:27:34 AM,22.046,,,,,
39,05/19/18 08:27:34 AM,22.142,,,,,
40,05/19/18 10:27:34 AM,21.855,,,,,
41,05/19/18 12:27:34 PM,22.429,,,,,
42,05/19/18 02:27:34 PM,22.429,,,,,
43,05/19/18 04:27:34 PM,22.429,,,,,
44,05/19/18 06:27:34 PM,22.525,,,,,
45,05/19/18 08:27:34 PM,22.238,,,,,
46,05/19/18 10:27:34 PM,22.046,,,,,
47,05/20/18 12:27:34 AM,21.760,,,,,
48,05/20/18 02:27:34 AM,21.473,,,,,
49,05/20/18 04:27:34 AM,21.473,,,,,
50,05/20/18 06:27:34 AM,21.378,,,,,
51,05/20/18 08:27:34 AM,21.664,,,,,
52,05/20/18 10:27:34 AM,22.908,,,,,
53,05/20/18 12:27:34 PM,24.641,,,,,
54,05/20/18 02:27:34 PM,24.931,,,,,
55,05/20/18 04:27:34 PM,25.028,,,,,
56,05/20/18 06:27:34 PM,24.545,,,,,
57,05/20/18 08:27:34 PM,23.677,,,,,
58,05/20/18 10:27:34 PM,23.004,,,,,
59,05/21/18 12:27:34 AM,22.429,,,,,
60,05/21/18 02:27:34 AM,21.951,,,,,
61,05/21/18 04:27:34 AM,21.569,,,,,
62,05/21/18 06:27:34 AM,21.282,,,,,
63,05/21/18 08:27:34 AM,21.760,,,,,
64,05/21/18 10:27:34 AM,23.196,,,,,
65,05/21/18 12:27:34 PM,24.931,,,,,
66,05/21/18 02:27:34 PM,24.641,,,,,
67,05/21/18 04:27:34 PM,26.292,,,,,
68,05/21/18 06:27:34 PM,25.125,,,,,
69,05/21/18 08:27:34 PM,24.062,,,,,
70,05/21/18 10:27:34 PM,23.196,,,,,
71,05/22/18 12:27:34 AM,22.717,,,,,
72,05/22/18 02:27:34 AM,22.333,,,,,
73,05/22/18 04:27:34 AM,21.760,,,,,
74,05/22/18 06:27:34 AM,21.473,,,,,
75,05/22/18 08:27:34 AM,21.855,,,,,
76,05/22/18 10:27:34 AM,23.292,,,,,
77,05/22/18 12:27:34 PM,24.448,,,,,
78,05/22/18 02:27:34 PM,26.585,,,,,
79,05/22/18 04:27:34 PM,28.060,,,,,
80,05/22/18 06:27:34 PM,25.708,,,,,
81,05/22/18 08:27:34 PM,24.545,,,,,
82,05/22/18 10:27:34 PM,23.581,,,,,
83,05/23/18 12:27:34 AM,23.100,,,,,
84,05/23/18 02:27:34 AM,22.812,,,,,
85,05/23/18 04:27:34 AM,22.238,,,,,
86,05/23/18 06:27:34 AM,21.951,,,,,
87,05/23/18 08:27:34 AM,22.525,,,,,
88,05/23/18 10:27:34 AM,23.869,,,,,
89,05/23/18 12:27:34 PM,26.000,,,,,
90,05/23/18 02:27:34 PM,25.805,,,,,
91,05/23/18 04:27:34 PM,25.805,,,,,
92,05/23/18 06:27:34 PM,25.222,,,,,
