"Plot Title: 20377493"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20377493, SEN S/N: 20377881)","Water Content, m³/m³ (LGR S/N: 20377493, SEN S/N: 20377885)"
1,06/20/18 01:54:44 PM,0.2189,0.1644
2,06/20/18 02:24:44 PM,0.2313,0.1732
3,06/20/18 02:54:44 PM,0.2320,0.1732
4,06/20/18 03:24:44 PM,0.2320,0.1732
5,06/20/18 03:54:44 PM,0.2320,0.1724
6,06/20/18 04:24:44 PM,0.2327,0.1732
7,06/20/18 04:54:44 PM,0.2327,0.1739
8,06/20/18 05:24:44 PM,0.2327,0.1739
9,06/20/18 05:54:44 PM,0.2334,0.1746
10,06/20/18 06:24:44 PM,0.2334,0.1746
11,06/20/18 06:54:44 PM,0.2342,0.1739
12,06/20/18 07:24:44 PM,0.2342,0.1739
13,06/20/18 07:54:44 PM,0.2342,0.1739
14,06/20/18 08:24:44 PM,0.2342,0.1739
15,06/20/18 08:54:44 PM,0.2342,0.1739
16,06/20/18 09:24:44 PM,0.2342,0.1739
17,06/20/18 09:54:44 PM,0.2342,0.1739
18,06/20/18 10:24:44 PM,0.2342,0.1739
19,06/20/18 10:54:44 PM,0.2349,0.1732
20,06/20/18 11:24:44 PM,0.2342,0.1739
21,06/20/18 11:54:44 PM,0.2342,0.1739
22,06/21/18 12:24:44 AM,0.2349,0.1732
23,06/21/18 12:54:44 AM,0.2349,0.1732
24,06/21/18 01:24:44 AM,0.2349,0.1739
25,06/21/18 01:54:44 AM,0.2349,0.1732
26,06/21/18 02:24:44 AM,0.2356,0.1732
27,06/21/18 02:54:44 AM,0.2349,0.1732
28,06/21/18 03:24:44 AM,0.2356,0.1732
29,06/21/18 03:54:44 AM,0.2356,0.1732
30,06/21/18 04:24:44 AM,0.2371,0.1732
31,06/21/18 04:54:44 AM,0.2356,0.1732
32,06/21/18 05:24:44 AM,0.2363,0.1732
33,06/21/18 05:54:44 AM,0.2356,0.1732
34,06/21/18 06:24:44 AM,0.2356,0.1732
35,06/21/18 06:54:44 AM,0.2363,0.1732
36,06/21/18 07:24:44 AM,0.2371,0.1732
37,06/21/18 07:54:44 AM,0.2363,0.1732
38,06/21/18 08:24:44 AM,0.2363,0.1732
39,06/21/18 08:54:44 AM,0.2371,0.1732
40,06/21/18 09:24:44 AM,0.2363,0.1732
41,06/21/18 09:54:44 AM,0.2363,0.1732
42,06/21/18 10:24:44 AM,0.2363,0.1732
43,06/21/18 10:54:44 AM,0.2356,0.1724
44,06/21/18 11:24:44 AM,0.2356,0.1724
45,06/21/18 11:54:44 AM,0.2349,0.1717
46,06/21/18 12:24:44 PM,0.2356,0.1717
47,06/21/18 12:54:44 PM,0.2349,0.1717
48,06/21/18 01:24:44 PM,0.2349,0.1717
49,06/21/18 01:54:44 PM,0.2349,0.1717
50,06/21/18 02:24:44 PM,0.2349,0.1710
51,06/21/18 02:54:44 PM,0.2349,0.1710
52,06/21/18 03:24:44 PM,0.2342,0.1710
53,06/21/18 03:54:44 PM,0.2342,0.1717
54,06/21/18 04:24:44 PM,0.2342,0.1717
55,06/21/18 04:54:44 PM,0.2342,0.1724
56,06/21/18 05:24:44 PM,0.2342,0.1724
57,06/21/18 05:54:44 PM,0.2334,0.1724
58,06/21/18 06:24:44 PM,0.2334,0.1724
59,06/21/18 06:54:44 PM,0.2334,0.1724
60,06/21/18 07:24:44 PM,0.2334,0.1717
61,06/21/18 07:54:44 PM,0.2334,0.1717
62,06/21/18 08:24:44 PM,0.2334,0.1724
63,06/21/18 08:54:44 PM,0.2334,0.1717
64,06/21/18 09:24:44 PM,0.2342,0.1717
65,06/21/18 09:54:44 PM,0.2334,0.1724
66,06/21/18 10:24:44 PM,0.2327,0.1717
67,06/21/18 10:54:44 PM,0.2334,0.1717
68,06/21/18 11:24:44 PM,0.2334,0.1724
69,06/21/18 11:54:44 PM,0.2334,0.1717
70,06/22/18 12:24:44 AM,0.2327,0.1717
71,06/22/18 12:54:44 AM,0.2334,0.1717
72,06/22/18 01:24:44 AM,0.2334,0.1717
73,06/22/18 01:54:44 AM,0.2327,0.1717
74,06/22/18 02:24:44 AM,0.2327,0.1717
75,06/22/18 02:54:44 AM,0.2327,0.1717
76,06/22/18 03:24:44 AM,0.2334,0.1717
77,06/22/18 03:54:44 AM,0.2334,0.1717
78,06/22/18 04:24:44 AM,0.2327,0.1717
79,06/22/18 04:54:44 AM,0.2334,0.1717
80,06/22/18 05:24:44 AM,0.2334,0.1717
81,06/22/18 05:54:44 AM,0.2334,0.1717
82,06/22/18 06:24:44 AM,0.2334,0.1717
83,06/22/18 06:54:44 AM,0.2334,0.1710
84,06/22/18 07:24:44 AM,0.2334,0.1710
85,06/22/18 07:54:44 AM,0.2334,0.1717
86,06/22/18 08:24:44 AM,0.2334,0.1717
87,06/22/18 08:54:44 AM,0.2334,0.1717
88,06/22/18 09:24:44 AM,0.2334,0.1710
89,06/22/18 09:54:44 AM,0.2334,0.1710
90,06/22/18 10:24:44 AM,0.2334,0.1710
91,06/22/18 10:54:44 AM,0.2334,0.1702
92,06/22/18 11:24:44 AM,0.2327,0.1702
93,06/22/18 11:54:44 AM,0.2327,0.1702
94,06/22/18 12:24:44 PM,0.2334,0.1702
95,06/22/18 12:54:44 PM,0.2327,0.1695
96,06/22/18 01:24:44 PM,0.2327,0.1695
97,06/22/18 01:54:44 PM,0.2327,0.1695
98,06/22/18 02:24:44 PM,0.2327,0.1688
99,06/22/18 02:54:44 PM,0.2320,0.1695
100,06/22/18 03:24:44 PM,0.2313,0.1695
101,06/22/18 03:54:44 PM,0.2313,0.1695
102,06/22/18 04:24:44 PM,0.2313,0.1688
103,06/22/18 04:54:44 PM,0.2313,0.1681
104,06/22/18 05:24:44 PM,0.2305,0.1681
105,06/22/18 05:54:44 PM,0.2305,0.1681
106,06/22/18 06:24:44 PM,0.2305,0.1681
107,06/22/18 06:54:44 PM,0.2298,0.1681
108,06/22/18 07:24:44 PM,0.2298,0.1681
109,06/22/18 07:54:44 PM,0.2298,0.1681
110,06/22/18 08:24:44 PM,0.2291,0.1681
111,06/22/18 08:54:44 PM,0.2298,0.1681
112,06/22/18 09:24:44 PM,0.2298,0.1681
113,06/22/18 09:54:44 PM,0.2305,0.1681
114,06/22/18 10:24:44 PM,0.2291,0.1681
115,06/22/18 10:54:44 PM,0.2298,0.1681
116,06/22/18 11:24:44 PM,0.2298,0.1681
117,06/22/18 11:54:44 PM,0.2298,0.1681
118,06/23/18 12:24:44 AM,0.2291,0.1681
119,06/23/18 12:54:44 AM,0.2298,0.1673
120,06/23/18 01:24:44 AM,0.2298,0.1673
121,06/23/18 01:54:44 AM,0.2291,0.1673
122,06/23/18 02:24:44 AM,0.2298,0.1673
123,06/23/18 02:54:44 AM,0.2298,0.1681
124,06/23/18 03:24:44 AM,0.2298,0.1673
125,06/23/18 03:54:44 AM,0.2298,0.1673
126,06/23/18 04:24:44 AM,0.2298,0.1673
127,06/23/18 04:54:44 AM,0.2291,0.1681
128,06/23/18 05:24:44 AM,0.2298,0.1681
129,06/23/18 05:54:44 AM,0.2298,0.1673
130,06/23/18 06:24:44 AM,0.2298,0.1673
131,06/23/18 06:54:44 AM,0.2298,0.1673
132,06/23/18 07:24:44 AM,0.2298,0.1673
133,06/23/18 07:54:44 AM,0.2298,0.1681
134,06/23/18 08:24:44 AM,0.2298,0.1673
135,06/23/18 08:54:44 AM,0.2298,0.1681
136,06/23/18 09:24:44 AM,0.2305,0.1673
137,06/23/18 09:54:44 AM,0.2298,0.1673
138,06/23/18 10:24:44 AM,0.2298,0.1666
139,06/23/18 10:54:44 AM,0.2291,0.1673
140,06/23/18 11:24:44 AM,0.2291,0.1666
141,06/23/18 11:54:44 AM,0.2305,0.1666
142,06/23/18 12:24:44 PM,0.2291,0.1666
143,06/23/18 12:54:44 PM,0.2291,0.1666
144,06/23/18 01:24:44 PM,0.2298,0.1659
145,06/23/18 01:54:44 PM,0.2291,0.1659
146,06/23/18 02:24:44 PM,0.2291,0.1659
147,06/23/18 02:54:44 PM,0.2291,0.1659
148,06/23/18 03:24:44 PM,0.2291,0.1659
149,06/23/18 03:54:44 PM,0.2284,0.1659
150,06/23/18 04:24:44 PM,0.2284,0.1659
151,06/23/18 04:54:44 PM,0.2276,0.1659
152,06/23/18 05:24:44 PM,0.2276,0.1659
153,06/23/18 05:54:44 PM,0.2276,0.1652
154,06/23/18 06:24:44 PM,0.2269,0.1659
155,06/23/18 06:54:44 PM,0.2269,0.1652
156,06/23/18 07:24:44 PM,0.2269,0.1652
157,06/23/18 07:54:44 PM,0.2269,0.1659
158,06/23/18 08:24:44 PM,0.2269,0.1652
159,06/23/18 08:54:44 PM,0.2262,0.1659
160,06/23/18 09:24:44 PM,0.2269,0.1652
161,06/23/18 09:54:44 PM,0.2269,0.1652
162,06/23/18 10:24:44 PM,0.2262,0.1652
163,06/23/18 10:54:44 PM,0.2269,0.1652
