"Plot Title: 20376531"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376531, SEN S/N: 20376531)","Coupler Detached (LGR S/N: 20376531)","Coupler Attached (LGR S/N: 20376531)","Host Connected (LGR S/N: 20376531)","Stopped (LGR S/N: 20376531)","End Of File (LGR S/N: 20376531)"
1,05/16/18 06:30:52 AM,23.966,,,,,
2,05/16/18 06:31:38 AM,,Logged,,,,
3,05/16/18 08:30:52 AM,22.717,,,,,
4,05/16/18 10:30:52 AM,29.352,,,,,
5,05/16/18 12:30:52 PM,30.862,,,,,
6,05/16/18 02:30:52 PM,27.961,,,,,
7,05/16/18 04:30:52 PM,26.488,,,,,
8,05/16/18 06:30:52 PM,25.610,,,,,
9,05/16/18 08:30:52 PM,24.641,,,,,
10,05/16/18 10:30:52 PM,23.677,,,,,
11,05/17/18 12:30:52 AM,22.812,,,,,
12,05/17/18 02:30:52 AM,22.429,,,,,
13,05/17/18 04:30:52 AM,22.333,,,,,
14,05/17/18 06:30:52 AM,22.238,,,,,
15,05/17/18 08:30:52 AM,22.333,,,,,
16,05/17/18 10:30:52 AM,23.388,,,,,
17,05/17/18 12:30:52 PM,24.255,,,,,
18,05/17/18 02:30:52 PM,24.835,,,,,
19,05/17/18 04:30:52 PM,25.319,,,,,
20,05/17/18 06:30:52 PM,25.125,,,,,
21,05/17/18 08:30:52 PM,24.255,,,,,
22,05/17/18 10:30:52 PM,23.677,,,,,
23,05/18/18 12:30:52 AM,23.484,,,,,
24,05/18/18 02:30:52 AM,23.292,,,,,
25,05/18/18 04:30:52 AM,23.004,,,,,
26,05/18/18 06:30:52 AM,22.717,,,,,
27,05/18/18 08:30:52 AM,23.292,,,,,
28,05/18/18 10:30:52 AM,24.448,,,,,
29,05/18/18 12:30:52 PM,26.488,,,,,
30,05/18/18 02:30:52 PM,26.781,,,,,
31,05/18/18 04:30:52 PM,26.879,,,,,
32,05/18/18 06:30:52 PM,26.000,,,,,
33,05/18/18 08:30:52 PM,24.835,,,,,
34,05/18/18 10:30:52 PM,24.158,,,,,
35,05/19/18 12:30:52 AM,23.677,,,,,
36,05/19/18 02:30:52 AM,23.388,,,,,
37,05/19/18 04:30:52 AM,23.100,,,,,
38,05/19/18 06:30:52 AM,22.717,,,,,
39,05/19/18 08:30:52 AM,22.525,,,,,
40,05/19/18 10:30:52 AM,22.429,,,,,
41,05/19/18 12:30:52 PM,22.812,,,,,
42,05/19/18 02:30:52 PM,23.004,,,,,
43,05/19/18 04:30:52 PM,23.100,,,,,
44,05/19/18 06:30:52 PM,23.100,,,,,
45,05/19/18 08:30:52 PM,22.908,,,,,
46,05/19/18 10:30:52 PM,22.717,,,,,
47,05/20/18 12:30:52 AM,22.333,,,,,
48,05/20/18 02:30:52 AM,22.046,,,,,
49,05/20/18 04:30:52 AM,22.046,,,,,
50,05/20/18 06:30:52 AM,21.951,,,,,
51,05/20/18 08:30:52 AM,22.142,,,,,
52,05/20/18 10:30:52 AM,23.196,,,,,
53,05/20/18 12:30:52 PM,25.222,,,,,
54,05/20/18 02:30:52 PM,26.097,,,,,
55,05/20/18 04:30:52 PM,26.390,,,,,
56,05/20/18 06:30:52 PM,25.902,,,,,
57,05/20/18 08:30:52 PM,24.835,,,,,
58,05/20/18 10:30:52 PM,23.869,,,,,
59,05/21/18 12:30:52 AM,23.196,,,,,
60,05/21/18 02:30:52 AM,22.717,,,,,
61,05/21/18 04:30:52 AM,22.238,,,,,
62,05/21/18 06:30:52 AM,21.855,,,,,
63,05/21/18 08:30:52 AM,22.333,,,,,
64,05/21/18 10:30:52 AM,24.158,,,,,
65,05/21/18 12:30:52 PM,26.879,,,,,
66,05/21/18 02:30:52 PM,26.488,,,,,
67,05/21/18 04:30:52 PM,28.060,,,,,
68,05/21/18 06:30:52 PM,27.272,,,,,
69,05/21/18 08:30:52 PM,25.805,,,,,
70,05/21/18 10:30:52 PM,24.641,,,,,
71,05/22/18 12:30:52 AM,23.966,,,,,
72,05/22/18 02:30:52 AM,23.388,,,,,
73,05/22/18 04:30:52 AM,22.717,,,,,
74,05/22/18 06:30:52 AM,22.429,,,,,
75,05/22/18 08:30:52 AM,22.621,,,,,
76,05/22/18 10:30:52 AM,24.062,,,,,
77,05/22/18 12:30:52 PM,25.610,,,,,
78,05/22/18 02:30:52 PM,27.764,,,,,
79,05/22/18 04:30:52 PM,28.953,,,,,
80,05/22/18 06:30:52 PM,27.567,,,,,
81,05/22/18 08:30:52 PM,26.195,,,,,
82,05/22/18 10:30:52 PM,24.931,,,,,
83,05/23/18 12:30:52 AM,24.255,,,,,
84,05/23/18 02:30:52 AM,23.773,,,,,
85,05/23/18 04:30:52 AM,23.196,,,,,
86,05/23/18 06:30:52 AM,22.812,,,,,
87,05/23/18 08:30:52 AM,23.292,,,,,
88,05/23/18 10:30:52 AM,25.028,,,,,
89,05/23/18 12:30:52 PM,28.357,,,,,
90,05/23/18 02:30:52 PM,27.961,,,,,
91,05/23/18 04:30:52 PM,27.173,,,,,
92,05/23/18 06:30:52 PM,27.173,,,,,
93,05/23/18 08:30:52 PM,26.000,,,,,
94,05/23/18 10:30:52 PM,24.738,,,,,
95,05/24/18 12:30:52 AM,23.966,,,,,
96,05/24/18 02:30:52 AM,23.388,,,,,
97,05/24/18 04:30:52 AM,22.812,,,,,
98,05/24/18 06:30:52 AM,22.525,,,,,
99,05/24/18 08:30:52 AM,22.812,,,,,
100,05/24/18 10:30:52 AM,24.062,,,,,
101,05/24/18 12:30:52 PM,27.075,,,,,
102,05/24/18 02:30:52 PM,28.258,,,,,
103,05/24/18 04:30:52 PM,27.173,,,,,
104,05/24/18 06:30:52 PM,26.292,,,,,
105,05/24/18 08:30:52 PM,25.222,,,,,
106,05/24/18 10:30:52 PM,24.351,,,,,
107,05/25/18 12:30:52 AM,23.677,,,,,
108,05/25/18 02:30:52 AM,23.388,,,,,
109,05/25/18 04:30:52 AM,23.100,,,,,
110,05/25/18 06:30:52 AM,22.812,,,,,
111,05/25/18 08:30:52 AM,23.100,,,,,
112,05/25/18 10:30:52 AM,25.319,,,,,
113,05/25/18 12:30:52 PM,27.075,,,,,
114,05/25/18 02:30:52 PM,26.781,,,,,
115,05/25/18 04:30:52 PM,27.173,,,,,
116,05/25/18 06:30:52 PM,26.977,,,,,
117,05/25/18 08:30:52 PM,25.805,,,,,
118,05/25/18 10:30:52 PM,24.545,,,,,
119,05/26/18 12:30:52 AM,23.677,,,,,
120,05/26/18 02:30:52 AM,23.004,,,,,
121,05/26/18 04:30:52 AM,22.525,,,,,
122,05/26/18 06:30:52 AM,22.142,,,,,
123,05/26/18 08:30:52 AM,22.429,,,,,
124,05/26/18 10:30:52 AM,24.835,,,,,
125,05/26/18 12:30:52 PM,27.665,,,,,
126,05/26/18 02:30:52 PM,29.752,,,,,
127,05/26/18 04:30:52 PM,29.152,,,,,
128,05/26/18 06:30:52 PM,28.060,,,,,
129,05/26/18 08:30:52 PM,26.488,,,,,
130,05/26/18 10:30:52 PM,25.222,,,,,
131,05/27/18 12:30:52 AM,24.448,,,,,
132,05/27/18 02:30:52 AM,23.677,,,,,
133,05/27/18 04:30:52 AM,23.196,,,,,
134,05/27/18 06:30:52 AM,22.621,,,,,
135,05/27/18 08:30:52 AM,23.196,,,,,
136,05/27/18 10:30:52 AM,24.931,,,,,
137,05/27/18 12:30:52 PM,27.468,,,,,
138,05/27/18 02:30:52 PM,29.053,,,,,
139,05/27/18 04:30:52 PM,27.961,,,,,
140,05/27/18 06:30:52 PM,26.977,,,,,
141,05/27/18 08:30:52 PM,25.805,,,,,
142,05/27/18 10:30:52 PM,25.028,,,,,
143,05/28/18 12:30:52 AM,24.351,,,,,
144,05/28/18 02:30:52 AM,24.062,,,,,
145,05/28/18 04:30:52 AM,23.677,,,,,
146,05/28/18 06:30:52 AM,23.581,,,,,
147,05/28/18 08:30:52 AM,23.484,,,,,
148,05/28/18 10:30:52 AM,23.484,,,,,
149,05/28/18 12:30:52 PM,23.677,,,,,
150,05/28/18 02:30:52 PM,23.773,,,,,
151,05/28/18 04:30:52 PM,24.738,,,,,
152,05/28/18 06:30:52 PM,24.835,,,,,
153,05/28/18 08:30:52 PM,24.545,,,,,
154,05/28/18 10:30:52 PM,24.062,,,,,
155,05/29/18 12:30:52 AM,23.773,,,,,
156,05/29/18 02:30:52 AM,23.677,,,,,
157,05/29/18 04:30:52 AM,23.581,,,,,
158,05/29/18 06:30:52 AM,23.484,,,,,
159,05/29/18 08:30:52 AM,23.773,,,,,
160,05/29/18 10:30:52 AM,24.931,,,,,
161,05/29/18 12:30:52 PM,27.862,,,,,
162,05/29/18 02:30:52 PM,29.652,,,,,
163,05/29/18 04:30:52 PM,29.953,,,,,
164,05/29/18 06:30:52 PM,29.053,,,,,
165,05/29/18 08:30:52 PM,27.468,,,,,
166,05/29/18 10:30:52 PM,26.195,,,,,
167,05/30/18 12:30:52 AM,25.513,,,,,
168,05/30/18 02:30:52 AM,25.028,,,,,
169,05/30/18 04:30:52 AM,24.835,,,,,
170,05/30/18 06:30:52 AM,24.545,,,,,
171,05/30/18 08:30:52 AM,24.835,,,,,
172,05/30/18 10:30:52 AM,25.805,,,,,
173,05/30/18 12:30:52 PM,26.390,,,,,
174,05/30/18 02:30:52 PM,29.953,,,,,
175,05/30/18 04:30:52 PM,30.457,,,,,
176,05/30/18 06:30:52 PM,29.152,,,,,
177,05/30/18 08:30:52 PM,27.665,,,,,
178,05/30/18 10:30:52 PM,26.585,,,,,
179,05/31/18 12:30:52 AM,25.805,,,,,
180,05/31/18 02:30:52 AM,25.125,,,,,
181,05/31/18 04:30:52 AM,24.738,,,,,
182,05/31/18 06:30:52 AM,24.448,,,,,
183,05/31/18 08:30:52 AM,24.738,,,,,
184,05/31/18 10:30:52 AM,26.488,,,,,
185,05/31/18 12:30:52 PM,29.152,,,,,
186,05/31/18 02:30:52 PM,30.255,,,,,
187,05/31/18 04:30:52 PM,30.659,,,,,
188,05/31/18 06:30:52 PM,29.152,,,,,
189,05/31/18 08:30:52 PM,27.665,,,,,
190,05/31/18 10:30:52 PM,26.683,,,,,
191,06/01/18 12:30:52 AM,26.000,,,,,
192,06/01/18 02:30:52 AM,25.319,,,,,
193,06/01/18 04:30:52 AM,24.835,,,,,
194,06/01/18 06:30:52 AM,24.738,,,,,
195,06/01/18 08:30:52 AM,25.028,,,,,
196,06/01/18 10:30:52 AM,26.977,,,,,
197,06/01/18 12:30:52 PM,30.862,,,,,
198,06/01/18 02:30:52 PM,33.014,,,,,
199,06/01/18 04:30:52 PM,32.704,,,,,
200,06/01/18 06:30:52 PM,31.064,,,,,
201,06/01/18 08:30:52 PM,29.053,,,,,
202,06/01/18 10:30:52 PM,27.567,,,,,
203,06/02/18 12:30:52 AM,26.683,,,,,
204,06/02/18 02:30:52 AM,26.000,,,,,
205,06/02/18 04:30:52 AM,25.222,,,,,
206,06/02/18 06:30:52 AM,24.545,,,,,
207,06/02/18 08:30:52 AM,24.641,,,,,
208,06/02/18 10:30:52 AM,26.683,,,,,
209,06/02/18 12:30:52 PM,31.166,,,,,
210,06/02/18 02:30:52 PM,33.014,,,,,
211,06/02/18 04:30:52 PM,32.394,,,,,
212,06/02/18 06:30:52 PM,30.760,,,,,
213,06/02/18 08:30:52 PM,28.853,,,,,
214,06/02/18 10:30:52 PM,27.665,,,,,
215,06/03/18 12:30:52 AM,26.585,,,,,
216,06/03/18 02:30:52 AM,25.902,,,,,
217,06/03/18 04:30:52 AM,25.222,,,,,
218,06/03/18 06:30:52 AM,24.931,,,,,
219,06/03/18 08:30:52 AM,25.028,,,,,
220,06/03/18 10:30:52 AM,27.075,,,,,
221,06/03/18 12:30:52 PM,30.659,,,,,
222,06/03/18 02:30:52 PM,31.472,,,,,
223,06/03/18 04:30:52 PM,31.268,,,,,
224,06/03/18 06:30:52 PM,30.154,,,,,
225,06/03/18 08:30:52 PM,28.555,,,,,
226,06/03/18 10:30:52 PM,27.272,,,,,
227,06/04/18 12:30:52 AM,26.390,,,,,
228,06/04/18 02:30:52 AM,26.097,,,,,
229,06/04/18 04:30:52 AM,25.708,,,,,
230,06/04/18 06:30:52 AM,25.125,,,,,
231,06/04/18 08:30:52 AM,25.319,,,,,
232,06/04/18 10:30:52 AM,27.173,,,,,
233,06/04/18 12:30:52 PM,31.268,,,,,
234,06/04/18 02:30:52 PM,33.014,,,,,
235,06/04/18 04:30:52 PM,32.291,,,,,
236,06/04/18 06:30:52 PM,30.356,,,,,
237,06/04/18 08:30:52 PM,28.456,,,,,
