"Plot Title: 20376532"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376532, SEN S/N: 20376532)","Coupler Detached (LGR S/N: 20376532)","Coupler Attached (LGR S/N: 20376532)","Host Connected (LGR S/N: 20376532)","Stopped (LGR S/N: 20376532)","End Of File (LGR S/N: 20376532)"
1,05/16/18 06:33:09 AM,23.966,,,,,
2,05/16/18 06:33:40 AM,,Logged,,,,
3,05/16/18 08:33:09 AM,18.426,,,,,
4,05/16/18 10:33:09 AM,24.448,,,,,
5,05/16/18 12:33:09 PM,27.272,,,,,
6,05/16/18 02:33:09 PM,24.738,,,,,
7,05/16/18 04:33:09 PM,24.545,,,,,
8,05/16/18 06:33:09 PM,24.062,,,,,
9,05/16/18 08:33:09 PM,23.581,,,,,
10,05/16/18 10:33:09 PM,23.004,,,,,
11,05/17/18 12:33:09 AM,22.429,,,,,
12,05/17/18 02:33:09 AM,22.046,,,,,
13,05/17/18 04:33:09 AM,21.855,,,,,
14,05/17/18 06:33:09 AM,21.760,,,,,
15,05/17/18 08:33:09 AM,21.760,,,,,
16,05/17/18 10:33:09 AM,22.238,,,,,
17,05/17/18 12:33:09 PM,22.621,,,,,
18,05/17/18 02:33:09 PM,23.196,,,,,
19,05/17/18 04:33:09 PM,23.677,,,,,
20,05/17/18 06:33:09 PM,23.677,,,,,
21,05/17/18 08:33:09 PM,23.292,,,,,
22,05/17/18 10:33:09 PM,22.908,,,,,
23,05/18/18 12:33:09 AM,22.812,,,,,
24,05/18/18 02:33:09 AM,22.621,,,,,
25,05/18/18 04:33:09 AM,22.525,,,,,
26,05/18/18 06:33:09 AM,22.333,,,,,
27,05/18/18 08:33:09 AM,22.429,,,,,
28,05/18/18 10:33:09 AM,23.004,,,,,
29,05/18/18 12:33:09 PM,23.773,,,,,
30,05/18/18 02:33:09 PM,24.545,,,,,
31,05/18/18 04:33:09 PM,24.738,,,,,
32,05/18/18 06:33:09 PM,24.448,,,,,
33,05/18/18 08:33:09 PM,23.966,,,,,
34,05/18/18 10:33:09 PM,23.388,,,,,
35,05/19/18 12:33:09 AM,23.100,,,,,
