Plot Title: 20376534,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 20376534, SEN S/N: 20376534)",Coupler Detached (LGR S/N: 20376534),Coupler Attached (LGR S/N: 20376534),Host Connected (LGR S/N: 20376534),Stopped (LGR S/N: 20376534),End Of File (LGR S/N: 20376534)
1,06/20/18 06:36:31 AM,77.4,,,,,
2,06/20/18 06:38:09 AM,,Logged,,,,
3,06/20/18 08:36:31 AM,76.354,,,,,
4,06/20/18 10:36:31 AM,93.682,,,,,
5,06/20/18 12:36:31 PM,104.54,,,,,
6,06/20/18 02:36:31 PM,101.887,,,,,
7,06/20/18 04:36:31 PM,78.274,,,,,
8,06/20/18 06:36:31 PM,84.295,,,,,
9,06/20/18 08:36:31 PM,72.372,,,,,
10,06/20/18 10:36:31 PM,70.824,,,,,
11,06/21/18 12:36:31 AM,70.48,,,,,
12,06/21/18 02:36:31 AM,71.856,,,,,
13,06/21/18 04:36:31 AM,72.545,,,,,
14,06/21/18 06:36:31 AM,72.718,,,,,
15,06/21/18 08:36:31 AM,75.659,,,,,
16,06/21/18 10:36:31 AM,76.876,,,,,
17,06/21/18 12:36:31 PM,76.876,,,,,
18,06/21/18 02:36:31 PM,76.181,,,,,
19,06/21/18 04:36:31 PM,75.659,,,,,
20,06/21/18 06:36:31 PM,75.484,,,,,
21,06/21/18 08:36:31 PM,75.659,,,,,
22,06/21/18 10:36:31 PM,75.312,,,,,
23,06/22/18 12:36:31 AM,74.098,,,,,
24,06/22/18 02:36:31 AM,74.098,,,,,
25,06/22/18 04:36:31 AM,74.271,,,,,
26,06/22/18 06:36:31 AM,74.446,,,,,
27,06/22/18 08:36:31 AM,75.832,,,,,
28,06/22/18 10:36:31 AM,76.703,,,,,
29,06/22/18 12:36:31 PM,77.225,,,,,
30,06/22/18 02:36:31 PM,76.181,,,,,
31,06/22/18 04:36:31 PM,75.832,,,,,
32,06/22/18 06:36:31 PM,75.484,,,,,
33,06/22/18 08:36:31 PM,76.006,,,,,
34,06/22/18 10:36:31 PM,75.659,,,,,
35,06/23/18 12:36:31 AM,74.619,,,,,
36,06/23/18 02:36:31 AM,74.098,,,,,
37,06/23/18 04:36:31 AM,74.271,,,,,
38,06/23/18 06:36:31 AM,74.619,,,,,
39,06/23/18 08:36:31 AM,75.832,,,,,
40,06/23/18 10:36:31 AM,77.05,,,,,
41,06/23/18 12:36:31 PM,76.703,,,,,
42,06/23/18 02:36:31 PM,76.006,,,,,
43,06/23/18 04:36:31 PM,75.484,,,,,
44,06/23/18 06:36:31 PM,75.312,,,,,
45,06/23/18 08:36:31 PM,76.006,,,,,
46,06/23/18 10:36:31 PM,75.484,,,,,
47,06/24/18 12:36:31 AM,74.446,,,,,
48,06/24/18 02:36:31 AM,72.891,,,,,
49,06/24/18 04:36:31 AM,71.856,,,,,
50,06/24/18 06:36:31 AM,72.891,,,,,
51,06/24/18 08:36:31 AM,74.619,,,,,
52,06/24/18 10:36:31 AM,76.006,,,,,
53,06/24/18 12:36:31 PM,76.876,,,,,
54,06/24/18 02:36:31 PM,76.354,,,,,
55,06/24/18 04:36:31 PM,75.659,,,,,
56,06/24/18 06:36:31 PM,75.484,,,,,
57,06/24/18 08:36:31 PM,76.703,,,,,
58,06/24/18 10:36:31 PM,75.659,,,,,
59,06/25/18 12:36:31 AM,74.446,,,,,
60,06/25/18 02:36:31 AM,74.271,,,,,
61,06/25/18 04:36:31 AM,74.619,,,,,
62,06/25/18 06:36:31 AM,74.619,,,,,
63,06/25/18 08:36:31 AM,75.484,,,,,
64,06/25/18 10:36:31 AM,76.181,,,,,
65,06/25/18 12:36:31 PM,76.876,,,,,
66,06/25/18 02:36:31 PM,76.703,,,,,
67,06/25/18 04:36:31 PM,75.832,,,,,
68,06/25/18 06:36:31 PM,74.964,,,,,
69,06/25/18 08:36:31 PM,75.659,,,,,
70,06/25/18 10:36:31 PM,74.619,,,,,
71,06/26/18 12:36:31 AM,73.753,,,,,
72,06/26/18 02:36:31 AM,74.098,,,,,
73,06/26/18 04:36:31 AM,74.446,,,,,
74,06/26/18 06:36:31 AM,74.619,,,,,
75,06/26/18 08:36:31 AM,75.484,,,,,
76,06/26/18 10:36:31 AM,75.484,,,,,
77,06/26/18 12:36:31 PM,76.006,,,,,
78,06/26/18 02:36:31 PM,76.181,,,,,
79,06/26/18 04:36:31 PM,76.528,,,,,
80,06/26/18 06:36:31 PM,76.528,,,,,
81,06/26/18 08:36:31 PM,76.354,,,,,
82,06/26/18 10:36:31 PM,74.446,,,,,
83,06/27/18 12:36:31 AM,73.58,,,,,
84,06/27/18 02:36:31 AM,73.926,,,,,
85,06/27/18 04:36:31 AM,73.926,,,,,
86,06/27/18 06:36:31 AM,73.926,,,,,
87,06/27/18 08:36:31 AM,76.006,,,,,
88,06/27/18 10:36:31 AM,77.749,,,,,
89,06/27/18 12:36:31 PM,78.098,,,,,
