"Plot Title: 20377493"
"#","Date Time, GMT-05:00","Water Content, m³/m³ (LGR S/N: 20377493, SEN S/N: 20377881)","Water Content, m³/m³ (LGR S/N: 20377493, SEN S/N: 20377885)"
1,11/13/18 11:58:49 AM,0.3889,0.4513
2,11/13/18 12:28:49 PM,0.3896,0.4528
3,11/13/18 12:58:49 PM,0.3896,0.4528
4,11/13/18 01:28:49 PM,0.3903,0.4528
5,11/13/18 01:58:49 PM,0.3911,0.4528
6,11/13/18 02:28:49 PM,0.3911,0.4528
7,11/13/18 02:58:49 PM,0.3932,0.4528
8,11/13/18 03:28:49 PM,0.3932,0.4528
9,11/13/18 03:58:49 PM,0.3932,0.4528
10,11/13/18 04:28:49 PM,0.3940,0.4528
11,11/13/18 04:58:49 PM,0.3947,0.4528
12,11/13/18 05:28:49 PM,0.3954,0.4528
13,11/13/18 05:58:49 PM,0.3961,0.4535
14,11/13/18 06:28:49 PM,0.3969,0.4528
15,11/13/18 06:58:49 PM,0.3976,0.4528
16,11/13/18 07:28:49 PM,0.3983,0.4528
17,11/13/18 07:58:49 PM,0.3990,0.4535
18,11/13/18 08:28:49 PM,0.3990,0.4528
19,11/13/18 08:58:49 PM,0.3998,0.4528
20,11/13/18 09:28:49 PM,0.3998,0.4528
21,11/13/18 09:58:49 PM,0.4005,0.4535
22,11/13/18 10:28:49 PM,0.4012,0.4528
23,11/13/18 10:58:49 PM,0.4012,0.4528
24,11/13/18 11:28:49 PM,0.4012,0.4528
25,11/13/18 11:58:49 PM,0.4019,0.4528
26,11/14/18 12:28:49 AM,0.4027,0.4535
27,11/14/18 12:58:49 AM,0.4027,0.4535
28,11/14/18 01:28:49 AM,0.4027,0.4535
29,11/14/18 01:58:49 AM,0.4034,0.4535
30,11/14/18 02:28:49 AM,0.4034,0.4535
31,11/14/18 02:58:49 AM,0.4034,0.4535
32,11/14/18 03:28:49 AM,0.4034,0.4535
33,11/14/18 03:58:49 AM,0.4041,0.4535
34,11/14/18 04:28:49 AM,0.4049,0.4535
35,11/14/18 04:58:49 AM,0.4041,0.4535
36,11/14/18 05:28:49 AM,0.4049,0.4542
37,11/14/18 05:58:49 AM,0.4056,0.4542
38,11/14/18 06:28:49 AM,0.4056,0.4535
39,11/14/18 06:58:49 AM,0.4063,0.4535
40,11/14/18 07:28:49 AM,0.4063,0.4535
41,11/14/18 07:58:49 AM,0.4070,0.4542
42,11/14/18 08:28:49 AM,0.4078,0.4542
43,11/14/18 08:58:49 AM,0.4078,0.4542
44,11/14/18 09:28:49 AM,0.4078,0.4542
45,11/14/18 09:58:49 AM,0.4085,0.4542
46,11/14/18 10:28:49 AM,0.4085,0.4542
47,11/14/18 10:58:49 AM,0.4085,0.4542
48,11/14/18 11:28:49 AM,0.4085,0.4542
49,11/14/18 11:58:49 AM,0.4085,0.4542
50,11/14/18 12:28:49 PM,0.4078,0.4542
51,11/14/18 12:58:49 PM,0.4085,0.4542
52,11/14/18 01:28:49 PM,0.4085,0.4542
53,11/14/18 01:58:49 PM,0.4092,0.4542
54,11/14/18 02:28:49 PM,0.4092,0.4542
55,11/14/18 02:58:49 PM,0.4099,0.4542
56,11/14/18 03:28:49 PM,0.4099,0.4542
57,11/14/18 03:58:49 PM,0.4099,0.4542
58,11/14/18 04:28:49 PM,0.4107,0.4542
59,11/14/18 04:58:49 PM,0.4107,0.4542
60,11/14/18 05:28:49 PM,0.4114,0.4542
61,11/14/18 05:58:49 PM,0.4114,0.4542
62,11/14/18 06:28:49 PM,0.4121,0.4542
63,11/14/18 06:58:49 PM,0.4121,0.4542
