"Plot Title: ;"
"#","Date Time, GMT-05:00","Water Content, m³/m³ (LGR S/N: 20360220, SEN S/N: 20369779)","Water Content, m³/m³ (LGR S/N: 20360220, SEN S/N: 20369780)"
1,11/13/18 12:50:11 PM,0.3584,0.3642
2,11/13/18 01:20:11 PM,0.3591,0.3642
3,11/13/18 01:50:11 PM,0.3591,0.3642
4,11/13/18 02:20:11 PM,0.3584,0.3635
5,11/13/18 02:50:11 PM,0.3591,0.3642
6,11/13/18 03:20:11 PM,0.3584,0.3642
7,11/13/18 03:50:11 PM,0.3584,0.3642
8,11/13/18 04:20:11 PM,0.3584,0.3635
9,11/13/18 04:50:11 PM,0.3584,0.3635
10,11/13/18 05:20:11 PM,0.3584,0.3635
11,11/13/18 05:50:11 PM,0.3584,0.3635
12,11/13/18 06:20:11 PM,0.3584,0.3635
13,11/13/18 06:50:11 PM,0.3584,0.3635
14,11/13/18 07:20:11 PM,0.3584,0.3635
15,11/13/18 07:50:11 PM,0.3584,0.3642
16,11/13/18 08:20:11 PM,0.3591,0.3635
17,11/13/18 08:50:11 PM,0.3591,0.3642
18,11/13/18 09:20:11 PM,0.3591,0.3635
19,11/13/18 09:50:11 PM,0.3591,0.3635
20,11/13/18 10:20:11 PM,0.3591,0.3642
21,11/13/18 10:50:11 PM,0.3591,0.3642
22,11/13/18 11:20:11 PM,0.3598,0.3642
23,11/13/18 11:50:11 PM,0.3598,0.3642
24,11/14/18 12:20:11 AM,0.3598,0.3642
25,11/14/18 12:50:11 AM,0.3598,0.3642
26,11/14/18 01:20:11 AM,0.3605,0.3642
27,11/14/18 01:50:11 AM,0.3605,0.3649
28,11/14/18 02:20:11 AM,0.3605,0.3649
29,11/14/18 02:50:11 AM,0.3605,0.3649
30,11/14/18 03:20:11 AM,0.3605,0.3649
31,11/14/18 03:50:11 AM,0.3605,0.3649
32,11/14/18 04:20:11 AM,0.3613,0.3649
33,11/14/18 04:50:11 AM,0.3613,0.3649
34,11/14/18 05:20:11 AM,0.3613,0.3656
35,11/14/18 05:50:11 AM,0.3613,0.3649
36,11/14/18 06:20:11 AM,0.3613,0.3656
37,11/14/18 06:50:11 AM,0.3613,0.3664
38,11/14/18 07:20:11 AM,0.3620,0.3664
39,11/14/18 07:50:11 AM,0.3627,0.3656
40,11/14/18 08:20:11 AM,0.3620,0.3664
41,11/14/18 08:50:11 AM,0.3627,0.3664
42,11/14/18 09:20:11 AM,0.3627,0.3671
43,11/14/18 09:50:11 AM,0.3627,0.3664
44,11/14/18 10:20:11 AM,0.3627,0.3664
45,11/14/18 10:50:11 AM,0.3627,0.3671
46,11/14/18 11:20:11 AM,0.3627,0.3671
47,11/14/18 11:50:11 AM,0.3627,0.3671
48,11/14/18 12:20:11 PM,0.3620,0.3664
49,11/14/18 12:50:11 PM,0.3620,0.3671
50,11/14/18 01:20:11 PM,0.3627,0.3671
51,11/14/18 01:50:11 PM,0.3627,0.3671
52,11/14/18 02:20:11 PM,0.3620,0.3664
53,11/14/18 02:50:11 PM,0.3627,0.3671
54,11/14/18 03:20:11 PM,0.3627,0.3671
55,11/14/18 03:50:11 PM,0.3620,0.3664
56,11/14/18 04:20:11 PM,0.3627,0.3671
57,11/14/18 04:50:11 PM,0.3627,0.3671
58,11/14/18 05:20:11 PM,0.3627,0.3671
59,11/14/18 05:50:11 PM,0.3627,0.3671
60,11/14/18 06:20:11 PM,0.3627,0.3678
61,11/14/18 06:50:11 PM,0.3627,0.3671
62,11/14/18 07:20:11 PM,0.3627,0.3678
63,11/14/18 07:50:11 PM,0.3627,0.3678
64,11/14/18 08:20:11 PM,0.3627,0.3678
65,11/14/18 08:50:11 PM,0.3635,0.3678
66,11/14/18 09:20:11 PM,0.3627,0.3678
67,11/14/18 09:50:11 PM,0.3635,0.3678
68,11/14/18 10:20:11 PM,0.3627,0.3678
69,11/14/18 10:50:11 PM,0.3635,0.3678
70,11/14/18 11:20:11 PM,0.3627,0.3671
71,11/14/18 11:50:11 PM,0.3627,0.3678
72,11/15/18 12:20:11 AM,0.3627,0.3671
73,11/15/18 12:50:11 AM,0.3627,0.3671
74,11/15/18 01:20:11 AM,0.3627,0.3671
75,11/15/18 01:50:11 AM,0.3627,0.3671
76,11/15/18 02:20:11 AM,0.3627,0.3671
77,11/15/18 02:50:11 AM,0.3627,0.3671
78,11/15/18 03:20:11 AM,0.3642,0.3678
79,11/15/18 03:50:11 AM,0.3642,0.3671
80,11/15/18 04:20:11 AM,0.3649,0.3678
81,11/15/18 04:50:11 AM,0.3649,0.3678
82,11/15/18 05:20:11 AM,0.3649,0.3678
83,11/15/18 05:50:11 AM,0.3649,0.3678
84,11/15/18 06:20:11 AM,0.3649,0.3678
85,11/15/18 06:50:11 AM,0.3649,0.3678
86,11/15/18 07:20:11 AM,0.3649,0.3678
87,11/15/18 07:50:11 AM,0.3649,0.3678
88,11/15/18 08:20:11 AM,0.3642,0.3678
89,11/15/18 08:50:11 AM,0.3649,0.3678
90,11/15/18 09:20:11 AM,0.3642,0.3678
91,11/15/18 09:50:11 AM,0.3642,0.3678
92,11/15/18 10:20:11 AM,0.3642,0.3671
93,11/15/18 10:50:11 AM,0.3635,0.3671
94,11/15/18 11:20:11 AM,0.3635,0.3671
95,11/15/18 11:50:11 AM,0.3627,0.3664
96,11/15/18 12:20:11 PM,0.3627,0.3664
97,11/15/18 12:50:11 PM,0.3620,0.3664
98,11/15/18 01:20:11 PM,0.3620,0.3664
99,11/15/18 01:50:11 PM,0.3613,0.3664
100,11/15/18 02:20:11 PM,0.3613,0.3664
101,11/15/18 02:50:11 PM,0.3605,0.3664
102,11/15/18 03:20:11 PM,0.3605,0.3656
103,11/15/18 03:50:11 PM,0.3605,0.3656
104,11/15/18 04:20:11 PM,0.3598,0.3656
105,11/15/18 04:50:11 PM,0.3598,0.3649
106,11/15/18 05:20:11 PM,0.3598,0.3649
107,11/15/18 05:50:11 PM,0.3605,0.3649
108,11/15/18 06:20:11 PM,0.3598,0.3649
109,11/15/18 06:50:11 PM,0.3598,0.3649
110,11/15/18 07:20:11 PM,0.3598,0.3649
111,11/15/18 07:50:11 PM,0.3598,0.3649
112,11/15/18 08:20:11 PM,0.3598,0.3656
113,11/15/18 08:50:11 PM,0.3598,0.3649
114,11/15/18 09:20:11 PM,0.3605,0.3656
115,11/15/18 09:50:11 PM,0.3605,0.3656
116,11/15/18 10:20:11 PM,0.3605,0.3656
117,11/15/18 10:50:11 PM,0.3605,0.3656
118,11/15/18 11:20:11 PM,0.3613,0.3656
119,11/15/18 11:50:11 PM,0.3613,0.3656
120,11/16/18 12:20:11 AM,0.3613,0.3649
121,11/16/18 12:50:11 AM,0.3613,0.3656
122,11/16/18 01:20:11 AM,0.3613,0.3656
123,11/16/18 01:50:11 AM,0.3620,0.3656
124,11/16/18 02:20:11 AM,0.3620,0.3656
125,11/16/18 02:50:11 AM,0.3620,0.3656
126,11/16/18 03:20:11 AM,0.3620,0.3656
