"Plot Title: 20376493"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376493, SEN S/N: 20376493)","Coupler Detached (LGR S/N: 20376493)","Bad Battery (LGR S/N: 20376493)","Coupler Attached (LGR S/N: 20376493)","End Of File (LGR S/N: 20376493)"
1,06/24/19 05:47:45 PM,32.807,,,,
2,06/24/19 05:48:17 PM,,Logged,,,
3,06/24/19 07:47:45 PM,27.075,,,,
4,06/24/19 09:47:45 PM,25.222,,,,
5,06/24/19 11:47:45 PM,24.545,,,,
6,06/25/19 01:47:45 AM,23.196,,,,
7,06/25/19 03:47:45 AM,22.621,,,,
8,06/25/19 05:47:45 AM,21.951,,,,
9,06/25/19 07:47:45 AM,23.100,,,,
10,06/25/19 09:47:45 AM,24.738,,,,
11,06/25/19 11:47:45 AM,31.778,,,,
12,06/25/19 01:47:45 PM,34.479,,,,
13,06/25/19 03:47:45 PM,31.472,,,,
14,06/25/19 05:47:45 PM,31.166,,,,
15,06/25/19 07:47:45 PM,26.488,,,,
16,06/25/19 09:47:45 PM,24.351,,,,
17,06/25/19 11:47:45 PM,23.581,,,,
18,06/26/19 01:47:45 AM,22.525,,,,
19,06/26/19 03:47:45 AM,21.951,,,,
20,06/26/19 05:47:45 AM,21.473,,,,
21,06/26/19 07:47:45 AM,22.046,,,,
22,06/26/19 09:47:45 AM,24.255,,,,
23,06/26/19 11:47:45 AM,33.014,,,,
24,06/26/19 01:47:45 PM,39.502,,,,
25,06/26/19 03:47:45 PM,31.983,,,,
26,06/26/19 05:47:45 PM,29.252,,,,
27,06/26/19 07:47:45 PM,26.488,,,,
28,06/26/19 09:47:45 PM,23.773,,,,
29,06/26/19 11:47:45 PM,22.717,,,,
30,06/27/19 01:47:45 AM,21.951,,,,
31,06/27/19 03:47:45 AM,21.282,,,,
32,06/27/19 05:47:45 AM,20.805,,,,
33,06/27/19 07:47:45 AM,22.142,,,,
34,06/27/19 09:47:45 AM,25.319,,,,
35,06/27/19 11:47:45 AM,35.222,,,,
36,06/27/19 01:47:45 PM,46.722,,,,
37,06/27/19 03:47:45 PM,32.394,,,,
38,06/27/19 05:47:45 PM,32.807,,,,
39,06/27/19 07:47:45 PM,28.258,,,,
40,06/27/19 09:47:45 PM,24.835,,,,
41,06/27/19 11:47:45 PM,23.869,,,,
42,06/28/19 01:47:45 AM,22.812,,,,
43,06/28/19 03:47:45 AM,22.046,,,,
44,06/28/19 05:47:45 AM,21.473,,,,
45,06/28/19 07:47:45 AM,22.046,,,,
46,06/28/19 09:47:45 AM,25.222,,,,
47,06/28/19 11:47:45 AM,36.511,,,,
48,06/28/19 01:47:45 PM,40.530,,,,
49,06/28/19 03:47:45 PM,32.704,,,,
50,06/28/19 05:47:45 PM,29.152,,,,
51,06/28/19 07:47:45 PM,26.292,,,,
52,06/28/19 09:47:45 PM,24.641,,,,
53,06/28/19 11:47:45 PM,23.677,,,,
54,06/29/19 01:47:45 AM,22.717,,,,
55,06/29/19 03:47:45 AM,22.142,,,,
56,06/29/19 05:47:45 AM,21.855,,,,
57,06/29/19 07:47:45 AM,22.908,,,,
58,06/29/19 09:47:45 AM,25.513,,,,
59,06/29/19 11:47:45 AM,36.187,,,,
60,06/29/19 01:47:45 PM,37.384,,,,
61,06/29/19 03:47:45 PM,32.497,,,,
62,06/29/19 05:47:45 PM,30.054,,,,
63,06/29/19 07:47:45 PM,26.879,,,,
64,06/29/19 09:47:45 PM,24.641,,,,
65,06/29/19 11:47:45 PM,23.773,,,,
66,06/30/19 01:47:45 AM,23.292,,,,
67,06/30/19 03:47:45 AM,22.717,,,,
68,06/30/19 05:47:45 AM,22.238,,,,
69,06/30/19 07:47:45 AM,22.908,,,,
70,06/30/19 09:47:45 AM,25.416,,,,
71,06/30/19 11:47:45 AM,36.946,,,,
72,06/30/19 01:47:45 PM,48.421,,,,
73,06/30/19 03:47:45 PM,34.585,,,,
74,06/30/19 05:47:45 PM,33.430,,,,
75,06/30/19 07:47:45 PM,28.456,,,,
76,06/30/19 09:47:45 PM,26.000,,,,
77,06/30/19 11:47:45 PM,24.931,,,,
78,07/01/19 01:47:45 AM,23.966,,,,
79,07/01/19 03:47:45 AM,23.484,,,,
80,07/01/19 05:47:45 AM,23.004,,,,
81,07/01/19 07:47:45 AM,23.773,,,,
82,07/01/19 09:47:45 AM,25.805,,,,
83,07/01/19 11:47:45 AM,35.971,,,,
84,07/01/19 01:47:45 PM,47.238,,,,
85,07/01/19 03:47:45 PM,33.639,,,,
86,07/01/19 05:47:45 PM,32.600,,,,
87,07/01/19 07:47:45 PM,27.173,,,,
88,07/01/19 09:47:45 PM,24.255,,,,
89,07/01/19 11:47:45 PM,23.004,,,,
90,07/02/19 01:47:45 AM,22.238,,,,
91,07/02/19 03:47:45 AM,21.760,,,,
92,07/02/19 05:47:45 AM,21.473,,,,
93,07/02/19 07:47:45 AM,22.717,,,,
94,07/02/19 09:47:45 AM,25.708,,,,
95,07/02/19 11:47:45 AM,36.946,,,,
96,07/02/19 01:47:45 PM,48.554,,,,
97,07/02/19 03:47:45 PM,35.115,,,,
98,07/02/19 05:47:45 PM,33.953,,,,
99,07/02/19 07:47:45 PM,28.258,,,,
100,07/02/19 09:47:45 PM,26.390,,,,
101,07/02/19 11:47:45 PM,25.222,,,,
102,07/03/19 01:47:45 AM,24.641,,,,
103,07/03/19 03:47:45 AM,24.062,,,,
104,07/03/19 05:47:45 AM,23.292,,,,
105,07/03/19 07:47:45 AM,23.773,,,,
106,07/03/19 09:47:45 AM,26.292,,,,
107,07/03/19 11:47:45 AM,37.714,,,,
108,07/03/19 01:47:45 PM,45.201,,,,
109,07/03/19 03:47:45 PM,33.326,,,,
110,07/03/19 05:47:45 PM,33.743,,,,
111,07/03/19 07:47:45 PM,28.159,,,,
112,07/03/19 09:47:45 PM,25.708,,,,
113,07/03/19 11:47:45 PM,24.738,,,,
114,07/04/19 01:47:45 AM,23.966,,,,
115,07/04/19 03:47:45 AM,23.388,,,,
116,07/04/19 05:47:45 AM,23.004,,,,
117,07/04/19 07:47:45 AM,24.448,,,,
118,07/04/19 09:47:45 AM,26.781,,,,
119,07/04/19 11:47:45 AM,36.079,,,,
120,07/04/19 01:47:45 PM,48.687,,,,
121,07/04/19 03:47:45 PM,29.752,,,,
122,07/04/19 05:47:45 PM,25.902,,,,
123,07/04/19 07:47:45 PM,24.448,,,,
124,07/04/19 09:47:45 PM,23.581,,,,
125,07/04/19 11:47:45 PM,23.004,,,,
126,07/05/19 01:47:45 AM,23.004,,,,
127,07/05/19 03:47:45 AM,22.525,,,,
128,07/05/19 05:47:45 AM,22.525,,,,
129,07/05/19 07:47:45 AM,23.388,,,,
130,07/05/19 09:47:45 AM,26.000,,,,
131,07/05/19 11:47:45 AM,29.452,,,,
132,07/05/19 01:47:45 PM,31.778,,,,
133,07/05/19 03:47:45 PM,28.357,,,,
134,07/05/19 05:47:45 PM,27.173,,,,
135,07/05/19 07:47:45 PM,24.931,,,,
136,07/05/19 09:47:45 PM,24.545,,,,
137,07/05/19 11:47:45 PM,24.255,,,,
138,07/06/19 01:47:45 AM,24.062,,,,
139,07/06/19 03:47:45 AM,23.388,,,,
140,07/06/19 05:47:45 AM,23.292,,,,
141,07/06/19 07:47:45 AM,23.773,,,,
142,07/06/19 09:47:45 AM,25.610,,,,
143,07/06/19 11:47:45 AM,33.848,,,,
144,07/06/19 01:47:45 PM,39.957,,,,
145,07/06/19 03:47:45 PM,31.370,,,,
146,07/06/19 05:47:45 PM,28.953,,,,
147,07/06/19 07:47:45 PM,26.585,,,,
148,07/06/19 09:47:45 PM,25.416,,,,
149,07/06/19 11:47:45 PM,24.738,,,,
150,07/07/19 01:47:45 AM,24.255,,,,
151,07/07/19 03:47:45 AM,23.966,,,,
152,07/07/19 05:47:45 AM,23.773,,,,
153,07/07/19 07:47:45 AM,24.158,,,,
154,07/07/19 09:47:45 AM,25.805,,,,
155,07/07/19 11:47:45 AM,33.118,,,,
156,07/07/19 01:47:45 PM,36.837,,,,
157,07/07/19 03:47:45 PM,26.879,,,,
158,07/07/19 05:47:45 PM,27.173,,,,
159,07/07/19 07:47:45 PM,27.075,,,,
160,07/07/19 09:47:45 PM,25.610,,,,
161,07/07/19 11:47:45 PM,25.028,,,,
162,07/08/19 01:47:45 AM,24.448,,,,
163,07/08/19 03:47:45 AM,24.062,,,,
164,07/08/19 05:47:45 AM,24.351,,,,
165,07/08/19 07:47:45 AM,25.125,,,,
166,07/08/19 09:47:45 AM,27.075,,,,
167,07/08/19 11:47:45 AM,33.848,,,,
168,07/08/19 01:47:45 PM,35.756,,,,
169,07/08/19 03:47:45 PM,31.983,,,,
170,07/08/19 05:47:45 PM,27.665,,,,
171,07/08/19 07:47:45 PM,26.390,,,,
172,07/08/19 09:47:45 PM,25.319,,,,
173,07/08/19 11:47:45 PM,24.738,,,,
174,07/09/19 01:47:45 AM,24.158,,,,
175,07/09/19 03:47:45 AM,23.966,,,,
176,07/09/19 05:47:45 AM,24.158,,,,
177,07/09/19 07:47:45 AM,24.062,,,,
178,07/09/19 09:47:45 AM,24.545,,,,
179,07/09/19 11:47:45 AM,26.390,,,,
180,07/09/19 01:47:45 PM,30.963,,,,
181,07/09/19 03:47:45 PM,29.053,,,,
182,07/09/19 05:47:45 PM,28.060,,,,
183,07/09/19 07:47:45 PM,26.683,,,,
184,07/09/19 09:47:45 PM,25.222,,,,
185,07/09/19 11:47:45 PM,24.255,,,,
186,07/10/19 01:47:45 AM,23.677,,,,
187,07/10/19 03:47:45 AM,23.388,,,,
188,07/10/19 05:47:45 AM,23.004,,,,
189,07/10/19 07:47:45 AM,23.388,,,,
190,07/10/19 09:47:45 AM,25.125,,,,
191,07/10/19 11:47:45 AM,32.291,,,,
192,07/10/19 01:47:45 PM,34.374,,,,
193,07/10/19 03:47:45 PM,30.963,,,,
194,07/10/19 05:47:45 PM,30.154,,,,
195,07/10/19 07:47:45 PM,26.585,,,,
196,07/10/19 09:47:45 PM,25.222,,,,
197,07/10/19 11:47:45 PM,24.641,,,,
198,07/11/19 01:47:45 AM,24.062,,,,
199,07/11/19 03:47:45 AM,23.966,,,,
200,07/11/19 05:47:45 AM,24.255,,,,
201,07/11/19 07:47:45 AM,24.835,,,,
202,07/11/19 09:47:45 AM,26.683,,,,
203,07/11/19 11:47:45 AM,34.374,,,,
204,07/11/19 01:47:45 PM,39.615,,,,
205,07/11/19 03:47:45 PM,31.880,,,,
206,07/11/19 05:47:45 PM,29.853,,,,
207,07/11/19 07:47:45 PM,27.173,,,,
208,07/11/19 09:47:45 PM,25.125,,,,
209,07/11/19 11:47:45 PM,25.125,,,,
210,07/12/19 01:47:45 AM,24.738,,,,
211,07/12/19 03:47:45 AM,24.641,,,,
212,07/12/19 05:47:45 AM,24.255,,,,
213,07/12/19 07:47:45 AM,24.545,,,,
214,07/12/19 09:47:45 AM,26.585,,,,
215,07/12/19 11:47:45 AM,28.258,,,,
216,07/12/19 01:47:45 PM,34.585,,,,
217,07/12/19 03:47:45 PM,30.356,,,,
218,07/12/19 05:47:45 PM,28.456,,,,
219,07/12/19 07:47:45 PM,27.272,,,,
220,07/12/19 09:47:45 PM,26.390,,,,
221,07/12/19 11:47:45 PM,25.610,,,,
222,07/13/19 01:47:45 AM,24.931,,,,
223,07/13/19 03:47:45 AM,24.545,,,,
224,07/13/19 05:47:45 AM,24.255,,,,
225,07/13/19 07:47:45 AM,24.641,,,,
226,07/13/19 09:47:45 AM,27.272,,,,
227,07/13/19 11:47:45 AM,34.585,,,,
228,07/13/19 01:47:45 PM,37.714,,,,
229,07/13/19 03:47:45 PM,31.472,,,,
230,07/13/19 05:47:45 PM,29.352,,,,
231,07/13/19 07:47:45 PM,27.370,,,,
232,07/13/19 09:47:45 PM,25.805,,,,
233,07/13/19 11:47:45 PM,24.931,,,,
234,07/14/19 01:47:45 AM,24.255,,,,
235,07/14/19 03:47:45 AM,23.773,,,,
236,07/14/19 05:47:45 AM,23.292,,,,
237,07/14/19 07:47:45 AM,23.677,,,,
238,07/14/19 09:47:45 AM,25.805,,,,
239,07/14/19 11:47:45 AM,34.163,,,,
240,07/14/19 01:47:45 PM,41.810,,,,
241,07/14/19 03:47:45 PM,31.880,,,,
242,07/14/19 05:47:45 PM,30.760,,,,
243,07/14/19 07:47:45 PM,27.862,,,,
244,07/14/19 09:47:45 PM,25.805,,,,
245,07/14/19 11:47:45 PM,24.545,,,,
246,07/15/19 01:47:45 AM,23.773,,,,
247,07/15/19 03:47:45 AM,23.100,,,,
248,07/15/19 05:47:45 AM,22.812,,,,
249,07/15/19 07:47:45 AM,23.100,,,,
250,07/15/19 09:47:45 AM,25.513,,,,
251,07/15/19 11:47:45 AM,34.796,,,,
252,07/15/19 01:47:45 PM,38.602,,,,
253,07/15/19 03:47:45 PM,31.064,,,,
254,07/15/19 05:47:45 PM,32.497,,,,
255,07/15/19 07:47:45 PM,28.060,,,,
256,07/15/19 09:47:45 PM,26.195,,,,
257,07/15/19 11:47:45 PM,25.416,,,,
258,07/16/19 01:47:45 AM,24.738,,,,
259,07/16/19 03:47:45 AM,24.062,,,,
260,07/16/19 05:47:45 AM,23.581,,,,
261,07/16/19 07:47:45 AM,23.773,,,,
262,07/16/19 09:47:45 AM,26.488,,,,
263,07/16/19 11:47:45 AM,36.946,,,,
264,07/16/19 01:47:45 PM,41.692,,,,
265,07/16/19 03:47:45 PM,33.118,,,,
266,07/16/19 05:47:45 PM,31.064,,,,
267,07/16/19 07:47:45 PM,28.060,,,,
268,07/16/19 09:47:45 PM,26.585,,,,
269,07/16/19 11:47:45 PM,25.805,,,,
270,07/17/19 01:47:45 AM,25.319,,,,
271,07/17/19 03:47:45 AM,24.835,,,,
