"Plot Title: 20376517"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376517, SEN S/N: 20376517)","Coupler Detached (LGR S/N: 20376517)","Bad Battery (LGR S/N: 20376517)","Coupler Attached (LGR S/N: 20376517)","Host Connected (LGR S/N: 20376517)","Stopped (LGR S/N: 20376517)","End Of File (LGR S/N: 20376517)"
1,06/24/19 05:50:04 PM,32.807,,,,,,
2,06/24/19 05:50:31 PM,,Logged,,,,,
3,06/24/19 07:50:04 PM,26.000,,,,,,
4,06/24/19 09:50:04 PM,24.738,,,,,,
5,06/24/19 11:50:04 PM,24.158,,,,,,
6,06/25/19 01:50:04 AM,23.388,,,,,,
7,06/25/19 03:50:04 AM,22.812,,,,,,
8,06/25/19 05:50:04 AM,22.238,,,,,,
9,06/25/19 07:50:04 AM,22.812,,,,,,
10,06/25/19 09:50:04 AM,25.028,,,,,,
11,06/25/19 11:50:04 AM,25.805,,,,,,
12,06/25/19 01:50:04 PM,28.853,,,,,,
13,06/25/19 03:50:04 PM,28.754,,,,,,
14,06/25/19 05:50:04 PM,27.075,,,,,,
15,06/25/19 07:50:04 PM,25.416,,,,,,
16,06/25/19 09:50:04 PM,24.062,,,,,,
17,06/25/19 11:50:04 PM,23.484,,,,,,
18,06/26/19 01:50:04 AM,22.717,,,,,,
19,06/26/19 03:50:04 AM,22.238,,,,,,
20,06/26/19 05:50:04 AM,21.760,,,,,,
21,06/26/19 07:50:04 AM,21.951,,,,,,
22,06/26/19 09:50:04 AM,24.351,,,,,,
23,06/26/19 11:50:04 AM,25.222,,,,,,
24,06/26/19 01:50:04 PM,30.054,,,,,,
25,06/26/19 03:50:04 PM,28.555,,,,,,
26,06/26/19 05:50:04 PM,26.781,,,,,,
27,06/26/19 07:50:04 PM,25.319,,,,,,
28,06/26/19 09:50:04 PM,23.677,,,,,,
29,06/26/19 11:50:04 PM,22.812,,,,,,
30,06/27/19 01:50:04 AM,22.142,,,,,,
31,06/27/19 03:50:04 AM,21.664,,,,,,
32,06/27/19 05:50:04 AM,21.187,,,,,,
33,06/27/19 07:50:04 AM,21.951,,,,,,
34,06/27/19 09:50:04 AM,24.351,,,,,,
35,06/27/19 11:50:04 AM,25.708,,,,,,
36,06/27/19 01:50:04 PM,34.796,,,,,,
37,06/27/19 03:50:04 PM,30.154,,,,,,
38,06/27/19 05:50:04 PM,28.456,,,,,,
39,06/27/19 07:50:04 PM,26.781,,,,,,
40,06/27/19 09:50:04 PM,24.641,,,,,,
41,06/27/19 11:50:04 PM,23.869,,,,,,
42,06/28/19 01:50:04 AM,23.100,,,,,,
43,06/28/19 03:50:04 AM,22.429,,,,,,
44,06/28/19 05:50:04 AM,21.951,,,,,,
45,06/28/19 07:50:04 AM,22.142,,,,,,
46,06/28/19 09:50:04 AM,24.545,,,,,,
47,06/28/19 11:50:04 AM,26.390,,,,,,
48,06/28/19 01:50:04 PM,32.497,,,,,,
49,06/28/19 03:50:04 PM,29.652,,,,,,
50,06/28/19 05:50:04 PM,26.879,,,,,,
51,06/28/19 07:50:04 PM,25.416,,,,,,
52,06/28/19 09:50:04 PM,24.351,,,,,,
53,06/28/19 11:50:04 PM,23.581,,,,,,
54,06/29/19 01:50:04 AM,22.908,,,,,,
55,06/29/19 03:50:04 AM,22.429,,,,,,
56,06/29/19 05:50:04 AM,22.142,,,,,,
57,06/29/19 07:50:04 AM,22.717,,,,,,
58,06/29/19 09:50:04 AM,25.028,,,,,,
59,06/29/19 11:50:04 AM,26.292,,,,,,
60,06/29/19 01:50:04 PM,29.853,,,,,,
61,06/29/19 03:50:04 PM,29.953,,,,,,
62,06/29/19 05:50:04 PM,27.665,,,,,,
63,06/29/19 07:50:04 PM,25.902,,,,,,
64,06/29/19 09:50:04 PM,24.351,,,,,,
65,06/29/19 11:50:04 PM,23.677,,,,,,
66,06/30/19 01:50:04 AM,23.292,,,,,,
67,06/30/19 03:50:04 AM,22.812,,,,,,
68,06/30/19 05:50:04 AM,22.429,,,,,,
