"Plot Title: 20376545"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 20376545, SEN S/N: 20376545)","Coupler Detached (LGR S/N: 20376545)","Bad Battery (LGR S/N: 20376545)","Coupler Attached (LGR S/N: 20376545)","Host Connected (LGR S/N: 20376545)","Stopped (LGR S/N: 20376545)","End Of File (LGR S/N: 20376545)"
1,06/16/19 01:00:02 PM,87.552,,,,,,
2,06/16/19 01:03:23 PM,,Logged,,,,,
3,06/16/19 03:00:02 PM,78.274,,,,,,
4,06/16/19 05:00:02 PM,77.749,,,,,,
5,06/16/19 07:00:02 PM,76.528,,,,,,
6,06/16/19 09:00:02 PM,74.964,,,,,,
7,06/16/19 11:00:02 PM,74.098,,,,,,
8,06/17/19 01:00:02 AM,73.753,,,,,,
9,06/17/19 03:00:02 AM,73.580,,,,,,
10,06/17/19 05:00:02 AM,73.062,,,,,,
11,06/17/19 07:00:02 AM,72.891,,,,,,
12,06/17/19 09:00:02 AM,74.446,,,,,,
13,06/17/19 11:00:02 AM,78.449,,,,,,
14,06/17/19 01:00:02 PM,79.502,,,,,,
15,06/17/19 03:00:02 PM,81.090,,,,,,
16,06/17/19 05:00:02 PM,80.029,,,,,,
17,06/17/19 07:00:02 PM,78.449,,,,,,
18,06/17/19 09:00:02 PM,76.876,,,,,,
19,06/17/19 11:00:02 PM,76.181,,,,,,
20,06/18/19 01:00:02 AM,75.659,,,,,,
21,06/18/19 03:00:02 AM,75.312,,,,,,
22,06/18/19 05:00:02 AM,75.139,,,,,,
23,06/18/19 07:00:02 AM,74.964,,,,,,
24,06/18/19 09:00:02 AM,76.006,,,,,,
25,06/18/19 11:00:02 AM,82.152,,,,,,
26,06/18/19 01:00:02 PM,80.911,,,,,,
27,06/18/19 03:00:02 PM,82.152,,,,,,
28,06/18/19 05:00:02 PM,81.266,,,,,,
29,06/18/19 07:00:02 PM,79.326,,,,,,
30,06/18/19 09:00:02 PM,77.923,,,,,,
31,06/18/19 11:00:02 PM,76.876,,,,,,
32,06/19/19 01:00:02 AM,76.181,,,,,,
33,06/19/19 03:00:02 AM,75.659,,,,,,
34,06/19/19 05:00:02 AM,75.484,,,,,,
35,06/19/19 07:00:02 AM,75.139,,,,,,
36,06/19/19 09:00:02 AM,76.528,,,,,,
37,06/19/19 11:00:02 AM,79.151,,,,,,
38,06/19/19 01:00:02 PM,80.559,,,,,,
39,06/19/19 03:00:02 PM,81.975,,,,,,
40,06/19/19 05:00:02 PM,81.090,,,,,,
41,06/19/19 07:00:02 PM,79.678,,,,,,
42,06/19/19 09:00:02 PM,78.274,,,,,,
43,06/19/19 11:00:02 PM,77.574,,,,,,
44,06/20/19 01:00:02 AM,77.400,,,,,,
45,06/20/19 03:00:02 AM,77.050,,,,,,
46,06/20/19 05:00:02 AM,76.528,,,,,,
47,06/20/19 07:00:02 AM,76.354,,,,,,
48,06/20/19 09:00:02 AM,77.400,,,,,,
49,06/20/19 11:00:02 AM,83.043,,,,,,
50,06/20/19 01:00:02 PM,82.152,,,,,,
51,06/20/19 03:00:02 PM,83.399,,,,,,
52,06/20/19 05:00:02 PM,82.686,,,,,,
53,06/20/19 07:00:02 PM,80.559,,,,,,
54,06/20/19 09:00:02 PM,78.800,,,,,,
55,06/20/19 11:00:02 PM,77.400,,,,,,
56,06/21/19 01:00:02 AM,76.703,,,,,,
57,06/21/19 03:00:02 AM,76.006,,,,,,
58,06/21/19 05:00:02 AM,75.484,,,,,,
59,06/21/19 07:00:02 AM,75.139,,,,,,
60,06/21/19 09:00:02 AM,75.659,,,,,,
61,06/21/19 11:00:02 AM,81.090,,,,,,
62,06/21/19 01:00:02 PM,80.559,,,,,,
63,06/21/19 03:00:02 PM,80.911,,,,,,
64,06/21/19 05:00:02 PM,80.029,,,,,,
65,06/21/19 07:00:02 PM,78.274,,,,,,
66,06/21/19 09:00:02 PM,76.528,,,,,,
67,06/21/19 11:00:02 PM,74.619,,,,,,
68,06/22/19 01:00:02 AM,73.407,,,,,,
69,06/22/19 03:00:02 AM,72.545,,,,,,
70,06/22/19 05:00:02 AM,71.856,,,,,,
71,06/22/19 07:00:02 AM,72.028,,,,,,
72,06/22/19 09:00:02 AM,73.580,,,,,,
73,06/22/19 11:00:02 AM,74.271,,,,,,
74,06/22/19 01:00:02 PM,77.749,,,,,,
75,06/22/19 03:00:02 PM,79.326,,,,,,
76,06/22/19 05:00:02 PM,78.975,,,,,,
77,06/22/19 07:00:02 PM,77.574,,,,,,
78,06/22/19 09:00:02 PM,76.354,,,,,,
79,06/22/19 11:00:02 PM,75.139,,,,,,
80,06/23/19 01:00:02 AM,74.446,,,,,,
81,06/23/19 03:00:02 AM,74.271,,,,,,
82,06/23/19 05:00:02 AM,73.580,,,,,,
83,06/23/19 07:00:02 AM,73.580,,,,,,
84,06/23/19 09:00:02 AM,74.271,,,,,,
85,06/23/19 11:00:02 AM,75.484,,,,,,
