"Plot Title: 20376495"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 20376495, SEN S/N: 20376495)","Coupler Detached (LGR S/N: 20376495)","Bad Battery (LGR S/N: 20376495)","Coupler Attached (LGR S/N: 20376495)","Host Connected (LGR S/N: 20376495)","Stopped (LGR S/N: 20376495)","End Of File (LGR S/N: 20376495)"
1,06/17/19 11:23:38 AM,105.370,,,,,,
2,06/17/19 11:23:53 AM,,Logged,,,,,
3,06/17/19 01:23:38 PM,87.368,,,,,,
4,06/17/19 03:23:38 PM,88.282,,,,,,
5,06/17/19 05:23:38 PM,83.757,,,,,,
6,06/17/19 07:23:38 PM,80.911,,,,,,
7,06/17/19 09:23:38 PM,78.800,,,,,,
8,06/17/19 11:23:38 PM,77.749,,,,,,
9,06/18/19 01:23:38 AM,76.876,,,,,,
10,06/18/19 03:23:38 AM,76.354,,,,,,
11,06/18/19 05:23:38 AM,75.832,,,,,,
12,06/18/19 07:23:38 AM,75.832,,,,,,
13,06/18/19 09:23:38 AM,78.449,,,,,,
14,06/18/19 11:23:38 AM,82.864,,,,,,
15,06/18/19 01:23:38 PM,89.569,,,,,,
16,06/18/19 03:23:38 PM,90.495,,,,,,
17,06/18/19 05:23:38 PM,85.374,,,,,,
18,06/18/19 07:23:38 PM,82.152,,,,,,
19,06/18/19 09:23:38 PM,79.853,,,,,,
20,06/18/19 11:23:38 PM,78.624,,,,,,
21,06/19/19 01:23:38 AM,77.923,,,,,,
22,06/19/19 03:23:38 AM,76.876,,,,,,
23,06/19/19 05:23:38 AM,76.703,,,,,,
24,06/19/19 07:23:38 AM,76.354,,,,,,
25,06/19/19 09:23:38 AM,78.800,,,,,,
26,06/19/19 11:23:38 AM,81.975,,,,,,
27,06/19/19 01:23:38 PM,84.474,,,,,,
28,06/19/19 03:23:38 PM,89.017,,,,,,
29,06/19/19 05:23:38 PM,85.374,,,,,,
30,06/19/19 07:23:38 PM,82.508,,,,,,
31,06/19/19 09:23:38 PM,80.206,,,,,,
32,06/19/19 11:23:38 PM,79.151,,,,,,
33,06/20/19 01:23:38 AM,78.449,,,,,,
34,06/20/19 03:23:38 AM,78.098,,,,,,
35,06/20/19 05:23:38 AM,77.400,,,,,,
36,06/20/19 07:23:38 AM,77.050,,,,,,
37,06/20/19 09:23:38 AM,79.151,,,,,,
38,06/20/19 11:23:38 AM,85.194,,,,,,
