"Plot Title: 20376534"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376534, SEN S/N: 20376534)","Coupler Detached (LGR S/N: 20376534)","Coupler Attached (LGR S/N: 20376534)","Host Connected (LGR S/N: 20376534)","End Of File (LGR S/N: 20376534)"
1,06/17/19 11:35:20 AM,34.374,,,,
2,06/17/19 11:35:45 AM,,Logged,,,
3,06/17/19 11:35:52 AM,,,Logged,Logged,
4,06/17/19 11:36:03 AM,,Logged,,,
5,06/17/19 01:35:20 PM,33.326,,,,
6,06/17/19 03:35:20 PM,34.796,,,,
7,06/17/19 05:35:20 PM,31.472,,,,
8,06/17/19 07:35:20 PM,28.060,,,,
9,06/17/19 09:35:20 PM,26.488,,,,
10,06/17/19 11:35:20 PM,25.805,,,,
11,06/18/19 01:35:20 AM,25.222,,,,
12,06/18/19 03:35:20 AM,24.738,,,,
13,06/18/19 05:35:20 AM,24.448,,,,
14,06/18/19 07:35:20 AM,24.641,,,,
15,06/18/19 09:35:20 AM,25.902,,,,
16,06/18/19 11:35:20 AM,29.053,,,,
17,06/18/19 01:35:20 PM,33.535,,,,
18,06/18/19 03:35:20 PM,35.756,,,,
19,06/18/19 05:35:20 PM,31.778,,,,
20,06/18/19 07:35:20 PM,28.555,,,,
21,06/18/19 09:35:20 PM,27.075,,,,
22,06/18/19 11:35:20 PM,26.195,,,,
23,06/19/19 01:35:20 AM,25.708,,,,
24,06/19/19 03:35:20 AM,24.835,,,,
25,06/19/19 05:35:20 AM,24.641,,,,
26,06/19/19 07:35:20 AM,24.835,,,,
27,06/19/19 09:35:20 AM,25.902,,,,
28,06/19/19 11:35:20 AM,28.456,,,,
29,06/19/19 01:35:20 PM,30.154,,,,
30,06/19/19 03:35:20 PM,35.009,,,,
31,06/19/19 05:35:20 PM,32.086,,,,
32,06/19/19 07:35:20 PM,28.754,,,,
33,06/19/19 09:35:20 PM,27.173,,,,
34,06/19/19 11:35:20 PM,26.488,,,,
35,06/20/19 01:35:20 AM,26.000,,,,
36,06/20/19 03:35:20 AM,25.805,,,,
37,06/20/19 05:35:20 AM,25.319,,,,
38,06/20/19 07:35:20 AM,25.222,,,,
39,06/20/19 09:35:20 AM,25.902,,,,
40,06/20/19 11:35:20 AM,30.054,,,,
41,06/20/19 01:35:20 PM,35.009,,,,
42,06/20/19 03:35:20 PM,36.403,,,,
43,06/20/19 05:35:20 PM,31.778,,,,
44,06/20/19 07:35:20 PM,29.053,,,,
45,06/20/19 09:35:20 PM,27.173,,,,
46,06/20/19 11:35:20 PM,26.195,,,,
47,06/21/19 01:35:20 AM,25.416,,,,
48,06/21/19 03:35:20 AM,24.835,,,,
49,06/21/19 05:35:20 AM,24.448,,,,
50,06/21/19 07:35:20 AM,24.351,,,,
51,06/21/19 09:35:20 AM,24.641,,,,
52,06/21/19 11:35:20 AM,28.258,,,,
53,06/21/19 01:35:20 PM,34.374,,,,
54,06/21/19 03:35:20 PM,34.058,,,,
55,06/21/19 05:35:20 PM,31.472,,,,
56,06/21/19 07:35:20 PM,27.764,,,,
57,06/21/19 09:35:20 PM,25.708,,,,
58,06/21/19 11:35:20 PM,24.448,,,,
59,06/22/19 01:35:20 AM,23.484,,,,
60,06/22/19 03:35:20 AM,22.812,,,,
61,06/22/19 05:35:20 AM,22.621,,,,
62,06/22/19 07:35:20 AM,23.004,,,,
63,06/22/19 09:35:20 AM,24.835,,,,
64,06/22/19 11:35:20 AM,27.370,,,,
65,06/22/19 01:35:20 PM,32.807,,,,
66,06/22/19 03:35:20 PM,34.163,,,,
67,06/22/19 05:35:20 PM,30.154,,,,
68,06/22/19 07:35:20 PM,27.862,,,,
69,06/22/19 09:35:20 PM,26.292,,,,
70,06/22/19 11:35:20 PM,25.028,,,,
71,06/23/19 01:35:20 AM,24.835,,,,
72,06/23/19 03:35:20 AM,24.351,,,,
73,06/23/19 05:35:20 AM,23.966,,,,
74,06/23/19 07:35:20 AM,24.255,,,,
75,06/23/19 09:35:20 AM,25.416,,,,
76,06/23/19 11:35:20 AM,27.862,,,,
77,06/23/19 01:35:20 PM,27.370,,,,
78,06/23/19 03:35:20 PM,27.961,,,,
79,06/23/19 05:35:20 PM,27.665,,,,
80,06/23/19 07:35:20 PM,26.292,,,,
81,06/23/19 09:35:20 PM,25.125,,,,
82,06/23/19 11:35:20 PM,24.255,,,,
