"Plot Title: 20376544"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376544, SEN S/N: 20376544)","Coupler Detached (LGR S/N: 20376544)","Bad Battery (LGR S/N: 20376544)","Coupler Attached (LGR S/N: 20376544)","End Of File (LGR S/N: 20376544)"
1,06/20/19 07:45:11 AM,27.075,,,,
2,06/20/19 07:45:32 AM,,Logged,,,
3,06/20/19 09:45:11 AM,24.351,,,,
4,06/20/19 11:45:11 AM,26.585,,,,
5,06/20/19 01:45:11 PM,29.752,,,,
6,06/20/19 03:45:11 PM,29.752,,,,
7,06/20/19 05:45:11 PM,27.665,,,,
8,06/20/19 07:45:11 PM,25.513,,,,
9,06/20/19 09:45:11 PM,24.738,,,,
10,06/20/19 11:45:11 PM,24.062,,,,
11,06/21/19 01:45:11 AM,23.581,,,,
12,06/21/19 03:45:11 AM,23.196,,,,
13,06/21/19 05:45:11 AM,22.812,,,,
14,06/21/19 07:45:11 AM,22.812,,,,
15,06/21/19 09:45:11 AM,23.581,,,,
16,06/21/19 11:45:11 AM,26.000,,,,
17,06/21/19 01:45:11 PM,30.356,,,,
18,06/21/19 03:45:11 PM,29.352,,,,
19,06/21/19 05:45:11 PM,27.075,,,,
20,06/21/19 07:45:11 PM,25.708,,,,
21,06/21/19 09:45:11 PM,24.255,,,,
22,06/21/19 11:45:11 PM,23.196,,,,
23,06/22/19 01:45:11 AM,22.429,,,,
24,06/22/19 03:45:11 AM,21.951,,,,
25,06/22/19 05:45:11 AM,21.760,,,,
26,06/22/19 07:45:11 AM,21.855,,,,
27,06/22/19 09:45:11 AM,22.142,,,,
28,06/22/19 11:45:11 AM,23.869,,,,
29,06/22/19 01:45:11 PM,28.060,,,,
30,06/22/19 03:45:11 PM,28.258,,,,
31,06/22/19 05:45:11 PM,26.683,,,,
32,06/22/19 07:45:11 PM,25.708,,,,
33,06/22/19 09:45:11 PM,24.545,,,,
34,06/22/19 11:45:11 PM,23.581,,,,
35,06/23/19 01:45:11 AM,22.908,,,,
36,06/23/19 03:45:11 AM,22.238,,,,
37,06/23/19 05:45:11 AM,21.855,,,,
38,06/23/19 07:45:11 AM,22.046,,,,
39,06/23/19 09:45:11 AM,22.908,,,,
40,06/23/19 11:45:11 AM,24.255,,,,
41,06/23/19 01:45:11 PM,26.292,,,,
42,06/23/19 03:45:11 PM,26.292,,,,
43,06/23/19 05:45:11 PM,25.610,,,,
44,06/23/19 07:45:11 PM,24.835,,,,
45,06/23/19 09:45:11 PM,23.966,,,,
46,06/23/19 11:45:11 PM,23.292,,,,
47,06/24/19 01:45:11 AM,22.621,,,,
48,06/24/19 03:45:11 AM,22.333,,,,
49,06/24/19 05:45:11 AM,21.855,,,,
50,06/24/19 07:45:11 AM,21.951,,,,
51,06/24/19 09:45:11 AM,22.908,,,,
52,06/24/19 11:45:11 AM,25.513,,,,
53,06/24/19 01:45:11 PM,29.352,,,,
54,06/24/19 03:45:11 PM,29.053,,,,
55,06/24/19 05:45:11 PM,27.272,,,,
56,06/24/19 07:45:11 PM,26.292,,,,
57,06/24/19 09:45:11 PM,25.222,,,,
58,06/24/19 11:45:11 PM,24.545,,,,
59,06/25/19 01:45:11 AM,24.255,,,,
60,06/25/19 03:45:11 AM,23.966,,,,
61,06/25/19 05:45:11 AM,23.292,,,,
62,06/25/19 07:45:11 AM,23.100,,,,
63,06/25/19 09:45:11 AM,23.773,,,,
64,06/25/19 11:45:11 AM,26.292,,,,
65,06/25/19 01:45:11 PM,30.862,,,,
66,06/25/19 03:45:11 PM,29.853,,,,
67,06/25/19 05:45:11 PM,27.665,,,,
68,06/25/19 07:45:11 PM,26.488,,,,
69,06/25/19 09:45:11 PM,25.028,,,,
70,06/25/19 11:45:11 PM,24.062,,,,
71,06/26/19 01:45:11 AM,23.388,,,,
72,06/26/19 03:45:11 AM,22.908,,,,
73,06/26/19 05:45:11 AM,22.429,,,,
74,06/26/19 07:45:11 AM,22.333,,,,
75,06/26/19 09:45:11 AM,23.388,,,,
76,06/26/19 11:45:11 AM,25.319,,,,
77,06/26/19 01:45:11 PM,28.853,,,,
78,06/26/19 03:45:11 PM,28.555,,,,
79,06/26/19 05:45:11 PM,27.075,,,,
80,06/26/19 07:45:11 PM,26.097,,,,
81,06/26/19 09:45:11 PM,24.931,,,,
82,06/26/19 11:45:11 PM,24.158,,,,
83,06/27/19 01:45:11 AM,23.388,,,,
84,06/27/19 03:45:11 AM,23.100,,,,
85,06/27/19 05:45:11 AM,22.908,,,,
86,06/27/19 07:45:11 AM,22.908,,,,
87,06/27/19 09:45:11 AM,23.869,,,,
