"Plot Title: 20360219"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20360219, SEN S/N: 20369782)","Water Content, m³/m³ (LGR S/N: 20360219, SEN S/N: 20369785)"
1,09/24/21 11:43:15 AM,0.4157,0.3162
2,09/24/21 12:13:15 PM,0.4056,0.3133
3,09/24/21 12:43:15 PM,0.4012,0.3082
4,09/24/21 01:13:15 PM,0.3983,0.3053
5,09/24/21 01:43:15 PM,0.3961,0.3024
6,09/24/21 02:13:15 PM,0.3947,0.2988
7,09/24/21 02:43:15 PM,0.3881,0.2966
8,09/24/21 03:13:15 PM,0.3852,0.2857
9,09/24/21 03:43:15 PM,0.3838,0.2836
10,09/24/21 04:13:15 PM,0.3809,0.2806
11,09/24/21 04:43:15 PM,0.3794,0.2792
12,09/24/21 05:13:15 PM,0.3780,0.2777
13,09/24/21 05:43:15 PM,0.3751,0.2770
14,09/24/21 06:13:15 PM,0.3736,0.2763
15,09/24/21 06:43:15 PM,0.3729,0.2763
16,09/24/21 07:13:15 PM,0.3722,0.2763
17,09/24/21 07:43:15 PM,0.3722,0.2763
18,09/24/21 08:13:15 PM,0.3714,0.2763
19,09/24/21 08:43:15 PM,0.3707,0.2763
20,09/24/21 09:13:15 PM,0.3693,0.2763
21,09/24/21 09:43:15 PM,0.3693,0.2763
22,09/24/21 10:13:15 PM,0.3678,0.2763
23,09/24/21 10:43:15 PM,0.3678,0.2763
24,09/24/21 11:13:15 PM,0.3678,0.2756
25,09/24/21 11:43:15 PM,0.3678,0.2763
26,09/25/21 12:13:15 AM,0.3678,0.2756
27,09/25/21 12:43:15 AM,0.3664,0.2756
28,09/25/21 01:13:15 AM,0.3664,0.2756
29,09/25/21 01:43:15 AM,0.3664,0.2756
30,09/25/21 02:13:15 AM,0.3664,0.2756
31,09/25/21 02:43:15 AM,0.3664,0.2748
32,09/25/21 03:13:15 AM,0.3656,0.2748
33,09/25/21 03:43:15 AM,0.3642,0.2748
34,09/25/21 04:13:15 AM,0.3642,0.2748
35,09/25/21 04:43:15 AM,0.3649,0.2748
36,09/25/21 05:13:15 AM,0.3642,0.2741
37,09/25/21 05:43:15 AM,0.3642,0.2741
38,09/25/21 06:13:15 AM,0.3642,0.2741
39,09/25/21 06:43:15 AM,0.3642,0.2741
40,09/25/21 07:13:15 AM,0.3642,0.2741
41,09/25/21 07:43:15 AM,0.3642,0.2741
42,09/25/21 08:13:15 AM,0.3642,0.2734
43,09/25/21 08:43:15 AM,0.3642,0.2741
44,09/25/21 09:13:15 AM,0.3642,0.2734
45,09/25/21 09:43:15 AM,0.3642,0.2734
46,09/25/21 10:13:15 AM,0.3635,0.2734
47,09/25/21 10:43:15 AM,0.3635,0.2719
48,09/25/21 11:13:15 AM,0.3627,0.2712
49,09/25/21 11:43:15 AM,0.3620,0.2698
50,09/25/21 12:13:15 PM,0.3605,0.2683
51,09/25/21 12:43:15 PM,0.3598,0.2661
52,09/25/21 01:13:15 PM,0.3591,0.2647
53,09/25/21 01:43:15 PM,0.3576,0.2625
54,09/25/21 02:13:15 PM,0.3344,0.2610
55,09/25/21 02:43:15 PM,0.3329,0.2603
56,09/25/21 03:13:15 PM,0.3257,0.2589
57,09/25/21 03:43:15 PM,0.3235,0.2581
58,09/25/21 04:13:15 PM,0.3213,0.2574
59,09/25/21 04:43:15 PM,0.3206,0.2567
60,09/25/21 05:13:15 PM,0.3199,0.2567
61,09/25/21 05:43:15 PM,0.3184,0.2560
62,09/25/21 06:13:15 PM,0.3177,0.2560
63,09/25/21 06:43:15 PM,0.3170,0.2560
64,09/25/21 07:13:15 PM,0.3162,0.2560
65,09/25/21 07:43:15 PM,0.3162,0.2560
66,09/25/21 08:13:15 PM,0.3162,0.2560
67,09/25/21 08:43:15 PM,0.3162,0.2560
68,09/25/21 09:13:15 PM,0.3162,0.2560
69,09/25/21 09:43:15 PM,0.3162,0.2560
70,09/25/21 10:13:15 PM,0.3162,0.2567
71,09/25/21 10:43:15 PM,0.3162,0.2560
72,09/25/21 11:13:15 PM,0.3162,0.2567
73,09/25/21 11:43:15 PM,0.3162,0.2567
