"Plot Title: HOBO4_Start_2021-06-02"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20871540, SEN S/N: 20871007, LBL: CH.10.27_Extra low)","Water Content, m³/m³ (LGR S/N: 20871540, SEN S/N: 20873078, LBL: IA.16.58_Extra low)"
1,06/13/21 06:42:15 AM,0.3112,0.2930
2,06/13/21 07:12:15 AM,0.3119,0.2857
3,06/13/21 07:42:15 AM,0.3119,0.2857
4,06/13/21 08:12:15 AM,0.3119,0.2857
5,06/13/21 08:42:15 AM,0.3119,0.2857
6,06/13/21 09:12:15 AM,0.3119,0.2857
7,06/13/21 09:42:15 AM,0.3119,0.2857
8,06/13/21 10:12:15 AM,0.3112,0.2850
9,06/13/21 10:42:15 AM,0.3119,0.2850
10,06/13/21 11:12:15 AM,0.3112,0.2850
11,06/13/21 11:42:15 AM,0.3104,0.2843
12,06/13/21 12:12:15 PM,0.3104,0.2843
13,06/13/21 12:42:15 PM,0.3104,0.2843
14,06/13/21 01:12:15 PM,0.3104,0.2843
15,06/13/21 01:42:15 PM,0.3104,0.2843
16,06/13/21 02:12:15 PM,0.3104,0.2836
17,06/13/21 02:42:15 PM,0.3104,0.2843
18,06/13/21 03:12:15 PM,0.3104,0.2836
19,06/13/21 03:42:15 PM,0.3104,0.2836
20,06/13/21 04:12:15 PM,0.3104,0.2836
21,06/13/21 04:42:15 PM,0.3104,0.2836
22,06/13/21 05:12:15 PM,0.3104,0.2836
23,06/13/21 05:42:15 PM,0.3104,0.2836
24,06/13/21 06:12:15 PM,0.3112,0.2836
25,06/13/21 06:42:15 PM,0.3112,0.2836
26,06/13/21 07:12:15 PM,0.3112,0.2836
27,06/13/21 07:42:15 PM,0.3112,0.2836
28,06/13/21 08:12:15 PM,0.3112,0.2836
29,06/13/21 08:42:15 PM,0.3112,0.2836
30,06/13/21 09:12:15 PM,0.3119,0.2836
31,06/13/21 09:42:15 PM,0.3119,0.2836
32,06/13/21 10:12:15 PM,0.3119,0.2836
33,06/13/21 10:42:15 PM,0.3119,0.2836
34,06/13/21 11:12:15 PM,0.3119,0.2836
35,06/13/21 11:42:15 PM,0.3119,0.2828
36,06/14/21 12:12:15 AM,0.3119,0.2828
37,06/14/21 12:42:15 AM,0.3126,0.2836
38,06/14/21 01:12:15 AM,0.3126,0.2828
39,06/14/21 01:42:15 AM,0.3126,0.2828
40,06/14/21 02:12:15 AM,0.3126,0.2828
41,06/14/21 02:42:15 AM,0.3126,0.2828
42,06/14/21 03:12:15 AM,0.3126,0.2828
43,06/14/21 03:42:15 AM,0.3126,0.2828
44,06/14/21 04:12:15 AM,0.3133,0.2828
45,06/14/21 04:42:15 AM,0.3133,0.2828
46,06/14/21 05:12:15 AM,0.3133,0.2828
47,06/14/21 05:42:15 AM,0.3133,0.2828
48,06/14/21 06:12:15 AM,0.3126,0.2828
49,06/14/21 06:42:15 AM,0.3126,0.2828
50,06/14/21 07:12:15 AM,0.3119,0.2828
51,06/14/21 07:42:15 AM,0.3119,0.2828
52,06/14/21 08:12:15 AM,0.3112,0.2821
53,06/14/21 08:42:15 AM,0.3104,0.2821
54,06/14/21 09:12:15 AM,0.3104,0.2821
55,06/14/21 09:42:15 AM,0.3090,0.2821
56,06/14/21 10:12:15 AM,0.3090,0.2821
57,06/14/21 10:42:15 AM,0.3082,0.2821
58,06/14/21 11:12:15 AM,0.3075,0.2814
59,06/14/21 11:42:15 AM,0.3061,0.2814
60,06/14/21 12:12:15 PM,0.3061,0.2814
61,06/14/21 12:42:15 PM,0.3046,0.2814
62,06/14/21 01:12:15 PM,0.3039,0.2806
63,06/14/21 01:42:15 PM,0.3032,0.2806
64,06/14/21 02:12:15 PM,0.3024,0.2806
65,06/14/21 02:42:15 PM,0.3024,0.2806
66,06/14/21 03:12:15 PM,0.3017,0.2806
