"Plot Title: 20376503"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376503, SEN S/N: 20376503)","Good Battery (LGR S/N: 20376503)","Coupler Detached (LGR S/N: 20376503)","Coupler Attached (LGR S/N: 20376503)","Host Connected (LGR S/N: 20376503)","Stopped (LGR S/N: 20376503)","End Of File (LGR S/N: 20376503)"
1,06/12/21 10:55:09 PM,28.159,Logged,,,,,
2,06/12/21 10:55:24 PM,,,Logged,,,,
3,06/13/21 12:55:09 AM,23.004,,,,,,
4,06/13/21 02:55:09 AM,23.196,,,,,,
5,06/13/21 04:55:09 AM,23.388,,,,,,
6,06/13/21 06:55:09 AM,23.196,,,,,,
7,06/13/21 08:55:09 AM,26.195,,,,,,
8,06/13/21 10:55:09 AM,24.255,,,,,,
9,06/13/21 12:55:09 PM,25.513,,,,,,
10,06/13/21 02:55:09 PM,25.902,,,,,,
11,06/13/21 04:55:09 PM,25.416,,,,,,
12,06/13/21 06:55:09 PM,24.835,,,,,,
13,06/13/21 08:55:09 PM,24.062,,,,,,
14,06/13/21 10:55:09 PM,23.677,,,,,,
15,06/14/21 12:55:09 AM,23.484,,,,,,
16,06/14/21 02:55:09 AM,23.196,,,,,,
17,06/14/21 04:55:09 AM,23.004,,,,,,
18,06/14/21 06:55:09 AM,23.004,,,,,,
19,06/14/21 08:55:09 AM,23.677,,,,,,
20,06/14/21 10:55:09 AM,25.513,,,,,,
21,06/14/21 12:55:09 PM,26.292,,,,,,
22,06/14/21 02:55:09 PM,28.060,,,,,,
23,06/14/21 04:55:09 PM,26.879,,,,,,
24,06/14/21 06:55:09 PM,25.805,,,,,,
25,06/14/21 08:55:09 PM,24.835,,,,,,
26,06/14/21 10:55:09 PM,24.255,,,,,,
27,06/15/21 12:55:09 AM,23.869,,,,,,
28,06/15/21 02:55:09 AM,23.677,,,,,,
29,06/15/21 04:55:09 AM,23.484,,,,,,
30,06/15/21 06:55:09 AM,23.484,,,,,,
31,06/15/21 08:55:09 AM,23.773,,,,,,
32,06/15/21 10:55:09 AM,25.125,,,,,,
33,06/15/21 12:55:09 PM,26.683,,,,,,
34,06/15/21 02:55:09 PM,28.655,,,,,,
35,06/15/21 04:55:09 PM,23.869,,,,,,
36,06/15/21 06:55:09 PM,23.677,,,,,,
37,06/15/21 08:55:09 PM,23.388,,,,,,
38,06/15/21 10:55:09 PM,22.908,,,,,,
39,06/16/21 12:55:09 AM,22.429,,,,,,
40,06/16/21 02:55:09 AM,21.951,,,,,,
41,06/16/21 04:55:09 AM,21.569,,,,,,
42,06/16/21 06:55:09 AM,21.282,,,,,,
43,06/16/21 08:55:09 AM,22.046,,,,,,
44,06/16/21 10:55:09 AM,23.677,,,,,,
45,06/16/21 12:55:09 PM,24.641,,,,,,
46,06/16/21 02:55:09 PM,27.173,,,,,,
47,06/16/21 04:55:09 PM,26.097,,,,,,
48,06/16/21 06:55:09 PM,25.125,,,,,,
49,06/16/21 08:55:09 PM,24.158,,,,,,
50,06/16/21 10:55:09 PM,23.196,,,,,,
51,06/17/21 12:55:09 AM,22.525,,,,,,
52,06/17/21 02:55:09 AM,21.951,,,,,,
53,06/17/21 04:55:09 AM,21.473,,,,,,
54,06/17/21 06:55:09 AM,21.187,,,,,,
55,06/17/21 08:55:09 AM,22.142,,,,,,
56,06/17/21 10:55:09 AM,24.641,,,,,,
57,06/17/21 12:55:09 PM,25.222,,,,,,
58,06/17/21 02:55:09 PM,27.665,,,,,,
59,06/17/21 04:55:09 PM,25.610,,,,,,
60,06/17/21 06:55:09 PM,24.835,,,,,,
61,06/17/21 08:55:09 PM,23.773,,,,,,
62,06/17/21 10:55:09 PM,22.908,,,,,,
63,06/18/21 12:55:09 AM,22.238,,,,,,
64,06/18/21 02:55:09 AM,21.664,,,,,,
65,06/18/21 04:55:09 AM,21.187,,,,,,
66,06/18/21 06:55:09 AM,20.805,,,,,,
67,06/18/21 08:55:09 AM,21.760,,,,,,
68,06/18/21 10:55:09 AM,24.448,,,,,,
69,06/18/21 12:55:09 PM,25.028,,,,,,
