"Plot Title: 20376544"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376544, SEN S/N: 20376544)","Coupler Detached (LGR S/N: 20376544)","Coupler Attached (LGR S/N: 20376544)","Host Connected (LGR S/N: 20376544)","Stopped (LGR S/N: 20376544)","End Of File (LGR S/N: 20376544)"
1,06/12/21 10:22:25 PM,24.351,,,,,
2,06/12/21 10:23:03 PM,,Logged,,,,
3,06/13/21 12:22:25 AM,23.100,,,,,
4,06/13/21 02:22:25 AM,23.292,,,,,
5,06/13/21 04:22:25 AM,23.484,,,,,
6,06/13/21 06:22:25 AM,23.196,,,,,
7,06/13/21 08:22:25 AM,24.738,,,,,
8,06/13/21 10:22:25 AM,26.097,,,,,
9,06/13/21 12:22:25 PM,32.600,,,,,
10,06/13/21 02:22:25 PM,30.659,,,,,
11,06/13/21 04:22:25 PM,28.159,,,,,
12,06/13/21 06:22:25 PM,25.416,,,,,
13,06/13/21 08:22:25 PM,23.388,,,,,
14,06/13/21 10:22:25 PM,22.717,,,,,
15,06/14/21 12:22:25 AM,22.429,,,,,
16,06/14/21 02:22:25 AM,22.238,,,,,
17,06/14/21 04:22:25 AM,22.142,,,,,
18,06/14/21 06:22:25 AM,22.429,,,,,
19,06/14/21 08:22:25 AM,27.272,,,,,
20,06/14/21 10:22:25 AM,30.054,,,,,
21,06/14/21 12:22:25 PM,36.511,,,,,
22,06/14/21 02:22:25 PM,29.953,,,,,
23,06/14/21 04:22:25 PM,36.620,,,,,
24,06/14/21 06:22:25 PM,35.649,,,,,
25,06/14/21 08:22:25 PM,26.585,,,,,
26,06/14/21 10:22:25 PM,24.835,,,,,
27,06/15/21 12:22:25 AM,24.641,,,,,
28,06/15/21 02:22:25 AM,24.641,,,,,
29,06/15/21 04:22:25 AM,24.545,,,,,
30,06/15/21 06:22:25 AM,24.835,,,,,
31,06/15/21 08:22:25 AM,26.879,,,,,
32,06/15/21 10:22:25 AM,24.062,,,,,
33,06/15/21 12:22:25 PM,24.835,,,,,
34,06/15/21 02:22:25 PM,25.610,,,,,
35,06/15/21 04:22:25 PM,25.708,,,,,
36,06/15/21 06:22:25 PM,25.416,,,,,
