"Plot Title: 20384662"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20384662, SEN S/N: 20384662)","Good Battery (LGR S/N: 20384662)","Coupler Detached (LGR S/N: 20384662)","Coupler Attached (LGR S/N: 20384662)","Host Connected (LGR S/N: 20384662)","Stopped (LGR S/N: 20384662)","End Of File (LGR S/N: 20384662)"
1,06/13/21 08:04:14 PM,27.862,Logged,,,,,
2,06/13/21 08:04:32 PM,,,Logged,,,,
3,06/13/21 10:04:14 PM,22.046,,,,,,
4,06/14/21 12:04:14 AM,21.760,,,,,,
5,06/14/21 02:04:14 AM,21.569,,,,,,
6,06/14/21 04:04:14 AM,21.760,,,,,,
7,06/14/21 06:04:14 AM,22.525,,,,,,
8,06/14/21 08:04:14 AM,28.754,,,,,,
9,06/14/21 10:04:14 AM,30.659,,,,,,
10,06/14/21 12:04:14 PM,37.935,,,,,,
11,06/14/21 02:04:14 PM,28.357,,,,,,
12,06/14/21 04:04:14 PM,35.756,,,,,,
13,06/14/21 06:04:14 PM,36.511,,,,,,
14,06/14/21 08:04:14 PM,26.683,,,,,,
15,06/14/21 10:04:14 PM,24.738,,,,,,
16,06/15/21 12:04:14 AM,24.545,,,,,,
17,06/15/21 02:04:14 AM,24.448,,,,,,
18,06/15/21 04:04:14 AM,24.351,,,,,,
19,06/15/21 06:04:14 AM,24.641,,,,,,
20,06/15/21 08:04:14 AM,25.319,,,,,,
21,06/15/21 10:04:14 AM,25.805,,,,,,
22,06/15/21 12:04:14 PM,27.961,,,,,,
23,06/15/21 02:04:14 PM,28.655,,,,,,
24,06/15/21 04:04:14 PM,28.060,,,,,,
25,06/15/21 06:04:14 PM,26.488,,,,,,
26,06/15/21 08:04:14 PM,26.195,,,,,,
27,06/15/21 10:04:14 PM,25.222,,,,,,
28,06/16/21 12:04:14 AM,24.641,,,,,,
29,06/16/21 02:04:14 AM,23.869,,,,,,
30,06/16/21 04:04:14 AM,23.196,,,,,,
31,06/16/21 06:04:14 AM,22.717,,,,,,
32,06/16/21 08:04:14 AM,22.717,,,,,,
33,06/16/21 10:04:14 AM,24.448,,,,,,
34,06/16/21 12:04:14 PM,26.879,,,,,,
35,06/16/21 02:04:14 PM,28.357,,,,,,
36,06/16/21 04:04:14 PM,29.152,,,,,,
37,06/16/21 06:04:14 PM,28.456,,,,,,
38,06/16/21 08:04:14 PM,27.075,,,,,,
39,06/16/21 10:04:14 PM,25.708,,,,,,
40,06/17/21 12:04:14 AM,24.641,,,,,,
41,06/17/21 02:04:14 AM,23.869,,,,,,
42,06/17/21 04:04:14 AM,23.196,,,,,,
43,06/17/21 06:04:14 AM,22.621,,,,,,
44,06/17/21 08:04:14 AM,22.621,,,,,,
45,06/17/21 10:04:14 AM,24.255,,,,,,
46,06/17/21 12:04:14 PM,26.879,,,,,,
47,06/17/21 02:04:14 PM,28.258,,,,,,
48,06/17/21 04:04:14 PM,29.452,,,,,,
49,06/17/21 06:04:14 PM,28.060,,,,,,
50,06/17/21 08:04:14 PM,26.488,,,,,,
51,06/17/21 10:04:14 PM,24.835,,,,,,
52,06/18/21 12:04:14 AM,23.677,,,,,,
53,06/18/21 02:04:14 AM,22.812,,,,,,
54,06/18/21 04:04:14 AM,22.238,,,,,,
55,06/18/21 06:04:14 AM,21.664,,,,,,
56,06/18/21 08:04:14 AM,21.760,,,,,,
57,06/18/21 10:04:14 AM,23.869,,,,,,
58,06/18/21 12:04:14 PM,26.585,,,,,,
59,06/18/21 02:04:14 PM,27.468,,,,,,
60,06/18/21 04:04:14 PM,27.961,,,,,,
61,06/18/21 06:04:14 PM,27.370,,,,,,
62,06/18/21 08:04:14 PM,26.097,,,,,,
63,06/18/21 10:04:14 PM,24.835,,,,,,
64,06/19/21 12:04:14 AM,24.255,,,,,,
65,06/19/21 02:04:14 AM,23.773,,,,,,
66,06/19/21 04:04:14 AM,23.292,,,,,,
67,06/19/21 06:04:14 AM,22.908,,,,,,
68,06/19/21 08:04:14 AM,23.292,,,,,,
69,06/19/21 10:04:14 AM,24.931,,,,,,
70,06/19/21 12:04:14 PM,27.370,,,,,,
71,06/19/21 02:04:14 PM,28.655,,,,,,
72,06/19/21 04:04:14 PM,29.752,,,,,,
73,06/19/21 06:04:14 PM,28.357,,,,,,
74,06/19/21 08:04:14 PM,26.977,,,,,,
75,06/19/21 10:04:14 PM,26.097,,,,,,
76,06/20/21 12:04:14 AM,25.513,,,,,,
77,06/20/21 02:04:14 AM,25.028,,,,,,
78,06/20/21 04:04:14 AM,24.641,,,,,,
79,06/20/21 06:04:14 AM,22.621,,,,,,
80,06/20/21 08:04:14 AM,23.581,,,,,,
81,06/20/21 10:04:14 AM,24.931,,,,,,
82,06/20/21 12:04:14 PM,26.488,,,,,,
83,06/20/21 02:04:14 PM,28.555,,,,,,
84,06/20/21 04:04:14 PM,28.159,,,,,,
85,06/20/21 06:04:14 PM,27.764,,,,,,
86,06/20/21 08:04:14 PM,26.781,,,,,,
87,06/20/21 10:04:14 PM,26.097,,,,,,
88,06/21/21 12:04:14 AM,24.545,,,,,,
89,06/21/21 02:04:14 AM,24.738,,,,,,
90,06/21/21 04:04:14 AM,24.545,,,,,,
91,06/21/21 06:04:14 AM,24.448,,,,,,
92,06/21/21 08:04:14 AM,24.448,,,,,,
93,06/21/21 10:04:14 AM,25.610,,,,,,
94,06/21/21 12:04:14 PM,28.159,,,,,,
95,06/21/21 02:04:14 PM,29.552,,,,,,
96,06/21/21 04:04:14 PM,30.356,,,,,,
97,06/21/21 06:04:14 PM,29.352,,,,,,
98,06/21/21 08:04:14 PM,28.159,,,,,,
99,06/21/21 10:04:14 PM,27.075,,,,,,
100,06/22/21 12:04:14 AM,26.488,,,,,,
101,06/22/21 02:04:14 AM,26.097,,,,,,
102,06/22/21 04:04:14 AM,25.708,,,,,,
103,06/22/21 06:04:14 AM,25.319,,,,,,
104,06/22/21 08:04:14 AM,25.125,,,,,,
105,06/22/21 10:04:14 AM,25.902,,,,,,
106,06/22/21 12:04:14 PM,26.585,,,,,,
107,06/22/21 02:04:14 PM,26.683,,,,,,
108,06/22/21 04:04:14 PM,26.977,,,,,,
109,06/22/21 06:04:14 PM,26.879,,,,,,
110,06/22/21 08:04:14 PM,26.390,,,,,,
111,06/22/21 10:04:14 PM,25.708,,,,,,
112,06/23/21 12:04:14 AM,25.125,,,,,,
113,06/23/21 02:04:14 AM,24.738,,,,,,
114,06/23/21 04:04:14 AM,24.351,,,,,,
115,06/23/21 06:04:14 AM,23.966,,,,,,
116,06/23/21 08:04:14 AM,24.062,,,,,,
117,06/23/21 10:04:14 AM,25.028,,,,,,
118,06/23/21 12:04:14 PM,26.879,,,,,,
119,06/23/21 02:04:14 PM,27.961,,,,,,
120,06/23/21 04:04:14 PM,28.754,,,,,,
121,06/23/21 06:04:14 PM,27.468,,,,,,
122,06/23/21 08:04:14 PM,26.292,,,,,,
123,06/23/21 10:04:14 PM,24.931,,,,,,
124,06/24/21 12:04:14 AM,23.966,,,,,,
125,06/24/21 02:04:14 AM,23.196,,,,,,
126,06/24/21 04:04:14 AM,22.429,,,,,,
127,06/24/21 06:04:14 AM,21.664,,,,,,
128,06/24/21 08:04:14 AM,21.569,,,,,,
129,06/24/21 10:04:14 AM,23.292,,,,,,
