"Plot Title: 20871538"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 20871538, SEN S/N: 21097972)","Water Content, m³/m³ (LGR S/N: 20871538, SEN S/N: 21097975)"
1,06/14/21 12:27:30 PM,0.3576,0.3017
2,06/14/21 12:57:30 PM,0.3678,0.3126
3,06/14/21 01:27:30 PM,0.3685,0.3133
4,06/14/21 01:57:30 PM,0.3685,0.3141
5,06/14/21 02:27:30 PM,0.3685,0.3141
6,06/14/21 02:57:30 PM,0.3693,0.3141
7,06/14/21 03:27:30 PM,0.3693,0.3141
8,06/14/21 03:57:30 PM,0.3693,0.3141
9,06/14/21 04:27:30 PM,0.3700,0.3148
10,06/14/21 04:57:30 PM,0.3693,0.3148
11,06/14/21 05:27:30 PM,0.3700,0.3148
12,06/14/21 05:57:30 PM,0.3700,0.3148
13,06/14/21 06:27:30 PM,0.3714,0.3148
14,06/14/21 06:57:30 PM,0.3714,0.3155
15,06/14/21 07:27:30 PM,0.3714,0.3155
16,06/14/21 07:57:30 PM,0.3714,0.3155
17,06/14/21 08:27:30 PM,0.3714,0.3155
18,06/14/21 08:57:30 PM,0.3722,0.3155
19,06/14/21 09:27:30 PM,0.3722,0.3162
20,06/14/21 09:57:30 PM,0.3722,0.3162
21,06/14/21 10:27:30 PM,0.3722,0.3162
22,06/14/21 10:57:30 PM,0.3729,0.3162
23,06/14/21 11:27:30 PM,0.3729,0.3162
24,06/14/21 11:57:30 PM,0.3736,0.3170
25,06/15/21 12:27:30 AM,0.3736,0.3162
26,06/15/21 12:57:30 AM,0.3736,0.3162
27,06/15/21 01:27:30 AM,0.3743,0.3162
28,06/15/21 01:57:30 AM,0.3743,0.3162
29,06/15/21 02:27:30 AM,0.3736,0.3162
30,06/15/21 02:57:30 AM,0.3743,0.3170
31,06/15/21 03:27:30 AM,0.3743,0.3162
32,06/15/21 03:57:30 AM,0.3743,0.3170
33,06/15/21 04:27:30 AM,0.3743,0.3170
34,06/15/21 04:57:30 AM,0.3751,0.3177
35,06/15/21 05:27:30 AM,0.3751,0.3170
36,06/15/21 05:57:30 AM,0.3743,0.3170
37,06/15/21 06:27:30 AM,0.3743,0.3177
38,06/15/21 06:57:30 AM,0.3743,0.3170
39,06/15/21 07:27:30 AM,0.3743,0.3177
40,06/15/21 07:57:30 AM,0.3736,0.3177
41,06/15/21 08:27:30 AM,0.3736,0.3170
42,06/15/21 08:57:30 AM,0.3729,0.3170
43,06/15/21 09:27:30 AM,0.3722,0.3170
44,06/15/21 09:57:30 AM,0.3722,0.3170
45,06/15/21 10:27:30 AM,0.3743,0.3191
46,06/15/21 10:57:30 AM,0.3743,0.3184
47,06/15/21 11:27:30 AM,0.3743,0.3191
48,06/15/21 11:57:30 AM,0.3743,0.3191
49,06/15/21 12:27:30 PM,0.3743,0.3184
50,06/15/21 12:57:30 PM,0.3751,0.3184
51,06/15/21 01:27:30 PM,0.4354,0.3627
52,06/15/21 01:57:30 PM,0.4354,0.3591
53,06/15/21 02:27:30 PM,0.4310,0.3526
54,06/15/21 02:57:30 PM,0.4274,0.3475
55,06/15/21 03:27:30 PM,0.4245,0.3438
56,06/15/21 03:57:30 PM,0.4208,0.3402
57,06/15/21 04:27:30 PM,0.4187,0.3373
58,06/15/21 04:57:30 PM,0.4165,0.3358
59,06/15/21 05:27:30 PM,0.4150,0.3344
60,06/15/21 05:57:30 PM,0.4136,0.3337
61,06/15/21 06:27:30 PM,0.4121,0.3322
62,06/15/21 06:57:30 PM,0.4114,0.3315
63,06/15/21 07:27:30 PM,0.4092,0.3315
64,06/15/21 07:57:30 PM,0.4085,0.3308
65,06/15/21 08:27:30 PM,0.4070,0.3308
66,06/15/21 08:57:30 PM,0.4063,0.3300
67,06/15/21 09:27:30 PM,0.4056,0.3300
68,06/15/21 09:57:30 PM,0.4049,0.3300
69,06/15/21 10:27:30 PM,0.4041,0.3293
70,06/15/21 10:57:30 PM,0.4034,0.3293
