"Plot Title: 20376493"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376493, SEN S/N: 20376493)","Coupler Detached (LGR S/N: 20376493)","Coupler Attached (LGR S/N: 20376493)","Stopped (LGR S/N: 20376493)","End Of File (LGR S/N: 20376493)"
1,06/12/21 10:45:30 PM,28.357,,,,
2,06/12/21 10:45:40 PM,,Logged,,,
3,06/13/21 12:45:30 AM,22.908,,,,
4,06/13/21 02:45:30 AM,23.100,,,,
5,06/13/21 04:45:30 AM,23.292,,,,
6,06/13/21 06:45:30 AM,23.100,,,,
7,06/13/21 08:45:30 AM,25.319,,,,
8,06/13/21 10:45:30 AM,26.585,,,,
9,06/13/21 12:45:30 PM,33.848,,,,
10,06/13/21 02:45:30 PM,30.154,,,,
11,06/13/21 04:45:30 PM,28.953,,,,
12,06/13/21 06:45:30 PM,24.158,,,,
13,06/13/21 08:45:30 PM,23.004,,,,
14,06/13/21 10:45:30 PM,22.429,,,,
15,06/14/21 12:45:30 AM,22.142,,,,
16,06/14/21 02:45:30 AM,22.142,,,,
17,06/14/21 04:45:30 AM,21.855,,,,
18,06/14/21 06:45:30 AM,22.142,,,,
19,06/14/21 08:45:30 AM,31.064,,,,
20,06/14/21 10:45:30 AM,25.222,,,,
21,06/14/21 12:45:30 PM,28.555,,,,
22,06/14/21 02:45:30 PM,31.676,,,,
23,06/14/21 04:45:30 PM,31.370,,,,
24,06/14/21 06:45:30 PM,28.159,,,,
25,06/14/21 08:45:30 PM,26.488,,,,
26,06/14/21 10:45:30 PM,25.513,,,,
27,06/15/21 12:45:30 AM,24.931,,,,
28,06/15/21 02:45:30 AM,24.545,,,,
29,06/15/21 04:45:30 AM,24.158,,,,
30,06/15/21 06:45:30 AM,24.062,,,,
31,06/15/21 08:45:30 AM,24.738,,,,
32,06/15/21 10:45:30 AM,26.195,,,,
33,06/15/21 12:45:30 PM,31.574,,,,
34,06/15/21 02:45:30 PM,32.086,,,,
35,06/15/21 04:45:30 PM,25.319,,,,
36,06/15/21 06:45:30 PM,24.931,,,,
37,06/15/21 08:45:30 PM,24.641,,,,
38,06/15/21 10:45:30 PM,23.773,,,,
39,06/16/21 12:45:30 AM,23.388,,,,
40,06/16/21 02:45:30 AM,22.812,,,,
41,06/16/21 04:45:30 AM,22.333,,,,
42,06/16/21 06:45:30 AM,22.142,,,,
43,06/16/21 08:45:30 AM,22.908,,,,
44,06/16/21 10:45:30 AM,24.545,,,,
45,06/16/21 12:45:30 PM,28.456,,,,
46,06/16/21 02:45:30 PM,31.166,,,,
47,06/16/21 04:45:30 PM,29.552,,,,
48,06/16/21 06:45:30 PM,27.370,,,,
49,06/16/21 08:45:30 PM,25.902,,,,
50,06/16/21 10:45:30 PM,24.545,,,,
51,06/17/21 12:45:30 AM,23.773,,,,
52,06/17/21 02:45:30 AM,23.004,,,,
53,06/17/21 04:45:30 AM,22.429,,,,
54,06/17/21 06:45:30 AM,22.238,,,,
55,06/17/21 08:45:30 AM,22.908,,,,
56,06/17/21 10:45:30 AM,24.255,,,,
57,06/17/21 12:45:30 PM,28.754,,,,
58,06/17/21 02:45:30 PM,32.600,,,,
59,06/17/21 04:45:30 PM,31.370,,,,
60,06/17/21 06:45:30 PM,28.258,,,,
61,06/17/21 08:45:30 PM,26.292,,,,
62,06/17/21 10:45:30 PM,25.028,,,,
63,06/18/21 12:45:30 AM,24.062,,,,
64,06/18/21 02:45:30 AM,23.292,,,,
65,06/18/21 04:45:30 AM,22.621,,,,
66,06/18/21 06:45:30 AM,22.238,,,,
67,06/18/21 08:45:30 AM,23.004,,,,
68,06/18/21 10:45:30 AM,24.738,,,,
69,06/18/21 12:45:30 PM,31.370,,,,
70,06/18/21 02:45:30 PM,33.222,,,,
71,06/18/21 04:45:30 PM,31.268,,,,
72,06/18/21 06:45:30 PM,27.764,,,,
73,06/18/21 08:45:30 PM,26.000,,,,
74,06/18/21 10:45:30 PM,24.931,,,,
75,06/19/21 12:45:30 AM,24.448,,,,
76,06/19/21 02:45:30 AM,24.062,,,,
77,06/19/21 04:45:30 AM,23.773,,,,
78,06/19/21 06:45:30 AM,23.581,,,,
79,06/19/21 08:45:30 AM,24.448,,,,
80,06/19/21 10:45:30 AM,26.488,,,,
81,06/19/21 12:45:30 PM,32.086,,,,
82,06/19/21 02:45:30 PM,32.807,,,,
83,06/19/21 04:45:30 PM,30.356,,,,
84,06/19/21 06:45:30 PM,28.258,,,,
85,06/19/21 08:45:30 PM,26.879,,,,
86,06/19/21 10:45:30 PM,26.195,,,,
87,06/20/21 12:45:30 AM,25.610,,,,
88,06/20/21 02:45:30 AM,25.125,,,,
89,06/20/21 04:45:30 AM,24.738,,,,
90,06/20/21 06:45:30 AM,24.545,,,,
91,06/20/21 08:45:30 AM,24.158,,,,
92,06/20/21 10:45:30 AM,24.835,,,,
93,06/20/21 12:45:30 PM,28.953,,,,
94,06/20/21 02:45:30 PM,32.497,,,,
95,06/20/21 04:45:30 PM,31.166,,,,
96,06/20/21 06:45:30 PM,28.357,,,,
97,06/20/21 08:45:30 PM,26.977,,,,
98,06/20/21 10:45:30 PM,26.195,,,,
99,06/21/21 12:45:30 AM,25.902,,,,
100,06/21/21 02:45:30 AM,25.319,,,,
101,06/21/21 04:45:30 AM,24.931,,,,
102,06/21/21 06:45:30 AM,24.738,,,,
103,06/21/21 08:45:30 AM,24.835,,,,
104,06/21/21 10:45:30 AM,25.902,,,,
105,06/21/21 12:45:30 PM,31.370,,,,
