"Plot Title: 20572140"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20572140, SEN S/N: 20572140)","Coupler Detached (LGR S/N: 20572140)","Coupler Attached (LGR S/N: 20572140)","Host Connected (LGR S/N: 20572140)","Stopped (LGR S/N: 20572140)","End Of File (LGR S/N: 20572140)"
1,06/13/21 07:59:59 PM,30.760,,,,,
2,06/13/21 08:00:10 PM,,Logged,,,,
3,06/13/21 09:59:59 PM,22.333,,,,,
4,06/13/21 11:59:59 PM,21.569,,,,,
5,06/14/21 01:59:59 AM,21.760,,,,,
6,06/14/21 03:59:59 AM,21.855,,,,,
7,06/14/21 05:59:59 AM,22.429,,,,,
8,06/14/21 07:59:59 AM,25.513,,,,,
9,06/14/21 09:59:59 AM,24.158,,,,,
10,06/14/21 11:59:59 AM,26.292,,,,,
11,06/14/21 01:59:59 PM,27.468,,,,,
12,06/14/21 03:59:59 PM,29.552,,,,,
13,06/14/21 05:59:59 PM,28.456,,,,,
14,06/14/21 07:59:59 PM,26.879,,,,,
15,06/14/21 09:59:59 PM,25.805,,,,,
16,06/14/21 11:59:59 PM,25.222,,,,,
17,06/15/21 01:59:59 AM,24.835,,,,,
18,06/15/21 03:59:59 AM,24.448,,,,,
19,06/15/21 05:59:59 AM,24.158,,,,,
20,06/15/21 07:59:59 AM,24.351,,,,,
21,06/15/21 09:59:59 AM,25.028,,,,,
22,06/15/21 11:59:59 AM,27.173,,,,,
23,06/15/21 01:59:59 PM,29.352,,,,,
24,06/15/21 03:59:59 PM,29.352,,,,,
25,06/15/21 05:59:59 PM,25.222,,,,,
26,06/15/21 07:59:59 PM,25.028,,,,,
27,06/15/21 09:59:59 PM,24.351,,,,,
28,06/15/21 11:59:59 PM,23.677,,,,,
29,06/16/21 01:59:59 AM,23.292,,,,,
30,06/16/21 03:59:59 AM,22.812,,,,,
31,06/16/21 05:59:59 AM,22.429,,,,,
32,06/16/21 07:59:59 AM,22.429,,,,,
33,06/16/21 09:59:59 AM,23.869,,,,,
34,06/16/21 11:59:59 AM,26.292,,,,,
35,06/16/21 01:59:59 PM,28.060,,,,,
36,06/16/21 03:59:59 PM,29.752,,,,,
37,06/16/21 05:59:59 PM,27.764,,,,,
38,06/16/21 07:59:59 PM,26.488,,,,,
39,06/16/21 09:59:59 PM,25.125,,,,,
40,06/16/21 11:59:59 PM,24.062,,,,,
41,06/17/21 01:59:59 AM,23.388,,,,,
42,06/17/21 03:59:59 AM,22.812,,,,,
43,06/17/21 05:59:59 AM,22.333,,,,,
44,06/17/21 07:59:59 AM,22.429,,,,,
45,06/17/21 09:59:59 AM,23.677,,,,,
46,06/17/21 11:59:59 AM,26.683,,,,,
47,06/17/21 01:59:59 PM,28.258,,,,,
48,06/17/21 03:59:59 PM,30.356,,,,,
49,06/17/21 05:59:59 PM,28.754,,,,,
50,06/17/21 07:59:59 PM,26.781,,,,,
51,06/17/21 09:59:59 PM,25.416,,,,,
52,06/17/21 11:59:59 PM,24.448,,,,,
53,06/18/21 01:59:59 AM,23.677,,,,,
54,06/18/21 03:59:59 AM,23.004,,,,,
55,06/18/21 05:59:59 AM,22.429,,,,,
56,06/18/21 07:59:59 AM,22.429,,,,,
57,06/18/21 09:59:59 AM,23.869,,,,,
58,06/18/21 11:59:59 AM,27.075,,,,,
59,06/18/21 01:59:59 PM,29.053,,,,,
60,06/18/21 03:59:59 PM,30.356,,,,,
61,06/18/21 05:59:59 PM,28.357,,,,,
62,06/18/21 07:59:59 PM,26.585,,,,,
63,06/18/21 09:59:59 PM,25.222,,,,,
64,06/18/21 11:59:59 PM,24.641,,,,,
65,06/19/21 01:59:59 AM,24.351,,,,,
66,06/19/21 03:59:59 AM,23.966,,,,,
67,06/19/21 05:59:59 AM,23.773,,,,,
68,06/19/21 07:59:59 AM,23.966,,,,,
69,06/19/21 09:59:59 AM,25.319,,,,,
70,06/19/21 11:59:59 AM,27.665,,,,,
71,06/19/21 01:59:59 PM,29.552,,,,,
72,06/19/21 03:59:59 PM,30.356,,,,,
73,06/19/21 05:59:59 PM,28.754,,,,,
74,06/19/21 07:59:59 PM,27.468,,,,,
75,06/19/21 09:59:59 PM,26.585,,,,,
76,06/19/21 11:59:59 PM,26.000,,,,,
77,06/20/21 01:59:59 AM,25.513,,,,,
78,06/20/21 03:59:59 AM,25.125,,,,,
79,06/20/21 05:59:59 AM,24.738,,,,,
80,06/20/21 07:59:59 AM,24.545,,,,,
81,06/20/21 09:59:59 AM,24.351,,,,,
82,06/20/21 11:59:59 AM,25.805,,,,,
83,06/20/21 01:59:59 PM,28.258,,,,,
84,06/20/21 03:59:59 PM,30.255,,,,,
85,06/20/21 05:59:59 PM,28.655,,,,,
86,06/20/21 07:59:59 PM,27.272,,,,,
87,06/20/21 09:59:59 PM,26.292,,,,,
88,06/20/21 11:59:59 PM,25.902,,,,,
89,06/21/21 01:59:59 AM,25.513,,,,,
90,06/21/21 03:59:59 AM,25.222,,,,,
91,06/21/21 05:59:59 AM,24.931,,,,,
92,06/21/21 07:59:59 AM,24.931,,,,,
93,06/21/21 09:59:59 AM,25.416,,,,,
94,06/21/21 11:59:59 AM,28.060,,,,,
95,06/21/21 01:59:59 PM,29.953,,,,,
96,06/21/21 03:59:59 PM,30.963,,,,,
97,06/21/21 05:59:59 PM,29.752,,,,,
98,06/21/21 07:59:59 PM,28.258,,,,,
99,06/21/21 09:59:59 PM,27.272,,,,,
100,06/21/21 11:59:59 PM,26.585,,,,,
101,06/22/21 01:59:59 AM,26.195,,,,,
102,06/22/21 03:59:59 AM,26.000,,,,,
103,06/22/21 05:59:59 AM,25.708,,,,,
104,06/22/21 07:59:59 AM,25.610,,,,,
105,06/22/21 09:59:59 AM,25.902,,,,,
106,06/22/21 11:59:59 AM,26.879,,,,,
107,06/22/21 01:59:59 PM,27.468,,,,,
108,06/22/21 03:59:59 PM,26.977,,,,,
109,06/22/21 05:59:59 PM,26.683,,,,,
110,06/22/21 07:59:59 PM,25.708,,,,,
111,06/22/21 09:59:59 PM,24.738,,,,,
112,06/22/21 11:59:59 PM,24.255,,,,,
113,06/23/21 01:59:59 AM,23.966,,,,,
114,06/23/21 03:59:59 AM,23.869,,,,,
115,06/23/21 05:59:59 AM,23.581,,,,,
116,06/23/21 07:59:59 AM,23.388,,,,,
117,06/23/21 09:59:59 AM,23.966,,,,,
118,06/23/21 11:59:59 AM,26.195,,,,,
119,06/23/21 01:59:59 PM,27.665,,,,,
120,06/23/21 03:59:59 PM,28.357,,,,,
121,06/23/21 05:59:59 PM,26.879,,,,,
122,06/23/21 07:59:59 PM,25.513,,,,,
123,06/23/21 09:59:59 PM,24.158,,,,,
124,06/23/21 11:59:59 PM,23.196,,,,,
125,06/24/21 01:59:59 AM,22.333,,,,,
126,06/24/21 03:59:59 AM,21.664,,,,,
127,06/24/21 05:59:59 AM,20.996,,,,,
128,06/24/21 07:59:59 AM,20.805,,,,,
129,06/24/21 09:59:59 AM,21.855,,,,,
130,06/24/21 11:59:59 AM,24.931,,,,,
131,06/24/21 01:59:59 PM,26.977,,,,,
132,06/24/21 03:59:59 PM,28.258,,,,,
133,06/24/21 05:59:59 PM,26.781,,,,,
134,06/24/21 07:59:59 PM,25.222,,,,,
135,06/24/21 09:59:59 PM,24.255,,,,,
136,06/24/21 11:59:59 PM,23.581,,,,,
137,06/25/21 01:59:59 AM,23.100,,,,,
138,06/25/21 03:59:59 AM,23.004,,,,,
139,06/25/21 05:59:59 AM,22.908,,,,,
140,06/25/21 07:59:59 AM,22.908,,,,,
141,06/25/21 09:59:59 AM,23.004,,,,,
142,06/25/21 11:59:59 AM,23.966,,,,,
143,06/25/21 01:59:59 PM,24.835,,,,,
144,06/25/21 03:59:59 PM,24.835,,,,,
