"Plot Title: 21109169"
"#","Date Time, GMT-08:00","Water Content, m³/m³ (LGR S/N: 21109169, SEN S/N: 21097973)","Water Content, m³/m³ (LGR S/N: 21109169, SEN S/N: 21097974)"
1,06/14/21 08:03:59 AM,0.2073,0.1601
2,06/14/21 08:33:59 AM,0.2102,0.1673
3,06/14/21 09:03:59 AM,0.2109,0.1673
4,06/14/21 09:33:59 AM,0.2102,0.1673
5,06/14/21 10:03:59 AM,0.2109,0.1673
6,06/14/21 10:33:59 AM,0.2109,0.1673
7,06/14/21 11:03:59 AM,0.2109,0.1673
8,06/14/21 11:33:59 AM,0.2102,0.1673
9,06/14/21 12:03:59 PM,0.2102,0.1666
10,06/14/21 12:33:59 PM,0.2095,0.1659
11,06/14/21 01:03:59 PM,0.2095,0.1659
12,06/14/21 01:33:59 PM,0.2087,0.1659
13,06/14/21 02:03:59 PM,0.2080,0.1659
14,06/14/21 02:33:59 PM,0.2080,0.1652
15,06/14/21 03:03:59 PM,0.2080,0.1644
16,06/14/21 03:33:59 PM,0.2073,0.1644
17,06/14/21 04:03:59 PM,0.2073,0.1644
18,06/14/21 04:33:59 PM,0.2073,0.1644
19,06/14/21 05:03:59 PM,0.2066,0.1644
20,06/14/21 05:33:59 PM,0.2066,0.1637
21,06/14/21 06:03:59 PM,0.2066,0.1637
22,06/14/21 06:33:59 PM,0.2066,0.1637
23,06/14/21 07:03:59 PM,0.2066,0.1637
24,06/14/21 07:33:59 PM,0.2066,0.1630
25,06/14/21 08:03:59 PM,0.2058,0.1637
26,06/14/21 08:33:59 PM,0.2066,0.1630
27,06/14/21 09:03:59 PM,0.2066,0.1630
28,06/14/21 09:33:59 PM,0.2066,0.1630
29,06/14/21 10:03:59 PM,0.2066,0.1630
30,06/14/21 10:33:59 PM,0.2066,0.1630
31,06/14/21 11:03:59 PM,0.2066,0.1623
32,06/14/21 11:33:59 PM,0.2066,0.1630
33,06/15/21 12:03:59 AM,0.2066,0.1630
34,06/15/21 12:33:59 AM,0.2066,0.1630
35,06/15/21 01:03:59 AM,0.2066,0.1623
36,06/15/21 01:33:59 AM,0.2066,0.1630
37,06/15/21 02:03:59 AM,0.2066,0.1630
38,06/15/21 02:33:59 AM,0.2066,0.1623
39,06/15/21 03:03:59 AM,0.2066,0.1630
40,06/15/21 03:33:59 AM,0.2066,0.1623
41,06/15/21 04:03:59 AM,0.2066,0.1623
42,06/15/21 04:33:59 AM,0.2066,0.1630
43,06/15/21 05:03:59 AM,0.2066,0.1630
44,06/15/21 05:33:59 AM,0.2066,0.1630
45,06/15/21 06:03:59 AM,0.2066,0.1630
46,06/15/21 06:33:59 AM,0.2066,0.1630
47,06/15/21 07:03:59 AM,0.2066,0.1630
48,06/15/21 07:33:59 AM,0.2066,0.1630
49,06/15/21 08:03:59 AM,0.2058,0.1630
50,06/15/21 08:33:59 AM,0.2066,0.1637
51,06/15/21 09:03:59 AM,0.2066,0.1637
52,06/15/21 09:33:59 AM,0.2066,0.1637
53,06/15/21 10:03:59 AM,0.2058,0.1637
54,06/15/21 10:33:59 AM,0.2066,0.1637
55,06/15/21 11:03:59 AM,0.2058,0.1637
56,06/15/21 11:33:59 AM,0.2058,0.1630
57,06/15/21 12:03:59 PM,0.2051,0.1623
58,06/15/21 12:33:59 PM,0.2051,0.1623
59,06/15/21 01:03:59 PM,0.2138,0.1630
60,06/15/21 01:33:59 PM,0.2189,0.1652
61,06/15/21 02:03:59 PM,0.2189,0.1659
62,06/15/21 02:33:59 PM,0.2175,0.1659
63,06/15/21 03:03:59 PM,0.2160,0.1666
64,06/15/21 03:33:59 PM,0.2153,0.1666
65,06/15/21 04:03:59 PM,0.2146,0.1666
66,06/15/21 04:33:59 PM,0.2138,0.1659
67,06/15/21 05:03:59 PM,0.2131,0.1659
68,06/15/21 05:33:59 PM,0.2124,0.1659
69,06/15/21 06:03:59 PM,0.2124,0.1659
70,06/15/21 06:33:59 PM,0.2124,0.1659
71,06/15/21 07:03:59 PM,0.2124,0.1652
72,06/15/21 07:33:59 PM,0.2116,0.1652
73,06/15/21 08:03:59 PM,0.2116,0.1652
74,06/15/21 08:33:59 PM,0.2109,0.1652
75,06/15/21 09:03:59 PM,0.2109,0.1652
76,06/15/21 09:33:59 PM,0.2109,0.1644
77,06/15/21 10:03:59 PM,0.2109,0.1644
78,06/15/21 10:33:59 PM,0.2109,0.1644
79,06/15/21 11:03:59 PM,0.2109,0.1644
80,06/15/21 11:33:59 PM,0.2109,0.1644
81,06/16/21 12:03:59 AM,0.2109,0.1637
82,06/16/21 12:33:59 AM,0.2109,0.1637
83,06/16/21 01:03:59 AM,0.2109,0.1637
84,06/16/21 01:33:59 AM,0.2102,0.1637
85,06/16/21 02:03:59 AM,0.2102,0.1630
86,06/16/21 02:33:59 AM,0.2102,0.1630
87,06/16/21 03:03:59 AM,0.2102,0.1630
88,06/16/21 03:33:59 AM,0.2095,0.1630
89,06/16/21 04:03:59 AM,0.2102,0.1630
90,06/16/21 04:33:59 AM,0.2102,0.1630
91,06/16/21 05:03:59 AM,0.2102,0.1637
92,06/16/21 05:33:59 AM,0.2102,0.1637
93,06/16/21 06:03:59 AM,0.2102,0.1637
94,06/16/21 06:33:59 AM,0.2095,0.1637
95,06/16/21 07:03:59 AM,0.2087,0.1637
96,06/16/21 07:33:59 AM,0.2087,0.1637
97,06/16/21 08:03:59 AM,0.2087,0.1644
98,06/16/21 08:33:59 AM,0.2080,0.1644
99,06/16/21 09:03:59 AM,0.2073,0.1644
100,06/16/21 09:33:59 AM,0.2073,0.1644
101,06/16/21 10:03:59 AM,0.2073,0.1644
102,06/16/21 10:33:59 AM,0.2066,0.1644
103,06/16/21 11:03:59 AM,0.2066,0.1637
104,06/16/21 11:33:59 AM,0.2058,0.1644
105,06/16/21 12:03:59 PM,0.2058,0.1637
106,06/16/21 12:33:59 PM,0.2058,0.1630
107,06/16/21 01:03:59 PM,0.2051,0.1630
108,06/16/21 01:33:59 PM,0.2051,0.1623
109,06/16/21 02:03:59 PM,0.2044,0.1623
110,06/16/21 02:33:59 PM,0.2044,0.1623
111,06/16/21 03:03:59 PM,0.2037,0.1615
112,06/16/21 03:33:59 PM,0.2029,0.1615
113,06/16/21 04:03:59 PM,0.2029,0.1608
114,06/16/21 04:33:59 PM,0.2029,0.1608
115,06/16/21 05:03:59 PM,0.2022,0.1601
116,06/16/21 05:33:59 PM,0.2022,0.1601
117,06/16/21 06:03:59 PM,0.2022,0.1601
118,06/16/21 06:33:59 PM,0.2022,0.1594
119,06/16/21 07:03:59 PM,0.2022,0.1594
120,06/16/21 07:33:59 PM,0.2022,0.1594
121,06/16/21 08:03:59 PM,0.2022,0.1594
122,06/16/21 08:33:59 PM,0.2015,0.1594
123,06/16/21 09:03:59 PM,0.2015,0.1594
124,06/16/21 09:33:59 PM,0.2022,0.1586
125,06/16/21 10:03:59 PM,0.2022,0.1594
126,06/16/21 10:33:59 PM,0.2022,0.1586
127,06/16/21 11:03:59 PM,0.2015,0.1586
