"Plot Title: B1"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20384663, SEN S/N: 20384663)","Coupler Detached (LGR S/N: 20384663)","End Of File (LGR S/N: 20384663)"
1,06/13/23 08:35:10 PM,27.665,,
2,06/13/23 08:35:56 PM,,Logged,
3,06/13/23 09:05:10 PM,24.158,,
4,06/13/23 09:35:10 PM,22.621,,
5,06/13/23 10:05:10 PM,22.238,,
6,06/13/23 10:35:10 PM,22.238,,
7,06/13/23 11:05:10 PM,22.238,,
8,06/13/23 11:35:10 PM,22.429,,
9,06/14/23 12:05:10 AM,22.238,,
10,06/14/23 12:35:10 AM,22.333,,
11,06/14/23 01:05:10 AM,22.142,,
12,06/14/23 01:35:10 AM,22.142,,
13,06/14/23 02:05:10 AM,22.142,,
14,06/14/23 02:35:10 AM,22.046,,
15,06/14/23 03:05:10 AM,21.855,,
16,06/14/23 03:35:10 AM,21.855,,
17,06/14/23 04:05:10 AM,21.855,,
18,06/14/23 04:35:10 AM,21.855,,
19,06/14/23 05:05:10 AM,21.760,,
20,06/14/23 05:35:10 AM,22.046,,
21,06/14/23 06:05:10 AM,19.377,,
22,06/14/23 06:35:10 AM,18.045,,
23,06/14/23 07:05:10 AM,17.379,,
24,06/14/23 07:35:10 AM,17.379,,
25,06/14/23 08:05:10 AM,19.567,,
26,06/14/23 08:35:10 AM,21.091,,
27,06/14/23 09:05:10 AM,23.773,,
28,06/14/23 09:35:10 AM,26.683,,
29,06/14/23 10:05:10 AM,30.558,,
30,06/14/23 10:35:10 AM,31.778,,
31,06/14/23 11:05:10 AM,22.046,,
32,06/14/23 11:35:10 AM,20.996,,
33,06/14/23 12:05:10 PM,21.473,,
34,06/14/23 12:35:10 PM,22.238,,
35,06/14/23 01:05:10 PM,22.717,,
36,06/14/23 01:35:10 PM,23.004,,
37,06/14/23 02:05:10 PM,23.292,,
38,06/14/23 02:35:10 PM,23.292,,
39,06/14/23 03:05:10 PM,23.196,,
40,06/14/23 03:35:10 PM,23.196,,
41,06/14/23 04:05:10 PM,23.196,,
42,06/14/23 04:35:10 PM,23.196,,
43,06/14/23 05:05:10 PM,23.292,,
44,06/14/23 05:35:10 PM,23.388,,
45,06/14/23 06:05:10 PM,23.292,,
46,06/14/23 06:35:10 PM,23.196,,
47,06/14/23 07:05:10 PM,23.100,,
48,06/14/23 07:35:10 PM,23.004,,
49,06/14/23 08:05:10 PM,22.812,,
50,06/14/23 08:35:10 PM,22.717,,
51,06/14/23 09:05:10 PM,22.621,,
52,06/14/23 09:35:10 PM,22.429,,
53,06/14/23 10:05:10 PM,22.333,,
54,06/14/23 10:35:10 PM,22.238,,
55,06/14/23 11:05:10 PM,22.142,,
56,06/14/23 11:35:10 PM,22.046,,
57,06/15/23 12:05:10 AM,21.951,,
58,06/15/23 12:35:10 AM,21.855,,
59,06/15/23 01:05:10 AM,21.760,,
60,06/15/23 01:35:10 AM,21.664,,
61,06/15/23 02:05:10 AM,21.569,,
62,06/15/23 02:35:10 AM,21.473,,
63,06/15/23 03:05:10 AM,21.378,,
64,06/15/23 03:35:10 AM,21.282,,
65,06/15/23 04:05:10 AM,21.187,,
66,06/15/23 04:35:10 AM,21.091,,
67,06/15/23 05:05:10 AM,21.091,,
68,06/15/23 05:35:10 AM,20.996,,
69,06/15/23 06:05:10 AM,20.996,,
70,06/15/23 06:35:10 AM,20.901,,
71,06/15/23 07:05:10 AM,20.805,,
72,06/15/23 07:35:10 AM,20.710,,
73,06/15/23 08:05:10 AM,20.710,,
74,06/15/23 08:35:10 AM,20.805,,
75,06/15/23 09:05:10 AM,20.805,,
76,06/15/23 09:35:10 AM,20.996,,
77,06/15/23 10:05:10 AM,21.091,,
78,06/15/23 10:35:10 AM,21.473,,
79,06/15/23 11:05:10 AM,21.569,,
80,06/15/23 11:35:10 AM,21.760,,
81,06/15/23 12:05:10 PM,22.238,,
82,06/15/23 12:35:10 PM,22.717,,
83,06/15/23 01:05:10 PM,23.100,,
84,06/15/23 01:35:10 PM,23.388,,
85,06/15/23 02:05:10 PM,23.484,,
86,06/15/23 02:35:10 PM,23.388,,
87,06/15/23 03:05:10 PM,23.388,,
88,06/15/23 03:35:10 PM,23.388,,
89,06/15/23 04:05:10 PM,23.388,,
90,06/15/23 04:35:10 PM,23.484,,
91,06/15/23 05:05:10 PM,23.581,,
92,06/15/23 05:35:10 PM,23.581,,
93,06/15/23 06:05:10 PM,23.581,,
94,06/15/23 06:35:10 PM,23.581,,
95,06/15/23 07:05:10 PM,23.484,,
96,06/15/23 07:35:10 PM,23.292,,
97,06/15/23 08:05:10 PM,23.196,,
98,06/15/23 08:35:10 PM,23.004,,
99,06/15/23 09:05:10 PM,22.908,,
100,06/15/23 09:35:10 PM,22.717,,
101,06/15/23 10:05:10 PM,22.525,,
102,06/15/23 10:35:10 PM,22.429,,
103,06/15/23 11:05:10 PM,22.333,,
104,06/15/23 11:35:10 PM,22.142,,
105,06/16/23 12:05:10 AM,22.046,,
106,06/16/23 12:35:10 AM,21.951,,
107,06/16/23 01:05:10 AM,21.855,,
108,06/16/23 01:35:10 AM,21.760,,
109,06/16/23 02:05:10 AM,21.664,,
110,06/16/23 02:35:10 AM,21.569,,
111,06/16/23 03:05:10 AM,21.569,,
112,06/16/23 03:35:10 AM,21.473,,
113,06/16/23 04:05:10 AM,21.378,,
114,06/16/23 04:35:10 AM,21.378,,
115,06/16/23 05:05:10 AM,21.282,,
116,06/16/23 05:35:10 AM,21.187,,
117,06/16/23 06:05:10 AM,21.091,,
118,06/16/23 06:35:10 AM,21.091,,
119,06/16/23 07:05:10 AM,20.996,,
120,06/16/23 07:35:10 AM,20.996,,
121,06/16/23 08:05:10 AM,20.996,,
122,06/16/23 08:35:10 AM,20.996,,
123,06/16/23 09:05:10 AM,21.091,,
124,06/16/23 09:35:10 AM,21.187,,
125,06/16/23 10:05:10 AM,21.378,,
126,06/16/23 10:35:10 AM,21.760,,
127,06/16/23 11:05:10 AM,21.855,,
128,06/16/23 11:35:10 AM,22.046,,
129,06/16/23 12:05:10 PM,22.525,,
130,06/16/23 12:35:10 PM,23.100,,
131,06/16/23 01:05:10 PM,23.292,,
132,06/16/23 01:35:10 PM,23.388,,
133,06/16/23 02:05:10 PM,23.677,,
134,06/16/23 02:35:10 PM,23.677,,
135,06/16/23 03:05:10 PM,23.677,,
136,06/16/23 03:35:10 PM,23.677,,
137,06/16/23 04:05:10 PM,23.581,,
138,06/16/23 04:35:10 PM,23.773,,
139,06/16/23 05:05:10 PM,23.966,,
140,06/16/23 05:35:10 PM,24.158,,
141,06/16/23 06:05:10 PM,24.062,,
142,06/16/23 06:35:10 PM,24.062,,
143,06/16/23 07:05:10 PM,23.869,,
144,06/16/23 07:35:10 PM,23.773,,
145,06/16/23 08:05:10 PM,23.581,,
146,06/16/23 08:35:10 PM,23.484,,
147,06/16/23 09:05:10 PM,23.292,,
148,06/16/23 09:35:10 PM,23.196,,
149,06/16/23 10:05:10 PM,23.004,,
150,06/16/23 10:35:10 PM,22.908,,
151,06/16/23 11:05:10 PM,22.812,,
152,06/16/23 11:35:10 PM,22.621,,
153,06/17/23 12:05:10 AM,22.525,,
154,06/17/23 12:35:10 AM,22.429,,
155,06/17/23 01:05:10 AM,22.333,,
156,06/17/23 01:35:10 AM,22.238,,
157,06/17/23 02:05:10 AM,22.142,,
158,06/17/23 02:35:10 AM,21.951,,
159,06/17/23 03:05:10 AM,21.855,,
160,06/17/23 03:35:10 AM,21.760,,
161,06/17/23 04:05:10 AM,21.569,,
162,06/17/23 04:35:10 AM,21.473,,
163,06/17/23 05:05:10 AM,21.378,,
164,06/17/23 05:35:10 AM,21.282,,
165,06/17/23 06:05:10 AM,21.091,,
166,06/17/23 06:35:10 AM,20.996,,
167,06/17/23 07:05:10 AM,20.901,,
168,06/17/23 07:35:10 AM,20.805,,
169,06/17/23 08:05:10 AM,20.805,,
170,06/17/23 08:35:10 AM,20.805,,
171,06/17/23 09:05:10 AM,20.901,,
172,06/17/23 09:35:10 AM,20.996,,
173,06/17/23 10:05:10 AM,21.091,,
174,06/17/23 10:35:10 AM,21.378,,
175,06/17/23 11:05:10 AM,21.569,,
176,06/17/23 11:35:10 AM,21.664,,
177,06/17/23 12:05:10 PM,22.142,,
178,06/17/23 12:35:10 PM,22.812,,
179,06/17/23 01:05:10 PM,23.484,,
180,06/17/23 01:35:10 PM,24.158,,
181,06/17/23 02:05:10 PM,24.448,,
182,06/17/23 02:35:10 PM,24.351,,
183,06/17/23 03:05:10 PM,24.158,,
184,06/17/23 03:35:10 PM,23.966,,
185,06/17/23 04:05:10 PM,23.966,,
186,06/17/23 04:35:10 PM,23.966,,
187,06/17/23 05:05:10 PM,24.062,,
188,06/17/23 05:35:10 PM,24.158,,
189,06/17/23 06:05:10 PM,24.158,,
190,06/17/23 06:35:10 PM,24.062,,
191,06/17/23 07:05:10 PM,23.869,,
192,06/17/23 07:35:10 PM,23.677,,
193,06/17/23 08:05:10 PM,23.484,,
194,06/17/23 08:35:10 PM,23.388,,
195,06/17/23 09:05:10 PM,23.196,,
196,06/17/23 09:35:10 PM,23.004,,
197,06/17/23 10:05:10 PM,22.812,,
198,06/17/23 10:35:10 PM,22.621,,
199,06/17/23 11:05:10 PM,22.429,,
200,06/17/23 11:35:10 PM,22.333,,
201,06/18/23 12:05:10 AM,22.142,,
202,06/18/23 12:35:10 AM,22.046,,
203,06/18/23 01:05:10 AM,21.855,,
204,06/18/23 01:35:10 AM,21.760,,
205,06/18/23 02:05:10 AM,21.569,,
206,06/18/23 02:35:10 AM,21.473,,
207,06/18/23 03:05:10 AM,21.378,,
208,06/18/23 03:35:10 AM,21.187,,
209,06/18/23 04:05:10 AM,21.091,,
210,06/18/23 04:35:10 AM,20.996,,
211,06/18/23 05:05:10 AM,20.901,,
212,06/18/23 05:35:10 AM,20.805,,
213,06/18/23 06:05:10 AM,20.710,,
214,06/18/23 06:35:10 AM,20.615,,
215,06/18/23 07:05:10 AM,20.519,,
216,06/18/23 07:35:10 AM,20.519,,
217,06/18/23 08:05:10 AM,20.519,,
218,06/18/23 08:35:10 AM,20.519,,
219,06/18/23 09:05:10 AM,20.615,,
220,06/18/23 09:35:10 AM,20.710,,
221,06/18/23 10:05:10 AM,20.901,,
222,06/18/23 10:35:10 AM,21.187,,
223,06/18/23 11:05:10 AM,21.378,,
224,06/18/23 11:35:10 AM,21.569,,
225,06/18/23 12:05:10 PM,22.046,,
226,06/18/23 12:35:10 PM,22.717,,
227,06/18/23 01:05:10 PM,23.388,,
228,06/18/23 01:35:10 PM,23.869,,
229,06/18/23 02:05:10 PM,23.966,,
230,06/18/23 02:35:10 PM,23.869,,
231,06/18/23 03:05:10 PM,23.773,,
232,06/18/23 03:35:10 PM,23.677,,
233,06/18/23 04:05:10 PM,23.677,,
234,06/18/23 04:35:10 PM,23.773,,
235,06/18/23 05:05:10 PM,23.966,,
236,06/18/23 05:35:10 PM,24.062,,
237,06/18/23 06:05:10 PM,24.062,,
238,06/18/23 06:35:10 PM,23.966,,
239,06/18/23 07:05:10 PM,23.869,,
240,06/18/23 07:35:10 PM,23.773,,
241,06/18/23 08:05:10 PM,23.581,,
242,06/18/23 08:35:10 PM,23.484,,
243,06/18/23 09:05:10 PM,23.292,,
244,06/18/23 09:35:10 PM,23.100,,
245,06/18/23 10:05:10 PM,23.004,,
246,06/18/23 10:35:10 PM,22.908,,
247,06/18/23 11:05:10 PM,22.812,,
248,06/18/23 11:35:10 PM,22.621,,
249,06/19/23 12:05:10 AM,22.525,,
250,06/19/23 12:35:10 AM,22.429,,
251,06/19/23 01:05:10 AM,22.333,,
252,06/19/23 01:35:10 AM,22.238,,
253,06/19/23 02:05:10 AM,22.142,,
254,06/19/23 02:35:10 AM,22.046,,
255,06/19/23 03:05:10 AM,22.046,,
256,06/19/23 03:35:10 AM,21.951,,
257,06/19/23 04:05:10 AM,21.855,,
258,06/19/23 04:35:10 AM,21.760,,
259,06/19/23 05:05:10 AM,21.760,,
260,06/19/23 05:35:10 AM,21.664,,
261,06/19/23 06:05:10 AM,21.664,,
262,06/19/23 06:35:10 AM,21.664,,
263,06/19/23 07:05:10 AM,21.664,,
264,06/19/23 07:35:10 AM,21.664,,
