"Plot Title: 20867227"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20867227, SEN S/N: 20868081)","Water Content, m³/m³ (LGR S/N: 20867227, SEN S/N: 20868091)"
1,06/13/23 09:08:27 AM,0.3264,0.2538
2,06/13/23 09:38:27 AM,0.3337,0.2610
3,06/13/23 10:08:27 AM,0.3315,0.2610
4,06/13/23 10:38:27 AM,0.3228,0.2538
5,06/13/23 11:08:27 AM,0.3228,0.2530
6,06/13/23 11:38:27 AM,0.3228,0.2530
7,06/13/23 12:08:27 PM,0.3228,0.2523
8,06/13/23 12:38:27 PM,0.3228,0.2523
9,06/13/23 01:08:27 PM,0.3220,0.2516
10,06/13/23 01:38:27 PM,0.3228,0.2516
11,06/13/23 02:08:27 PM,0.3228,0.2516
12,06/13/23 02:38:27 PM,0.3220,0.2516
13,06/13/23 03:08:27 PM,0.3220,0.2509
14,06/13/23 03:38:27 PM,0.3220,0.2509
15,06/13/23 04:08:27 PM,0.3220,0.2501
16,06/13/23 04:38:27 PM,0.3220,0.2494
17,06/13/23 05:08:27 PM,0.3213,0.2494
18,06/13/23 05:38:27 PM,0.3213,0.2494
19,06/13/23 06:08:27 PM,0.3213,0.2487
20,06/13/23 06:38:27 PM,0.3213,0.2487
21,06/13/23 07:08:27 PM,0.3213,0.2480
22,06/13/23 07:38:27 PM,0.3213,0.2480
23,06/13/23 08:08:27 PM,0.3213,0.2472
24,06/13/23 08:38:27 PM,0.3213,0.2480
25,06/13/23 09:08:27 PM,0.3213,0.2480
26,06/13/23 09:38:27 PM,0.3213,0.2472
27,06/13/23 10:08:27 PM,0.3213,0.2472
28,06/13/23 10:38:27 PM,0.3213,0.2472
29,06/13/23 11:08:27 PM,0.3213,0.2472
30,06/13/23 11:38:27 PM,0.3213,0.2472
31,06/14/23 12:08:27 AM,0.3213,0.2472
32,06/14/23 12:38:27 AM,0.3220,0.2472
33,06/14/23 01:08:27 AM,0.3213,0.2465
34,06/14/23 01:38:27 AM,0.3213,0.2465
35,06/14/23 02:08:27 AM,0.3220,0.2465
36,06/14/23 02:38:27 AM,0.3220,0.2465
37,06/14/23 03:08:27 AM,0.3220,0.2465
38,06/14/23 03:38:27 AM,0.3220,0.2465
39,06/14/23 04:08:27 AM,0.3220,0.2465
40,06/14/23 04:38:27 AM,0.3220,0.2465
41,06/14/23 05:08:27 AM,0.3220,0.2458
42,06/14/23 05:38:27 AM,0.3228,0.2458
43,06/14/23 06:08:27 AM,0.3220,0.2458
44,06/14/23 06:38:27 AM,0.3220,0.2458
45,06/14/23 07:08:27 AM,0.3220,0.2458
46,06/14/23 07:38:27 AM,0.3220,0.2458
47,06/14/23 08:08:27 AM,0.3228,0.2458
48,06/14/23 08:38:27 AM,0.3220,0.2458
49,06/14/23 09:08:27 AM,0.3228,0.2458
50,06/14/23 09:38:27 AM,0.3228,0.2458
51,06/14/23 10:08:27 AM,0.3228,0.2458
52,06/14/23 10:38:27 AM,0.3228,0.2458
53,06/14/23 11:08:27 AM,0.3228,0.2451
54,06/14/23 11:38:27 AM,0.3228,0.2451
55,06/14/23 12:08:27 PM,0.3228,0.2451
56,06/14/23 12:38:27 PM,0.3220,0.2451
57,06/14/23 01:08:27 PM,0.3220,0.2451
58,06/14/23 01:38:27 PM,0.3220,0.2451
59,06/14/23 02:08:27 PM,0.3220,0.2451
60,06/14/23 02:38:27 PM,0.3220,0.2443
61,06/14/23 03:08:27 PM,0.3220,0.2443
62,06/14/23 03:38:27 PM,0.3213,0.2443
63,06/14/23 04:08:27 PM,0.3213,0.2436
64,06/14/23 04:38:27 PM,0.3213,0.2436
65,06/14/23 05:08:27 PM,0.3213,0.2436
66,06/14/23 05:38:27 PM,0.3213,0.2436
67,06/14/23 06:08:27 PM,0.3213,0.2429
68,06/14/23 06:38:27 PM,0.3213,0.2429
69,06/14/23 07:08:27 PM,0.3213,0.2429
70,06/14/23 07:38:27 PM,0.3213,0.2429
71,06/14/23 08:08:27 PM,0.3213,0.2422
72,06/14/23 08:38:27 PM,0.3213,0.2422
73,06/14/23 09:08:27 PM,0.3213,0.2422
74,06/14/23 09:38:27 PM,0.3213,0.2422
75,06/14/23 10:08:27 PM,0.3213,0.2422
76,06/14/23 10:38:27 PM,0.3213,0.2414
77,06/14/23 11:08:27 PM,0.3213,0.2414
78,06/14/23 11:38:27 PM,0.3213,0.2422
79,06/15/23 12:08:27 AM,0.3213,0.2422
80,06/15/23 12:38:27 AM,0.3213,0.2414
81,06/15/23 01:08:27 AM,0.3213,0.2414
82,06/15/23 01:38:27 AM,0.3213,0.2414
83,06/15/23 02:08:27 AM,0.3213,0.2414
84,06/15/23 02:38:27 AM,0.3213,0.2414
85,06/15/23 03:08:27 AM,0.3213,0.2422
86,06/15/23 03:38:27 AM,0.3213,0.2422
87,06/15/23 04:08:27 AM,0.3213,0.2414
88,06/15/23 04:38:27 AM,0.3213,0.2414
89,06/15/23 05:08:27 AM,0.3213,0.2414
90,06/15/23 05:38:27 AM,0.3213,0.2414
91,06/15/23 06:08:27 AM,0.3213,0.2414
92,06/15/23 06:38:27 AM,0.3213,0.2414
93,06/15/23 07:08:27 AM,0.3213,0.2414
94,06/15/23 07:38:27 AM,0.3213,0.2414
95,06/15/23 08:08:27 AM,0.3220,0.2414
96,06/15/23 08:38:27 AM,0.3220,0.2414
97,06/15/23 09:08:27 AM,0.3220,0.2407
98,06/15/23 09:38:27 AM,0.3213,0.2414
99,06/15/23 10:08:27 AM,0.3213,0.2407
100,06/15/23 10:38:27 AM,0.3213,0.2414
101,06/15/23 11:08:27 AM,0.3220,0.2414
102,06/15/23 11:38:27 AM,0.3220,0.2407
103,06/15/23 12:08:27 PM,0.3220,0.2414
104,06/15/23 12:38:27 PM,0.3213,0.2414
105,06/15/23 01:08:27 PM,0.3213,0.2414
106,06/15/23 01:38:27 PM,0.3213,0.2414
107,06/15/23 02:08:27 PM,0.3220,0.2407
108,06/15/23 02:38:27 PM,0.3213,0.2414
109,06/15/23 03:08:27 PM,0.3213,0.2414
110,06/15/23 03:38:27 PM,0.3213,0.2407
111,06/15/23 04:08:27 PM,0.3206,0.2407
112,06/15/23 04:38:27 PM,0.3213,0.2400
113,06/15/23 05:08:27 PM,0.3213,0.2400
114,06/15/23 05:38:27 PM,0.3206,0.2400
115,06/15/23 06:08:27 PM,0.3206,0.2400
116,06/15/23 06:38:27 PM,0.3199,0.2392
117,06/15/23 07:08:27 PM,0.3206,0.2392
118,06/15/23 07:38:27 PM,0.3206,0.2392
119,06/15/23 08:08:27 PM,0.3199,0.2392
120,06/15/23 08:38:27 PM,0.3199,0.2392
121,06/15/23 09:08:27 PM,0.3199,0.2392
122,06/15/23 09:38:27 PM,0.3199,0.2385
123,06/15/23 10:08:27 PM,0.3199,0.2392
124,06/15/23 10:38:27 PM,0.3206,0.2392
125,06/15/23 11:08:27 PM,0.3199,0.2385
126,06/15/23 11:38:27 PM,0.3199,0.2385
127,06/16/23 12:08:27 AM,0.3206,0.2385
128,06/16/23 12:38:27 AM,0.3199,0.2385
129,06/16/23 01:08:27 AM,0.3199,0.2385
130,06/16/23 01:38:27 AM,0.3206,0.2385
131,06/16/23 02:08:27 AM,0.3206,0.2385
