"Plot Title: B2"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20867217, SEN S/N: 20868071)","Water Content, m³/m³ (LGR S/N: 20867217, SEN S/N: 20868073)"
1,06/15/23 09:39:08 AM,0.1797,0.2131
2,06/15/23 10:09:08 AM,0.1775,0.2153
3,06/15/23 10:39:08 AM,0.1775,0.2146
4,06/15/23 11:09:08 AM,0.1775,0.2138
5,06/15/23 11:39:08 AM,0.1761,0.2131
6,06/15/23 12:09:08 PM,0.1768,0.2124
7,06/15/23 12:39:08 PM,0.1761,0.2124
8,06/15/23 01:09:08 PM,0.1753,0.2116
9,06/15/23 01:39:08 PM,0.1746,0.2116
10,06/15/23 02:09:08 PM,0.1746,0.2116
11,06/15/23 02:39:08 PM,0.1753,0.2116
12,06/15/23 03:09:08 PM,0.1753,0.2109
13,06/15/23 03:39:08 PM,0.1739,0.2109
14,06/15/23 04:09:08 PM,0.1739,0.2109
15,06/15/23 04:39:08 PM,0.1739,0.2109
16,06/15/23 05:09:08 PM,0.1739,0.2102
17,06/15/23 05:39:08 PM,0.1732,0.2109
18,06/15/23 06:09:08 PM,0.1746,0.2102
19,06/15/23 06:39:08 PM,0.1739,0.2109
20,06/15/23 07:09:08 PM,0.1732,0.2109
21,06/15/23 07:39:08 PM,0.1739,0.2102
22,06/15/23 08:09:08 PM,0.1746,0.2102
23,06/15/23 08:39:08 PM,0.1732,0.2109
24,06/15/23 09:09:08 PM,0.1739,0.2109
25,06/15/23 09:39:08 PM,0.1739,0.2109
26,06/15/23 10:09:08 PM,0.1746,0.2109
27,06/15/23 10:39:08 PM,0.1746,0.2109
28,06/15/23 11:09:08 PM,0.1753,0.2109
29,06/15/23 11:39:08 PM,0.1753,0.2109
30,06/16/23 12:09:08 AM,0.1753,0.2109
31,06/16/23 12:39:08 AM,0.1753,0.2109
32,06/16/23 01:09:08 AM,0.1753,0.2109
33,06/16/23 01:39:08 AM,0.1753,0.2116
34,06/16/23 02:09:08 AM,0.1753,0.2109
35,06/16/23 02:39:08 AM,0.1753,0.2116
36,06/16/23 03:09:08 AM,0.1753,0.2116
37,06/16/23 03:39:08 AM,0.1753,0.2116
38,06/16/23 04:09:08 AM,0.1753,0.2116
39,06/16/23 04:39:08 AM,0.1753,0.2116
40,06/16/23 05:09:08 AM,0.1746,0.2116
41,06/16/23 05:39:08 AM,0.1746,0.2116
42,06/16/23 06:09:08 AM,0.1753,0.2116
43,06/16/23 06:39:08 AM,0.1761,0.2116
44,06/16/23 07:09:08 AM,0.1746,0.2116
45,06/16/23 07:39:08 AM,0.1761,0.2116
46,06/16/23 08:09:08 AM,0.1761,0.2116
47,06/16/23 08:39:08 AM,0.1761,0.2116
48,06/16/23 09:09:08 AM,0.1746,0.2116
49,06/16/23 09:39:08 AM,0.1746,0.2109
50,06/16/23 10:09:08 AM,0.1753,0.2109
51,06/16/23 10:39:08 AM,0.1753,0.2109
52,06/16/23 11:09:08 AM,0.1753,0.2109
53,06/16/23 11:39:08 AM,0.1753,0.2109
54,06/16/23 12:09:08 PM,0.1746,0.2109
55,06/16/23 12:39:08 PM,0.1746,0.2102
56,06/16/23 01:09:08 PM,0.1739,0.2109
57,06/16/23 01:39:08 PM,0.1739,0.2109
58,06/16/23 02:09:08 PM,0.1739,0.2102
59,06/16/23 02:39:08 PM,0.1739,0.2102
60,06/16/23 03:09:08 PM,0.1739,0.2095
61,06/16/23 03:39:08 PM,0.1739,0.2102
62,06/16/23 04:09:08 PM,0.1732,0.2095
63,06/16/23 04:39:08 PM,0.1739,0.2095
64,06/16/23 05:09:08 PM,0.1739,0.2095
65,06/16/23 05:39:08 PM,0.1732,0.2087
66,06/16/23 06:09:08 PM,0.1732,0.2087
67,06/16/23 06:39:08 PM,0.1732,0.2087
68,06/16/23 07:09:08 PM,0.1739,0.2087
69,06/16/23 07:39:08 PM,0.1732,0.2087
70,06/16/23 08:09:08 PM,0.1724,0.2087
71,06/16/23 08:39:08 PM,0.1746,0.2087
72,06/16/23 09:09:08 PM,0.1732,0.2087
73,06/16/23 09:39:08 PM,0.1732,0.2087
74,06/16/23 10:09:08 PM,0.1732,0.2087
75,06/16/23 10:39:08 PM,0.1732,0.2087
76,06/16/23 11:09:08 PM,0.1732,0.2095
77,06/16/23 11:39:08 PM,0.1732,0.2095
78,06/17/23 12:09:08 AM,0.1732,0.2087
79,06/17/23 12:39:08 AM,0.1746,0.2087
80,06/17/23 01:09:08 AM,0.1739,0.2087
81,06/17/23 01:39:08 AM,0.1732,0.2087
82,06/17/23 02:09:08 AM,0.1732,0.2087
83,06/17/23 02:39:08 AM,0.1746,0.2095
84,06/17/23 03:09:08 AM,0.1746,0.2087
85,06/17/23 03:39:08 AM,0.1746,0.2087
86,06/17/23 04:09:08 AM,0.1746,0.2095
87,06/17/23 04:39:08 AM,0.1746,0.2095
88,06/17/23 05:09:08 AM,0.1739,0.2095
89,06/17/23 05:39:08 AM,0.1732,0.2095
90,06/17/23 06:09:08 AM,0.1739,0.2095
91,06/17/23 06:39:08 AM,0.1732,0.2095
92,06/17/23 07:09:08 AM,0.1732,0.2095
93,06/17/23 07:39:08 AM,0.1746,0.2095
94,06/17/23 08:09:08 AM,0.1746,0.2095
95,06/17/23 08:39:08 AM,0.1732,0.2095
96,06/17/23 09:09:08 AM,0.1746,0.2087
97,06/17/23 09:39:08 AM,0.1739,0.2087
98,06/17/23 10:09:08 AM,0.1746,0.2087
99,06/17/23 10:39:08 AM,0.1732,0.2087
100,06/17/23 11:09:08 AM,0.1732,0.2080
101,06/17/23 11:39:08 AM,0.1732,0.2073
102,06/17/23 12:09:08 PM,0.1732,0.2073
103,06/17/23 12:39:08 PM,0.1724,0.2066
104,06/17/23 01:09:08 PM,0.1724,0.2066
105,06/17/23 01:39:08 PM,0.1724,0.2073
106,06/17/23 02:09:08 PM,0.1739,0.2073
107,06/17/23 02:39:08 PM,0.1732,0.2073
108,06/17/23 03:09:08 PM,0.1732,0.2073
109,06/17/23 03:39:08 PM,0.1717,0.2066
110,06/17/23 04:09:08 PM,0.1717,0.2066
111,06/17/23 04:39:08 PM,0.1717,0.2066
112,06/17/23 05:09:08 PM,0.1717,0.2066
113,06/17/23 05:39:08 PM,0.1717,0.2058
114,06/17/23 06:09:08 PM,0.1717,0.2058
115,06/17/23 06:39:08 PM,0.1717,0.2058
116,06/17/23 07:09:08 PM,0.1717,0.2058
117,06/17/23 07:39:08 PM,0.1717,0.2058
118,06/17/23 08:09:08 PM,0.1717,0.2058
119,06/17/23 08:39:08 PM,0.1717,0.2058
120,06/17/23 09:09:08 PM,0.1717,0.2058
121,06/17/23 09:39:08 PM,0.1717,0.2058
122,06/17/23 10:09:08 PM,0.1717,0.2058
123,06/17/23 10:39:08 PM,0.1717,0.2058
124,06/17/23 11:09:08 PM,0.1717,0.2058
125,06/17/23 11:39:08 PM,0.1717,0.2058
126,06/18/23 12:09:08 AM,0.1717,0.2058
127,06/18/23 12:39:08 AM,0.1717,0.2058
128,06/18/23 01:09:08 AM,0.1717,0.2066
129,06/18/23 01:39:08 AM,0.1717,0.2066
130,06/18/23 02:09:08 AM,0.1717,0.2066
131,06/18/23 02:39:08 AM,0.1717,0.2066
132,06/18/23 03:09:08 AM,0.1717,0.2066
133,06/18/23 03:39:08 AM,0.1717,0.2066
134,06/18/23 04:09:08 AM,0.1717,0.2066
135,06/18/23 04:39:08 AM,0.1724,0.2073
136,06/18/23 05:09:08 AM,0.1717,0.2066
137,06/18/23 05:39:08 AM,0.1724,0.2066
138,06/18/23 06:09:08 AM,0.1724,0.2073
139,06/18/23 06:39:08 AM,0.1724,0.2066
140,06/18/23 07:09:08 AM,0.1724,0.2073
141,06/18/23 07:39:08 AM,0.1724,0.2073
142,06/18/23 08:09:08 AM,0.1724,0.2073
143,06/18/23 08:39:08 AM,0.1732,0.2066
144,06/18/23 09:09:08 AM,0.1724,0.2066
145,06/18/23 09:39:08 AM,0.1724,0.2066
146,06/18/23 10:09:08 AM,0.1732,0.2058
147,06/18/23 10:39:08 AM,0.1732,0.2058
148,06/18/23 11:09:08 AM,0.1724,0.2051
149,06/18/23 11:39:08 AM,0.1739,0.2051
150,06/18/23 12:09:08 PM,0.1732,0.2044
151,06/18/23 12:39:08 PM,0.1732,0.2044
152,06/18/23 01:09:08 PM,0.1724,0.2044
153,06/18/23 01:39:08 PM,0.1724,0.2044
154,06/18/23 02:09:08 PM,0.1724,0.2051
155,06/18/23 02:39:08 PM,0.1724,0.2044
156,06/18/23 03:09:08 PM,0.1724,0.2044
157,06/18/23 03:39:08 PM,0.1724,0.2044
158,06/18/23 04:09:08 PM,0.1724,0.2037
159,06/18/23 04:39:08 PM,0.1724,0.2037
160,06/18/23 05:09:08 PM,0.1710,0.2037
161,06/18/23 05:39:08 PM,0.1724,0.2037
162,06/18/23 06:09:08 PM,0.1710,0.2037
163,06/18/23 06:39:08 PM,0.1724,0.2037
164,06/18/23 07:09:08 PM,0.1724,0.2037
165,06/18/23 07:39:08 PM,0.1724,0.2037
166,06/18/23 08:09:08 PM,0.1724,0.2037
167,06/18/23 08:39:08 PM,0.1724,0.2037
168,06/18/23 09:09:08 PM,0.1710,0.2037
169,06/18/23 09:39:08 PM,0.1724,0.2037
170,06/18/23 10:09:08 PM,0.1724,0.2044
171,06/18/23 10:39:08 PM,0.1717,0.2044
172,06/18/23 11:09:08 PM,0.1710,0.2044
173,06/18/23 11:39:08 PM,0.1710,0.2044
174,06/19/23 12:09:08 AM,0.1710,0.2044
175,06/19/23 12:39:08 AM,0.1717,0.2044
176,06/19/23 01:09:08 AM,0.1717,0.2044
177,06/19/23 01:39:08 AM,0.1710,0.2044
178,06/19/23 02:09:08 AM,0.1717,0.2044
179,06/19/23 02:39:08 AM,0.1717,0.2051
180,06/19/23 03:09:08 AM,0.1710,0.2044
181,06/19/23 03:39:08 AM,0.1717,0.2051
182,06/19/23 04:09:08 AM,0.1710,0.2044
183,06/19/23 04:39:08 AM,0.1717,0.2051
184,06/19/23 05:09:08 AM,0.1717,0.2051
185,06/19/23 05:39:08 AM,0.1717,0.2051
186,06/19/23 06:09:08 AM,0.1717,0.2044
187,06/19/23 06:39:08 AM,0.1717,0.2051
188,06/19/23 07:09:08 AM,0.1717,0.2051
189,06/19/23 07:39:08 AM,0.1717,0.2051
190,06/19/23 08:09:08 AM,0.1732,0.2051
191,06/19/23 08:39:08 AM,0.1717,0.2051
192,06/19/23 09:09:08 AM,0.1732,0.2051
193,06/19/23 09:39:08 AM,0.1732,0.2051
194,06/19/23 10:09:08 AM,0.1732,0.2051
195,06/19/23 10:39:08 AM,0.1732,0.2044
196,06/19/23 11:09:08 AM,0.1732,0.2051
197,06/19/23 11:39:08 AM,0.1732,0.2044
198,06/19/23 12:09:08 PM,0.1732,0.2044
199,06/19/23 12:39:08 PM,0.1732,0.2037
200,06/19/23 01:09:08 PM,0.1724,0.2037
201,06/19/23 01:39:08 PM,0.1732,0.2037
202,06/19/23 02:09:08 PM,0.1724,0.2044
203,06/19/23 02:39:08 PM,0.1724,0.2044
204,06/19/23 03:09:08 PM,0.1724,0.2044
205,06/19/23 03:39:08 PM,0.1724,0.2037
206,06/19/23 04:09:08 PM,0.1884,0.2058
207,06/19/23 04:39:08 PM,0.1840,0.2095
208,06/19/23 05:09:08 PM,0.1833,0.2102
209,06/19/23 05:39:08 PM,0.1797,0.2102
210,06/19/23 06:09:08 PM,0.1790,0.2102
211,06/19/23 06:39:08 PM,0.1782,0.2095
212,06/19/23 07:09:08 PM,0.1782,0.2095
213,06/19/23 07:39:08 PM,0.1775,0.2095
214,06/19/23 08:09:08 PM,0.1782,0.2095
215,06/19/23 08:39:08 PM,0.1775,0.2095
216,06/19/23 09:09:08 PM,0.1782,0.2095
217,06/19/23 09:39:08 PM,0.1775,0.2095
218,06/19/23 10:09:08 PM,0.1775,0.2095
219,06/19/23 10:39:08 PM,0.1775,0.2087
220,06/19/23 11:09:08 PM,0.1775,0.2087
221,06/19/23 11:39:08 PM,0.1768,0.2087
222,06/20/23 12:09:08 AM,0.1768,0.2087
223,06/20/23 12:39:08 AM,0.1775,0.2087
224,06/20/23 01:09:08 AM,0.1768,0.2087
225,06/20/23 01:39:08 AM,0.1775,0.2087
226,06/20/23 02:09:08 AM,0.1768,0.2087
227,06/20/23 02:39:08 AM,0.1768,0.2087
228,06/20/23 03:09:08 AM,0.1775,0.2087
229,06/20/23 03:39:08 AM,0.1775,0.2087
230,06/20/23 04:09:08 AM,0.1768,0.2095
231,06/20/23 04:39:08 AM,0.1768,0.2087
232,06/20/23 05:09:08 AM,0.1768,0.2095
233,06/20/23 05:39:08 AM,0.1782,0.2095
234,06/20/23 06:09:08 AM,0.1768,0.2087
235,06/20/23 06:39:08 AM,0.1782,0.2087
236,06/20/23 07:09:08 AM,0.1768,0.2095
237,06/20/23 07:39:08 AM,0.1768,0.2095
238,06/20/23 08:09:08 AM,0.1768,0.2095
239,06/20/23 08:39:08 AM,0.1768,0.2095
240,06/20/23 09:09:08 AM,0.1768,0.2095
241,06/20/23 09:39:08 AM,0.1775,0.2095
242,06/20/23 10:09:08 AM,0.1775,0.2095
243,06/20/23 10:39:08 AM,0.1775,0.2102
244,06/20/23 11:09:08 AM,0.1768,0.2102
245,06/20/23 11:39:08 AM,0.1775,0.2095
246,06/20/23 12:09:08 PM,0.1775,0.2095
247,06/20/23 12:39:08 PM,0.1768,0.2102
248,06/20/23 01:09:08 PM,0.1782,0.2102
249,06/20/23 01:39:08 PM,0.1782,0.2102
250,06/20/23 02:09:08 PM,0.1782,0.2095
251,06/20/23 02:39:08 PM,0.1782,0.2102
252,06/20/23 03:09:08 PM,0.1768,0.2102
253,06/20/23 03:39:08 PM,0.1790,0.2124
254,06/20/23 04:09:08 PM,0.2160,0.2189
255,06/20/23 04:39:08 PM,0.2254,0.2254
256,06/20/23 05:09:08 PM,0.2313,0.2284
257,06/20/23 05:39:08 PM,0.2298,0.2298
258,06/20/23 06:09:08 PM,0.2276,0.2298
259,06/20/23 06:39:08 PM,0.2247,0.2298
260,06/20/23 07:09:08 PM,0.2240,0.2291
261,06/20/23 07:39:08 PM,0.2204,0.2291
262,06/20/23 08:09:08 PM,0.2189,0.2284
263,06/20/23 08:39:08 PM,0.2182,0.2276
264,06/20/23 09:09:08 PM,0.2167,0.2276
265,06/20/23 09:39:08 PM,0.2175,0.2284
266,06/20/23 10:09:08 PM,0.2211,0.2305
267,06/20/23 10:39:08 PM,0.2305,0.2342
268,06/20/23 11:09:08 PM,0.2363,0.2392
269,06/20/23 11:39:08 PM,0.2676,0.2458
270,06/21/23 12:09:08 AM,0.2821,0.2465
271,06/21/23 12:39:08 AM,0.2785,0.2516
272,06/21/23 01:09:08 AM,0.2814,0.2538
273,06/21/23 01:39:08 AM,0.2872,0.2530
274,06/21/23 02:09:08 AM,0.3053,0.2509
275,06/21/23 02:39:08 AM,0.3729,0.2480
276,06/21/23 03:09:08 AM,0.3954,0.2530
277,06/21/23 03:39:08 AM,0.4078,0.2560
278,06/21/23 04:09:08 AM,0.4092,0.2552
279,06/21/23 04:39:08 AM,0.4092,0.2552
280,06/21/23 05:09:08 AM,0.4099,0.2552
281,06/21/23 05:39:08 AM,0.4128,0.2581
282,06/21/23 06:09:08 AM,0.4172,0.2596
283,06/21/23 06:39:08 AM,0.4172,0.2603
284,06/21/23 07:09:08 AM,0.4172,0.2603
285,06/21/23 07:39:08 AM,0.4179,0.2596
286,06/21/23 08:09:08 AM,0.4128,0.2589
287,06/21/23 08:39:08 AM,0.4005,0.2581
288,06/21/23 09:09:08 AM,0.3918,0.2574
289,06/21/23 09:39:08 AM,0.3831,0.2567
290,06/21/23 10:09:08 AM,0.3765,0.2552
291,06/21/23 10:39:08 AM,0.3467,0.2545
292,06/21/23 11:09:08 AM,0.3388,0.2538
293,06/21/23 11:39:08 AM,0.3337,0.2530
294,06/21/23 12:09:08 PM,0.3199,0.2523
295,06/21/23 12:39:08 PM,0.3170,0.2530
296,06/21/23 01:09:08 PM,0.3133,0.2560
297,06/21/23 01:39:08 PM,0.3032,0.2589
298,06/21/23 02:09:08 PM,0.2944,0.2567
299,06/21/23 02:39:08 PM,0.2857,0.2560
300,06/21/23 03:09:08 PM,0.2894,0.2545
301,06/21/23 03:39:08 PM,0.2937,0.2538
302,06/21/23 04:09:08 PM,0.2937,0.2523
303,06/21/23 04:39:08 PM,0.2879,0.2509
304,06/21/23 05:09:08 PM,0.2857,0.2494
305,06/21/23 05:39:08 PM,0.2814,0.2480
306,06/21/23 06:09:08 PM,0.2777,0.2472
307,06/21/23 06:39:08 PM,0.2748,0.2465
308,06/21/23 07:09:08 PM,0.2734,0.2465
309,06/21/23 07:39:08 PM,0.2712,0.2465
310,06/21/23 08:09:08 PM,0.2690,0.2458
311,06/21/23 08:39:08 PM,0.2676,0.2465
312,06/21/23 09:09:08 PM,0.2654,0.2458
313,06/21/23 09:39:08 PM,0.2647,0.2458
314,06/21/23 10:09:08 PM,0.2625,0.2458
315,06/21/23 10:39:08 PM,0.2610,0.2458
316,06/21/23 11:09:08 PM,0.2589,0.2458
317,06/21/23 11:39:08 PM,0.2581,0.2458
318,06/22/23 12:09:08 AM,0.2567,0.2458
319,06/22/23 12:39:08 AM,0.2552,0.2451
320,06/22/23 01:09:08 AM,0.2538,0.2451
321,06/22/23 01:39:08 AM,0.2523,0.2451
322,06/22/23 02:09:08 AM,0.2501,0.2451
323,06/22/23 02:39:08 AM,0.2487,0.2451
324,06/22/23 03:09:08 AM,0.2472,0.2443
325,06/22/23 03:39:08 AM,0.2465,0.2451
326,06/22/23 04:09:08 AM,0.2451,0.2443
327,06/22/23 04:39:08 AM,0.2436,0.2443
328,06/22/23 05:09:08 AM,0.2429,0.2443
329,06/22/23 05:39:08 AM,0.2451,0.2451
330,06/22/23 06:09:08 AM,0.2698,0.2509
331,06/22/23 06:39:08 AM,0.2828,0.2552
332,06/22/23 07:09:08 AM,0.2865,0.2574
333,06/22/23 07:39:08 AM,0.2821,0.2610
334,06/22/23 08:09:08 AM,0.2770,0.2618
335,06/22/23 08:39:08 AM,0.2734,0.2618
336,06/22/23 09:09:08 AM,0.2705,0.2618
337,06/22/23 09:39:08 AM,0.2683,0.2618
338,06/22/23 10:09:08 AM,0.2683,0.2610
339,06/22/23 10:39:08 AM,0.2683,0.2610
340,06/22/23 11:09:08 AM,0.3773,0.2625
341,06/22/23 11:39:08 AM,0.4121,0.2879
342,06/22/23 12:09:08 PM,0.4150,0.3184
343,06/22/23 12:39:08 PM,0.4157,0.3177
344,06/22/23 01:09:08 PM,0.4157,0.3170
345,06/22/23 01:39:08 PM,0.4165,0.3162
346,06/22/23 02:09:08 PM,0.4157,0.3141
347,06/22/23 02:39:08 PM,0.4157,0.3133
348,06/22/23 03:09:08 PM,0.4172,0.3126
349,06/22/23 03:39:08 PM,0.4165,0.3119
350,06/22/23 04:09:08 PM,0.4165,0.3104
351,06/22/23 04:39:08 PM,0.4157,0.3090
352,06/22/23 05:09:08 PM,0.4179,0.3082
353,06/22/23 05:39:08 PM,0.4165,0.3075
354,06/22/23 06:09:08 PM,0.4150,0.3061
355,06/22/23 06:39:08 PM,0.4121,0.3046
356,06/22/23 07:09:08 PM,0.4121,0.3032
357,06/22/23 07:39:08 PM,0.4092,0.3017
358,06/22/23 08:09:08 PM,0.4092,0.3003
359,06/22/23 08:39:08 PM,0.4019,0.2995
360,06/22/23 09:09:08 PM,0.3780,0.2981
361,06/22/23 09:39:08 PM,0.3743,0.2974
362,06/22/23 10:09:08 PM,0.3409,0.2966
363,06/22/23 10:39:08 PM,0.3329,0.2959
364,06/22/23 11:09:08 PM,0.3293,0.2944
365,06/22/23 11:39:08 PM,0.3271,0.2937
366,06/23/23 12:09:08 AM,0.3235,0.2937
367,06/23/23 12:39:08 AM,0.3220,0.2937
368,06/23/23 01:09:08 AM,0.3199,0.2937
369,06/23/23 01:39:08 AM,0.3170,0.2901
370,06/23/23 02:09:08 AM,0.3148,0.2923
371,06/23/23 02:39:08 AM,0.3112,0.2952
372,06/23/23 03:09:08 AM,0.3090,0.2966
373,06/23/23 03:39:08 AM,0.3075,0.2974
374,06/23/23 04:09:08 AM,0.3039,0.2966
375,06/23/23 04:39:08 AM,0.3010,0.2952
376,06/23/23 05:09:08 AM,0.2966,0.2944
377,06/23/23 05:39:08 AM,0.2930,0.2944
378,06/23/23 06:09:08 AM,0.2894,0.2937
379,06/23/23 06:39:08 AM,0.2857,0.2930
380,06/23/23 07:09:08 AM,0.2872,0.2923
381,06/23/23 07:39:08 AM,0.2879,0.2915
382,06/23/23 08:09:08 AM,0.2886,0.2908
383,06/23/23 08:39:08 AM,0.2915,0.2901
384,06/23/23 09:09:08 AM,0.2930,0.2879
385,06/23/23 09:39:08 AM,0.2944,0.2872
386,06/23/23 10:09:08 AM,0.2930,0.2865
387,06/23/23 10:39:08 AM,0.2930,0.2843
388,06/23/23 11:09:08 AM,0.2908,0.2836
389,06/23/23 11:39:08 AM,0.2886,0.2821
390,06/23/23 12:09:08 PM,0.2872,0.2799
391,06/23/23 12:39:08 PM,0.2850,0.2792
392,06/23/23 01:09:08 PM,0.2828,0.2777
393,06/23/23 01:39:08 PM,0.2814,0.2763
394,06/23/23 02:09:08 PM,0.2792,0.2748
395,06/23/23 02:39:08 PM,0.2770,0.2741
396,06/23/23 03:09:08 PM,0.2756,0.2727
397,06/23/23 03:39:08 PM,0.2734,0.2719
398,06/23/23 04:09:08 PM,0.2712,0.2712
399,06/23/23 04:39:08 PM,0.2698,0.2705
400,06/23/23 05:09:08 PM,0.2676,0.2698
401,06/23/23 05:39:08 PM,0.2654,0.2683
402,06/23/23 06:09:08 PM,0.2647,0.2676
403,06/23/23 06:39:08 PM,0.2625,0.2676
404,06/23/23 07:09:08 PM,0.2603,0.2668
405,06/23/23 07:39:08 PM,0.2596,0.2661
406,06/23/23 08:09:08 PM,0.2581,0.2654
407,06/23/23 08:39:08 PM,0.2574,0.2654
408,06/23/23 09:09:08 PM,0.2545,0.2654
409,06/23/23 09:39:08 PM,0.2530,0.2647
410,06/23/23 10:09:08 PM,0.2516,0.2647
411,06/23/23 10:39:08 PM,0.2509,0.2639
412,06/23/23 11:09:08 PM,0.2509,0.2639
413,06/23/23 11:39:08 PM,0.2487,0.2632
414,06/24/23 12:09:08 AM,0.2487,0.2632
415,06/24/23 12:39:08 AM,0.2472,0.2632
416,06/24/23 01:09:08 AM,0.2480,0.2632
417,06/24/23 01:39:08 AM,0.2458,0.2625
418,06/24/23 02:09:08 AM,0.2443,0.2625
419,06/24/23 02:39:08 AM,0.2443,0.2625
