"Plot Title: 20360218"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20360218, SEN S/N: 21097976, LBL: rainout)","Water Content, m³/m³ (LGR S/N: 20360218, SEN S/N: 21097979, LBL: warming)"
1,03/24/24 08:28:57 AM,0.2792,0.2305
2,03/24/24 08:58:57 AM,0.3075,0.2501
3,03/24/24 09:28:57 AM,0.3097,0.2530
4,03/24/24 09:58:57 AM,0.3104,0.2552
5,03/24/24 10:28:57 AM,0.3104,0.2560
6,03/24/24 10:58:57 AM,0.3104,0.2560
7,03/24/24 11:28:57 AM,0.3104,0.2560
8,03/24/24 11:58:57 AM,0.3097,0.2567
9,03/24/24 12:28:57 PM,0.3104,0.2560
10,03/24/24 12:58:57 PM,0.3119,0.2552
11,03/24/24 01:28:57 PM,0.3148,0.2567
12,03/24/24 01:58:57 PM,0.3141,0.2560
13,03/24/24 02:28:57 PM,0.3141,0.2552
14,03/24/24 02:58:57 PM,0.3133,0.2560
15,03/24/24 03:28:57 PM,0.3133,0.2545
16,03/24/24 03:58:57 PM,0.3126,0.2538
17,03/24/24 04:28:57 PM,0.3126,0.2538
18,03/24/24 04:58:57 PM,0.3133,0.2530
19,03/24/24 05:28:57 PM,0.3126,0.2530
20,03/24/24 05:58:57 PM,0.3126,0.2538
21,03/24/24 06:28:57 PM,0.3133,0.2530
22,03/24/24 06:58:57 PM,0.3133,0.2530
23,03/24/24 07:28:57 PM,0.3133,0.2530
24,03/24/24 07:58:57 PM,0.3133,0.2523
25,03/24/24 08:28:57 PM,0.3133,0.2530
26,03/24/24 08:58:57 PM,0.3133,0.2530
27,03/24/24 09:28:57 PM,0.3133,0.2530
28,03/24/24 09:58:57 PM,0.3141,0.2530
29,03/24/24 10:28:57 PM,0.3141,0.2530
30,03/24/24 10:58:57 PM,0.3141,0.2523
31,03/24/24 11:28:57 PM,0.3133,0.2538
32,03/24/24 11:58:57 PM,0.3133,0.2538
33,03/25/24 12:28:57 AM,0.3141,0.2523
34,03/25/24 12:58:57 AM,0.3133,0.2530
35,03/25/24 01:28:57 AM,0.3148,0.2530
36,03/25/24 01:58:57 AM,0.3141,0.2530
37,03/25/24 02:28:57 AM,0.3133,0.2538
38,03/25/24 02:58:57 AM,0.3148,0.2530
39,03/25/24 03:28:57 AM,0.3148,0.2530
40,03/25/24 03:58:57 AM,0.3148,0.2530
41,03/25/24 04:28:57 AM,0.3148,0.2538
42,03/25/24 04:58:57 AM,0.3148,0.2530
43,03/25/24 05:28:57 AM,0.3148,0.2530
44,03/25/24 05:58:57 AM,0.3148,0.2530
45,03/25/24 06:28:57 AM,0.3155,0.2530
46,03/25/24 06:58:57 AM,0.3155,0.2530
47,03/25/24 07:28:57 AM,0.3155,0.2530
48,03/25/24 07:58:57 AM,0.3148,0.2538
49,03/25/24 08:28:57 AM,0.3155,0.2530
50,03/25/24 08:58:57 AM,0.3148,0.2538
51,03/25/24 09:28:57 AM,0.3148,0.2545
52,03/25/24 09:58:57 AM,0.3155,0.2552
53,03/25/24 10:28:57 AM,0.3155,0.2552
54,03/25/24 10:58:57 AM,0.3162,0.2545
55,03/25/24 11:28:57 AM,0.3155,0.2545
56,03/25/24 11:58:57 AM,0.3148,0.2545
57,03/25/24 12:28:57 PM,0.3148,0.2530
58,03/25/24 12:58:57 PM,0.3133,0.2538
59,03/25/24 01:28:57 PM,0.3133,0.2530
60,03/25/24 01:58:57 PM,0.3126,0.2538
61,03/25/24 02:28:57 PM,0.3112,0.2538
62,03/25/24 02:58:57 PM,0.3104,0.2538
63,03/25/24 03:28:57 PM,0.3097,0.2530
64,03/25/24 03:58:57 PM,0.3090,0.2523
65,03/25/24 04:28:57 PM,0.3082,0.2530
66,03/25/24 04:58:57 PM,0.3082,0.2523
67,03/25/24 05:28:57 PM,0.3082,0.2516
68,03/25/24 05:58:57 PM,0.3082,0.2516
69,03/25/24 06:28:57 PM,0.3082,0.2516
70,03/25/24 06:58:57 PM,0.3082,0.2516
71,03/25/24 07:28:57 PM,0.3082,0.2516
72,03/25/24 07:58:57 PM,0.3082,0.2509
73,03/25/24 08:28:57 PM,0.3082,0.2501
74,03/25/24 08:58:57 PM,0.3075,0.2501
75,03/25/24 09:28:57 PM,0.3075,0.2509
76,03/25/24 09:58:57 PM,0.3075,0.2501
77,03/25/24 10:28:57 PM,0.3075,0.2501
78,03/25/24 10:58:57 PM,0.3075,0.2501
79,03/25/24 11:28:57 PM,0.3075,0.2509
80,03/25/24 11:58:57 PM,0.3075,0.2509
81,03/26/24 12:28:57 AM,0.3075,0.2509
82,03/26/24 12:58:57 AM,0.3075,0.2509
83,03/26/24 01:28:57 AM,0.3075,0.2509
84,03/26/24 01:58:57 AM,0.3075,0.2509
85,03/26/24 02:28:57 AM,0.3075,0.2509
86,03/26/24 02:58:57 AM,0.3075,0.2509
87,03/26/24 03:28:57 AM,0.3075,0.2509
88,03/26/24 03:58:57 AM,0.3075,0.2501
89,03/26/24 04:28:57 AM,0.3075,0.2509
90,03/26/24 04:58:57 AM,0.3075,0.2509
91,03/26/24 05:28:57 AM,0.3075,0.2509
92,03/26/24 05:58:57 AM,0.3075,0.2509
93,03/26/24 06:28:57 AM,0.3075,0.2509
94,03/26/24 06:58:57 AM,0.3075,0.2509
95,03/26/24 07:28:57 AM,0.3082,0.2509
96,03/26/24 07:58:57 AM,0.3075,0.2509
97,03/26/24 08:28:57 AM,0.3075,0.2509
98,03/26/24 08:58:57 AM,0.3082,0.2509
99,03/26/24 09:28:57 AM,0.3082,0.2523
100,03/26/24 09:58:57 AM,0.3082,0.2523
101,03/26/24 10:28:57 AM,0.3090,0.2523
102,03/26/24 10:58:57 AM,0.3090,0.2523
103,03/26/24 11:28:57 AM,0.3090,0.2523
104,03/26/24 11:58:57 AM,0.3082,0.2523
105,03/26/24 12:28:57 PM,0.3090,0.2523
