"Plot Title: Pilot Study"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 21160424, SEN S/N: 20571105, LBL: Warming)","Water Content, m³/m³ (LGR S/N: 21160424, SEN S/N: 20571110, LBL: Rainout )"
1,03/24/24 08:36:36 AM,0.1695,0.1688
2,03/24/24 09:06:36 AM,0.2167,0.2182
3,03/24/24 09:36:36 AM,0.2276,0.2211
4,03/24/24 10:06:36 AM,0.2327,0.2225
5,03/24/24 10:36:36 AM,0.2327,0.2233
6,03/24/24 11:06:36 AM,0.2349,0.2247
7,03/24/24 11:36:36 AM,0.2342,0.2262
8,03/24/24 12:06:36 PM,0.2356,0.2284
9,03/24/24 12:36:36 PM,0.2371,0.2291
10,03/24/24 01:06:36 PM,0.2363,0.2291
11,03/24/24 01:36:36 PM,0.2385,0.2291
12,03/24/24 02:06:36 PM,0.2385,0.2291
13,03/24/24 02:36:36 PM,0.2385,0.2298
14,03/24/24 03:06:36 PM,0.2378,0.2291
15,03/24/24 03:36:36 PM,0.2392,0.2291
16,03/24/24 04:06:36 PM,0.2392,0.2291
17,03/24/24 04:36:36 PM,0.2400,0.2291
18,03/24/24 05:06:36 PM,0.2392,0.2291
19,03/24/24 05:36:36 PM,0.2392,0.2284
20,03/24/24 06:06:36 PM,0.2392,0.2284
21,03/24/24 06:36:36 PM,0.2378,0.2276
22,03/24/24 07:06:36 PM,0.2378,0.2276
23,03/24/24 07:36:36 PM,0.2378,0.2276
24,03/24/24 08:06:36 PM,0.2378,0.2276
25,03/24/24 08:36:36 PM,0.2378,0.2269
26,03/24/24 09:06:36 PM,0.2378,0.2269
27,03/24/24 09:36:36 PM,0.2378,0.2269
28,03/24/24 10:06:36 PM,0.2378,0.2262
29,03/24/24 10:36:36 PM,0.2378,0.2262
30,03/24/24 11:06:36 PM,0.2385,0.2262
31,03/24/24 11:36:36 PM,0.2378,0.2254
32,03/25/24 12:06:36 AM,0.2378,0.2262
33,03/25/24 12:36:36 AM,0.2385,0.2254
34,03/25/24 01:06:36 AM,0.2385,0.2254
35,03/25/24 01:36:36 AM,0.2385,0.2254
36,03/25/24 02:06:36 AM,0.2378,0.2247
37,03/25/24 02:36:36 AM,0.2378,0.2247
38,03/25/24 03:06:36 AM,0.2385,0.2247
39,03/25/24 03:36:36 AM,0.2385,0.2247
40,03/25/24 04:06:36 AM,0.2385,0.2240
41,03/25/24 04:36:36 AM,0.2385,0.2240
42,03/25/24 05:06:36 AM,0.2385,0.2240
43,03/25/24 05:36:36 AM,0.2385,0.2240
44,03/25/24 06:06:36 AM,0.2378,0.2233
45,03/25/24 06:36:36 AM,0.2378,0.2233
46,03/25/24 07:06:36 AM,0.2378,0.2233
47,03/25/24 07:36:36 AM,0.2378,0.2225
48,03/25/24 08:06:36 AM,0.2378,0.2225
49,03/25/24 08:36:36 AM,0.2378,0.2233
50,03/25/24 09:06:36 AM,0.2385,0.2233
51,03/25/24 09:36:36 AM,0.2385,0.2240
52,03/25/24 10:06:36 AM,0.2392,0.2233
53,03/25/24 10:36:36 AM,0.2400,0.2233
54,03/25/24 11:06:36 AM,0.2407,0.2240
55,03/25/24 11:36:36 AM,0.2400,0.2247
56,03/25/24 12:06:36 PM,0.2407,0.2262
57,03/25/24 12:36:36 PM,0.2422,0.2269
58,03/25/24 01:06:36 PM,0.2414,0.2269
59,03/25/24 01:36:36 PM,0.2422,0.2269
60,03/25/24 02:06:36 PM,0.2429,0.2262
61,03/25/24 02:36:36 PM,0.2422,0.2262
62,03/25/24 03:06:36 PM,0.2414,0.2254
63,03/25/24 03:36:36 PM,0.2422,0.2247
64,03/25/24 04:06:36 PM,0.2422,0.2247
65,03/25/24 04:36:36 PM,0.2407,0.2225
66,03/25/24 05:06:36 PM,0.2407,0.2225
67,03/25/24 05:36:36 PM,0.2414,0.2218
68,03/25/24 06:06:36 PM,0.2407,0.2211
69,03/25/24 06:36:36 PM,0.2407,0.2211
70,03/25/24 07:06:36 PM,0.2407,0.2211
71,03/25/24 07:36:36 PM,0.2392,0.2204
72,03/25/24 08:06:36 PM,0.2385,0.2204
73,03/25/24 08:36:36 PM,0.2385,0.2204
74,03/25/24 09:06:36 PM,0.2400,0.2204
75,03/25/24 09:36:36 PM,0.2400,0.2204
