"Plot Title: 20377493"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20377493, SEN S/N: 20377881)","Water Content, m³/m³ (LGR S/N: 20377493, SEN S/N: 20377885)"
1,04/29/19 12:16:31 PM,0.2313,0.2342
2,04/29/19 12:46:31 PM,0.2298,0.2334
3,04/29/19 01:16:31 PM,0.2298,0.2327
4,04/29/19 01:46:31 PM,0.2298,0.2327
5,04/29/19 02:16:31 PM,0.2298,0.2334
6,04/29/19 02:46:31 PM,0.2298,0.2327
7,04/29/19 03:16:31 PM,0.2298,0.2334
8,04/29/19 03:46:31 PM,0.2291,0.2334
9,04/29/19 04:16:31 PM,0.2291,0.2327
10,04/29/19 04:46:31 PM,0.2291,0.2327
11,04/29/19 05:16:31 PM,0.2291,0.2327
12,04/29/19 05:46:31 PM,0.2291,0.2320
13,04/29/19 06:16:31 PM,0.2291,0.2320
14,04/29/19 06:46:31 PM,0.2291,0.2320
15,04/29/19 07:16:31 PM,0.2291,0.2320
16,04/29/19 07:46:31 PM,0.2291,0.2320
17,04/29/19 08:16:31 PM,0.2291,0.2313
18,04/29/19 08:46:31 PM,0.2298,0.2313
19,04/29/19 09:16:31 PM,0.2284,0.2313
20,04/29/19 09:46:31 PM,0.2284,0.2313
21,04/29/19 10:16:31 PM,0.2284,0.2313
22,04/29/19 10:46:31 PM,0.2284,0.2313
23,04/29/19 11:16:31 PM,0.2284,0.2305
24,04/29/19 11:46:31 PM,0.2284,0.2305
25,04/30/19 12:16:31 AM,0.2284,0.2305
26,04/30/19 12:46:31 AM,0.2284,0.2305
27,04/30/19 01:16:31 AM,0.2276,0.2305
28,04/30/19 01:46:31 AM,0.2284,0.2305
29,04/30/19 02:16:31 AM,0.2284,0.2305
30,04/30/19 02:46:31 AM,0.2276,0.2305
31,04/30/19 03:16:31 AM,0.2284,0.2305
32,04/30/19 03:46:31 AM,0.2284,0.2305
33,04/30/19 04:16:31 AM,0.2276,0.2305
34,04/30/19 04:46:31 AM,0.2284,0.2305
35,04/30/19 05:16:31 AM,0.2276,0.2305
36,04/30/19 05:46:31 AM,0.2276,0.2298
37,04/30/19 06:16:31 AM,0.2284,0.2298
38,04/30/19 06:46:31 AM,0.2276,0.2305
39,04/30/19 07:16:31 AM,0.2276,0.2305
40,04/30/19 07:46:31 AM,0.2276,0.2305
41,04/30/19 08:16:31 AM,0.2276,0.2305
42,04/30/19 08:46:31 AM,0.2276,0.2305
43,04/30/19 09:16:31 AM,0.2284,0.2305
44,04/30/19 09:46:31 AM,0.2284,0.2313
45,04/30/19 10:16:31 AM,0.2284,0.2305
46,04/30/19 10:46:31 AM,0.2284,0.2313
47,04/30/19 11:16:31 AM,0.2284,0.2305
48,04/30/19 11:46:31 AM,0.2284,0.2305
49,04/30/19 12:16:31 PM,0.2284,0.2313
50,04/30/19 12:46:31 PM,0.2284,0.2313
51,04/30/19 01:16:31 PM,0.2284,0.2313
52,04/30/19 01:46:31 PM,0.2284,0.2320
53,04/30/19 02:16:31 PM,0.2284,0.2320
54,04/30/19 02:46:31 PM,0.2284,0.2327
55,04/30/19 03:16:31 PM,0.2284,0.2327
56,04/30/19 03:46:31 PM,0.2284,0.2327
57,04/30/19 04:16:31 PM,0.2284,0.2327
58,04/30/19 04:46:31 PM,0.2284,0.2320
59,04/30/19 05:16:31 PM,0.2276,0.2313
60,04/30/19 05:46:31 PM,0.2284,0.2305
61,04/30/19 06:16:31 PM,0.2276,0.2298
62,04/30/19 06:46:31 PM,0.2276,0.2305
63,04/30/19 07:16:31 PM,0.2284,0.2298
64,04/30/19 07:46:31 PM,0.2284,0.2298
65,04/30/19 08:16:31 PM,0.2276,0.2298
