"Plot Title: HOBO_Pilot_Control"
"#","Date Time, GMT-04:00","Water Content, m³/m³ (LGR S/N: 20871539, SEN S/N: 20871008)","Water Content, m³/m³ (LGR S/N: 20871539, SEN S/N: 20871009)"
1,03/24/24 08:43:39 AM,0.2806,0.2356
2,03/24/24 09:13:39 AM,0.3925,0.2560
3,03/24/24 09:43:39 AM,0.3976,0.2589
4,03/24/24 10:13:39 AM,0.3976,0.2603
5,03/24/24 10:43:39 AM,0.3998,0.2610
6,03/24/24 11:13:39 AM,0.4005,0.2610
7,03/24/24 11:43:39 AM,0.4012,0.2618
8,03/24/24 12:13:39 PM,0.4012,0.2632
9,03/24/24 12:43:39 PM,0.4019,0.2647
10,03/24/24 01:13:39 PM,0.4012,0.2639
11,03/24/24 01:43:39 PM,0.4034,0.2632
12,03/24/24 02:13:39 PM,0.4034,0.2639
13,03/24/24 02:43:39 PM,0.4034,0.2639
14,03/24/24 03:13:39 PM,0.4034,0.2647
15,03/24/24 03:43:39 PM,0.4041,0.2654
16,03/24/24 04:13:39 PM,0.4041,0.2647
17,03/24/24 04:43:39 PM,0.4041,0.2639
18,03/24/24 05:13:39 PM,0.4041,0.2639
19,03/24/24 05:43:39 PM,0.4041,0.2639
20,03/24/24 06:13:39 PM,0.4034,0.2639
21,03/24/24 06:43:39 PM,0.4034,0.2632
22,03/24/24 07:13:39 PM,0.4034,0.2632
23,03/24/24 07:43:39 PM,0.4034,0.2632
24,03/24/24 08:13:39 PM,0.4034,0.2632
25,03/24/24 08:43:39 PM,0.4034,0.2625
26,03/24/24 09:13:39 PM,0.4027,0.2632
27,03/24/24 09:43:39 PM,0.4034,0.2647
28,03/24/24 10:13:39 PM,0.4034,0.2647
29,03/24/24 10:43:39 PM,0.4034,0.2647
30,03/24/24 11:13:39 PM,0.4034,0.2647
31,03/24/24 11:43:39 PM,0.4019,0.2647
32,03/25/24 12:13:39 AM,0.4012,0.2647
33,03/25/24 12:43:39 AM,0.4005,0.2647
34,03/25/24 01:13:39 AM,0.4012,0.2647
35,03/25/24 01:43:39 AM,0.3998,0.2647
36,03/25/24 02:13:39 AM,0.3998,0.2647
37,03/25/24 02:43:39 AM,0.3976,0.2647
38,03/25/24 03:13:39 AM,0.3969,0.2647
39,03/25/24 03:43:39 AM,0.3969,0.2647
40,03/25/24 04:13:39 AM,0.3961,0.2647
41,03/25/24 04:43:39 AM,0.3911,0.2639
42,03/25/24 05:13:39 AM,0.3896,0.2639
43,03/25/24 05:43:39 AM,0.3831,0.2639
44,03/25/24 06:13:39 AM,0.3780,0.2639
45,03/25/24 06:43:39 AM,0.3773,0.2639
46,03/25/24 07:13:39 AM,0.3758,0.2668
47,03/25/24 07:43:39 AM,0.3751,0.2661
48,03/25/24 08:13:39 AM,0.3736,0.2676
49,03/25/24 08:43:39 AM,0.3736,0.2676
50,03/25/24 09:13:39 AM,0.3729,0.2705
51,03/25/24 09:43:39 AM,0.3722,0.2727
52,03/25/24 10:13:39 AM,0.3722,0.2727
53,03/25/24 10:43:39 AM,0.3714,0.2748
54,03/25/24 11:13:39 AM,0.3722,0.2741
55,03/25/24 11:43:39 AM,0.3714,0.2741
56,03/25/24 12:13:39 PM,0.3714,0.2763
57,03/25/24 12:43:39 PM,0.3707,0.2763
58,03/25/24 01:13:39 PM,0.3700,0.2756
59,03/25/24 01:43:39 PM,0.3693,0.2756
60,03/25/24 02:13:39 PM,0.3685,0.2756
61,03/25/24 02:43:39 PM,0.3685,0.2756
62,03/25/24 03:13:39 PM,0.3700,0.2756
63,03/25/24 03:43:39 PM,0.3678,0.2770
64,03/25/24 04:13:39 PM,0.3678,0.2748
65,03/25/24 04:43:39 PM,0.3678,0.2763
66,03/25/24 05:13:39 PM,0.3678,0.2756
