"Plot Title: 20406020"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20406020, SEN S/N: 20406020)","Coupler Detached (LGR S/N: 20406020)","Coupler Attached (LGR S/N: 20406020)","Host Connected (LGR S/N: 20406020)","Stopped (LGR S/N: 20406020)","End Of File (LGR S/N: 20406020)"
1,06/17/24 09:34:34 PM,26.488,,,,,
2,06/17/24 09:34:49 PM,,Logged,,,,
3,06/17/24 11:34:34 PM,21.282,,,,,
4,06/18/24 01:34:34 AM,21.187,,,,,
5,06/18/24 03:34:34 AM,21.282,,,,,
6,06/18/24 05:34:34 AM,21.473,,,,,
7,06/18/24 07:34:34 AM,21.091,,,,,
8,06/18/24 09:34:34 AM,24.351,,,,,
9,06/18/24 11:34:34 AM,31.676,,,,,
10,06/18/24 01:34:34 PM,36.946,,,,,
11,06/18/24 03:34:34 PM,48.023,,,,,
12,06/18/24 05:34:34 PM,33.848,,,,,
13,06/18/24 07:34:34 PM,29.853,,,,,
14,06/18/24 09:34:34 PM,29.752,,,,,
15,06/18/24 11:34:34 PM,27.764,,,,,
16,06/19/24 01:34:34 AM,25.610,,,,,
17,06/19/24 03:34:34 AM,23.966,,,,,
18,06/19/24 05:34:34 AM,22.908,,,,,
19,06/19/24 07:34:34 AM,22.812,,,,,
20,06/19/24 09:34:34 AM,30.862,,,,,
21,06/19/24 11:34:34 AM,48.023,,,,,
22,06/19/24 01:34:34 PM,35.649,,,,,
23,06/19/24 03:34:34 PM,23.966,,,,,
24,06/19/24 05:34:34 PM,29.053,,,,,
25,06/19/24 07:34:34 PM,31.574,,,,,
26,06/19/24 09:34:34 PM,31.880,,,,,
27,06/19/24 11:34:34 PM,30.862,,,,,
28,06/20/24 01:34:34 AM,29.152,,,,,
29,06/20/24 03:34:34 AM,27.075,,,,,
30,06/20/24 05:34:34 AM,25.125,,,,,
31,06/20/24 07:34:34 AM,21.473,,,,,
32,06/20/24 09:34:34 AM,22.333,,,,,
33,06/20/24 11:34:34 AM,23.004,,,,,
34,06/20/24 01:34:34 PM,24.931,,,,,
35,06/20/24 03:34:34 PM,25.125,,,,,
36,06/20/24 05:34:34 PM,25.610,,,,,
37,06/20/24 07:34:34 PM,24.738,,,,,
38,06/20/24 09:34:34 PM,23.966,,,,,
39,06/20/24 11:34:34 PM,23.292,,,,,
40,06/21/24 01:34:34 AM,22.908,,,,,
41,06/21/24 03:34:34 AM,22.429,,,,,
42,06/21/24 05:34:34 AM,22.046,,,,,
43,06/21/24 07:34:34 AM,21.760,,,,,
44,06/21/24 09:34:34 AM,22.046,,,,,
45,06/21/24 11:34:34 AM,23.004,,,,,
46,06/21/24 01:34:34 PM,25.902,,,,,
47,06/21/24 03:34:34 PM,25.610,,,,,
48,06/21/24 05:34:34 PM,26.488,,,,,
49,06/21/24 07:34:34 PM,25.513,,,,,
50,06/21/24 09:34:34 PM,24.641,,,,,
51,06/21/24 11:34:34 PM,24.062,,,,,
52,06/22/24 01:34:34 AM,23.581,,,,,
53,06/22/24 03:34:34 AM,23.292,,,,,
54,06/22/24 05:34:34 AM,23.196,,,,,
55,06/22/24 07:34:34 AM,23.100,,,,,
56,06/22/24 09:34:34 AM,23.388,,,,,
57,06/22/24 11:34:34 AM,23.966,,,,,
58,06/22/24 01:34:34 PM,26.195,,,,,
59,06/22/24 03:34:34 PM,26.097,,,,,
60,06/22/24 05:34:34 PM,26.977,,,,,
61,06/22/24 07:34:34 PM,26.000,,,,,
62,06/22/24 09:34:34 PM,25.222,,,,,
63,06/22/24 11:34:34 PM,24.641,,,,,
64,06/23/24 01:34:34 AM,24.255,,,,,
65,06/23/24 03:34:34 AM,23.869,,,,,
66,06/23/24 05:34:34 AM,23.581,,,,,
67,06/23/24 07:34:34 AM,23.484,,,,,
68,06/23/24 09:34:34 AM,23.677,,,,,
69,06/23/24 11:34:34 AM,24.255,,,,,
70,06/23/24 01:34:34 PM,26.390,,,,,
71,06/23/24 03:34:34 PM,26.390,,,,,
72,06/23/24 05:34:34 PM,26.585,,,,,
73,06/23/24 07:34:34 PM,26.000,,,,,
74,06/23/24 09:34:34 PM,25.319,,,,,
75,06/23/24 11:34:34 PM,24.835,,,,,
76,06/24/24 01:34:34 AM,24.448,,,,,
77,06/24/24 03:34:34 AM,24.255,,,,,
78,06/24/24 05:34:34 AM,24.062,,,,,
79,06/24/24 07:34:34 AM,23.966,,,,,
80,06/24/24 09:34:34 AM,23.966,,,,,
81,06/24/24 11:34:34 AM,24.545,,,,,
82,06/24/24 01:34:34 PM,26.195,,,,,
83,06/24/24 03:34:34 PM,26.195,,,,,
84,06/24/24 05:34:34 PM,26.879,,,,,
85,06/24/24 07:34:34 PM,26.195,,,,,
86,06/24/24 09:34:34 PM,25.319,,,,,
87,06/24/24 11:34:34 PM,24.641,,,,,
88,06/25/24 01:34:34 AM,24.158,,,,,
89,06/25/24 03:34:34 AM,23.677,,,,,
90,06/25/24 05:34:34 AM,23.292,,,,,
91,06/25/24 07:34:34 AM,23.004,,,,,
92,06/25/24 09:34:34 AM,23.388,,,,,
93,06/25/24 11:34:34 AM,24.255,,,,,
94,06/25/24 01:34:34 PM,26.390,,,,,
95,06/25/24 03:34:34 PM,26.390,,,,,
96,06/25/24 05:34:34 PM,26.292,,,,,
97,06/25/24 07:34:34 PM,25.708,,,,,
98,06/25/24 09:34:34 PM,25.125,,,,,
99,06/25/24 11:34:34 PM,24.738,,,,,
100,06/26/24 01:34:34 AM,24.448,,,,,
101,06/26/24 03:34:34 AM,24.062,,,,,
102,06/26/24 05:34:34 AM,23.869,,,,,
103,06/26/24 07:34:34 AM,23.773,,,,,
104,06/26/24 09:34:34 AM,24.062,,,,,
105,06/26/24 11:34:34 AM,24.835,,,,,
106,06/26/24 01:34:34 PM,26.977,,,,,
107,06/26/24 03:34:34 PM,26.879,,,,,
108,06/26/24 05:34:34 PM,27.665,,,,,
109,06/26/24 07:34:34 PM,26.781,,,,,
110,06/26/24 09:34:34 PM,25.902,,,,,
111,06/26/24 11:34:34 PM,25.319,,,,,
112,06/27/24 01:34:34 AM,24.835,,,,,
113,06/27/24 03:34:34 AM,24.545,,,,,
114,06/27/24 05:34:34 AM,24.351,,,,,
115,06/27/24 07:34:34 AM,24.255,,,,,
116,06/27/24 09:34:34 AM,24.448,,,,,
117,06/27/24 11:34:34 AM,25.028,,,,,
118,06/27/24 01:34:34 PM,26.000,,,,,
119,06/27/24 03:34:34 PM,25.902,,,,,
120,06/27/24 05:34:34 PM,25.513,,,,,
121,06/27/24 07:34:34 PM,25.416,,,,,
122,06/27/24 09:34:34 PM,24.931,,,,,
123,06/27/24 11:34:34 PM,24.448,,,,,
124,06/28/24 01:34:34 AM,24.062,,,,,
125,06/28/24 03:34:34 AM,23.677,,,,,
126,06/28/24 05:34:34 AM,23.484,,,,,
127,06/28/24 07:34:34 AM,23.292,,,,,
128,06/28/24 09:34:34 AM,23.581,,,,,
129,06/28/24 11:34:34 AM,24.448,,,,,
130,06/28/24 01:34:34 PM,26.683,,,,,
131,06/28/24 03:34:34 PM,26.585,,,,,
132,06/28/24 05:34:34 PM,26.879,,,,,
133,06/28/24 07:34:34 PM,26.292,,,,,
134,06/28/24 09:34:34 PM,25.513,,,,,
135,06/28/24 11:34:34 PM,24.931,,,,,
136,06/29/24 01:34:34 AM,24.545,,,,,
137,06/29/24 03:34:34 AM,24.158,,,,,
138,06/29/24 05:34:34 AM,23.869,,,,,
139,06/29/24 07:34:34 AM,23.773,,,,,
140,06/29/24 09:34:34 AM,24.158,,,,,
141,06/29/24 11:34:34 AM,24.738,,,,,
142,06/29/24 01:34:34 PM,26.097,,,,,
143,06/29/24 03:34:34 PM,26.390,,,,,
144,06/29/24 05:34:34 PM,27.075,,,,,
145,06/29/24 07:34:34 PM,26.390,,,,,
146,06/29/24 09:34:34 PM,25.805,,,,,
147,06/29/24 11:34:34 PM,25.319,,,,,
148,06/30/24 01:34:34 AM,24.931,,,,,
149,06/30/24 03:34:34 AM,24.545,,,,,
150,06/30/24 05:34:34 AM,24.351,,,,,
151,06/30/24 07:34:34 AM,24.158,,,,,
152,06/30/24 09:34:34 AM,24.448,,,,,
153,06/30/24 11:34:34 AM,25.416,,,,,
154,06/30/24 01:34:34 PM,25.125,,,,,
155,06/30/24 03:34:34 PM,24.931,,,,,
156,06/30/24 05:34:34 PM,25.125,,,,,
157,06/30/24 07:34:34 PM,25.610,,,,,
158,06/30/24 09:34:34 PM,25.222,,,,,
159,06/30/24 11:34:34 PM,24.931,,,,,
160,07/01/24 01:34:34 AM,24.738,,,,,
161,07/01/24 03:34:34 AM,24.641,,,,,
162,07/01/24 05:34:34 AM,24.351,,,,,
163,07/01/24 07:34:34 AM,24.158,,,,,
164,07/01/24 09:34:34 AM,24.545,,,,,
165,07/01/24 11:34:34 AM,24.448,,,,,
166,07/01/24 01:34:34 PM,26.292,,,,,
167,07/01/24 03:34:34 PM,25.902,,,,,
168,07/01/24 05:34:34 PM,27.075,,,,,
169,07/01/24 07:34:34 PM,25.610,,,,,
170,07/01/24 09:34:34 PM,24.545,,,,,
171,07/01/24 11:34:34 PM,23.581,,,,,
172,07/02/24 01:34:34 AM,22.908,,,,,
