"Plot Title: 20376547"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376547, SEN S/N: 20376547)","Coupler Detached (LGR S/N: 20376547)","Coupler Attached (LGR S/N: 20376547)","Stopped (LGR S/N: 20376547)","End Of File (LGR S/N: 20376547)"
1,06/17/24 09:39:29 PM,24.641,,,,
2,06/17/24 09:39:38 PM,,Logged,,,
3,06/17/24 11:39:29 PM,21.091,,,,
4,06/18/24 01:39:29 AM,21.187,,,,
5,06/18/24 03:39:29 AM,21.282,,,,
6,06/18/24 05:39:29 AM,21.378,,,,
7,06/18/24 07:39:29 AM,20.805,,,,
8,06/18/24 09:39:29 AM,25.125,,,,
9,06/18/24 11:39:29 AM,31.064,,,,
10,06/18/24 01:39:29 PM,36.946,,,,
11,06/18/24 03:39:29 PM,49.905,,,,
12,06/18/24 05:39:29 PM,35.115,,,,
13,06/18/24 07:39:29 PM,29.953,,,,
14,06/18/24 09:39:29 PM,29.352,,,,
15,06/18/24 11:39:29 PM,27.272,,,,
16,06/19/24 01:39:29 AM,25.125,,,,
17,06/19/24 03:39:29 AM,23.581,,,,
18,06/19/24 05:39:29 AM,22.621,,,,
19,06/19/24 07:39:29 AM,23.004,,,,
20,06/19/24 09:39:29 AM,30.558,,,,
21,06/19/24 11:39:29 AM,49.632,,,,
22,06/19/24 01:39:29 PM,38.046,,,,
23,06/19/24 03:39:29 PM,23.484,,,,
24,06/19/24 05:39:29 PM,28.853,,,,
25,06/19/24 07:39:29 PM,32.600,,,,
26,06/19/24 09:39:29 PM,32.086,,,,
27,06/19/24 11:39:29 PM,30.255,,,,
28,06/20/24 01:39:29 AM,28.258,,,,
29,06/20/24 03:39:29 AM,26.292,,,,
30,06/20/24 05:39:29 AM,24.448,,,,
31,06/20/24 07:39:29 AM,21.473,,,,
32,06/20/24 09:39:29 AM,22.333,,,,
33,06/20/24 11:39:29 AM,22.908,,,,
34,06/20/24 01:39:29 PM,24.545,,,,
35,06/20/24 03:39:29 PM,25.416,,,,
36,06/20/24 05:39:29 PM,25.319,,,,
37,06/20/24 07:39:29 PM,24.545,,,,
38,06/20/24 09:39:29 PM,23.773,,,,
39,06/20/24 11:39:29 PM,23.100,,,,
40,06/21/24 01:39:29 AM,22.621,,,,
41,06/21/24 03:39:29 AM,22.238,,,,
42,06/21/24 05:39:29 AM,21.760,,,,
43,06/21/24 07:39:29 AM,21.473,,,,
44,06/21/24 09:39:29 AM,22.142,,,,
45,06/21/24 11:39:29 AM,22.717,,,,
46,06/21/24 01:39:29 PM,24.641,,,,
47,06/21/24 03:39:29 PM,26.097,,,,
48,06/21/24 05:39:29 PM,26.000,,,,
49,06/21/24 07:39:29 PM,25.125,,,,
50,06/21/24 09:39:29 PM,24.448,,,,
51,06/21/24 11:39:29 PM,23.869,,,,
52,06/22/24 01:39:29 AM,23.484,,,,
53,06/22/24 03:39:29 AM,23.196,,,,
54,06/22/24 05:39:29 AM,23.100,,,,
55,06/22/24 07:39:29 AM,23.196,,,,
56,06/22/24 09:39:29 AM,23.484,,,,
57,06/22/24 11:39:29 AM,24.062,,,,
58,06/22/24 01:39:29 PM,25.416,,,,
59,06/22/24 03:39:29 PM,26.781,,,,
60,06/22/24 05:39:29 PM,26.879,,,,
61,06/22/24 07:39:29 PM,25.902,,,,
62,06/22/24 09:39:29 PM,25.125,,,,
63,06/22/24 11:39:29 PM,24.641,,,,
64,06/23/24 01:39:29 AM,24.158,,,,
65,06/23/24 03:39:29 AM,23.869,,,,
66,06/23/24 05:39:29 AM,23.581,,,,
67,06/23/24 07:39:29 AM,23.581,,,,
68,06/23/24 09:39:29 AM,23.966,,,,
69,06/23/24 11:39:29 AM,24.448,,,,
70,06/23/24 01:39:29 PM,25.805,,,,
71,06/23/24 03:39:29 PM,26.977,,,,
72,06/23/24 05:39:29 PM,26.879,,,,
73,06/23/24 07:39:29 PM,26.097,,,,
74,06/23/24 09:39:29 PM,25.416,,,,
75,06/23/24 11:39:29 PM,24.931,,,,
76,06/24/24 01:39:29 AM,24.545,,,,
77,06/24/24 03:39:29 AM,24.255,,,,
78,06/24/24 05:39:29 AM,24.158,,,,
79,06/24/24 07:39:29 AM,24.062,,,,
80,06/24/24 09:39:29 AM,24.351,,,,
81,06/24/24 11:39:29 AM,24.931,,,,
82,06/24/24 01:39:29 PM,26.000,,,,
83,06/24/24 03:39:29 PM,26.585,,,,
84,06/24/24 05:39:29 PM,26.879,,,,
85,06/24/24 07:39:29 PM,26.097,,,,
86,06/24/24 09:39:29 PM,25.319,,,,
87,06/24/24 11:39:29 PM,24.641,,,,
88,06/25/24 01:39:29 AM,24.062,,,,
89,06/25/24 03:39:29 AM,23.581,,,,
90,06/25/24 05:39:29 AM,23.196,,,,
91,06/25/24 07:39:29 AM,23.004,,,,
92,06/25/24 09:39:29 AM,23.581,,,,
93,06/25/24 11:39:29 AM,24.158,,,,
94,06/25/24 01:39:29 PM,25.319,,,,
95,06/25/24 03:39:29 PM,26.585,,,,
96,06/25/24 05:39:29 PM,26.195,,,,
97,06/25/24 07:39:29 PM,25.610,,,,
98,06/25/24 09:39:29 PM,25.125,,,,
99,06/25/24 11:39:29 PM,24.738,,,,
100,06/26/24 01:39:29 AM,24.448,,,,
101,06/26/24 03:39:29 AM,24.062,,,,
102,06/26/24 05:39:29 AM,23.869,,,,
103,06/26/24 07:39:29 AM,23.869,,,,
104,06/26/24 09:39:29 AM,24.351,,,,
105,06/26/24 11:39:29 AM,24.835,,,,
106,06/26/24 01:39:29 PM,26.000,,,,
107,06/26/24 03:39:29 PM,27.370,,,,
108,06/26/24 05:39:29 PM,27.567,,,,
109,06/26/24 07:39:29 PM,26.585,,,,
110,06/26/24 09:39:29 PM,25.805,,,,
111,06/26/24 11:39:29 PM,25.222,,,,
112,06/27/24 01:39:29 AM,24.835,,,,
113,06/27/24 03:39:29 AM,24.545,,,,
114,06/27/24 05:39:29 AM,24.351,,,,
115,06/27/24 07:39:29 AM,24.448,,,,
116,06/27/24 09:39:29 AM,24.738,,,,
117,06/27/24 11:39:29 AM,25.319,,,,
118,06/27/24 01:39:29 PM,26.000,,,,
119,06/27/24 03:39:29 PM,26.097,,,,
120,06/27/24 05:39:29 PM,25.902,,,,
121,06/27/24 07:39:29 PM,25.610,,,,
122,06/27/24 09:39:29 PM,25.125,,,,
123,06/27/24 11:39:29 PM,24.545,,,,
124,06/28/24 01:39:29 AM,24.062,,,,
125,06/28/24 03:39:29 AM,23.773,,,,
126,06/28/24 05:39:29 AM,23.581,,,,
127,06/28/24 07:39:29 AM,23.484,,,,
128,06/28/24 09:39:29 AM,23.966,,,,
129,06/28/24 11:39:29 AM,24.545,,,,
130,06/28/24 01:39:29 PM,26.097,,,,
131,06/28/24 03:39:29 PM,26.683,,,,
132,06/28/24 05:39:29 PM,26.585,,,,
133,06/28/24 07:39:29 PM,26.000,,,,
134,06/28/24 09:39:29 PM,25.416,,,,
135,06/28/24 11:39:29 PM,24.835,,,,
136,06/29/24 01:39:29 AM,24.448,,,,
137,06/29/24 03:39:29 AM,24.062,,,,
138,06/29/24 05:39:29 AM,23.869,,,,
139,06/29/24 07:39:29 AM,23.773,,,,
140,06/29/24 09:39:29 AM,24.448,,,,
141,06/29/24 11:39:29 AM,24.931,,,,
142,06/29/24 01:39:29 PM,26.000,,,,
143,06/29/24 03:39:29 PM,26.781,,,,
144,06/29/24 05:39:29 PM,26.977,,,,
145,06/29/24 07:39:29 PM,26.390,,,,
146,06/29/24 09:39:29 PM,25.805,,,,
147,06/29/24 11:39:29 PM,25.416,,,,
148,06/30/24 01:39:29 AM,25.028,,,,
149,06/30/24 03:39:29 AM,24.641,,,,
150,06/30/24 05:39:29 AM,24.448,,,,
151,06/30/24 07:39:29 AM,24.255,,,,
152,06/30/24 09:39:29 AM,24.835,,,,
153,06/30/24 11:39:29 AM,25.513,,,,
154,06/30/24 01:39:29 PM,24.931,,,,
155,06/30/24 03:39:29 PM,24.931,,,,
