"Plot Title: 20406026"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20406026, SEN S/N: 20406026)","Coupler Detached (LGR S/N: 20406026)","Coupler Attached (LGR S/N: 20406026)","Stopped (LGR S/N: 20406026)","End Of File (LGR S/N: 20406026)"
1,06/20/24 02:30:36 PM,35.756,,,,
2,06/20/24 02:30:55 PM,,Logged,,,
3,06/20/24 04:30:36 PM,23.484,,,,
4,06/20/24 06:30:36 PM,22.812,,,,
5,06/20/24 08:30:36 PM,21.951,,,,
6,06/20/24 10:30:36 PM,21.187,,,,
7,06/21/24 12:30:36 AM,20.901,,,,
8,06/21/24 02:30:36 AM,20.615,,,,
9,06/21/24 04:30:36 AM,20.329,,,,
10,06/21/24 06:30:36 AM,20.043,,,,
11,06/21/24 08:30:36 AM,20.424,,,,
12,06/21/24 10:30:36 AM,21.378,,,,
13,06/21/24 12:30:36 PM,23.100,,,,
14,06/21/24 02:30:36 PM,24.545,,,,
15,06/21/24 04:30:36 PM,23.966,,,,
16,06/21/24 06:30:36 PM,23.484,,,,
17,06/21/24 08:30:36 PM,22.429,,,,
18,06/21/24 10:30:36 PM,21.855,,,,
19,06/22/24 12:30:36 AM,21.664,,,,
20,06/22/24 02:30:36 AM,21.473,,,,
21,06/22/24 04:30:36 AM,21.473,,,,
22,06/22/24 06:30:36 AM,21.569,,,,
23,06/22/24 08:30:36 AM,22.046,,,,
24,06/22/24 10:30:36 AM,22.525,,,,
25,06/22/24 12:30:36 PM,24.158,,,,
26,06/22/24 02:30:36 PM,24.931,,,,
27,06/22/24 04:30:36 PM,24.545,,,,
28,06/22/24 06:30:36 PM,23.773,,,,
29,06/22/24 08:30:36 PM,23.004,,,,
30,06/22/24 10:30:36 PM,22.429,,,,
31,06/23/24 12:30:36 AM,22.238,,,,
32,06/23/24 02:30:36 AM,21.951,,,,
33,06/23/24 04:30:36 AM,21.760,,,,
34,06/23/24 06:30:36 AM,21.760,,,,
35,06/23/24 08:30:36 AM,22.238,,,,
36,06/23/24 10:30:36 AM,22.908,,,,
37,06/23/24 12:30:36 PM,23.869,,,,
38,06/23/24 02:30:36 PM,24.931,,,,
39,06/23/24 04:30:36 PM,24.738,,,,
40,06/23/24 06:30:36 PM,23.966,,,,
41,06/23/24 08:30:36 PM,23.292,,,,
42,06/23/24 10:30:36 PM,22.812,,,,
43,06/24/24 12:30:36 AM,22.525,,,,
44,06/24/24 02:30:36 AM,22.333,,,,
45,06/24/24 04:30:36 AM,22.333,,,,
46,06/24/24 06:30:36 AM,22.333,,,,
47,06/24/24 08:30:36 AM,22.525,,,,
48,06/24/24 10:30:36 AM,23.196,,,,
49,06/24/24 12:30:36 PM,24.931,,,,
50,06/24/24 02:30:36 PM,24.641,,,,
51,06/24/24 04:30:36 PM,24.931,,,,
52,06/24/24 06:30:36 PM,24.158,,,,
53,06/24/24 08:30:36 PM,23.196,,,,
54,06/24/24 10:30:36 PM,22.429,,,,
55,06/25/24 12:30:36 AM,21.951,,,,
56,06/25/24 02:30:36 AM,21.569,,,,
57,06/25/24 04:30:36 AM,21.378,,,,
58,06/25/24 06:30:36 AM,21.187,,,,
59,06/25/24 08:30:36 AM,21.760,,,,
60,06/25/24 10:30:36 AM,22.525,,,,
61,06/25/24 12:30:36 PM,24.351,,,,
62,06/25/24 02:30:36 PM,25.125,,,,
63,06/25/24 04:30:36 PM,24.448,,,,
64,06/25/24 06:30:36 PM,23.677,,,,
65,06/25/24 08:30:36 PM,23.100,,,,
66,06/25/24 10:30:36 PM,22.812,,,,
67,06/26/24 12:30:36 AM,22.525,,,,
68,06/26/24 02:30:36 AM,22.238,,,,
69,06/26/24 04:30:36 AM,22.238,,,,
70,06/26/24 06:30:36 AM,22.046,,,,
71,06/26/24 08:30:36 AM,22.621,,,,
72,06/26/24 10:30:36 AM,23.196,,,,
73,06/26/24 12:30:36 PM,25.125,,,,
74,06/26/24 02:30:36 PM,25.610,,,,
75,06/26/24 04:30:36 PM,25.125,,,,
76,06/26/24 06:30:36 PM,24.448,,,,
77,06/26/24 08:30:36 PM,23.581,,,,
78,06/26/24 10:30:36 PM,22.908,,,,
79,06/27/24 12:30:36 AM,22.621,,,,
80,06/27/24 02:30:36 AM,22.525,,,,
81,06/27/24 04:30:36 AM,22.525,,,,
82,06/27/24 06:30:36 AM,22.621,,,,
83,06/27/24 08:30:36 AM,23.004,,,,
84,06/27/24 10:30:36 AM,23.581,,,,
85,06/27/24 12:30:36 PM,24.448,,,,
86,06/27/24 02:30:36 PM,24.545,,,,
87,06/27/24 04:30:36 PM,23.292,,,,
88,06/27/24 06:30:36 PM,23.581,,,,
89,06/27/24 08:30:36 PM,23.004,,,,
90,06/27/24 10:30:36 PM,22.429,,,,
91,06/28/24 12:30:36 AM,22.142,,,,
92,06/28/24 02:30:36 AM,21.951,,,,
93,06/28/24 04:30:36 AM,21.855,,,,
94,06/28/24 06:30:36 AM,21.760,,,,
95,06/28/24 08:30:36 AM,22.238,,,,
96,06/28/24 10:30:36 AM,23.004,,,,
97,06/28/24 12:30:36 PM,24.641,,,,
98,06/28/24 02:30:36 PM,25.125,,,,
99,06/28/24 04:30:36 PM,24.448,,,,
100,06/28/24 06:30:36 PM,24.158,,,,
101,06/28/24 08:30:36 PM,23.292,,,,
102,06/28/24 10:30:36 PM,22.908,,,,
103,06/29/24 12:30:36 AM,22.525,,,,
104,06/29/24 02:30:36 AM,22.238,,,,
105,06/29/24 04:30:36 AM,22.142,,,,
106,06/29/24 06:30:36 AM,22.046,,,,
107,06/29/24 08:30:36 AM,22.717,,,,
108,06/29/24 10:30:36 AM,23.484,,,,
109,06/29/24 12:30:36 PM,24.835,,,,
110,06/29/24 02:30:36 PM,25.416,,,,
111,06/29/24 04:30:36 PM,25.125,,,,
112,06/29/24 06:30:36 PM,24.545,,,,
113,06/29/24 08:30:36 PM,23.869,,,,
114,06/29/24 10:30:36 PM,23.388,,,,
115,06/30/24 12:30:36 AM,23.196,,,,
116,06/30/24 02:30:36 AM,22.908,,,,
117,06/30/24 04:30:36 AM,22.717,,,,
