"Plot Title: 20572133"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20572133, SEN S/N: 20572133)","Coupler Detached (LGR S/N: 20572133)","Coupler Attached (LGR S/N: 20572133)","Host Connected (LGR S/N: 20572133)","End Of File (LGR S/N: 20572133)"
1,06/20/24 02:27:57 PM,34.903,,,,
2,06/20/24 02:28:09 PM,,Logged,,,
3,06/20/24 02:28:29 PM,,,Logged,,
4,06/20/24 02:28:59 PM,,,,Logged,
5,06/20/24 02:29:22 PM,,Logged,,,
6,06/20/24 04:27:57 PM,24.738,,,,
7,06/20/24 06:27:57 PM,23.966,,,,
8,06/20/24 08:27:57 PM,23.100,,,,
9,06/20/24 10:27:57 PM,22.238,,,,
10,06/21/24 12:27:57 AM,21.760,,,,
11,06/21/24 02:27:57 AM,21.378,,,,
12,06/21/24 04:27:57 AM,20.996,,,,
13,06/21/24 06:27:57 AM,20.615,,,,
14,06/21/24 08:27:57 AM,21.091,,,,
15,06/21/24 10:27:57 AM,22.812,,,,
16,06/21/24 12:27:57 PM,23.773,,,,
17,06/21/24 02:27:57 PM,25.610,,,,
18,06/21/24 04:27:57 PM,25.805,,,,
19,06/21/24 06:27:57 PM,24.738,,,,
20,06/21/24 08:27:57 PM,23.677,,,,
21,06/21/24 10:27:57 PM,23.004,,,,
22,06/22/24 12:27:57 AM,22.621,,,,
23,06/22/24 02:27:57 AM,22.333,,,,
24,06/22/24 04:27:57 AM,22.333,,,,
25,06/22/24 06:27:57 AM,22.429,,,,
26,06/22/24 08:27:57 AM,22.812,,,,
27,06/22/24 10:27:57 AM,23.966,,,,
28,06/22/24 12:27:57 PM,24.835,,,,
29,06/22/24 02:27:57 PM,26.292,,,,
30,06/22/24 04:27:57 PM,26.585,,,,
31,06/22/24 06:27:57 PM,25.222,,,,
32,06/22/24 08:27:57 PM,24.351,,,,
33,06/22/24 10:27:57 PM,23.677,,,,
34,06/23/24 12:27:57 AM,23.388,,,,
35,06/23/24 02:27:57 AM,23.004,,,,
36,06/23/24 04:27:57 AM,22.717,,,,
37,06/23/24 06:27:57 AM,22.717,,,,
38,06/23/24 08:27:57 AM,23.100,,,,
39,06/23/24 10:27:57 AM,23.966,,,,
40,06/23/24 12:27:57 PM,24.641,,,,
41,06/23/24 02:27:57 PM,26.195,,,,
42,06/23/24 04:27:57 PM,26.390,,,,
43,06/23/24 06:27:57 PM,25.416,,,,
44,06/23/24 08:27:57 PM,24.641,,,,
45,06/23/24 10:27:57 PM,24.062,,,,
46,06/24/24 12:27:57 AM,23.581,,,,
47,06/24/24 02:27:57 AM,23.388,,,,
48,06/24/24 04:27:57 AM,23.292,,,,
49,06/24/24 06:27:57 AM,23.196,,,,
50,06/24/24 08:27:57 AM,23.388,,,,
51,06/24/24 10:27:57 AM,24.158,,,,
52,06/24/24 12:27:57 PM,25.319,,,,
53,06/24/24 02:27:57 PM,25.805,,,,
54,06/24/24 04:27:57 PM,26.585,,,,
55,06/24/24 06:27:57 PM,25.513,,,,
56,06/24/24 08:27:57 PM,24.545,,,,
57,06/24/24 10:27:57 PM,23.677,,,,
58,06/25/24 12:27:57 AM,23.196,,,,
59,06/25/24 02:27:57 AM,22.717,,,,
60,06/25/24 04:27:57 AM,22.333,,,,
61,06/25/24 06:27:57 AM,22.142,,,,
62,06/25/24 08:27:57 AM,22.621,,,,
63,06/25/24 10:27:57 AM,24.062,,,,
64,06/25/24 12:27:57 PM,25.125,,,,
65,06/25/24 02:27:57 PM,26.195,,,,
66,06/25/24 04:27:57 PM,26.097,,,,
67,06/25/24 06:27:57 PM,25.125,,,,
68,06/25/24 08:27:57 PM,24.448,,,,
69,06/25/24 10:27:57 PM,23.966,,,,
70,06/26/24 12:27:57 AM,23.677,,,,
71,06/26/24 02:27:57 AM,23.292,,,,
72,06/26/24 04:27:57 AM,23.196,,,,
73,06/26/24 06:27:57 AM,23.004,,,,
74,06/26/24 08:27:57 AM,23.484,,,,
75,06/26/24 10:27:57 AM,24.931,,,,
76,06/26/24 12:27:57 PM,25.610,,,,
77,06/26/24 02:27:57 PM,26.683,,,,
78,06/26/24 04:27:57 PM,27.075,,,,
79,06/26/24 06:27:57 PM,26.000,,,,
80,06/26/24 08:27:57 PM,25.028,,,,
81,06/26/24 10:27:57 PM,24.255,,,,
82,06/27/24 12:27:57 AM,23.869,,,,
83,06/27/24 02:27:57 AM,23.677,,,,
84,06/27/24 04:27:57 AM,23.484,,,,
85,06/27/24 06:27:57 AM,23.484,,,,
86,06/27/24 08:27:57 AM,23.869,,,,
87,06/27/24 10:27:57 AM,24.448,,,,
88,06/27/24 12:27:57 PM,25.513,,,,
89,06/27/24 02:27:57 PM,26.000,,,,
90,06/27/24 04:27:57 PM,24.641,,,,
91,06/27/24 06:27:57 PM,24.835,,,,
92,06/27/24 08:27:57 PM,24.351,,,,
93,06/27/24 10:27:57 PM,23.677,,,,
94,06/28/24 12:27:57 AM,23.292,,,,
95,06/28/24 02:27:57 AM,22.908,,,,
96,06/28/24 04:27:57 AM,22.812,,,,
97,06/28/24 06:27:57 AM,22.621,,,,
98,06/28/24 08:27:57 AM,23.004,,,,
99,06/28/24 10:27:57 AM,24.062,,,,
100,06/28/24 12:27:57 PM,25.125,,,,
101,06/28/24 02:27:57 PM,26.488,,,,
102,06/28/24 04:27:57 PM,26.000,,,,
103,06/28/24 06:27:57 PM,25.708,,,,
104,06/28/24 08:27:57 PM,24.641,,,,
105,06/28/24 10:27:57 PM,24.158,,,,
106,06/29/24 12:27:57 AM,23.677,,,,
107,06/29/24 02:27:57 AM,23.292,,,,
108,06/29/24 04:27:57 AM,23.100,,,,
109,06/29/24 06:27:57 AM,22.908,,,,
110,06/29/24 08:27:57 AM,23.581,,,,
111,06/29/24 10:27:57 AM,25.028,,,,
112,06/29/24 12:27:57 PM,25.610,,,,
113,06/29/24 02:27:57 PM,26.585,,,,
114,06/29/24 04:27:57 PM,26.879,,,,
115,06/29/24 06:27:57 PM,26.097,,,,
116,06/29/24 08:27:57 PM,25.319,,,,
117,06/29/24 10:27:57 PM,24.641,,,,
118,06/30/24 12:27:57 AM,24.351,,,,
119,06/30/24 02:27:57 AM,23.966,,,,
120,06/30/24 04:27:57 AM,23.677,,,,
121,06/30/24 06:27:57 AM,23.484,,,,
122,06/30/24 08:27:57 AM,23.869,,,,
123,06/30/24 10:27:57 AM,25.416,,,,
124,06/30/24 12:27:57 PM,26.097,,,,
125,06/30/24 02:27:57 PM,24.062,,,,
126,06/30/24 04:27:57 PM,24.641,,,,
127,06/30/24 06:27:57 PM,25.319,,,,
128,06/30/24 08:27:57 PM,24.738,,,,
129,06/30/24 10:27:57 PM,24.255,,,,
130,07/01/24 12:27:57 AM,24.158,,,,
131,07/01/24 02:27:57 AM,24.062,,,,
132,07/01/24 04:27:57 AM,23.773,,,,
133,07/01/24 06:27:57 AM,23.484,,,,
134,07/01/24 08:27:57 AM,23.773,,,,
135,07/01/24 10:27:57 AM,23.581,,,,
136,07/01/24 12:27:57 PM,24.738,,,,
137,07/01/24 02:27:57 PM,26.097,,,,
138,07/01/24 04:27:57 PM,26.292,,,,
139,07/01/24 06:27:57 PM,24.738,,,,
140,07/01/24 08:27:57 PM,23.773,,,,
141,07/01/24 10:27:57 PM,22.717,,,,
142,07/02/24 12:27:57 AM,22.142,,,,
143,07/02/24 02:27:57 AM,21.664,,,,
144,07/02/24 04:27:57 AM,21.091,,,,
145,07/02/24 06:27:57 AM,20.710,,,,
146,07/02/24 08:27:57 AM,21.187,,,,
147,07/02/24 10:27:57 AM,23.677,,,,
148,07/02/24 12:27:57 PM,23.677,,,,
149,07/02/24 02:27:57 PM,26.097,,,,
150,07/02/24 04:27:57 PM,26.097,,,,
151,07/02/24 06:27:57 PM,24.545,,,,
152,07/02/24 08:27:57 PM,23.484,,,,
153,07/02/24 10:27:57 PM,22.525,,,,
154,07/03/24 12:27:57 AM,21.951,,,,
155,07/03/24 02:27:57 AM,21.760,,,,
156,07/03/24 04:27:57 AM,21.473,,,,
157,07/03/24 06:27:57 AM,21.187,,,,
158,07/03/24 08:27:57 AM,21.760,,,,
159,07/03/24 10:27:57 AM,24.062,,,,
160,07/03/24 12:27:57 PM,24.351,,,,
161,07/03/24 02:27:57 PM,26.683,,,,
162,07/03/24 04:27:57 PM,26.683,,,,
163,07/03/24 06:27:57 PM,25.125,,,,
164,07/03/24 08:27:57 PM,24.255,,,,
165,07/03/24 10:27:57 PM,23.484,,,,
166,07/04/24 12:27:57 AM,23.196,,,,
167,07/04/24 02:27:57 AM,22.812,,,,
168,07/04/24 04:27:57 AM,22.621,,,,
169,07/04/24 06:27:57 AM,22.525,,,,
170,07/04/24 08:27:57 AM,23.196,,,,
171,07/04/24 10:27:57 AM,24.641,,,,
172,07/04/24 12:27:57 PM,25.708,,,,
173,07/04/24 02:27:57 PM,27.272,,,,
174,07/04/24 04:27:57 PM,27.665,,,,
175,07/04/24 06:27:57 PM,26.292,,,,
176,07/04/24 08:27:57 PM,25.513,,,,
177,07/04/24 10:27:57 PM,24.738,,,,
178,07/05/24 12:27:57 AM,24.255,,,,
179,07/05/24 02:27:57 AM,23.773,,,,
180,07/05/24 04:27:57 AM,23.581,,,,
181,07/05/24 06:27:57 AM,23.292,,,,
182,07/05/24 08:27:57 AM,23.869,,,,
183,07/05/24 10:27:57 AM,26.097,,,,
184,07/05/24 12:27:57 PM,26.683,,,,
185,07/05/24 02:27:57 PM,28.357,,,,
186,07/05/24 04:27:57 PM,27.862,,,,
187,07/05/24 06:27:57 PM,26.488,,,,
188,07/05/24 08:27:57 PM,25.708,,,,
189,07/05/24 10:27:57 PM,25.125,,,,
190,07/06/24 12:27:57 AM,24.835,,,,
191,07/06/24 02:27:57 AM,24.545,,,,
192,07/06/24 04:27:57 AM,24.255,,,,
193,07/06/24 06:27:57 AM,23.966,,,,
194,07/06/24 08:27:57 AM,24.351,,,,
195,07/06/24 10:27:57 AM,26.000,,,,
196,07/06/24 12:27:57 PM,26.683,,,,
197,07/06/24 02:27:57 PM,27.961,,,,
198,07/06/24 04:27:57 PM,28.159,,,,
199,07/06/24 06:27:57 PM,25.513,,,,
200,07/06/24 08:27:57 PM,25.028,,,,
201,07/06/24 10:27:57 PM,24.641,,,,
202,07/07/24 12:27:57 AM,24.351,,,,
203,07/07/24 02:27:57 AM,24.062,,,,
204,07/07/24 04:27:57 AM,23.869,,,,
205,07/07/24 06:27:57 AM,23.581,,,,
206,07/07/24 08:27:57 AM,24.158,,,,
207,07/07/24 10:27:57 AM,25.805,,,,
208,07/07/24 12:27:57 PM,26.683,,,,
209,07/07/24 02:27:57 PM,27.567,,,,
210,07/07/24 04:27:57 PM,28.258,,,,
211,07/07/24 06:27:57 PM,26.781,,,,
212,07/07/24 08:27:57 PM,25.708,,,,
213,07/07/24 10:27:57 PM,24.835,,,,
214,07/08/24 12:27:57 AM,24.448,,,,
215,07/08/24 02:27:57 AM,24.255,,,,
216,07/08/24 04:27:57 AM,23.966,,,,
217,07/08/24 06:27:57 AM,23.773,,,,
218,07/08/24 08:27:57 AM,24.351,,,,
219,07/08/24 10:27:57 AM,24.931,,,,
220,07/08/24 12:27:57 PM,26.000,,,,
221,07/08/24 02:27:57 PM,26.977,,,,
222,07/08/24 04:27:57 PM,27.370,,,,
223,07/08/24 06:27:57 PM,26.683,,,,
224,07/08/24 08:27:57 PM,25.708,,,,
225,07/08/24 10:27:57 PM,24.931,,,,
226,07/09/24 12:27:57 AM,24.545,,,,
227,07/09/24 02:27:57 AM,24.255,,,,
228,07/09/24 04:27:57 AM,23.966,,,,
229,07/09/24 06:27:57 AM,23.773,,,,
230,07/09/24 08:27:57 AM,24.351,,,,
231,07/09/24 10:27:57 AM,26.390,,,,
232,07/09/24 12:27:57 PM,26.390,,,,
233,07/09/24 02:27:57 PM,27.567,,,,
234,07/09/24 04:27:57 PM,28.159,,,,
235,07/09/24 06:27:57 PM,27.173,,,,
236,07/09/24 08:27:57 PM,26.195,,,,
237,07/09/24 10:27:57 PM,25.416,,,,
238,07/10/24 12:27:57 AM,25.028,,,,
239,07/10/24 02:27:57 AM,24.738,,,,
240,07/10/24 04:27:57 AM,24.545,,,,
241,07/10/24 06:27:57 AM,24.448,,,,
242,07/10/24 08:27:57 AM,24.931,,,,
243,07/10/24 10:27:57 AM,26.781,,,,
244,07/10/24 12:27:57 PM,26.879,,,,
245,07/10/24 02:27:57 PM,27.961,,,,
246,07/10/24 04:27:57 PM,28.456,,,,
247,07/10/24 06:27:57 PM,27.468,,,,
248,07/10/24 08:27:57 PM,26.488,,,,
249,07/10/24 10:27:57 PM,26.000,,,,
250,07/11/24 12:27:57 AM,25.416,,,,
251,07/11/24 02:27:57 AM,24.931,,,,
252,07/11/24 04:27:57 AM,24.545,,,,
253,07/11/24 06:27:57 AM,23.966,,,,
254,07/11/24 08:27:57 AM,24.158,,,,
255,07/11/24 10:27:57 AM,24.641,,,,
256,07/11/24 12:27:57 PM,25.610,,,,
257,07/11/24 02:27:57 PM,26.195,,,,
258,07/11/24 04:27:57 PM,26.292,,,,
259,07/11/24 06:27:57 PM,25.902,,,,
260,07/11/24 08:27:57 PM,25.319,,,,
261,07/11/24 10:27:57 PM,24.931,,,,
262,07/12/24 12:27:57 AM,24.738,,,,
263,07/12/24 02:27:57 AM,24.545,,,,
264,07/12/24 04:27:57 AM,24.351,,,,
265,07/12/24 06:27:57 AM,24.255,,,,
266,07/12/24 08:27:57 AM,24.641,,,,
267,07/12/24 10:27:57 AM,24.545,,,,
268,07/12/24 12:27:57 PM,25.125,,,,
