"Plot Title: 20376527"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376527, SEN S/N: 20376527)","Coupler Detached (LGR S/N: 20376527)","Coupler Attached (LGR S/N: 20376527)","Host Connected (LGR S/N: 20376527)","Stopped (LGR S/N: 20376527)","End Of File (LGR S/N: 20376527)"
1,06/17/24 09:40:06 PM,25.125,,,,,
2,06/17/24 09:40:33 PM,,Logged,,,,
3,06/17/24 11:40:06 PM,21.187,,,,,
4,06/18/24 01:40:06 AM,21.187,,,,,
5,06/18/24 03:40:06 AM,21.282,,,,,
6,06/18/24 05:40:06 AM,21.473,,,,,
7,06/18/24 07:40:06 AM,20.901,,,,,
8,06/18/24 09:40:06 AM,27.173,,,,,
9,06/18/24 11:40:06 AM,33.430,,,,,
10,06/18/24 01:40:06 PM,43.966,,,,,
11,06/18/24 03:40:06 PM,50.456,,,,,
12,06/18/24 05:40:06 PM,22.717,,,,,
13,06/18/24 07:40:06 PM,22.429,,,,,
14,06/18/24 09:40:06 PM,21.855,,,,,
15,06/18/24 11:40:06 PM,21.473,,,,,
16,06/19/24 01:40:06 AM,21.282,,,,,
17,06/19/24 03:40:06 AM,21.282,,,,,
18,06/19/24 05:40:06 AM,20.901,,,,,
19,06/19/24 07:40:06 AM,20.805,,,,,
20,06/19/24 09:40:06 AM,21.664,,,,,
21,06/19/24 11:40:06 AM,22.525,,,,,
22,06/19/24 01:40:06 PM,23.292,,,,,
23,06/19/24 03:40:06 PM,23.292,,,,,
24,06/19/24 05:40:06 PM,22.908,,,,,
25,06/19/24 07:40:06 PM,22.621,,,,,
26,06/19/24 09:40:06 PM,22.238,,,,,
27,06/19/24 11:40:06 PM,21.760,,,,,
28,06/20/24 01:40:06 AM,21.378,,,,,
29,06/20/24 03:40:06 AM,21.091,,,,,
30,06/20/24 05:40:06 AM,20.710,,,,,
31,06/20/24 07:40:06 AM,20.710,,,,,
32,06/20/24 09:40:06 AM,21.664,,,,,
33,06/20/24 11:40:06 AM,22.429,,,,,
34,06/20/24 01:40:06 PM,23.292,,,,,
35,06/20/24 03:40:06 PM,23.292,,,,,
36,06/20/24 05:40:06 PM,22.908,,,,,
37,06/20/24 07:40:06 PM,22.621,,,,,
38,06/20/24 09:40:06 PM,22.142,,,,,
39,06/20/24 11:40:06 PM,21.760,,,,,
40,06/21/24 01:40:06 AM,21.378,,,,,
41,06/21/24 03:40:06 AM,20.996,,,,,
42,06/21/24 05:40:06 AM,20.710,,,,,
43,06/21/24 07:40:06 AM,20.805,,,,,
44,06/21/24 09:40:06 AM,21.760,,,,,
45,06/21/24 11:40:06 AM,22.621,,,,,
46,06/21/24 01:40:06 PM,23.484,,,,,
47,06/21/24 03:40:06 PM,23.773,,,,,
48,06/21/24 05:40:06 PM,23.388,,,,,
49,06/21/24 07:40:06 PM,23.100,,,,,
50,06/21/24 09:40:06 PM,22.621,,,,,
51,06/21/24 11:40:06 PM,22.238,,,,,
52,06/22/24 01:40:06 AM,21.951,,,,,
53,06/22/24 03:40:06 AM,21.760,,,,,
54,06/22/24 05:40:06 AM,21.664,,,,,
55,06/22/24 07:40:06 AM,21.664,,,,,
56,06/22/24 09:40:06 AM,22.429,,,,,
