"Plot Title: 20365619"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20365619, SEN S/N: 20365619)","Coupler Detached (LGR S/N: 20365619)","Coupler Attached (LGR S/N: 20365619)","Stopped (LGR S/N: 20365619)","End Of File (LGR S/N: 20365619)"
1,06/17/24 09:35:30 PM,25.708,,,,
2,06/17/24 09:35:46 PM,,Logged,,,
3,06/17/24 11:35:30 PM,21.187,,,,
4,06/18/24 01:35:30 AM,21.091,,,,
5,06/18/24 03:35:30 AM,21.091,,,,
6,06/18/24 05:35:30 AM,21.282,,,,
7,06/18/24 07:35:30 AM,20.615,,,,
8,06/18/24 09:35:30 AM,22.621,,,,
9,06/18/24 11:35:30 AM,24.062,,,,
10,06/18/24 01:35:30 PM,26.097,,,,
11,06/18/24 03:35:30 PM,27.862,,,,
12,06/18/24 05:35:30 PM,26.781,,,,
13,06/18/24 07:35:30 PM,24.931,,,,
14,06/18/24 09:35:30 PM,23.292,,,,
15,06/18/24 11:35:30 PM,22.142,,,,
16,06/19/24 01:35:30 AM,21.855,,,,
17,06/19/24 03:35:30 AM,22.142,,,,
18,06/19/24 05:35:30 AM,21.378,,,,
19,06/19/24 07:35:30 AM,21.378,,,,
20,06/19/24 09:35:30 AM,22.717,,,,
21,06/19/24 11:35:30 AM,26.292,,,,
22,06/19/24 01:35:30 PM,26.683,,,,
23,06/19/24 03:35:30 PM,27.665,,,,
24,06/19/24 05:35:30 PM,26.683,,,,
25,06/19/24 07:35:30 PM,25.222,,,,
26,06/19/24 09:35:30 PM,23.869,,,,
27,06/19/24 11:35:30 PM,22.717,,,,
28,06/20/24 01:35:30 AM,21.855,,,,
29,06/20/24 03:35:30 AM,21.282,,,,
30,06/20/24 05:35:30 AM,20.710,,,,
31,06/20/24 07:35:30 AM,20.901,,,,
32,06/20/24 09:35:30 AM,22.621,,,,
33,06/20/24 11:35:30 AM,25.222,,,,
34,06/20/24 01:35:30 PM,27.272,,,,
35,06/20/24 03:35:30 PM,28.357,,,,
36,06/20/24 05:35:30 PM,26.781,,,,
37,06/20/24 07:35:30 PM,25.125,,,,
38,06/20/24 09:35:30 PM,23.581,,,,
39,06/20/24 11:35:30 PM,22.621,,,,
40,06/21/24 01:35:30 AM,21.855,,,,
41,06/21/24 03:35:30 AM,21.091,,,,
42,06/21/24 05:35:30 AM,20.710,,,,
43,06/21/24 07:35:30 AM,20.901,,,,
44,06/21/24 09:35:30 AM,23.388,,,,
45,06/21/24 11:35:30 AM,25.902,,,,
46,06/21/24 01:35:30 PM,28.754,,,,
47,06/21/24 03:35:30 PM,29.552,,,,
48,06/21/24 05:35:30 PM,28.159,,,,
49,06/21/24 07:35:30 PM,26.195,,,,
50,06/21/24 09:35:30 PM,24.641,,,,
51,06/21/24 11:35:30 PM,23.677,,,,
52,06/22/24 01:35:30 AM,23.004,,,,
53,06/22/24 03:35:30 AM,22.621,,,,
54,06/22/24 05:35:30 AM,22.333,,,,
55,06/22/24 07:35:30 AM,22.525,,,,
56,06/22/24 09:35:30 AM,24.158,,,,
57,06/22/24 11:35:30 AM,26.585,,,,
58,06/22/24 01:35:30 PM,29.652,,,,
59,06/22/24 03:35:30 PM,30.255,,,,
60,06/22/24 05:35:30 PM,28.655,,,,
61,06/22/24 07:35:30 PM,26.683,,,,
62,06/22/24 09:35:30 PM,25.513,,,,
63,06/22/24 11:35:30 PM,24.931,,,,
64,06/23/24 01:35:30 AM,24.545,,,,
65,06/23/24 03:35:30 AM,24.255,,,,
66,06/23/24 05:35:30 AM,24.158,,,,
67,06/23/24 07:35:30 AM,24.062,,,,
68,06/23/24 09:35:30 AM,25.125,,,,
69,06/23/24 11:35:30 AM,28.655,,,,
70,06/23/24 01:35:30 PM,30.457,,,,
71,06/23/24 03:35:30 PM,30.457,,,,
72,06/23/24 05:35:30 PM,29.152,,,,
73,06/23/24 07:35:30 PM,27.272,,,,
74,06/23/24 09:35:30 PM,26.195,,,,
75,06/23/24 11:35:30 PM,25.708,,,,
76,06/24/24 01:35:30 AM,25.513,,,,
77,06/24/24 03:35:30 AM,25.319,,,,
78,06/24/24 05:35:30 AM,25.222,,,,
79,06/24/24 07:35:30 AM,25.319,,,,
80,06/24/24 09:35:30 AM,26.488,,,,
81,06/24/24 11:35:30 AM,27.567,,,,
82,06/24/24 01:35:30 PM,28.953,,,,
83,06/24/24 03:35:30 PM,29.752,,,,
84,06/24/24 05:35:30 PM,24.931,,,,
85,06/24/24 07:35:30 PM,25.610,,,,
86,06/24/24 09:35:30 PM,24.931,,,,
87,06/24/24 11:35:30 PM,24.641,,,,
88,06/25/24 01:35:30 AM,24.158,,,,
89,06/25/24 03:35:30 AM,23.773,,,,
90,06/25/24 05:35:30 AM,23.581,,,,
91,06/25/24 07:35:30 AM,23.869,,,,
92,06/25/24 09:35:30 AM,25.028,,,,
93,06/25/24 11:35:30 AM,28.555,,,,
94,06/25/24 01:35:30 PM,29.953,,,,
95,06/25/24 03:35:30 PM,30.760,,,,
96,06/25/24 05:35:30 PM,28.953,,,,
97,06/25/24 07:35:30 PM,27.272,,,,
98,06/25/24 09:35:30 PM,26.097,,,,
99,06/25/24 11:35:30 PM,24.931,,,,
100,06/26/24 01:35:30 AM,24.158,,,,
101,06/26/24 03:35:30 AM,23.581,,,,
102,06/26/24 05:35:30 AM,23.196,,,,
103,06/26/24 07:35:30 AM,23.677,,,,
104,06/26/24 09:35:30 AM,25.416,,,,
105,06/26/24 11:35:30 AM,28.953,,,,
106,06/26/24 01:35:30 PM,30.760,,,,
107,06/26/24 03:35:30 PM,31.166,,,,
108,06/26/24 05:35:30 PM,29.252,,,,
109,06/26/24 07:35:30 PM,27.567,,,,
110,06/26/24 09:35:30 PM,26.488,,,,
111,06/26/24 11:35:30 PM,25.902,,,,
112,06/27/24 01:35:30 AM,25.610,,,,
113,06/27/24 03:35:30 AM,25.513,,,,
114,06/27/24 05:35:30 AM,25.513,,,,
115,06/27/24 07:35:30 AM,25.708,,,,
116,06/27/24 09:35:30 AM,26.879,,,,
117,06/27/24 11:35:30 AM,29.252,,,,
118,06/27/24 01:35:30 PM,29.953,,,,
119,06/27/24 03:35:30 PM,30.558,,,,
120,06/27/24 05:35:30 PM,26.097,,,,
121,06/27/24 07:35:30 PM,25.222,,,,
122,06/27/24 09:35:30 PM,24.931,,,,
123,06/27/24 11:35:30 PM,24.641,,,,
124,06/28/24 01:35:30 AM,24.448,,,,
125,06/28/24 03:35:30 AM,24.158,,,,
126,06/28/24 05:35:30 AM,24.062,,,,
127,06/28/24 07:35:30 AM,24.158,,,,
128,06/28/24 09:35:30 AM,25.222,,,,
129,06/28/24 11:35:30 AM,28.456,,,,
130,06/28/24 01:35:30 PM,29.352,,,,
131,06/28/24 03:35:30 PM,28.159,,,,
132,06/28/24 05:35:30 PM,28.357,,,,
133,06/28/24 07:35:30 PM,27.173,,,,
134,06/28/24 09:35:30 PM,25.610,,,,
135,06/28/24 11:35:30 PM,24.835,,,,
136,06/29/24 01:35:30 AM,24.448,,,,
137,06/29/24 03:35:30 AM,23.966,,,,
138,06/29/24 05:35:30 AM,23.677,,,,
139,06/29/24 07:35:30 AM,24.062,,,,
140,06/29/24 09:35:30 AM,25.610,,,,
141,06/29/24 11:35:30 AM,28.754,,,,
142,06/29/24 01:35:30 PM,31.166,,,,
143,06/29/24 03:35:30 PM,31.676,,,,
144,06/29/24 05:35:30 PM,30.054,,,,
145,06/29/24 07:35:30 PM,28.258,,,,
146,06/29/24 09:35:30 PM,26.781,,,,
147,06/29/24 11:35:30 PM,26.195,,,,
148,06/30/24 01:35:30 AM,25.708,,,,
149,06/30/24 03:35:30 AM,25.416,,,,
150,06/30/24 05:35:30 AM,24.931,,,,
151,06/30/24 07:35:30 AM,24.931,,,,
152,06/30/24 09:35:30 AM,26.097,,,,
153,06/30/24 11:35:30 AM,29.552,,,,
154,06/30/24 01:35:30 PM,30.457,,,,
155,06/30/24 03:35:30 PM,31.166,,,,
156,06/30/24 05:35:30 PM,29.152,,,,
157,06/30/24 07:35:30 PM,27.665,,,,
158,06/30/24 09:35:30 PM,26.977,,,,
159,06/30/24 11:35:30 PM,26.683,,,,
160,07/01/24 01:35:30 AM,26.390,,,,
161,07/01/24 03:35:30 AM,26.000,,,,
162,07/01/24 05:35:30 AM,25.028,,,,
163,07/01/24 07:35:30 AM,25.222,,,,
164,07/01/24 09:35:30 AM,25.610,,,,
165,07/01/24 11:35:30 AM,26.195,,,,
166,07/01/24 01:35:30 PM,26.977,,,,
167,07/01/24 03:35:30 PM,26.879,,,,
168,07/01/24 05:35:30 PM,26.390,,,,
169,07/01/24 07:35:30 PM,25.610,,,,
170,07/01/24 09:35:30 PM,24.641,,,,
171,07/01/24 11:35:30 PM,23.869,,,,
172,07/02/24 01:35:30 AM,23.484,,,,
173,07/02/24 03:35:30 AM,23.196,,,,
174,07/02/24 05:35:30 AM,22.333,,,,
175,07/02/24 07:35:30 AM,22.238,,,,
176,07/02/24 09:35:30 AM,23.100,,,,
177,07/02/24 11:35:30 AM,26.292,,,,
178,07/02/24 01:35:30 PM,28.655,,,,
179,07/02/24 03:35:30 PM,29.452,,,,
180,07/02/24 05:35:30 PM,28.159,,,,
181,07/02/24 07:35:30 PM,26.195,,,,
182,07/02/24 09:35:30 PM,24.255,,,,
183,07/02/24 11:35:30 PM,23.581,,,,
184,07/03/24 01:35:30 AM,22.908,,,,
185,07/03/24 03:35:30 AM,22.525,,,,
186,07/03/24 05:35:30 AM,22.525,,,,
187,07/03/24 07:35:30 AM,22.621,,,,
188,07/03/24 09:35:30 AM,23.677,,,,
189,07/03/24 11:35:30 AM,26.879,,,,
190,07/03/24 01:35:30 PM,29.152,,,,
191,07/03/24 03:35:30 PM,30.255,,,,
192,07/03/24 05:35:30 PM,28.456,,,,
193,07/03/24 07:35:30 PM,26.390,,,,
194,07/03/24 09:35:30 PM,24.641,,,,
195,07/03/24 11:35:30 PM,23.869,,,,
196,07/04/24 01:35:30 AM,23.388,,,,
197,07/04/24 03:35:30 AM,22.812,,,,
198,07/04/24 05:35:30 AM,22.333,,,,
199,07/04/24 07:35:30 AM,22.525,,,,
200,07/04/24 09:35:30 AM,23.773,,,,
201,07/04/24 11:35:30 AM,27.272,,,,
202,07/04/24 01:35:30 PM,29.452,,,,
203,07/04/24 03:35:30 PM,30.255,,,,
204,07/04/24 05:35:30 PM,28.555,,,,
205,07/04/24 07:35:30 PM,26.683,,,,
206,07/04/24 09:35:30 PM,25.319,,,,
207,07/04/24 11:35:30 PM,24.835,,,,
208,07/05/24 01:35:30 AM,24.545,,,,
209,07/05/24 03:35:30 AM,24.545,,,,
210,07/05/24 05:35:30 AM,24.351,,,,
211,07/05/24 07:35:30 AM,25.028,,,,
212,07/05/24 09:35:30 AM,26.000,,,,
213,07/05/24 11:35:30 AM,29.152,,,,
214,07/05/24 01:35:30 PM,29.752,,,,
215,07/05/24 03:35:30 PM,30.558,,,,
216,07/05/24 05:35:30 PM,29.053,,,,
217,07/05/24 07:35:30 PM,27.665,,,,
218,07/05/24 09:35:30 PM,26.488,,,,
219,07/05/24 11:35:30 PM,26.097,,,,
220,07/06/24 01:35:30 AM,25.805,,,,
221,07/06/24 03:35:30 AM,25.708,,,,
222,07/06/24 05:35:30 AM,25.610,,,,
223,07/06/24 07:35:30 AM,25.805,,,,
224,07/06/24 09:35:30 AM,26.488,,,,
225,07/06/24 11:35:30 AM,28.159,,,,
226,07/06/24 01:35:30 PM,29.252,,,,
227,07/06/24 03:35:30 PM,29.652,,,,
228,07/06/24 05:35:30 PM,28.456,,,,
229,07/06/24 07:35:30 PM,27.468,,,,
230,07/06/24 09:35:30 PM,26.488,,,,
231,07/06/24 11:35:30 PM,26.000,,,,
232,07/07/24 01:35:30 AM,25.513,,,,
233,07/07/24 03:35:30 AM,25.125,,,,
234,07/07/24 05:35:30 AM,24.738,,,,
235,07/07/24 07:35:30 AM,24.931,,,,
236,07/07/24 09:35:30 AM,26.488,,,,
237,07/07/24 11:35:30 AM,28.555,,,,
238,07/07/24 01:35:30 PM,30.760,,,,
239,07/07/24 03:35:30 PM,30.862,,,,
240,07/07/24 05:35:30 PM,29.252,,,,
241,07/07/24 07:35:30 PM,27.961,,,,
242,07/07/24 09:35:30 PM,26.977,,,,
243,07/07/24 11:35:30 PM,26.488,,,,
244,07/08/24 01:35:30 AM,26.195,,,,
245,07/08/24 03:35:30 AM,25.708,,,,
246,07/08/24 05:35:30 AM,24.931,,,,
247,07/08/24 07:35:30 AM,25.416,,,,
248,07/08/24 09:35:30 AM,26.683,,,,
249,07/08/24 11:35:30 AM,28.456,,,,
250,07/08/24 01:35:30 PM,30.255,,,,
251,07/08/24 03:35:30 PM,31.064,,,,
252,07/08/24 05:35:30 PM,28.555,,,,
253,07/08/24 07:35:30 PM,27.567,,,,
254,07/08/24 09:35:30 PM,26.683,,,,
255,07/08/24 11:35:30 PM,26.195,,,,
256,07/09/24 01:35:30 AM,25.805,,,,
257,07/09/24 03:35:30 AM,25.319,,,,
258,07/09/24 05:35:30 AM,25.319,,,,
259,07/09/24 07:35:30 AM,25.125,,,,
260,07/09/24 09:35:30 AM,26.390,,,,
261,07/09/24 11:35:30 AM,29.053,,,,
262,07/09/24 01:35:30 PM,30.862,,,,
263,07/09/24 03:35:30 PM,31.574,,,,
264,07/09/24 05:35:30 PM,30.054,,,,
265,07/09/24 07:35:30 PM,28.357,,,,
266,07/09/24 09:35:30 PM,27.272,,,,
267,07/09/24 11:35:30 PM,26.683,,,,
268,07/10/24 01:35:30 AM,26.292,,,,
269,07/10/24 03:35:30 AM,25.805,,,,
270,07/10/24 05:35:30 AM,25.708,,,,
271,07/10/24 07:35:30 AM,26.195,,,,
272,07/10/24 09:35:30 AM,26.977,,,,
273,07/10/24 11:35:30 AM,29.053,,,,
274,07/10/24 01:35:30 PM,31.064,,,,
275,07/10/24 03:35:30 PM,31.064,,,,
276,07/10/24 05:35:30 PM,30.255,,,,
277,07/10/24 07:35:30 PM,28.555,,,,
278,07/10/24 09:35:30 PM,27.370,,,,
279,07/10/24 11:35:30 PM,26.879,,,,
280,07/11/24 01:35:30 AM,26.585,,,,
281,07/11/24 03:35:30 AM,26.488,,,,
282,07/11/24 05:35:30 AM,26.390,,,,
283,07/11/24 07:35:30 AM,26.585,,,,
284,07/11/24 09:35:30 AM,27.370,,,,
285,07/11/24 11:35:30 AM,29.752,,,,
286,07/11/24 01:35:30 PM,30.963,,,,
287,07/11/24 03:35:30 PM,31.880,,,,
288,07/11/24 05:35:30 PM,30.558,,,,
289,07/11/24 07:35:30 PM,29.352,,,,
290,07/11/24 09:35:30 PM,27.862,,,,
291,07/11/24 11:35:30 PM,26.683,,,,
292,07/12/24 01:35:30 AM,26.683,,,,
293,07/12/24 03:35:30 AM,26.585,,,,
294,07/12/24 05:35:30 AM,26.390,,,,
295,07/12/24 07:35:30 AM,26.585,,,,
296,07/12/24 09:35:30 AM,27.370,,,,
297,07/12/24 11:35:30 AM,29.252,,,,
298,07/12/24 01:35:30 PM,31.268,,,,
299,07/12/24 03:35:30 PM,31.166,,,,
300,07/12/24 05:35:30 PM,29.452,,,,
301,07/12/24 07:35:30 PM,26.292,,,,
302,07/12/24 09:35:30 PM,26.390,,,,
303,07/12/24 11:35:30 PM,26.292,,,,
304,07/13/24 01:35:30 AM,26.097,,,,
305,07/13/24 03:35:30 AM,26.000,,,,
306,07/13/24 05:35:30 AM,25.805,,,,
307,07/13/24 07:35:30 AM,25.416,,,,
308,07/13/24 09:35:30 AM,25.902,,,,
309,07/13/24 11:35:30 AM,28.060,,,,
310,07/13/24 01:35:30 PM,30.659,,,,
311,07/13/24 03:35:30 PM,30.760,,,,
312,07/13/24 05:35:30 PM,29.552,,,,
313,07/13/24 07:35:30 PM,28.060,,,,
314,07/13/24 09:35:30 PM,27.173,,,,
315,07/13/24 11:35:30 PM,26.585,,,,
316,07/14/24 01:35:30 AM,26.195,,,,
317,07/14/24 03:35:30 AM,25.902,,,,
318,07/14/24 05:35:30 AM,25.610,,,,
319,07/14/24 07:35:30 AM,25.513,,,,
320,07/14/24 09:35:30 AM,26.195,,,,
321,07/14/24 11:35:30 AM,29.352,,,,
322,07/14/24 01:35:30 PM,31.166,,,,
323,07/14/24 03:35:30 PM,32.086,,,,
324,07/14/24 05:35:30 PM,30.862,,,,
325,07/14/24 07:35:30 PM,29.152,,,,
326,07/14/24 09:35:30 PM,27.862,,,,
327,07/14/24 11:35:30 PM,27.370,,,,
328,07/15/24 01:35:30 AM,27.075,,,,
329,07/15/24 03:35:30 AM,26.781,,,,
330,07/15/24 05:35:30 AM,26.488,,,,
331,07/15/24 07:35:30 AM,26.488,,,,
332,07/15/24 09:35:30 AM,27.764,,,,
333,07/15/24 11:35:30 AM,29.552,,,,
334,07/15/24 01:35:30 PM,32.086,,,,
335,07/15/24 03:35:30 PM,32.911,,,,
336,07/15/24 05:35:30 PM,31.472,,,,
337,07/15/24 07:35:30 PM,29.352,,,,
338,07/15/24 09:35:30 PM,28.357,,,,
339,07/15/24 11:35:30 PM,27.862,,,,
340,07/16/24 01:35:30 AM,27.567,,,,
341,07/16/24 03:35:30 AM,27.272,,,,
342,07/16/24 05:35:30 AM,27.075,,,,
343,07/16/24 07:35:30 AM,26.879,,,,
344,07/16/24 09:35:30 AM,27.370,,,,
345,07/16/24 11:35:30 AM,29.752,,,,
346,07/16/24 01:35:30 PM,32.086,,,,
347,07/16/24 03:35:30 PM,32.600,,,,
348,07/16/24 05:35:30 PM,31.064,,,,
349,07/16/24 07:35:30 PM,29.352,,,,
350,07/16/24 09:35:30 PM,28.258,,,,
351,07/16/24 11:35:30 PM,27.665,,,,
352,07/17/24 01:35:30 AM,27.272,,,,
353,07/17/24 03:35:30 AM,26.977,,,,
354,07/17/24 05:35:30 AM,26.781,,,,
355,07/17/24 07:35:30 AM,26.879,,,,
356,07/17/24 09:35:30 AM,27.961,,,,
357,07/17/24 11:35:30 AM,26.488,,,,
358,07/17/24 01:35:30 PM,27.468,,,,
359,07/17/24 03:35:30 PM,28.655,,,,
360,07/17/24 05:35:30 PM,28.655,,,,
361,07/17/24 07:35:30 PM,27.665,,,,
362,07/17/24 09:35:30 PM,27.075,,,,
363,07/17/24 11:35:30 PM,26.977,,,,
364,07/18/24 01:35:30 AM,26.585,,,,
365,07/18/24 03:35:30 AM,26.097,,,,
366,07/18/24 05:35:30 AM,25.805,,,,
367,07/18/24 07:35:30 AM,26.097,,,,
368,07/18/24 09:35:30 AM,26.879,,,,
369,07/18/24 11:35:30 AM,29.252,,,,
370,07/18/24 01:35:30 PM,29.452,,,,
371,07/18/24 03:35:30 PM,28.953,,,,
372,07/18/24 05:35:30 PM,29.252,,,,
373,07/18/24 07:35:30 PM,27.961,,,,
374,07/18/24 09:35:30 PM,27.370,,,,
375,07/18/24 11:35:30 PM,26.390,,,,
376,07/19/24 01:35:30 AM,24.641,,,,
377,07/19/24 03:35:30 AM,25.125,,,,
378,07/19/24 05:35:30 AM,24.931,,,,
379,07/19/24 07:35:30 AM,24.931,,,,
380,07/19/24 09:35:30 AM,26.000,,,,
381,07/19/24 11:35:30 AM,27.567,,,,
382,07/19/24 01:35:30 PM,28.953,,,,
383,07/19/24 03:35:30 PM,30.054,,,,
384,07/19/24 05:35:30 PM,28.655,,,,
385,07/19/24 07:35:30 PM,27.961,,,,
386,07/19/24 09:35:30 PM,26.977,,,,
387,07/19/24 11:35:30 PM,26.000,,,,
388,07/20/24 01:35:30 AM,25.708,,,,
389,07/20/24 03:35:30 AM,25.125,,,,
390,07/20/24 05:35:30 AM,25.125,,,,
391,07/20/24 07:35:30 AM,25.125,,,,
392,07/20/24 09:35:30 AM,26.000,,,,
393,07/20/24 11:35:30 AM,28.754,,,,
394,07/20/24 01:35:30 PM,30.862,,,,
395,07/20/24 03:35:30 PM,31.370,,,,
396,07/20/24 05:35:30 PM,30.054,,,,
397,07/20/24 07:35:30 PM,28.555,,,,
398,07/20/24 09:35:30 PM,27.468,,,,
399,07/20/24 11:35:30 PM,27.173,,,,
400,07/21/24 01:35:30 AM,26.977,,,,
401,07/21/24 03:35:30 AM,26.195,,,,
402,07/21/24 05:35:30 AM,25.610,,,,
403,07/21/24 07:35:30 AM,25.610,,,,
404,07/21/24 09:35:30 AM,26.390,,,,
405,07/21/24 11:35:30 AM,27.370,,,,
406,07/21/24 01:35:30 PM,29.152,,,,
407,07/21/24 03:35:30 PM,30.659,,,,
408,07/21/24 05:35:30 PM,29.452,,,,
409,07/21/24 07:35:30 PM,28.159,,,,
410,07/21/24 09:35:30 PM,26.977,,,,
411,07/21/24 11:35:30 PM,26.390,,,,
412,07/22/24 01:35:30 AM,26.097,,,,
413,07/22/24 03:35:30 AM,25.708,,,,
414,07/22/24 05:35:30 AM,25.513,,,,
415,07/22/24 07:35:30 AM,25.125,,,,
416,07/22/24 09:35:30 AM,25.319,,,,
417,07/22/24 11:35:30 AM,26.390,,,,
418,07/22/24 01:35:30 PM,28.258,,,,
419,07/22/24 03:35:30 PM,29.053,,,,
420,07/22/24 05:35:30 PM,28.655,,,,
421,07/22/24 07:35:30 PM,27.567,,,,
422,07/22/24 09:35:30 PM,26.683,,,,
423,07/22/24 11:35:30 PM,26.390,,,,
424,07/23/24 01:35:30 AM,26.195,,,,
425,07/23/24 03:35:30 AM,26.097,,,,
426,07/23/24 05:35:30 AM,25.805,,,,
427,07/23/24 07:35:30 AM,25.805,,,,
428,07/23/24 09:35:30 AM,27.075,,,,
429,07/23/24 11:35:30 AM,29.752,,,,
430,07/23/24 01:35:30 PM,29.652,,,,
431,07/23/24 03:35:30 PM,30.558,,,,
432,07/23/24 05:35:30 PM,30.054,,,,
433,07/23/24 07:35:30 PM,28.456,,,,
434,07/23/24 09:35:30 PM,27.468,,,,
435,07/23/24 11:35:30 PM,27.075,,,,
436,07/24/24 01:35:30 AM,26.879,,,,
437,07/24/24 03:35:30 AM,26.781,,,,
438,07/24/24 05:35:30 AM,26.683,,,,
439,07/24/24 07:35:30 AM,26.195,,,,
440,07/24/24 09:35:30 AM,26.585,,,,
441,07/24/24 11:35:30 AM,29.053,,,,
442,07/24/24 01:35:30 PM,31.472,,,,
443,07/24/24 03:35:30 PM,31.472,,,,
444,07/24/24 05:35:30 PM,29.352,,,,
445,07/24/24 07:35:30 PM,28.555,,,,
446,07/24/24 09:35:30 PM,27.665,,,,
447,07/24/24 11:35:30 PM,27.272,,,,
448,07/25/24 01:35:30 AM,27.075,,,,
449,07/25/24 03:35:30 AM,26.781,,,,
450,07/25/24 05:35:30 AM,26.781,,,,
451,07/25/24 07:35:30 AM,26.977,,,,
452,07/25/24 09:35:30 AM,26.683,,,,
453,07/25/24 11:35:30 AM,28.060,,,,
454,07/25/24 01:35:30 PM,30.054,,,,
455,07/25/24 03:35:30 PM,30.255,,,,
456,07/25/24 05:35:30 PM,29.452,,,,
457,07/25/24 07:35:30 PM,28.357,,,,
458,07/25/24 09:35:30 PM,27.468,,,,
459,07/25/24 11:35:30 PM,26.488,,,,
460,07/26/24 01:35:30 AM,26.000,,,,
461,07/26/24 03:35:30 AM,25.902,,,,
462,07/26/24 05:35:30 AM,25.805,,,,
463,07/26/24 07:35:30 AM,25.708,,,,
464,07/26/24 09:35:30 AM,25.902,,,,
465,07/26/24 11:35:30 AM,26.781,,,,
466,07/26/24 01:35:30 PM,28.060,,,,
467,07/26/24 03:35:30 PM,25.902,,,,
468,07/26/24 05:35:30 PM,25.708,,,,
469,07/26/24 07:35:30 PM,25.610,,,,
470,07/26/24 09:35:30 PM,25.416,,,,
471,07/26/24 11:35:30 PM,25.319,,,,
472,07/27/24 01:35:30 AM,25.222,,,,
473,07/27/24 03:35:30 AM,25.125,,,,
474,07/27/24 05:35:30 AM,25.028,,,,
475,07/27/24 07:35:30 AM,24.931,,,,
476,07/27/24 09:35:30 AM,25.319,,,,
477,07/27/24 11:35:30 AM,26.781,,,,
478,07/27/24 01:35:30 PM,28.953,,,,
479,07/27/24 03:35:30 PM,29.552,,,,
480,07/27/24 05:35:30 PM,28.159,,,,
481,07/27/24 07:35:30 PM,26.781,,,,
482,07/27/24 09:35:30 PM,25.222,,,,
483,07/27/24 11:35:30 PM,24.255,,,,
484,07/28/24 01:35:30 AM,23.773,,,,
485,07/28/24 03:35:30 AM,23.196,,,,
486,07/28/24 05:35:30 AM,22.717,,,,
487,07/28/24 07:35:30 AM,22.717,,,,
488,07/28/24 09:35:30 AM,23.484,,,,
489,07/28/24 11:35:30 AM,26.585,,,,
490,07/28/24 01:35:30 PM,28.258,,,,
491,07/28/24 03:35:30 PM,28.555,,,,
492,07/28/24 05:35:30 PM,27.468,,,,
493,07/28/24 07:35:30 PM,26.390,,,,
494,07/28/24 09:35:30 PM,24.835,,,,
495,07/28/24 11:35:30 PM,23.773,,,,
496,07/29/24 01:35:30 AM,23.196,,,,
497,07/29/24 03:35:30 AM,22.621,,,,
498,07/29/24 05:35:30 AM,22.238,,,,
499,07/29/24 07:35:30 AM,22.142,,,,
500,07/29/24 09:35:30 AM,23.484,,,,
501,07/29/24 11:35:30 AM,26.585,,,,
502,07/29/24 01:35:30 PM,27.468,,,,
503,07/29/24 03:35:30 PM,28.060,,,,
504,07/29/24 05:35:30 PM,27.075,,,,
505,07/29/24 07:35:30 PM,26.195,,,,
506,07/29/24 09:35:30 PM,24.931,,,,
507,07/29/24 11:35:30 PM,24.641,,,,
508,07/30/24 01:35:30 AM,24.545,,,,
509,07/30/24 03:35:30 AM,24.351,,,,
510,07/30/24 05:35:30 AM,24.255,,,,
511,07/30/24 07:35:30 AM,24.351,,,,
512,07/30/24 09:35:30 AM,25.513,,,,
513,07/30/24 11:35:30 AM,27.567,,,,
514,07/30/24 01:35:30 PM,29.953,,,,
515,07/30/24 03:35:30 PM,30.356,,,,
516,07/30/24 05:35:30 PM,28.853,,,,
517,07/30/24 07:35:30 PM,27.567,,,,
518,07/30/24 09:35:30 PM,26.585,,,,
519,07/30/24 11:35:30 PM,26.097,,,,
520,07/31/24 01:35:30 AM,25.902,,,,
521,07/31/24 03:35:30 AM,25.902,,,,
522,07/31/24 05:35:30 AM,25.708,,,,
523,07/31/24 07:35:30 AM,25.708,,,,
524,07/31/24 09:35:30 AM,26.292,,,,
525,07/31/24 11:35:30 AM,28.953,,,,
526,07/31/24 01:35:30 PM,30.760,,,,
527,07/31/24 03:35:30 PM,31.064,,,,
528,07/31/24 05:35:30 PM,29.252,,,,
529,07/31/24 07:35:30 PM,28.060,,,,
530,07/31/24 09:35:30 PM,26.977,,,,
531,07/31/24 11:35:30 PM,26.488,,,,
532,08/01/24 01:35:30 AM,26.000,,,,
533,08/01/24 03:35:30 AM,25.513,,,,
534,08/01/24 05:35:30 AM,25.028,,,,
535,08/01/24 07:35:30 AM,24.931,,,,
536,08/01/24 09:35:30 AM,26.195,,,,
537,08/01/24 11:35:30 AM,29.552,,,,
538,08/01/24 01:35:30 PM,31.370,,,,
539,08/01/24 03:35:30 PM,31.676,,,,
540,08/01/24 05:35:30 PM,29.853,,,,
541,08/01/24 07:35:30 PM,28.555,,,,
542,08/01/24 09:35:30 PM,27.468,,,,
543,08/01/24 11:35:30 PM,27.075,,,,
544,08/02/24 01:35:30 AM,26.781,,,,
545,08/02/24 03:35:30 AM,26.683,,,,
