"Plot Title: 20376542"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376542, SEN S/N: 20376542)","Coupler Detached (LGR S/N: 20376542)","Coupler Attached (LGR S/N: 20376542)","Host Connected (LGR S/N: 20376542)","Stopped (LGR S/N: 20376542)","End Of File (LGR S/N: 20376542)"
1,06/17/24 09:38:07 PM,26.000,,,,,
2,06/17/24 09:38:21 PM,,Logged,,,,
3,06/17/24 11:38:07 PM,21.282,,,,,
4,06/18/24 01:38:07 AM,21.187,,,,,
5,06/18/24 03:38:07 AM,21.187,,,,,
6,06/18/24 05:38:07 AM,21.473,,,,,
7,06/18/24 07:38:07 AM,20.805,,,,,
8,06/18/24 08:49:03 AM,,,Logged,,,
9,06/18/24 08:49:40 AM,,Logged,,,,
10,06/18/24 08:49:43 AM,,,Logged,,,
11,06/18/24 08:49:44 AM,,Logged,,,,
12,06/18/24 09:38:07 AM,24.931,,,,,
13,06/18/24 11:38:07 AM,32.497,,,,,
14,06/18/24 01:38:07 PM,29.053,,,,,
15,06/18/24 03:38:07 PM,29.652,,,,,
16,06/18/24 05:38:07 PM,27.468,,,,,
17,06/18/24 07:38:07 PM,25.513,,,,,
18,06/18/24 09:38:07 PM,23.966,,,,,
19,06/18/24 11:38:07 PM,22.812,,,,,
20,06/19/24 01:38:07 AM,22.429,,,,,
21,06/19/24 03:38:07 AM,22.621,,,,,
22,06/19/24 05:38:07 AM,21.855,,,,,
23,06/19/24 07:38:07 AM,21.855,,,,,
24,06/19/24 09:38:07 AM,23.100,,,,,
25,06/19/24 11:38:07 AM,27.665,,,,,
26,06/19/24 01:38:07 PM,28.258,,,,,
27,06/19/24 03:38:07 PM,29.053,,,,,
28,06/19/24 05:38:07 PM,27.370,,,,,
29,06/19/24 07:38:07 PM,25.805,,,,,
30,06/19/24 09:38:07 PM,24.448,,,,,
31,06/19/24 11:38:07 PM,23.388,,,,,
32,06/20/24 01:38:07 AM,22.525,,,,,
33,06/20/24 03:38:07 AM,21.855,,,,,
34,06/20/24 05:38:07 AM,21.282,,,,,
35,06/20/24 07:38:07 AM,21.378,,,,,
36,06/20/24 09:38:07 AM,23.100,,,,,
37,06/20/24 11:38:07 AM,26.977,,,,,
38,06/20/24 01:38:07 PM,29.352,,,,,
39,06/20/24 03:38:07 PM,29.853,,,,,
