"Plot Title: 20376523"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376523, SEN S/N: 20376523)","Coupler Detached (LGR S/N: 20376523)","Coupler Attached (LGR S/N: 20376523)","Stopped (LGR S/N: 20376523)","End Of File (LGR S/N: 20376523)"
1,06/21/24 07:28:07 AM,27.272,,,,
2,06/21/24 07:28:55 AM,,Logged,,,
3,06/21/24 09:28:07 AM,23.196,,,,
4,06/21/24 11:28:07 AM,23.388,,,,
5,06/21/24 01:28:07 PM,23.966,,,,
6,06/21/24 03:28:07 PM,24.351,,,,
7,06/21/24 05:28:07 PM,24.931,,,,
8,06/21/24 07:28:07 PM,24.835,,,,
9,06/21/24 09:28:07 PM,24.738,,,,
10,06/21/24 11:28:07 PM,24.545,,,,
11,06/22/24 01:28:07 AM,24.255,,,,
12,06/22/24 03:28:07 AM,24.062,,,,
13,06/22/24 05:28:07 AM,23.869,,,,
14,06/22/24 07:28:07 AM,23.677,,,,
15,06/22/24 09:28:07 AM,23.677,,,,
16,06/22/24 11:28:07 AM,23.966,,,,
17,06/22/24 01:28:07 PM,24.835,,,,
18,06/22/24 03:28:07 PM,25.805,,,,
19,06/22/24 05:28:07 PM,26.097,,,,
20,06/22/24 07:28:07 PM,26.097,,,,
21,06/22/24 09:28:07 PM,25.902,,,,
22,06/22/24 11:28:07 PM,25.513,,,,
23,06/23/24 01:28:07 AM,25.222,,,,
24,06/23/24 03:28:07 AM,24.931,,,,
25,06/23/24 05:28:07 AM,24.641,,,,
26,06/23/24 07:28:07 AM,24.448,,,,
27,06/23/24 09:28:07 AM,24.351,,,,
28,06/23/24 11:28:07 AM,24.738,,,,
29,06/23/24 01:28:07 PM,25.416,,,,
30,06/23/24 03:28:07 PM,26.097,,,,
31,06/23/24 05:28:07 PM,26.390,,,,
32,06/23/24 07:28:07 PM,26.292,,,,
33,06/23/24 09:28:07 PM,26.097,,,,
34,06/23/24 11:28:07 PM,25.902,,,,
35,06/24/24 01:28:07 AM,25.708,,,,
36,06/24/24 03:28:07 AM,25.513,,,,
37,06/24/24 05:28:07 AM,25.319,,,,
38,06/24/24 07:28:07 AM,25.222,,,,
39,06/24/24 09:28:07 AM,25.222,,,,
40,06/24/24 11:28:07 AM,25.416,,,,
41,06/24/24 01:28:07 PM,25.902,,,,
42,06/24/24 03:28:07 PM,26.488,,,,
43,06/24/24 05:28:07 PM,26.781,,,,
44,06/24/24 07:28:07 PM,26.683,,,,
45,06/24/24 09:28:07 PM,26.488,,,,
46,06/24/24 11:28:07 PM,26.292,,,,
47,06/25/24 01:28:07 AM,26.000,,,,
48,06/25/24 03:28:07 AM,25.708,,,,
49,06/25/24 05:28:07 AM,25.513,,,,
50,06/25/24 07:28:07 AM,25.222,,,,
51,06/25/24 09:28:07 AM,25.028,,,,
52,06/25/24 11:28:07 AM,25.222,,,,
53,06/25/24 01:28:07 PM,25.708,,,,
54,06/25/24 03:28:07 PM,26.390,,,,
55,06/25/24 05:28:07 PM,26.390,,,,
56,06/25/24 07:28:07 PM,26.390,,,,
57,06/25/24 09:28:07 PM,26.195,,,,
58,06/25/24 11:28:07 PM,25.902,,,,
59,06/26/24 01:28:07 AM,25.610,,,,
60,06/26/24 03:28:07 AM,25.319,,,,
61,06/26/24 05:28:07 AM,25.125,,,,
62,06/26/24 07:28:07 AM,24.931,,,,
63,06/26/24 09:28:07 AM,24.835,,,,
64,06/26/24 11:28:07 AM,25.222,,,,
65,06/26/24 01:28:07 PM,25.902,,,,
66,06/26/24 03:28:07 PM,26.781,,,,
67,06/26/24 05:28:07 PM,27.075,,,,
68,06/26/24 07:28:07 PM,26.977,,,,
69,06/26/24 09:28:07 PM,26.781,,,,
70,06/26/24 11:28:07 PM,26.488,,,,
71,06/27/24 01:28:07 AM,26.292,,,,
72,06/27/24 03:28:07 AM,26.097,,,,
73,06/27/24 05:28:07 AM,25.902,,,,
74,06/27/24 07:28:07 AM,25.708,,,,
75,06/27/24 09:28:07 AM,25.708,,,,
76,06/27/24 11:28:07 AM,25.902,,,,
77,06/27/24 01:28:07 PM,26.292,,,,
78,06/27/24 03:28:07 PM,26.781,,,,
79,06/27/24 05:28:07 PM,26.781,,,,
80,06/27/24 07:28:07 PM,26.488,,,,
81,06/27/24 09:28:07 PM,26.292,,,,
82,06/27/24 11:28:07 PM,26.000,,,,
83,06/28/24 01:28:07 AM,25.805,,,,
84,06/28/24 03:28:07 AM,25.610,,,,
85,06/28/24 05:28:07 AM,25.416,,,,
86,06/28/24 07:28:07 AM,25.222,,,,
87,06/28/24 09:28:07 AM,25.125,,,,
88,06/28/24 11:28:07 AM,25.319,,,,
89,06/28/24 01:28:07 PM,25.902,,,,
90,06/28/24 03:28:07 PM,26.195,,,,
91,06/28/24 05:28:07 PM,26.292,,,,
92,06/28/24 07:28:07 PM,26.390,,,,
93,06/28/24 09:28:07 PM,26.292,,,,
94,06/28/24 11:28:07 PM,26.097,,,,
95,06/29/24 01:28:07 AM,25.805,,,,
96,06/29/24 03:28:07 AM,25.513,,,,
97,06/29/24 05:28:07 AM,25.319,,,,
98,06/29/24 07:28:07 AM,25.125,,,,
99,06/29/24 09:28:07 AM,25.028,,,,
100,06/29/24 11:28:07 AM,25.319,,,,
101,06/29/24 01:28:07 PM,26.000,,,,
102,06/29/24 03:28:07 PM,26.879,,,,
103,06/29/24 05:28:07 PM,27.173,,,,
104,06/29/24 07:28:07 PM,27.173,,,,
105,06/29/24 09:28:07 PM,26.879,,,,
106,06/29/24 11:28:07 PM,26.585,,,,
107,06/30/24 01:28:07 AM,26.292,,,,
108,06/30/24 03:28:07 AM,26.000,,,,
109,06/30/24 05:28:07 AM,25.708,,,,
110,06/30/24 07:28:07 AM,25.513,,,,
111,06/30/24 09:28:07 AM,25.416,,,,
112,06/30/24 11:28:07 AM,25.708,,,,
113,06/30/24 01:28:07 PM,26.488,,,,
114,06/30/24 03:28:07 PM,27.272,,,,
115,06/30/24 05:28:07 PM,27.468,,,,
116,06/30/24 07:28:07 PM,27.370,,,,
117,06/30/24 09:28:07 PM,27.173,,,,
118,06/30/24 11:28:07 PM,26.977,,,,
119,07/01/24 01:28:07 AM,26.781,,,,
120,07/01/24 03:28:07 AM,26.585,,,,
121,07/01/24 05:28:07 AM,26.390,,,,
122,07/01/24 07:28:07 AM,26.195,,,,
123,07/01/24 09:28:07 AM,26.097,,,,
124,07/01/24 11:28:07 AM,26.292,,,,
125,07/01/24 01:28:07 PM,26.488,,,,
126,07/01/24 03:28:07 PM,26.488,,,,
127,07/01/24 05:28:07 PM,26.488,,,,
128,07/01/24 07:28:07 PM,26.390,,,,
129,07/01/24 09:28:07 PM,26.195,,,,
130,07/01/24 11:28:07 PM,26.000,,,,
131,07/02/24 01:28:07 AM,25.708,,,,
132,07/02/24 03:28:07 AM,25.513,,,,
133,07/02/24 05:28:07 AM,25.319,,,,
134,07/02/24 07:28:07 AM,25.028,,,,
135,07/02/24 09:28:07 AM,24.835,,,,
136,07/02/24 11:28:07 AM,25.028,,,,
137,07/02/24 01:28:07 PM,25.513,,,,
138,07/02/24 03:28:07 PM,26.097,,,,
139,07/02/24 05:28:07 PM,26.292,,,,
140,07/02/24 07:28:07 PM,26.195,,,,
141,07/02/24 09:28:07 PM,26.000,,,,
142,07/02/24 11:28:07 PM,25.610,,,,
143,07/03/24 01:28:07 AM,25.222,,,,
144,07/03/24 03:28:07 AM,24.931,,,,
145,07/03/24 05:28:07 AM,24.738,,,,
146,07/03/24 07:28:07 AM,24.448,,,,
147,07/03/24 09:28:07 AM,24.448,,,,
148,07/03/24 11:28:07 AM,24.641,,,,
149,07/03/24 01:28:07 PM,25.416,,,,
150,07/03/24 03:28:07 PM,26.000,,,,
151,07/03/24 05:28:07 PM,26.195,,,,
152,07/03/24 07:28:07 PM,26.097,,,,
153,07/03/24 09:28:07 PM,25.902,,,,
154,07/03/24 11:28:07 PM,25.610,,,,
155,07/04/24 01:28:07 AM,25.222,,,,
156,07/04/24 03:28:07 AM,24.931,,,,
157,07/04/24 05:28:07 AM,24.641,,,,
158,07/04/24 07:28:07 AM,24.448,,,,
159,07/04/24 09:28:07 AM,24.448,,,,
