"Plot Title: 20365584"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20365584, SEN S/N: 20365584)","Coupler Detached (LGR S/N: 20365584)","Host Connected (LGR S/N: 20365584)","Coupler Attached (LGR S/N: 20365584)","Stopped (LGR S/N: 20365584)","End Of File (LGR S/N: 20365584)"
1,06/21/24 07:25:44 AM,27.567,,,,,
2,06/21/24 07:26:26 AM,,Logged,,,,
3,06/21/24 09:25:44 AM,23.773,,,,,
4,06/21/24 11:25:44 AM,24.641,,,,,
5,06/21/24 01:25:44 PM,25.416,,,,,
6,06/21/24 03:25:44 PM,25.805,,,,,
7,06/21/24 05:25:44 PM,26.195,,,,,
8,06/21/24 07:25:44 PM,26.000,,,,,
9,06/21/24 09:25:44 PM,25.513,,,,,
10,06/21/24 11:25:44 PM,24.931,,,,,
11,06/22/24 01:25:44 AM,24.545,,,,,
12,06/22/24 03:25:44 AM,24.158,,,,,
13,06/22/24 05:25:44 AM,23.966,,,,,
14,06/22/24 07:25:44 AM,23.869,,,,,
15,06/22/24 09:25:44 AM,24.158,,,,,
16,06/22/24 11:25:44 AM,25.319,,,,,
17,06/22/24 01:25:44 PM,26.585,,,,,
18,06/22/24 03:25:44 PM,28.456,,,,,
19,06/22/24 05:25:44 PM,27.862,,,,,
20,06/22/24 07:25:44 PM,27.272,,,,,
21,06/22/24 09:25:44 PM,26.585,,,,,
22,06/22/24 11:25:44 PM,26.000,,,,,
23,06/23/24 01:25:44 AM,25.513,,,,,
24,06/23/24 03:25:44 AM,25.028,,,,,
25,06/23/24 05:25:44 AM,24.738,,,,,
26,06/23/24 07:25:44 AM,24.448,,,,,
27,06/23/24 09:25:44 AM,24.931,,,,,
28,06/23/24 11:25:44 AM,26.000,,,,,
29,06/23/24 01:25:44 PM,27.173,,,,,
30,06/23/24 03:25:44 PM,28.258,,,,,
31,06/23/24 05:25:44 PM,27.961,,,,,
32,06/23/24 07:25:44 PM,27.370,,,,,
33,06/23/24 09:25:44 PM,26.879,,,,,
34,06/23/24 11:25:44 PM,26.488,,,,,
35,06/24/24 01:25:44 AM,26.195,,,,,
36,06/24/24 03:25:44 AM,26.000,,,,,
37,06/24/24 05:25:44 AM,25.805,,,,,
38,06/24/24 07:25:44 AM,25.805,,,,,
39,06/24/24 09:25:44 AM,26.097,,,,,
40,06/24/24 11:25:44 AM,26.585,,,,,
41,06/24/24 01:25:44 PM,27.468,,,,,
42,06/24/24 03:25:44 PM,28.655,,,,,
43,06/24/24 05:25:44 PM,28.159,,,,,
44,06/24/24 07:25:44 PM,27.764,,,,,
45,06/24/24 09:25:44 PM,27.173,,,,,
46,06/24/24 11:25:44 PM,26.683,,,,,
47,06/25/24 01:25:44 AM,26.292,,,,,
48,06/25/24 03:25:44 AM,26.000,,,,,
49,06/25/24 05:25:44 AM,25.513,,,,,
50,06/25/24 07:25:44 AM,25.222,,,,,
51,06/25/24 09:25:44 AM,25.319,,,,,
52,06/25/24 11:25:44 AM,26.000,,,,,
53,06/25/24 01:25:44 PM,27.173,,,,,
54,06/25/24 03:25:44 PM,27.862,,,,,
55,06/25/24 05:25:44 PM,27.468,,,,,
56,06/25/24 07:25:44 PM,27.173,,,,,
57,06/25/24 09:25:44 PM,26.683,,,,,
58,06/25/24 11:25:44 PM,26.195,,,,,
59,06/26/24 01:25:44 AM,25.708,,,,,
60,06/26/24 03:25:44 AM,25.319,,,,,
61,06/26/24 05:25:44 AM,25.028,,,,,
62,06/26/24 07:25:44 AM,24.835,,,,,
63,06/26/24 09:25:44 AM,25.222,,,,,
64,06/26/24 11:25:44 AM,26.292,,,,,
65,06/26/24 01:25:44 PM,27.567,,,,,
66,06/26/24 03:25:44 PM,29.252,,,,,
67,06/26/24 05:25:44 PM,28.555,,,,,
68,06/26/24 07:25:44 PM,27.961,,,,,
69,06/26/24 09:25:44 PM,27.468,,,,,
70,06/26/24 11:25:44 PM,26.977,,,,,
71,06/27/24 01:25:44 AM,26.683,,,,,
72,06/27/24 03:25:44 AM,26.488,,,,,
73,06/27/24 05:25:44 AM,26.292,,,,,
74,06/27/24 07:25:44 AM,26.000,,,,,
75,06/27/24 09:25:44 AM,26.292,,,,,
76,06/27/24 11:25:44 AM,26.879,,,,,
77,06/27/24 01:25:44 PM,27.764,,,,,
78,06/27/24 03:25:44 PM,28.754,,,,,
79,06/27/24 05:25:44 PM,27.567,,,,,
80,06/27/24 07:25:44 PM,27.075,,,,,
81,06/27/24 09:25:44 PM,26.683,,,,,
82,06/27/24 11:25:44 PM,26.292,,,,,
83,06/28/24 01:25:44 AM,26.000,,,,,
84,06/28/24 03:25:44 AM,25.708,,,,,
85,06/28/24 05:25:44 AM,25.416,,,,,
86,06/28/24 07:25:44 AM,25.222,,,,,
87,06/28/24 09:25:44 AM,25.416,,,,,
88,06/28/24 11:25:44 AM,26.292,,,,,
89,06/28/24 01:25:44 PM,27.272,,,,,
90,06/28/24 03:25:44 PM,27.370,,,,,
91,06/28/24 05:25:44 PM,27.468,,,,,
92,06/28/24 07:25:44 PM,27.272,,,,,
93,06/28/24 09:25:44 PM,26.879,,,,,
94,06/28/24 11:25:44 PM,26.390,,,,,
95,06/29/24 01:25:44 AM,25.902,,,,,
96,06/29/24 03:25:44 AM,25.513,,,,,
97,06/29/24 05:25:44 AM,25.222,,,,,
98,06/29/24 07:25:44 AM,25.028,,,,,
99,06/29/24 09:25:44 AM,25.319,,,,,
100,06/29/24 11:25:44 AM,26.390,,,,,
101,06/29/24 01:25:44 PM,27.764,,,,,
102,06/29/24 03:25:44 PM,29.652,,,,,
103,06/29/24 05:25:44 PM,29.053,,,,,
104,06/29/24 07:25:44 PM,28.357,,,,,
105,06/29/24 09:25:44 PM,27.665,,,,,
106,06/29/24 11:25:44 PM,27.075,,,,,
107,06/30/24 01:25:44 AM,26.488,,,,,
108,06/30/24 03:25:44 AM,26.097,,,,,
109,06/30/24 05:25:44 AM,25.805,,,,,
110,06/30/24 07:25:44 AM,25.610,,,,,
111,06/30/24 09:25:44 AM,25.902,,,,,
112,06/30/24 11:25:44 AM,26.977,,,,,
113,06/30/24 01:25:44 PM,28.357,,,,,
114,06/30/24 03:25:44 PM,29.752,,,,,
115,06/30/24 05:25:44 PM,28.953,,,,,
116,06/30/24 07:25:44 PM,28.357,,,,,
117,06/30/24 09:25:44 PM,27.862,,,,,
118,06/30/24 11:25:44 PM,27.468,,,,,
119,07/01/24 01:25:44 AM,27.173,,,,,
120,07/01/24 03:25:44 AM,26.977,,,,,
121,07/01/24 05:25:44 AM,26.585,,,,,
122,07/01/24 07:25:44 AM,26.390,,,,,
123,07/01/24 09:25:44 AM,26.585,,,,,
124,07/01/24 11:25:44 AM,27.370,,,,,
125,07/01/24 01:25:44 PM,27.468,,,,,
126,07/01/24 03:25:44 PM,27.173,,,,,
127,07/01/24 05:25:44 PM,27.468,,,,,
128,07/01/24 07:25:44 PM,27.075,,,,,
129,07/01/24 09:25:44 PM,26.585,,,,,
130,07/01/24 11:25:44 PM,26.195,,,,,
