"Plot Title: 20376506"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376506, SEN S/N: 20376506)","Coupler Detached (LGR S/N: 20376506)","Coupler Attached (LGR S/N: 20376506)","Host Connected (LGR S/N: 20376506)","Stopped (LGR S/N: 20376506)","End Of File (LGR S/N: 20376506)"
1,06/21/24 11:52:41 AM,30.558,,,,,
2,06/21/24 11:53:09 AM,,Logged,,,,
3,06/21/24 01:52:41 PM,27.370,,,,,
4,06/21/24 03:52:41 PM,28.060,,,,,
5,06/21/24 05:52:41 PM,27.567,,,,,
6,06/21/24 07:52:41 PM,27.075,,,,,
7,06/21/24 09:52:41 PM,25.902,,,,,
8,06/21/24 11:52:41 PM,25.028,,,,,
9,06/22/24 01:52:41 AM,24.448,,,,,
10,06/22/24 03:52:41 AM,23.966,,,,,
11,06/22/24 05:52:41 AM,23.773,,,,,
12,06/22/24 07:52:41 AM,23.773,,,,,
13,06/22/24 09:52:41 AM,24.641,,,,,
14,06/22/24 11:52:41 AM,27.173,,,,,
15,06/22/24 01:52:41 PM,30.054,,,,,
16,06/22/24 03:52:41 PM,31.370,,,,,
17,06/22/24 05:52:41 PM,30.862,,,,,
18,06/22/24 07:52:41 PM,28.953,,,,,
19,06/22/24 09:52:41 PM,27.468,,,,,
20,06/22/24 11:52:41 PM,26.390,,,,,
21,06/23/24 01:52:41 AM,25.708,,,,,
22,06/23/24 03:52:41 AM,25.125,,,,,
23,06/23/24 05:52:41 AM,24.641,,,,,
24,06/23/24 07:52:41 AM,24.545,,,,,
25,06/23/24 09:52:41 AM,25.610,,,,,
26,06/23/24 11:52:41 AM,27.468,,,,,
27,06/23/24 01:52:41 PM,29.853,,,,,
28,06/23/24 03:52:41 PM,30.963,,,,,
29,06/23/24 05:52:41 PM,30.154,,,,,
30,06/23/24 07:52:41 PM,28.655,,,,,
31,06/23/24 09:52:41 PM,27.567,,,,,
32,06/23/24 11:52:41 PM,26.879,,,,,
33,06/24/24 01:52:41 AM,26.488,,,,,
34,06/24/24 03:52:41 AM,26.097,,,,,
35,06/24/24 05:52:41 AM,25.902,,,,,
36,06/24/24 07:52:41 AM,26.000,,,,,
37,06/24/24 09:52:41 AM,26.683,,,,,
38,06/24/24 11:52:41 AM,27.862,,,,,
39,06/24/24 01:52:41 PM,30.054,,,,,
40,06/24/24 03:52:41 PM,30.760,,,,,
41,06/24/24 05:52:41 PM,29.853,,,,,
42,06/24/24 07:52:41 PM,28.853,,,,,
43,06/24/24 09:52:41 PM,27.764,,,,,
44,06/24/24 11:52:41 PM,26.977,,,,,
45,06/25/24 01:52:41 AM,26.488,,,,,
46,06/25/24 03:52:41 AM,26.000,,,,,
47,06/25/24 05:52:41 AM,25.416,,,,,
48,06/25/24 07:52:41 AM,25.028,,,,,
49,06/25/24 09:52:41 AM,25.708,,,,,
50,06/25/24 11:52:41 AM,27.272,,,,,
51,06/25/24 01:52:41 PM,29.652,,,,,
52,06/25/24 03:52:41 PM,28.258,,,,,
53,06/25/24 05:52:41 PM,29.552,,,,,
54,06/25/24 07:52:41 PM,28.357,,,,,
55,06/25/24 09:52:41 PM,27.173,,,,,
56,06/25/24 11:52:41 PM,26.292,,,,,
57,06/26/24 01:52:41 AM,25.708,,,,,
58,06/26/24 03:52:41 AM,25.222,,,,,
59,06/26/24 05:52:41 AM,24.931,,,,,
60,06/26/24 07:52:41 AM,24.835,,,,,
61,06/26/24 09:52:41 AM,25.805,,,,,
62,06/26/24 11:52:41 AM,28.357,,,,,
63,06/26/24 01:52:41 PM,30.963,,,,,
64,06/26/24 03:52:41 PM,32.291,,,,,
65,06/26/24 05:52:41 PM,31.370,,,,,
66,06/26/24 07:52:41 PM,29.552,,,,,
67,06/26/24 09:52:41 PM,28.258,,,,,
68,06/26/24 11:52:41 PM,27.468,,,,,
69,06/27/24 01:52:41 AM,27.075,,,,,
70,06/27/24 03:52:41 AM,26.683,,,,,
71,06/27/24 05:52:41 AM,26.292,,,,,
72,06/27/24 07:52:41 AM,26.097,,,,,
73,06/27/24 09:52:41 AM,26.879,,,,,
74,06/27/24 11:52:41 AM,28.357,,,,,
75,06/27/24 01:52:41 PM,29.953,,,,,
76,06/27/24 03:52:41 PM,30.356,,,,,
77,06/27/24 05:52:41 PM,28.258,,,,,
78,06/27/24 07:52:41 PM,27.665,,,,,
79,06/27/24 09:52:41 PM,26.879,,,,,
80,06/27/24 11:52:41 PM,26.390,,,,,
81,06/28/24 01:52:41 AM,26.000,,,,,
82,06/28/24 03:52:41 AM,25.610,,,,,
83,06/28/24 05:52:41 AM,25.222,,,,,
84,06/28/24 07:52:41 AM,25.222,,,,,
85,06/28/24 09:52:41 AM,26.000,,,,,
86,06/28/24 11:52:41 AM,28.159,,,,,
87,06/28/24 01:52:41 PM,29.152,,,,,
88,06/28/24 03:52:41 PM,29.053,,,,,
89,06/28/24 05:52:41 PM,28.953,,,,,
90,06/28/24 07:52:41 PM,28.258,,,,,
91,06/28/24 09:52:41 PM,27.370,,,,,
92,06/28/24 11:52:41 PM,26.585,,,,,
93,06/29/24 01:52:41 AM,25.902,,,,,
94,06/29/24 03:52:41 AM,25.416,,,,,
95,06/29/24 05:52:41 AM,25.028,,,,,
96,06/29/24 07:52:41 AM,24.931,,,,,
97,06/29/24 09:52:41 AM,25.708,,,,,
98,06/29/24 11:52:41 AM,28.357,,,,,
99,06/29/24 01:52:41 PM,31.166,,,,,
100,06/29/24 03:52:41 PM,32.807,,,,,
101,06/29/24 05:52:41 PM,31.676,,,,,
102,06/29/24 07:52:41 PM,29.853,,,,,
103,06/29/24 09:52:41 PM,28.357,,,,,
104,06/29/24 11:52:41 PM,27.370,,,,,
105,06/30/24 01:52:41 AM,26.683,,,,,
106,06/30/24 03:52:41 AM,26.195,,,,,
107,06/30/24 05:52:41 AM,25.708,,,,,
108,06/30/24 07:52:41 AM,25.610,,,,,
109,06/30/24 09:52:41 AM,26.292,,,,,
110,06/30/24 11:52:41 AM,28.754,,,,,
111,06/30/24 01:52:41 PM,31.778,,,,,
112,06/30/24 03:52:41 PM,32.188,,,,,
113,06/30/24 05:52:41 PM,30.558,,,,,
114,06/30/24 07:52:41 PM,29.452,,,,,
115,06/30/24 09:52:41 PM,28.357,,,,,
116,06/30/24 11:52:41 PM,27.764,,,,,
117,07/01/24 01:52:41 AM,27.370,,,,,
118,07/01/24 03:52:41 AM,27.075,,,,,
119,07/01/24 05:52:41 AM,26.585,,,,,
120,07/01/24 07:52:41 AM,26.390,,,,,
121,07/01/24 09:52:41 AM,26.977,,,,,
122,07/01/24 11:52:41 AM,28.853,,,,,
123,07/01/24 01:52:41 PM,28.258,,,,,
124,07/01/24 03:52:41 PM,28.456,,,,,
125,07/01/24 05:52:41 PM,29.053,,,,,
126,07/01/24 07:52:41 PM,27.961,,,,,
127,07/01/24 09:52:41 PM,26.977,,,,,
128,07/01/24 11:52:41 PM,26.390,,,,,
129,07/02/24 01:52:41 AM,25.902,,,,,
130,07/02/24 03:52:41 AM,25.513,,,,,
131,07/02/24 05:52:41 AM,24.931,,,,,
132,07/02/24 07:52:41 AM,24.641,,,,,
133,07/02/24 09:52:41 AM,25.028,,,,,
134,07/02/24 11:52:41 AM,27.272,,,,,
135,07/02/24 01:52:41 PM,30.154,,,,,
136,07/02/24 03:52:41 PM,30.862,,,,,
137,07/02/24 05:52:41 PM,30.457,,,,,
138,07/02/24 07:52:41 PM,28.555,,,,,
139,07/02/24 09:52:41 PM,27.075,,,,,
140,07/02/24 11:52:41 PM,26.000,,,,,
141,07/03/24 01:52:41 AM,25.222,,,,,
142,07/03/24 03:52:41 AM,24.835,,,,,
143,07/03/24 05:52:41 AM,24.545,,,,,
144,07/03/24 07:52:41 AM,24.351,,,,,
145,07/03/24 09:52:41 AM,24.931,,,,,
146,07/03/24 11:52:41 AM,27.370,,,,,
147,07/03/24 01:52:41 PM,30.154,,,,,
148,07/03/24 03:52:41 PM,29.953,,,,,
149,07/03/24 05:52:41 PM,29.352,,,,,
150,07/03/24 07:52:41 PM,28.060,,,,,
151,07/03/24 09:52:41 PM,26.781,,,,,
152,07/03/24 11:52:41 PM,25.902,,,,,
153,07/04/24 01:52:41 AM,25.222,,,,,
154,07/04/24 03:52:41 AM,24.641,,,,,
155,07/04/24 05:52:41 AM,24.255,,,,,
156,07/04/24 07:52:41 AM,24.351,,,,,
157,07/04/24 09:52:41 AM,25.222,,,,,
158,07/04/24 11:52:41 AM,26.977,,,,,
159,07/04/24 01:52:41 PM,28.853,,,,,
160,07/04/24 03:52:41 PM,30.457,,,,,
161,07/04/24 05:52:41 PM,30.356,,,,,
162,07/04/24 07:52:41 PM,28.555,,,,,
163,07/04/24 09:52:41 PM,27.173,,,,,
164,07/04/24 11:52:41 PM,26.292,,,,,
165,07/05/24 01:52:41 AM,25.805,,,,,
166,07/05/24 03:52:41 AM,25.513,,,,,
167,07/05/24 05:52:41 AM,25.125,,,,,
168,07/05/24 07:52:41 AM,24.931,,,,,
169,07/05/24 09:52:41 AM,25.902,,,,,
170,07/05/24 11:52:41 AM,28.555,,,,,
171,07/05/24 01:52:41 PM,31.268,,,,,
