"Plot Title: 20376500"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376500, SEN S/N: 20376500)","Coupler Detached (LGR S/N: 20376500)","Bad Battery (LGR S/N: 20376500)","Coupler Attached (LGR S/N: 20376500)","Host Connected (LGR S/N: 20376500)","Stopped (LGR S/N: 20376500)","End Of File (LGR S/N: 20376500)"
1,06/21/24 11:51:11 AM,29.452,,,,,,
2,06/21/24 11:51:29 AM,,Logged,,,,,
3,06/21/24 01:51:11 PM,26.585,,,,,,
4,06/21/24 03:51:11 PM,26.781,,,,,,
5,06/21/24 05:51:11 PM,26.585,,,,,,
6,06/21/24 07:51:11 PM,25.805,,,,,,
7,06/21/24 09:51:11 PM,24.641,,,,,,
8,06/21/24 11:51:11 PM,23.966,,,,,,
9,06/22/24 01:51:11 AM,23.484,,,,,,
10,06/22/24 03:51:11 AM,23.196,,,,,,
11,06/22/24 05:51:11 AM,23.100,,,,,,
12,06/22/24 07:51:11 AM,23.388,,,,,,
13,06/22/24 09:51:11 AM,25.125,,,,,,
14,06/22/24 11:51:11 AM,26.097,,,,,,
15,06/22/24 01:51:11 PM,30.457,,,,,,
16,06/22/24 03:51:11 PM,30.356,,,,,,
17,06/22/24 05:51:11 PM,28.853,,,,,,
18,06/22/24 07:51:11 PM,27.272,,,,,,
19,06/22/24 09:51:11 PM,25.902,,,,,,
20,06/22/24 11:51:11 PM,25.028,,,,,,
21,06/23/24 01:51:11 AM,24.545,,,,,,
22,06/23/24 03:51:11 AM,24.062,,,,,,
23,06/23/24 05:51:11 AM,23.773,,,,,,
24,06/23/24 07:51:11 AM,23.966,,,,,,
25,06/23/24 09:51:11 AM,26.292,,,,,,
26,06/23/24 11:51:11 AM,26.683,,,,,,
27,06/23/24 01:51:11 PM,29.652,,,,,,
28,06/23/24 03:51:11 PM,29.752,,,,,,
29,06/23/24 05:51:11 PM,28.357,,,,,,
30,06/23/24 07:51:11 PM,27.272,,,,,,
31,06/23/24 09:51:11 PM,26.390,,,,,,
32,06/23/24 11:51:11 PM,26.000,,,,,,
33,06/24/24 01:51:11 AM,25.805,,,,,,
34,06/24/24 03:51:11 AM,25.513,,,,,,
35,06/24/24 05:51:11 AM,25.416,,,,,,
36,06/24/24 07:51:11 AM,25.708,,,,,,
37,06/24/24 09:51:11 AM,26.585,,,,,,
38,06/24/24 11:51:11 AM,27.665,,,,,,
39,06/24/24 01:51:11 PM,30.558,,,,,,
40,06/24/24 03:51:11 PM,29.652,,,,,,
41,06/24/24 05:51:11 PM,28.456,,,,,,
42,06/24/24 07:51:11 PM,27.764,,,,,,
43,06/24/24 09:51:11 PM,26.683,,,,,,
44,06/24/24 11:51:11 PM,26.097,,,,,,
45,06/25/24 01:51:11 AM,25.708,,,,,,
46,06/25/24 03:51:11 AM,25.222,,,,,,
47,06/25/24 05:51:11 AM,24.545,,,,,,
48,06/25/24 07:51:11 AM,24.545,,,,,,
49,06/25/24 09:51:11 AM,25.805,,,,,,
50,06/25/24 11:51:11 AM,27.075,,,,,,
51,06/25/24 01:51:11 PM,29.853,,,,,,
52,06/25/24 03:51:11 PM,26.585,,,,,,
53,06/25/24 05:51:11 PM,28.060,,,,,,
54,06/25/24 07:51:11 PM,26.977,,,,,,
55,06/25/24 09:51:11 PM,25.902,,,,,,
56,06/25/24 11:51:11 PM,25.222,,,,,,
57,06/26/24 01:51:11 AM,24.835,,,,,,
58,06/26/24 03:51:11 AM,24.448,,,,,,
59,06/26/24 05:51:11 AM,24.255,,,,,,
60,06/26/24 07:51:11 AM,24.448,,,,,,
61,06/26/24 09:51:11 AM,26.585,,,,,,
62,06/26/24 11:51:11 AM,27.272,,,,,,
63,06/26/24 01:51:11 PM,30.963,,,,,,
64,06/26/24 03:51:11 PM,30.862,,,,,,
65,06/26/24 05:51:11 PM,29.452,,,,,,
66,06/26/24 07:51:11 PM,27.961,,,,,,
67,06/26/24 09:51:11 PM,27.075,,,,,,
68,06/26/24 11:51:11 PM,26.585,,,,,,
69,06/27/24 01:51:11 AM,26.390,,,,,,
70,06/27/24 03:51:11 AM,26.195,,,,,,
71,06/27/24 05:51:11 AM,25.805,,,,,,
72,06/27/24 07:51:11 AM,25.902,,,,,,
73,06/27/24 09:51:11 AM,27.075,,,,,,
74,06/27/24 11:51:11 AM,27.961,,,,,,
75,06/27/24 01:51:11 PM,29.652,,,,,,
76,06/27/24 03:51:11 PM,28.853,,,,,,
77,06/27/24 05:51:11 PM,26.977,,,,,,
78,06/27/24 07:51:11 PM,26.488,,,,,,
79,06/27/24 09:51:11 PM,25.902,,,,,,
